date,open,max,min,close,volume,y
20070926,14.1,14.1,13.0,13.57,136788,[1 0]
20070927,13.8,14.1,13.51,14.0,981861,[0 1]
20070928,13.8,14.0,13.02,14.0,208754,[0 1]
20071001,13.6,14.5,13.01,13.01,4008776,[0 1]
20071002,13.17,13.93,13.1,13.93,243961,[1 0]
20071003,13.5,13.5,13.1,13.1,15960,[1 1]
20071004,13.4,13.88,13.21,13.88,571100,[0 1]
20071005,13.6,13.94,13.5,13.8,881771,[1 1]
20071008,13.98,14.35,13.98,14.35,1626212,[0 0]
20071009,14.05,14.8,14.01,14.49,1707299,[1 0]
20071010,14.3,14.45,14.1,14.4,478809,[1 1]
20071011,14.5,14.8,14.0,14.8,498445,[0 0]
20071015,14.8,15.0,13.81,15.0,2060723,[1 0]
20071016,15.05,15.05,14.51,14.51,396941,[1 0]
20071017,14.5,15.1,14.5,14.75,1022891,[0 0]
20071018,15.0,15.25,14.76,15.25,1208660,[0 0]
20071019,15.4,15.5,14.01,15.5,651514,[1 0]
20071022,15.0,15.15,15.0,15.05,273820,[0 0]
20071023,15.25,15.25,14.9,15.0,599964,[0 0]
20071024,15.35,15.35,14.79,15.27,404336,[1 0]
20071025,15.3,15.3,14.0,14.7,167670,[1 0]
20071026,14.8,14.8,14.01,14.8,289641,[0 1]
20071029,14.8,15.16,14.8,15.16,598008,[1 0]
20071030,14.9,14.9,14.9,14.9,25330,[0 1]
20071031,14.8,15.0,14.0,14.0,506595,[0 0]
20071101,15.0,15.29,15.0,15.29,489742,[1 0]
20071105,14.01,14.01,14.01,14.01,21015,[1 0]
20071106,14.98,15.1,14.9,15.1,393867,[1 0]
20071107,14.95,15.09,14.42,14.42,559859,[0 1]
20071108,14.55,15.09,14.1,14.1,244634,[0 1]
20071109,13.8,13.8,13.8,13.8,132480,[0 0]
20071112,13.78,13.78,13.5,13.5,111469,[0 1]
20071113,13.4,13.4,13.4,13.4,67000,[0 1]
20071114,13.5,14.0,13.5,14.0,25850,[0 0]
20071116,14.0,14.0,12.5,14.0,169000,[0 1]
20071119,14.0,14.0,14.0,14.0,50400,[1 0]
20071121,13.1,13.1,12.7,12.9,53900,[0 1]
20071123,12.7,12.7,12.2,12.2,45190,[0 1]
20071126,12.16,12.16,12.0,12.0,66256,[0 1]
20071127,11.92,14.0,11.92,14.0,59920,[0 1]
20071129,11.5,11.5,11.0,11.1,47780,[0 1]
20071130,12.2,12.2,12.2,12.2,81740,[1 1]
20071203,12.95,12.95,11.7,11.7,146690,[0 0]
20071204,11.25,11.5,11.0,11.5,95713,[0 1]
20071205,12.0,12.6,12.0,12.6,121800,[0 0]
20071206,12.21,12.95,12.2,12.95,91062,[1 0]
20071207,12.35,12.35,12.2,12.2,201220,[0 0]
20071211,12.05,12.2,11.26,11.26,173792,[1 0]
20071212,12.2,12.3,11.26,12.3,147758,[1 0]
20071213,12.3,12.3,12.1,12.1,75640,[1 0]
20071214,12.3,12.5,11.26,11.26,141972,[1 1]
20071218,11.27,11.27,11.27,11.27,1127,[0 1]
20071219,11.35,11.35,11.0,11.01,82135,[1 0]
20080108,10.5,11.1,10.5,11.1,32820,[0 0]
20080109,10.5,10.5,10.5,10.5,149100,[1 1]
20080114,10.5,11.0,10.5,10.8,198760,[0 1]
20080116,10.52,11.4,10.5,10.5,137076,[0 0]
20080117,10.01,10.01,10.01,10.01,3003,[1 0]
20080118,10.01,10.15,9.01,10.15,126472,[1 1]
20080121,10.0,10.0,10.0,10.0,35000,[0 0]
20080122,10.0,10.0,9.69,9.8,166821,[0 1]
20080123,9.81,9.81,9.1,9.1,22053,[0 1]
20080124,10.0,10.0,9.65,10.0,57775,[0 1]
20080128,10.0,10.0,9.51,10.0,143599,[0 1]
20080129,10.15,10.15,10.15,10.15,2030,[1 1]
20080130,10.0,10.0,10.0,10.0,2000,[1 0]
20080131,10.5,10.55,9.7,9.83,301765,[1 0]
20080201,10.2,10.2,9.7,9.7,70260,[0 0]
20080206,9.7,9.7,9.7,9.7,11640,[1 0]
20080207,10.0,10.0,10.0,10.0,38000,[0 1]
20080208,10.0,10.18,10.0,10.18,236880,[0 0]
20080211,10.3,10.75,10.3,10.7,124650,[0 0]
20080212,10.53,10.69,10.53,10.69,86458,[1 0]
20080213,10.45,10.69,10.3,10.3,142849,[1 1]
20080214,10.31,10.54,10.31,10.54,31160,[0 0]
20080218,10.55,10.55,10.1,10.48,206780,[0 0]
20080219,10.2,10.55,10.2,10.55,207489,[1 0]
20080220,10.55,10.55,10.55,10.55,21835,[1 1]
20080221,10.42,10.6,10.42,10.6,158455,[0 0]
20080222,10.48,10.6,10.48,10.6,38980,[1 1]
20080225,10.69,10.75,10.69,10.75,26749,[0 0]
20080226,10.35,10.35,10.35,10.35,103500,[0 0]
20080227,10.9,10.9,10.64,10.9,110894,[0 1]
20080228,10.89,10.95,10.89,10.94,130979,[1 0]
20080229,10.0,10.2,9.45,9.45,34530,[0 1]
20080303,10.0,10.5,10.0,10.5,23850,[0 0]
20080304,10.38,10.38,10.0,10.17,35930,[0 0]
20080305,10.6,10.6,10.0,10.0,89380,[1 0]
20080307,10.3,10.5,10.2,10.2,66350,[0 0]
20080310,10.2,10.2,10.2,10.2,33660,[0 0]
20080311,10.2,10.2,10.2,10.2,40800,[1 0]
20080312,9.65,9.65,9.65,9.65,16405,[1 0]
20080313,9.5,9.6,9.45,9.54,105038,[0 1]
20080314,9.3,9.3,9.0,9.0,108186,[0 1]
20080317,8.9,8.9,8.9,8.9,2670,[0 0]
20080318,9.25,9.25,8.73,9.19,116101,[1 1]
20080319,10.5,10.5,8.8,8.8,86410,[1 0]
20080320,8.99,8.99,8.99,8.99,6293,[1 1]
20080324,9.01,9.01,8.99,8.99,138680,[1 1]
20080325,9.1,9.1,9.1,9.1,15540,[1 1]
20080326,9.45,10.5,9.45,10.5,130620,[0 1]
20080327,9.2,9.2,9.2,9.2,17480,[0 0]
20080328,9.6,9.6,9.0,9.5,88156,[0 0]
20080411,9.95,10.0,9.95,10.0,19919,[0 0]
20080415,9.7,9.7,9.69,9.69,25217,[0 0]
20080416,10.1,10.2,9.85,9.85,75615,[1 0]
20080418,10.49,10.5,10.49,10.5,89170,[1 1]
20080422,10.02,10.07,10.02,10.07,92564,[0 1]
20080423,10.15,10.15,10.0,10.0,35164,[0 1]
20080424,10.14,10.14,9.85,9.85,105748,[1 0]
20080425,9.98,9.98,9.97,9.97,41909,[0 0]
20080428,9.38,9.8,9.38,9.8,149604,[1 0]
20080429,9.38,9.81,9.38,9.81,37494,[1 0]
20080430,9.75,9.75,9.7,9.7,24300,[0 0]
