date,open,max,min,close,volume,y
20080416,26.6,26.6,26.0,26.0,1584000,[0 1]
20080417,26.0,26.0,26.0,26.0,5200000,[0 1]
20080418,26.79,26.79,26.79,26.79,267900,[0 1]
20080423,25.57,26.0,25.57,25.6,58751700,[0 1]
20080507,26.19,26.2,26.0,26.2,20945000,[0 1]
20080508,26.0,26.01,26.0,26.0,31210000,[0 1]
20080509,26.0,26.45,26.0,26.45,8724000,[0 1]
20080512,26.0,26.0,26.0,26.0,520000,[0 0]
20080513,26.35,26.4,26.35,26.4,5279500,[1 0]
20080514,26.0,26.45,26.0,26.0,15319900,[0 0]
20080515,26.4,26.42,26.4,26.42,2112800,[1 0]
20080519,25.51,26.0,24.85,24.85,29681500,[1 0]
20080520,24.9,24.9,24.9,24.9,249000,[1 0]
20080521,24.9,24.9,24.9,24.9,498000,[1 0]
20080523,24.3,25.6,24.0,25.6,14340500,[0 0]
20080528,25.8,25.88,24.1,25.1,60002400,[1 0]
20080529,25.1,25.1,25.1,25.1,251000,[0 1]
20080530,25.08,25.95,25.08,25.95,765300,[1 1]
20080602,24.9,24.9,24.8,24.8,3478000,[0 1]
20080603,24.8,24.8,24.8,24.8,248000,[0 0]
20080604,24.3,24.3,23.5,23.5,2160000,[0 1]
20080605,24.79,24.79,24.79,24.79,991600,[1 1]
20080606,24.01,24.01,24.01,24.01,480200,[0 0]
20080609,24.01,24.78,24.01,24.78,14455500,[1 0]
20080610,24.5,24.5,24.5,24.5,980000,[1 0]
20080611,24.5,24.7,24.5,24.7,6645000,[0 1]
20080612,24.8,24.8,23.71,23.71,8150100,[1 1]
20080613,24.74,24.75,24.74,24.75,2969900,[0 0]
20080618,24.73,24.73,24.73,24.73,74190000,[1 0]
20080619,24.7,24.7,24.7,24.7,247000,[1 0]
20080620,24.6,24.65,24.0,24.65,7801200,[1 0]
20080623,24.7,24.7,24.7,24.7,1976000,[0 0]
20080624,24.7,24.7,24.0,24.0,5173000,[1 1]
20080625,23.9,23.9,23.9,23.9,478000,[0 1]
20080626,23.75,24.0,23.25,24.0,17581000,[0 1]
20080627,24.0,24.6,24.0,24.4,4340000,[0 0]
20080630,24.0,24.49,23.75,24.49,24435000,[1 1]
20080701,24.4,24.4,23.5,24.35,1942500,[0 0]
20080702,24.35,24.49,24.35,24.49,24839800,[0 0]
20080703,24.0,24.4,24.0,24.4,728000,[1 1]
20080704,23.5,23.5,23.25,23.25,12912500,[0 0]
20080707,23.2,23.2,22.85,22.85,9851000,[1 0]
20080708,23.4,23.65,23.4,23.65,2599000,[1 1]
20080710,23.8,23.8,23.5,23.79,59731000,[0 0]
20080711,24.1,24.1,23.9,23.9,2631000,[0 0]
20080714,23.5,24.15,23.0,23.0,1418000,[0 1]
20080715,23.79,23.79,23.0,23.0,467900,[0 0]
20080721,23.99,24.0,23.99,24.0,479900,[1 0]
20080722,24.0,24.0,24.0,24.0,4560000,[0 1]
20080723,24.01,25.3,24.01,24.01,11343700,[0 1]
20080724,24.99,25.0,24.0,24.0,1979900,[0 1]
20080725,23.0,23.51,23.0,23.0,1156100,[1 0]
20080729,23.99,24.0,23.55,24.0,2372700,[1 0]
20080730,24.49,24.85,24.49,24.5,11067500,[0 0]
20080731,23.15,24.8,23.15,24.8,2345000,[0 0]
20080801,23.5,24.09,23.5,24.09,710900,[0 0]
20080804,23.25,23.5,23.25,23.5,2330000,[0 0]
20080806,24.01,24.01,24.01,24.01,24010000,[1 1]
20080807,23.99,23.99,23.99,23.99,479800,[0 0]
20080808,24.4,24.4,24.4,24.4,244000,[1 0]
20080811,24.01,24.3,24.0,24.3,7470100,[1 0]
20080813,24.7,25.0,24.68,25.0,74804400,[0 1]
20080826,23.4,24.0,23.4,24.0,708000,[0 0]
20080827,23.98,23.98,23.98,23.98,23980000,[0 1]
20080828,23.11,23.2,23.1,23.1,3467700,[1 0]
20080829,24.0,24.98,24.0,24.5,3187000,[1 0]
20080901,25.0,25.5,25.0,25.4,4310900,[0 0]
20080902,25.4,25.4,23.05,25.25,12817900,[1 0]
20080903,24.95,25.3,24.0,25.3,2452000,[0 0]
20080904,25.29,25.3,25.0,25.2,26162000,[0 1]
20080908,25.34,25.34,25.34,25.34,253400,[1 1]
20080909,25.0,25.0,24.59,24.59,13537000,[0 0]
20080910,24.29,24.29,24.25,24.25,8730400,[1 0]
20080911,24.89,24.99,24.79,24.79,9671300,[1 1]
20080912,24.99,24.99,24.79,24.8,22318500,[1 1]
20080915,24.75,24.75,24.49,24.49,1227100,[1 1]
20080916,23.0,24.45,22.0,24.45,10456000,[0 1]
20080917,24.5,24.5,22.5,22.5,41501000,[1 0]
20080918,23.0,23.0,22.0,22.47,23638200,[1 0]
20080919,23.9,24.29,23.49,24.29,7086400,[0 0]
20080922,24.48,24.48,24.35,24.35,24594800,[1 0]
20080923,24.2,24.51,22.1,23.5,4581500,[0 0]
20080924,23.3,23.3,23.2,23.2,698000,[0 0]
20080925,24.0,24.48,24.0,24.38,3648300,[1 1]
20080929,23.9,23.9,22.5,22.5,37430000,[1 1]
20080930,23.1,24.09,22.98,24.09,2086700,[0 1]
20081001,24.09,24.52,23.99,24.52,29324900,[1 0]
20081003,22.4,23.5,22.4,23.5,8938000,[1 1]
20081006,23.4,23.4,23.4,23.4,16380000,[0 0]
20081008,22.99,23.2,21.9,21.99,76469100,[0 0]
20081009,21.99,21.99,21.99,21.99,219900,[0 1]
20081013,20.0,20.0,19.95,19.95,2999000,[0 1]
20081014,20.0,20.0,20.0,20.0,200000,[1 1]
20081015,19.9,19.9,19.85,19.85,19875000,[0 1]
20081016,20.4,20.8,19.79,19.79,50792900,[1 0]
20081020,19.9,19.9,19.9,19.9,398000,[1 1]
20081021,19.9,19.9,19.9,19.9,199000,[0 0]
20081022,19.88,19.88,19.88,19.88,795200,[1 0]
20081029,19.0,20.5,19.0,20.5,792500,[0 0]
20081030,18.98,18.98,18.0,18.0,2820900,[0 1]
20081104,18.5,18.5,18.5,18.5,3515000,[0 0]
20081105,18.5,18.5,18.5,18.5,740000,[1 0]
20081107,19.0,19.25,19.0,19.25,2115000,[0 0]
20081110,19.29,20.45,19.29,20.45,2786400,[0 0]
20081111,20.4,20.4,18.5,19.85,7447500,[1 0]
20081112,20.4,20.4,20.4,20.4,204000,[0 1]
20081113,20.39,20.39,20.39,20.39,203900,[0 0]
20081114,19.0,19.0,19.0,19.0,1900000,[0 0]
20081117,18.97,18.97,18.97,18.97,569100,[1 0]
20081118,18.97,18.97,18.97,18.97,1138200,[0 1]
20081119,18.01,18.01,16.0,16.98,5233400,[0 0]
20081121,16.99,17.0,16.0,16.25,41430200,[0 1]
20081124,17.34,17.34,16.0,16.0,123847000,[1 0]
20081125,16.0,16.0,15.0,15.0,13281000,[0 0]
20081126,15.0,15.0,14.4,14.4,47557000,[1 0]
20081127,14.5,14.5,14.5,14.5,121510000,[0 0]
20081128,14.5,15.79,14.5,15.79,17957800,[0 0]
20081201,15.1,15.55,15.1,15.55,3549500,[1 0]
20081202,15.1,15.1,15.1,15.1,1359000,[0 1]
20081203,15.1,15.3,15.09,15.2,18277300,[1 1]
20081204,15.09,15.09,15.09,15.09,301800,[1 0]
20081205,15.0,15.8,15.0,15.75,8190000,[0 1]
20081208,15.74,15.75,15.6,15.75,3146000,[0 1]
20081209,15.74,15.74,15.74,15.74,314800,[0 1]
20081210,15.74,16.99,15.74,16.99,15713400,[1 0]
20081211,16.0,16.98,16.0,16.98,3294600,[0 0]
20081212,16.8,16.8,16.8,16.8,3360000,[0 1]
20081215,16.75,16.75,16.75,16.75,10050000,[0 1]
20081216,16.1,16.99,16.1,16.99,330900,[0 0]
20081218,16.95,17.0,16.95,17.0,848400,[1 1]
20081219,16.95,17.0,16.95,17.0,1017500,[0 0]
20090107,18.28,18.6,18.28,18.55,51126900,[1 1]
20090109,17.5,17.5,17.5,17.5,1750000,[0 0]
20090112,17.5,17.5,17.5,17.5,350000,[0 1]
20090115,17.0,17.4,17.0,17.4,18250000,[0 1]
20090119,17.91,18.2,17.91,18.2,3954700,[1 0]
20090122,18.0,18.0,18.0,18.0,9000000,[0 1]
20090126,17.5,17.5,17.0,17.0,3405000,[0 1]
20090128,16.5,17.28,16.35,16.5,1980300,[0 0]
20090129,17.0,17.4,16.5,16.5,13236200,[0 1]
20090130,16.75,17.01,16.75,17.01,11435800,[1 0]
20090202,17.5,17.5,16.75,17.5,692500,[1 1]
20090204,17.5,18.0,17.5,18.0,2145000,[0 0]
20090205,17.99,18.0,17.99,18.0,18350800,[0 1]
20090209,17.95,18.0,16.8,16.8,7348500,[0 0]
20090210,17.0,18.0,17.0,18.0,34375200,[1 0]
20090211,18.0,18.0,18.0,18.0,6300000,[0 0]
20090212,18.0,18.5,18.0,18.5,15660000,[0 0]
20090213,18.9,18.95,18.9,18.95,11558500,[1 0]
20090216,18.95,19.4,18.9,19.25,14973000,[1 0]
20090217,19.0,19.4,19.0,19.4,11594000,[0 0]
20090218,19.0,20.0,19.0,20.0,21746000,[0 1]
20090219,20.69,20.69,20.69,20.69,413800,[0 1]
20090220,20.1,20.69,19.05,20.0,2383400,[0 0]
20090226,21.0,21.25,20.99,21.0,4209100,[1 1]
20090227,21.25,21.5,21.25,21.5,6425000,[0 0]
20090303,19.5,20.7,19.5,20.7,4967000,[1 1]
20090304,21.5,23.8,21.5,23.8,2646000,[0 1]
20090305,23.7,23.9,23.7,23.8,101808000,[0 0]
20090309,23.9,23.99,23.1,23.1,9782300,[1 1]
20090310,22.5,22.5,22.5,22.5,13950000,[0 1]
20090311,22.5,23.8,22.5,23.49,25511300,[1 1]
20090312,22.5,22.5,22.5,22.5,675000,[0 0]
20090313,22.5,22.5,22.5,22.5,450000,[1 0]
20090316,22.5,22.5,22.5,22.5,900000,[0 1]
20090323,22.0,22.0,22.0,22.0,440000,[0 1]
20090324,21.9,21.99,20.6,20.6,46171100,[1 0]
20090325,21.5,21.5,21.5,21.5,61920000,[1 0]
20090326,21.5,23.19,21.5,23.19,2470500,[1 0]
20090327,23.2,26.4,23.2,26.0,12634000,[1 0]
20090330,25.5,28.0,25.5,28.0,26405000,[0 1]
20090401,27.0,28.0,27.0,28.0,6002000,[1 0]
20090402,28.0,29.0,28.0,28.99,4309000,[0 0]
20090406,27.8,29.0,27.8,29.0,38039800,[0 1]
20090407,28.0,28.0,27.35,28.0,1387000,[0 0]
20090408,27.36,28.99,27.36,28.99,3338500,[0 1]
20090409,29.0,30.0,29.0,30.0,2939800,[1 0]
20090413,29.5,29.5,29.5,29.5,1475000,[1 0]
20090414,29.8,29.8,28.51,29.0,3193100,[1 0]
20090415,30.0,30.0,29.0,29.0,23190000,[0 0]
20090416,29.0,29.3,29.0,29.0,10530000,[1 0]
20090417,29.0,29.0,29.0,29.0,3190000,[1 0]
20090420,29.01,29.27,28.8,29.27,4064200,[0 0]
20090422,29.0,29.1,28.99,29.1,11310700,[0 0]
20090423,29.95,29.99,29.5,29.9,14334900,[1 0]
20090424,29.6,35.0,29.6,32.78,16641500,[0 0]
20090427,34.0,35.0,33.0,33.0,8030000,[0 0]
20090511,29.0,29.0,29.0,29.0,290000,[0 1]
20090512,28.0,30.0,28.0,30.0,2034900,[0 1]
20090514,29.0,30.99,29.0,30.99,7482200,[1 0]
20090515,30.9,30.9,30.7,30.7,15753000,[1 1]
20090518,30.79,30.79,30.79,30.79,615800,[0 0]
20090519,30.85,30.99,30.85,30.99,6490700,[0 1]
20090520,30.8,30.8,30.79,30.8,66198800,[1 0]
20090521,30.79,30.79,30.79,30.79,307900,[1 1]
20090522,30.79,30.8,30.79,30.8,3695200,[0 0]
20090526,30.5,30.5,30.5,30.5,10370000,[0 0]
20090527,30.45,30.99,29.7,30.0,13383900,[1 0]
20090528,30.5,30.5,30.0,30.0,4220000,[0 0]
20090529,30.8,30.98,26.5,30.0,82828800,[1 0]
20090601,30.95,30.99,30.5,30.5,9818300,[0 1]
20090602,30.5,30.5,30.5,30.5,610000,[1 1]
20090603,29.01,29.01,29.0,29.0,1160100,[1 0]
20090604,29.5,29.5,29.5,29.5,1770000,[1 0]
20090605,29.5,29.5,29.5,29.5,7670000,[0 0]
20090608,29.6,29.6,29.5,29.5,3541000,[1 1]
20090609,29.5,29.6,29.5,29.5,25076000,[0 0]
20090610,29.39,29.39,29.39,29.39,9404800,[0 1]
20090612,29.0,29.3,29.0,29.0,17550000,[0 0]
20090615,29.4,29.4,29.4,29.4,294000,[0 1]
20090616,29.0,29.0,29.0,29.0,2320000,[0 1]
20090617,28.99,28.99,28.99,28.99,1449500,[1 0]
20090618,29.3,29.3,29.3,29.3,2930000,[1 1]
20090619,29.29,29.29,29.29,29.29,292900,[1 0]
20090623,29.29,29.29,29.29,29.29,292900,[1 0]
20090624,29.29,29.29,29.0,29.0,8433200,[1 0]
20090625,28.97,28.97,28.0,28.0,3089700,[0 1]
20090626,29.3,40.0,29.3,40.0,63649100,[0 0]
20090629,44.0,44.0,37.0,37.0,8009000,[1 0]
20090630,40.0,41.99,35.6,36.9,51654200,[0 0]
20090701,38.0,41.0,37.0,41.0,39570800,[0 1]
20090702,39.45,39.45,36.3,39.0,13318500,[0 1]
20090703,38.75,38.75,38.75,38.75,27125000,[0 0]
20090706,38.43,38.43,38.3,38.3,42596200,[1 0]
20090707,38.39,38.39,38.34,38.34,767300,[0 0]
20090708,38.24,38.5,37.0,38.5,3377800,[1 0]
20090710,38.49,38.49,38.49,38.49,10007400,[1 1]
20090713,37.98,37.98,37.98,37.98,1899000,[0 0]
20090714,37.97,37.97,37.97,37.97,40248200,[1 0]
20090715,37.96,39.3,37.96,39.3,67305200,[1 0]
20090716,39.69,39.69,38.0,38.0,1937400,[0 1]
20090717,38.0,38.0,38.0,38.0,45600000,[1 0]
20090720,38.0,38.0,38.0,38.0,14060000,[0 0]
20090721,37.9,37.9,36.0,37.9,2255000,[0 1]
