date,open,max,min,close,volume,y
20080411,25.18,25.18,25.18,25.18,2518,[1 1]
20080414,26.49,26.49,26.3,26.3,71162,[0 0]
20080415,26.8,26.8,26.8,26.8,5360,[1 1]
20080416,25.18,25.5,24.83,24.83,78059,[0 0]
20080417,25.18,25.18,24.83,24.83,22592,[1 0]
20080418,27.82,27.82,24.85,24.85,10534,[0 0]
20080422,27.82,27.82,27.82,27.82,2782,[0 1]
20080423,25.3,25.3,25.3,25.3,75900,[0 0]
20080509,25.01,25.01,25.01,25.01,2501,[1 1]
20080512,26.0,26.0,26.0,26.0,130000,[0 0]
20080513,25.01,25.01,25.01,25.01,22509,[0 0]
20080515,25.01,25.02,25.01,25.01,22511,[0 0]
20080519,25.02,25.02,24.25,24.25,73218,[1 1]
20080521,24.25,24.26,24.25,24.25,155202,[1 0]
20080523,27.3,27.3,27.3,27.3,21840,[0 1]
20080526,27.3,27.3,24.24,24.24,12426,[0 1]
20080527,24.24,24.24,24.24,24.24,16968,[0 0]
20080528,24.24,24.25,24.24,24.25,118823,[1 1]
20080529,24.26,24.26,24.26,24.26,2426,[0 1]
20080530,25.0,25.0,24.25,24.25,116004,[1 0]
20080602,24.27,24.27,24.25,24.25,19408,[0 0]
20080603,24.25,24.25,24.2,24.2,101820,[1 0]
20080604,24.2,24.2,24.01,24.01,36072,[1 1]
20080609,24.5,24.5,23.42,23.42,253065,[0 1]
20080610,24.6,24.6,23.42,23.42,19090,[0 0]
20080611,23.43,23.43,23.43,23.43,4686,[0 1]
20080612,24.0,24.0,23.44,23.44,292908,[1 0]
20080613,24.75,24.75,24.75,24.75,2475,[0 0]
20080617,23.44,23.44,23.41,23.41,42170,[1 1]
20080620,23.42,23.42,23.41,23.41,67898,[0 0]
20080623,23.44,24.0,23.44,24.0,23496,[0 0]
20080624,23.9,23.9,23.9,23.9,212710,[0 1]
20080625,23.41,24.0,23.41,24.0,7141,[1 0]
20080626,23.41,23.41,23.41,23.41,2341,[1 1]
20080627,22.02,22.02,22.02,22.02,6606,[0 1]
20080630,22.5,22.5,22.09,22.09,110491,[1 0]
20080701,22.2,23.99,22.2,23.3,32579,[1 0]
20080702,24.0,24.0,22.37,22.37,80695,[1 0]
20080703,22.4,22.4,22.4,22.4,35840,[0 0]
20080704,24.25,24.25,24.2,24.2,242250,[0 0]
20080707,22.46,22.9,22.46,22.9,288630,[1 0]
20080711,22.9,22.9,22.9,22.9,130530,[1 0]
20080714,22.39,22.39,21.42,21.48,90888,[0 1]
20080715,22.5,22.5,22.5,22.5,94500,[0 1]
20080717,22.5,22.5,22.29,22.29,113700,[0 0]
20080718,22.8,22.8,22.8,22.8,2280,[0 0]
20080721,22.9,22.9,22.9,22.9,2290,[0 0]
20080722,22.9,22.9,22.9,22.9,4580,[0 1]
20080723,24.0,24.0,23.03,23.14,247017,[1 0]
20080724,23.02,23.02,23.02,23.02,6906,[1 0]
20080728,22.5,22.5,22.31,22.31,6712,[1 1]
20080729,22.5,22.5,22.2,22.26,33348,[0 0]
20080731,23.15,23.15,23.0,23.0,145650,[0 0]
20080801,22.93,24.73,22.81,24.73,224997,[1 1]
20080806,22.85,22.85,22.85,22.85,11425,[1 1]
20080807,22.85,22.85,22.85,22.85,2285,[1 0]
20080808,22.85,22.85,22.83,22.83,11421,[1 1]
20080811,23.5,23.5,23.5,23.5,21150,[1 0]
20080813,24.0,24.8,24.0,24.8,128751,[1 0]
20080826,23.4,23.4,22.85,22.85,144947,[0 0]
20080827,22.85,22.85,22.85,22.85,13710,[1 0]
20080901,22.86,22.86,22.85,22.85,162304,[1 0]
20080903,20.91,20.91,20.91,20.91,16728,[0 1]
20080910,20.91,20.91,20.9,20.9,16725,[1 0]
20080911,22.1,22.1,22.1,22.1,83980,[0 1]
20080915,22.11,22.11,22.11,22.11,13263,[1 1]
20080917,20.4,20.4,20.35,20.35,16305,[0 0]
20080918,21.0,21.0,20.6,20.6,20640,[0 0]
20080922,23.8,23.8,23.8,23.8,19040,[1 0]
20080923,24.4,24.4,21.5,22.0,1967510,[1 0]
20080924,23.0,24.5,22.0,22.03,227877,[0 1]
20080925,24.49,24.49,24.49,24.49,195920,[1 0]
20080926,22.2,22.2,22.2,22.2,2220,[0 0]
20080930,23.0,23.0,22.99,22.99,229957,[1 0]
20081002,22.1,22.1,22.1,22.1,75140,[1 1]
20081003,22.4,22.4,22.15,22.4,160830,[0 0]
20081006,22.1,22.1,22.01,22.01,77341,[0 1]
20081007,22.01,22.01,22.01,22.01,4402,[0 1]
20081008,22.01,22.01,22.01,22.01,2201,[1 1]
20081010,21.02,21.02,19.0,19.0,31160,[0 1]
20081013,18.02,18.02,18.02,18.02,3604,[0 1]
20081014,19.03,19.03,19.03,19.03,1903,[0 0]
