date,open,max,min,close,volume,y
19980401,0.68,0.68,0.68,0.68,1088000,[0 1]
19980402,0.68,0.68,0.68,0.68,11084000,[0 0]
19980403,0.68,0.7,0.68,0.7,2556000,[0 0]
19980407,0.7,0.7,0.7,0.7,70000,[0 0]
19980413,0.7,0.7,0.7,0.7,140000,[1 0]
19980414,0.68,0.7,0.68,0.7,1040000,[1 0]
19980415,0.7,0.7,0.7,0.7,6300000,[1 1]
19980416,0.7,0.7,0.7,0.7,7210000,[1 1]
19980417,0.69,0.69,0.69,0.69,13800000,[1 0]
19980420,0.7,0.7,0.7,0.7,7700000,[0 0]
19980422,0.7,0.7,0.68,0.68,4250000,[1 0]
19980423,0.7,0.7,0.7,0.7,7000000,[0 0]
19980424,0.7,0.7,0.7,0.7,10360000,[0 0]
19980427,0.75,0.75,0.71,0.71,1164000,[0 0]
19980504,0.73,0.75,0.73,0.75,11319000,[1 0]
19980505,0.8,0.8,0.8,0.8,80000,[0 1]
19980506,0.83,0.83,0.83,0.83,415000,[0 0]
19980507,0.9,0.9,0.89,0.89,268000,[0 1]
19980508,0.89,0.89,0.89,0.89,178000,[1 0]
19980513,0.85,0.85,0.85,0.85,85000,[0 1]
19980514,0.85,0.85,0.85,0.85,510000,[1 0]
19980515,0.89,0.89,0.89,0.89,89000,[0 1]
19980518,0.78,0.78,0.78,0.78,234000,[0 1]
19980522,0.72,0.74,0.72,0.72,1672000,[0 0]
19980525,0.7,0.7,0.7,0.7,280000,[0 0]
19980526,0.7,0.7,0.7,0.7,490000,[0 0]
19980529,0.7,0.7,0.7,0.7,2800000,[1 0]
19980608,0.7,0.7,0.7,0.7,700000,[0 0]
19980615,0.65,0.65,0.6,0.6,1565000,[0 1]
19980629,0.8,0.8,0.8,0.8,80000,[0 0]
19980701,0.75,0.75,0.75,0.75,300000,[1 0]
19980702,0.7,0.7,0.7,0.7,1400000,[0 0]
19980708,0.75,0.75,0.75,0.75,300000,[0 0]
19980710,0.7,0.7,0.7,0.7,350000,[0 0]
19980713,0.7,0.7,0.7,0.7,2100000,[0 0]
19980714,0.7,0.7,0.7,0.7,70000,[0 0]
19980717,0.75,0.75,0.75,0.75,525000,[1 1]
19980721,0.78,0.78,0.78,0.78,156000,[0 0]
19980728,0.65,0.7,0.65,0.7,1000000,[0 1]
19980730,0.61,0.61,0.61,0.61,61000,[0 0]
19980731,0.7,0.7,0.7,0.7,1050000,[0 1]
19980803,0.75,0.75,0.75,0.75,300000,[1 0]
19980807,0.66,0.7,0.66,0.7,272000,[0 0]
19980810,0.61,0.61,0.61,0.61,1220000,[0 0]
19980812,0.63,0.63,0.63,0.63,126000,[0 1]
19980813,0.6,0.6,0.6,0.6,180000,[1 0]
19980814,0.65,0.65,0.65,0.65,650000,[0 1]
19980817,0.6,0.6,0.6,0.6,600000,[1 1]
19980818,0.65,0.65,0.6,0.6,365000,[0 1]
19980819,0.6,0.6,0.6,0.6,600000,[1 1]
19980820,0.58,0.58,0.58,0.58,580000,[1 1]
19980821,0.55,0.55,0.55,0.55,1100000,[0 1]
19980824,0.55,0.55,0.55,0.55,330000,[0 1]
19980825,0.6,0.6,0.6,0.6,300000,[1 1]
19980826,0.6,0.6,0.6,0.6,120000,[0 0]
19980827,0.6,0.6,0.55,0.55,3455000,[1 0]
19980831,0.55,0.55,0.55,0.55,550000,[0 1]
19980902,0.55,0.55,0.55,0.55,330000,[1 0]
19980903,0.6,0.6,0.6,0.6,120000,[1 0]
19980909,0.55,0.55,0.55,0.55,55000,[1 0]
19980911,0.55,0.55,0.55,0.55,55000,[1 1]
19980915,0.55,0.59,0.55,0.59,810000,[0 0]
19980917,0.52,0.52,0.52,0.52,104000,[1 0]
