date,open,max,min,close,volume,y
20040625,50.5,52.79,49.51,52.62,8196876600,[0 1]
20040628,52.99,53.34,50.51,51.0,2814961600,[0 0]
20040629,50.8,52.0,49.9,52.0,2824451000,[0 1]
20040630,51.99,52.1,51.5,52.0,1186612400,[1 1]
20040701,52.0,52.0,51.16,51.98,1931257800,[0 1]
20040702,51.5,51.5,50.0,50.26,1203974200,[0 0]
20040705,50.5,50.5,50.25,50.3,184585500,[0 1]
20040706,49.99,50.8,49.99,50.8,691821400,[0 1]
20040707,50.18,51.4,50.17,51.0,760944700,[1 0]
20040708,50.6,51.23,50.49,50.6,581101700,[1 0]
20040712,50.9,51.0,50.5,51.0,310751800,[0 1]
20040713,50.51,50.99,50.5,50.99,389368200,[1 0]
20040714,50.4,50.7,50.05,50.3,742526000,[1 1]
20040715,50.3,50.5,49.7,49.81,1369687800,[0 0]
20040716,50.0,50.0,49.5,49.9,932996600,[1 0]
20040719,49.5,49.69,49.4,49.41,1165689900,[0 1]
20040720,50.5,52.0,49.9,51.02,617939200,[1 0]
20040721,51.5,52.25,50.8,52.25,1696945500,[1 1]
20040722,51.99,52.0,51.65,51.7,118808300,[1 1]
20040723,51.7,55.0,51.7,52.5,1170120800,[1 0]
20040726,52.1,52.49,51.49,52.49,424306400,[1 0]
20040727,52.5,52.5,51.75,52.0,47223500,[0 1]
20040728,51.65,52.49,51.49,52.49,373099800,[1 0]
20040729,52.5,53.8,51.9,52.8,115962200,[0 0]
20040730,52.5,52.5,51.5,51.55,223996700,[1 1]
20040802,52.0,52.0,51.01,51.7,446129300,[0 1]
20040803,51.7,53.0,51.0,52.98,549446700,[0 0]
20040804,52.0,52.97,52.0,52.48,225954900,[0 1]
20040805,52.3,52.6,52.0,52.0,251374900,[1 0]
20040806,52.11,53.89,51.71,53.88,365249100,[1 0]
20040809,53.88,53.88,51.1,52.9,106978500,[0 1]
20040810,53.8,53.8,51.52,52.4,36154900,[0 0]
20040811,52.6,53.79,52.4,52.9,78775100,[1 1]
20040812,52.9,53.79,52.7,53.77,38983700,[1 0]
20040813,53.65,53.75,53.0,53.75,110787300,[1 1]
20040816,53.79,54.99,53.69,54.99,634279500,[1 0]
20040817,55.0,56.9,55.0,56.79,894271400,[0 0]
20040818,56.7,59.99,56.0,59.0,666106700,[1 1]
20040819,59.0,61.0,57.0,60.01,1549348000,[0 1]
20040820,60.0,63.0,60.0,61.49,1164355000,[1 0]
20040823,61.69,61.9,60.5,60.85,533549700,[0 1]
20040824,60.86,61.49,59.71,61.0,125467500,[0 0]
20040825,61.0,61.3,60.7,60.9,244383500,[0 0]
20040826,60.5,60.5,58.3,59.9,45050700,[1 0]
20040827,60.0,60.0,60.0,60.0,70200000,[0 1]
20040830,59.0,62.0,59.0,61.0,704653200,[0 1]
20040831,62.0,62.0,60.5,61.0,351981600,[0 1]
20040901,61.0,61.0,60.85,60.9,109702500,[0 1]
20040902,60.2,60.9,60.2,60.82,104679600,[1 1]
20040903,60.99,61.0,60.51,60.89,104089600,[0 1]
20040906,60.2,61.0,60.2,61.0,21310000,[0 0]
20040908,61.0,61.0,58.0,60.39,1111114300,[0 1]
20040909,60.09,60.5,59.8,60.5,494680000,[0 0]
20040910,59.99,60.25,58.0,59.99,143083000,[1 1]
20040913,59.99,59.99,58.01,59.0,220696300,[1 1]
20040914,56.5,59.5,56.5,58.61,467888600,[0 0]
20040915,59.48,59.5,58.98,59.0,121594300,[0 1]
20040916,58.51,59.5,58.0,59.1,35911500,[1 0]
20040917,59.5,59.5,58.8,58.8,162597700,[1 0]
20040920,59.99,59.99,59.0,59.05,180121400,[0 0]
20040921,58.99,59.0,58.6,58.6,224130800,[0 1]
20040922,58.65,58.65,57.4,57.41,501254700,[1 1]
20040923,57.59,58.0,57.45,57.5,488447200,[1 1]
