date,open,max,min,close,volume,y
20050621,33.0,33.5,33.0,33.5,5955000,[0 1]
20050623,31.51,33.0,31.5,31.5,7262200,[0 0]
20050624,32.0,32.0,32.0,32.0,960000,[1 1]
20050627,32.0,32.0,31.3,31.3,3450000,[0 0]
20050628,31.3,31.3,31.3,31.3,2191000,[1 1]
20050630,32.0,32.0,32.0,32.0,320000,[0 0]
20050701,33.5,33.5,33.5,33.5,335000,[1 1]
20050704,32.0,33.0,32.0,33.0,3620000,[1 1]
20050707,31.5,31.5,31.4,31.4,1889000,[0 1]
20050708,31.4,31.5,31.4,31.5,1259000,[1 0]
20050721,32.0,33.0,32.0,33.0,1300000,[0 1]
20050727,32.0,32.0,32.0,32.0,320000,[0 0]
20050728,32.0,32.0,32.0,32.0,640000,[0 0]
20050808,32.21,32.21,32.21,32.21,966300,[1 0]
20050816,36.39,38.0,36.39,38.0,3731400,[0 0]
20050817,38.0,39.4,38.0,39.4,1154000,[0 0]
20050818,39.5,39.5,39.5,39.5,2370000,[1 0]
20050824,39.5,39.5,39.5,39.5,1185000,[0 1]
20050906,40.0,40.0,40.0,40.0,2000000,[1 0]
20050909,40.0,41.99,40.0,41.99,4479600,[1 0]
20050912,41.99,41.99,41.99,41.99,419900,[1 0]
20050913,41.9,41.9,41.9,41.9,1676000,[0 0]
20050915,40.08,42.0,40.08,42.0,1240800,[1 1]
20050920,42.0,42.0,42.0,42.0,2100000,[0 1]
20050921,42.0,42.0,42.0,42.0,6300000,[1 1]
20050922,42.0,42.0,42.0,42.0,2100000,[1 1]
20050923,40.5,41.97,40.13,41.97,4133500,[1 0]
20050929,42.0,42.0,42.0,42.0,2100000,[0 0]
20051003,42.0,42.0,42.0,42.0,1680000,[0 0]
20051004,42.0,42.01,42.0,42.0,3780200,[1 1]
20051005,41.0,41.0,41.0,41.0,1230000,[1 0]
20051006,41.0,41.0,41.0,41.0,1640000,[0 0]
20051011,40.25,41.0,40.25,41.0,1625000,[0 0]
20051017,42.5,42.5,42.5,42.5,1275000,[1 1]
20051020,42.1,42.1,42.1,42.1,421000,[1 1]
20051024,42.0,42.0,42.0,42.0,420000,[0 1]
20051031,42.0,42.52,42.0,42.52,2530200,[0 1]
20051101,43.0,46.96,43.0,46.96,3569200,[0 1]
20051103,48.0,48.0,45.14,45.14,931400,[0 0]
20051124,46.11,48.0,46.11,48.0,941100,[0 1]
20051125,48.0,48.0,48.0,48.0,480000,[1 0]
20051128,49.0,49.0,49.0,49.0,490000,[1 1]
20051129,49.0,49.0,49.0,49.0,490000,[1 1]
20051202,49.0,49.0,49.0,49.0,980000,[0 1]
20051205,49.01,49.01,49.0,49.0,980100,[0 0]
20051207,53.0,53.0,53.0,53.0,530000,[1 0]
20051208,54.4,54.4,54.4,54.4,1632000,[1 0]
20051209,54.39,54.4,54.0,54.0,11963900,[1 1]
20051213,55.99,56.0,55.99,56.0,4479900,[0 1]
20051214,58.99,58.99,58.99,58.99,589900,[0 0]
20051215,60.0,60.0,60.0,60.0,6000000,[1 0]
20051219,64.9,64.9,64.9,64.9,649000,[0 1]
20051220,64.92,64.92,64.92,64.92,649200,[1 0]
20051228,69.99,69.99,69.99,69.99,699900,[0 1]
20060103,69.99,69.99,69.99,69.99,699900,[0 1]
20060104,70.0,70.0,68.11,68.11,4161100,[1 0]
20060105,68.1,68.1,68.1,68.1,1362000,[0 0]
20060111,68.1,68.1,68.0,68.0,2723000,[0 0]
20060116,68.01,68.01,68.0,68.0,3400200,[1 1]
20060117,70.0,70.0,69.0,69.0,4150000,[1 0]
20060118,70.0,70.0,70.0,70.0,4900000,[1 0]
20060119,72.0,72.0,72.0,72.0,720000,[0 0]
20060124,72.0,72.0,72.0,72.0,720000,[1 1]
20060201,72.0,72.0,72.0,72.0,1440000,[0 1]
20060202,71.01,71.01,71.0,71.0,2840200,[0 0]
20060206,71.0,71.0,70.98,71.0,9229600,[1 1]
20060209,70.1,71.0,70.05,71.0,2111500,[0 1]
20060215,72.0,72.0,72.0,72.0,720000,[1 1]
20060216,72.0,73.0,72.0,73.0,16590000,[1 1]
20060222,73.0,75.0,73.0,75.0,2959900,[0 1]
20060301,80.0,80.0,80.0,80.0,4000000,[0 1]
20060302,80.0,80.0,80.0,80.0,800000,[0 1]
20060303,83.0,83.0,83.0,83.0,830000,[0 1]
20060320,80.11,82.0,80.11,81.5,71330700,[1 1]
20060322,82.5,83.5,82.5,83.5,6669900,[0 1]
20060327,83.4,83.4,83.4,83.4,834000,[1 0]
20060328,85.0,85.0,85.0,85.0,850000,[0 0]
20060403,82.5,83.4,82.5,83.4,2484000,[0 0]
20060420,75.0,75.0,75.0,75.0,750000,[1 1]
20060424,75.0,75.0,75.0,75.0,750000,[1 0]
20060426,76.08,76.08,75.01,75.01,4522500,[0 0]
20060428,85.0,85.0,85.0,85.0,850000,[1 0]
20060502,82.5,82.5,82.5,82.5,825000,[1 1]
20060504,85.0,87.0,85.0,87.0,5170000,[0 0]
20060508,90.0,90.0,87.5,90.0,2675000,[1 1]
20060509,91.99,91.99,91.99,91.99,1839800,[1 0]
20060510,94.0,95.0,94.0,95.0,7590000,[0 0]
20060525,92.19,92.5,92.19,92.5,2768800,[1 1]
20060529,93.0,93.01,93.0,93.0,7440100,[0 0]
20060530,89.5,89.5,89.05,89.05,1785500,[1 0]
20060602,87.0,87.0,87.0,87.0,870000,[0 1]
20060607,90.0,90.0,90.0,90.0,1800000,[0 0]
20060608,89.0,89.0,89.0,89.0,16910000,[1 0]
20060621,90.0,90.0,90.0,90.0,2700000,[0 0]
20060626,90.0,90.0,90.0,90.0,900000,[0 0]
20060627,92.0,92.0,92.0,92.0,2760000,[0 1]
20060704,94.81,94.81,94.81,94.81,948100,[0 0]
20060706,92.0,92.0,92.0,92.0,1840000,[1 1]
20060710,94.99,94.99,94.99,94.99,949900,[0 0]
20060711,94.0,94.0,94.0,94.0,940000,[1 1]
20060721,87.46,87.46,87.46,87.46,874600,[0 0]
20060724,90.0,90.0,90.0,90.0,2700000,[0 1]
20060725,87.3,87.3,87.3,87.3,1746000,[1 1]
20060727,86.0,86.0,86.0,86.0,1720000,[0 1]
20060728,90.0,90.0,90.0,90.0,2700000,[1 1]
20060731,92.0,92.0,92.0,92.0,920000,[0 1]
20060801,92.0,92.0,92.0,92.0,920000,[0 1]
