date,open,max,min,close,volume,y
20050621,31.55,33.0,31.55,33.0,12910,[0 1]
20050623,31.5,31.5,31.5,31.5,296100,[0 0]
20050624,32.5,32.5,32.5,32.5,253500,[0 0]
20050627,32.0,32.0,31.3,31.3,246660,[1 0]
20050628,31.3,31.3,31.3,31.3,6260,[1 1]
20050630,31.0,31.0,31.0,31.0,306900,[1 0]
20050701,31.0,31.0,31.0,31.0,93000,[0 1]
20050704,32.0,33.0,32.0,33.0,263200,[0 0]
20050706,30.01,30.01,30.01,30.01,3001,[1 1]
20050707,30.02,30.02,30.02,30.02,87058,[0 1]
20050708,31.1,31.1,31.1,31.1,195930,[0 1]
20050721,32.0,32.0,32.0,32.0,54400,[1 0]
20050722,30.1,30.1,30.1,30.1,96320,[1 1]
20050726,31.0,31.0,30.08,30.08,101840,[0 1]
20050727,32.0,32.0,32.0,32.0,201600,[1 0]
20050728,30.0,35.0,30.0,32.0,464110,[1 0]
20050801,30.5,30.5,30.5,30.5,301950,[1 1]
20050803,31.0,31.0,31.0,31.0,18600,[0 0]
20050805,32.0,34.0,32.0,34.0,319800,[0 0]
20050808,32.0,32.0,32.0,32.0,201600,[1 1]
20050809,32.21,32.21,32.21,32.21,3221,[0 1]
20050815,30.5,30.5,30.5,30.5,82350,[0 1]
20050816,32.2,32.2,32.2,32.2,132020,[1 0]
20050817,38.0,38.0,38.0,38.0,79800,[0 1]
20050822,34.08,34.08,34.08,34.08,54528,[1 1]
20050824,38.3,38.3,38.3,38.3,99580,[1 1]
20050909,39.0,41.0,39.0,40.0,534400,[0 1]
20050912,39.02,39.02,39.02,39.02,31216,[1 1]
20050915,40.0,40.0,40.0,40.0,68000,[1 0]
20050920,40.51,40.51,40.51,40.51,8102,[1 1]
20050921,40.08,40.08,40.08,40.08,52104,[1 0]
20050922,40.01,42.0,40.01,42.0,338849,[0 0]
20050923,40.51,40.63,40.02,40.02,1292858,[0 0]
20050927,41.5,41.5,41.5,41.5,112050,[1 0]
20050929,41.5,42.0,41.5,42.0,154900,[0 0]
20051003,41.5,42.0,41.5,42.0,203450,[1 0]
20051004,42.0,42.0,41.01,41.01,218833,[0 0]
20051005,41.01,41.01,41.01,41.01,270666,[1 0]
20051006,40.0,40.0,40.0,40.0,144000,[1 1]
20051010,40.05,40.05,40.05,40.05,40050,[0 1]
20051011,40.2,40.2,40.2,40.2,144720,[1 0]
20051013,40.1,40.1,40.1,40.1,40100,[0 1]
20051014,40.5,40.5,40.5,40.5,81000,[1 1]
20051017,40.5,40.5,40.5,40.5,16200,[0 1]
20051019,41.0,41.0,41.0,41.0,41000,[0 1]
20051020,42.5,42.5,42.5,42.5,38250,[0 1]
20051021,40.28,40.28,40.28,40.28,165148,[1 1]
20051025,40.18,40.18,40.18,40.18,281260,[0 1]
20051031,42.0,42.0,42.0,42.0,281400,[0 1]
20051101,42.9,44.0,42.9,43.0,422910,[0 1]
20051124,46.0,47.0,45.0,47.0,579600,[1 0]
20051125,48.0,48.0,48.0,48.0,393600,[0 1]
20051201,49.0,49.0,49.0,49.0,264600,[1 1]
20051202,45.0,48.0,45.0,48.0,186000,[1 0]
20051205,49.0,49.0,49.0,49.0,656600,[0 0]
20051207,49.0,50.0,49.0,50.0,158200,[1 0]
20051208,53.0,53.0,53.0,53.0,392200,[1 1]
20051209,51.0,54.0,51.0,54.0,341400,[1 0]
20051213,52.0,54.0,52.0,54.0,131400,[1 0]
20051214,58.0,58.0,58.0,58.0,104400,[1 0]
20051221,64.0,64.0,64.0,64.0,115200,[0 1]
20051226,71.0,71.0,71.0,71.0,340800,[0 1]
20060103,68.5,68.5,68.5,68.5,554850,[0 1]
20060105,68.1,68.1,68.1,68.1,401790,[1 0]
20060110,68.1,68.1,68.1,68.1,20430,[0 0]
20060111,68.1,68.1,68.1,68.1,20430,[1 0]
20060113,64.0,64.0,64.0,64.0,307200,[1 0]
20060119,72.0,72.0,72.0,72.0,230400,[1 1]
20060124,72.0,72.0,72.0,72.0,72000,[0 1]
20060126,72.0,72.0,72.0,72.0,36000,[0 1]
20060130,68.0,68.0,68.0,68.0,204000,[0 1]
20060201,72.0,72.0,72.0,72.0,64800,[1 0]
20060203,70.0,70.0,70.0,70.0,217000,[0 0]
20060207,67.0,67.0,67.0,67.0,361800,[1 1]
20060208,65.5,65.5,65.5,65.5,85150,[1 1]
20060209,67.0,67.0,67.0,67.0,194300,[0 1]
20060213,66.75,66.75,66.75,66.75,186900,[1 0]
20060215,70.0,71.0,70.0,71.0,367000,[1 1]
20060216,73.0,73.0,72.99,72.99,240894,[1 0]
20060220,70.0,70.0,70.0,70.0,378000,[1 1]
20060222,71.0,73.0,70.02,70.02,912502,[0 0]
20060320,90.0,90.0,90.0,90.0,540000,[0 1]
20060322,83.0,83.5,80.1,80.1,888070,[0 1]
20060323,78.0,78.0,78.0,78.0,374400,[1 0]
20060327,80.0,80.0,80.0,80.0,480000,[0 1]
20060329,83.4,83.4,80.1,80.1,522300,[0 0]
20060331,80.28,80.28,80.28,80.28,208728,[1 1]
20060403,80.01,85.0,80.0,80.0,845085,[0 1]
20060404,85.0,85.0,85.0,85.0,85000,[0 0]
20060424,78.01,80.0,75.05,75.05,890047,[1 1]
20060425,88.99,88.99,88.99,88.99,88990,[1 0]
20060426,75.01,75.01,75.01,75.01,555074,[0 1]
20060427,76.5,76.5,75.55,75.55,624260,[1 0]
20060428,76.0,76.0,76.0,76.0,228000,[0 1]
20060502,84.99,84.99,84.99,84.99,8499,[1 1]
20060504,87.0,87.0,83.0,83.5,1058700,[0 1]
20060508,87.5,87.5,87.5,87.5,262500,[0 1]
20060509,90.0,90.0,87.0,87.0,977973,[0 0]
20060510,90.0,90.0,90.0,90.0,486000,[1 0]
20060526,88.01,90.0,88.01,90.0,2041254,[0 1]
20060529,93.0,93.0,93.0,93.0,409200,[0 1]
20060530,94.0,94.0,94.0,94.0,225600,[1 0]
20060602,86.0,86.0,86.0,86.0,438600,[1 1]
20060607,83.0,83.0,83.0,83.0,946200,[0 1]
20060608,88.0,90.0,85.01,87.0,663004,[1 1]
20060622,90.0,90.0,90.0,90.0,108000,[0 1]
20060623,97.5,97.5,91.0,91.0,1179100,[0 1]
20060626,90.0,98.99,90.0,98.99,688495,[1 1]
20060718,95.0,95.0,95.0,95.0,237500,[0 1]
20060719,86.0,86.0,86.0,86.0,34400,[0 1]
20060721,86.0,86.0,86.0,86.0,68800,[0 1]
20060724,87.5,87.5,87.5,87.5,341250,[1 1]
20060726,70.0,80.0,70.0,80.0,614000,[0 1]
