date,open,max,min,close,volume,y
20100129,8.75,8.89,8.55,8.77,2568971900,[0 1]
20100201,8.87,8.95,8.6,8.75,1104566300,[1 0]
20100202,8.77,8.9,8.42,8.9,1125660700,[0 1]
20100203,8.85,9.02,8.85,8.99,476916200,[1 1]
20100204,8.98,9.01,8.67,8.89,588687000,[1 1]
20100205,8.8,8.99,8.5,8.6,344172500,[1 1]
20100208,8.85,9.0,8.8,8.95,310541200,[0 0]
20100209,9.0,9.1,8.95,9.0,459529000,[1 0]
20100210,9.09,9.28,9.08,9.28,620751400,[1 0]
20100211,9.25,9.65,9.17,9.65,199804400,[1 0]
20100212,9.55,9.68,9.52,9.68,12689700,[1 1]
20100217,9.73,9.85,9.6,9.85,73546600,[0 0]
20100218,9.71,9.95,9.6,9.95,75184600,[1 0]
20100219,9.89,10.02,9.71,10.01,19483837600,[1 0]
20100222,10.02,10.04,9.9,10.0,89623400,[0 1]
20100223,9.7,9.98,9.7,9.9,495651300,[1 1]
20100224,9.9,9.9,9.75,9.89,937556100,[1 0]
20100225,9.8,10.0,9.7,9.99,94075300,[0 1]
20100226,9.95,10.35,9.61,10.08,289960100,[1 0]
20100301,10.08,10.47,10.08,10.2,160789100,[1 0]
20100302,10.21,10.5,9.9,10.12,225538100,[0 1]
20100303,10.35,10.35,10.05,10.25,122037200,[0 0]
20100304,10.3,10.3,10.09,10.29,257578200,[1 0]
20100305,10.25,10.25,9.93,10.09,450453000,[0 0]
20100308,10.0,10.0,9.91,10.0,46962100,[1 1]
20100309,9.95,9.95,9.76,9.9,130551400,[0 0]
20100310,9.8,10.0,9.69,10.0,288893800,[1 1]
20100311,10.1,10.1,9.89,9.94,174103800,[0 1]
20100312,9.95,10.1,9.94,10.05,811625000,[0 0]
20100315,10.05,10.18,10.01,10.05,47142900,[0 0]
20100316,10.05,10.17,9.8,10.16,89514500,[0 0]
20100317,10.18,10.3,10.15,10.26,485559300,[0 0]
20100318,10.2,10.45,10.2,10.45,153654800,[0 0]
20100319,10.45,10.67,10.44,10.59,418657600,[0 1]
20100322,10.55,10.8,10.44,10.59,368112200,[1 0]
20100323,10.56,10.65,10.4,10.4,303000300,[1 0]
20100324,10.49,10.5,10.34,10.5,1365328700,[1 1]
20100325,10.41,10.55,10.39,10.55,147200700,[0 0]
20100326,10.5,10.55,10.33,10.44,2362881200,[1 1]
20100329,10.5,10.55,10.4,10.5,60172300,[0 0]
20100330,10.5,10.5,10.1,10.45,137456400,[1 1]
20100331,10.37,10.44,10.1,10.35,251543200,[1 1]
20100401,10.45,10.45,10.26,10.4,84086800,[0 1]
20100405,10.49,10.49,10.15,10.15,166489600,[1 0]
20100406,10.06,10.2,10.02,10.12,385287900,[1 0]
20100407,10.3,10.3,10.08,10.19,795927600,[0 0]
20100408,10.19,10.24,10.1,10.19,22561300,[0 0]
20100409,10.22,10.22,10.15,10.19,15678600,[1 0]
20100412,10.01,10.19,10.0,10.0,139765100,[1 0]
20100413,10.1,10.1,9.65,9.9,855001200,[1 1]
20100414,9.97,9.99,9.8,9.99,200447300,[0 0]
20100415,10.0,10.0,9.8,9.99,69512100,[0 1]
20100416,9.99,10.0,9.85,10.0,404550700,[0 0]
20100419,10.0,10.0,9.75,9.8,121078100,[0 1]
20100420,9.89,9.89,9.76,9.84,103429600,[1 1]
20100422,9.84,9.9,9.71,9.83,44781100,[1 1]
20100423,9.79,9.95,9.79,9.95,55703400,[1 1]
20100426,9.75,9.95,9.71,9.95,1262126500,[1 1]
20100427,9.95,9.95,9.61,9.8,528652600,[1 0]
20100428,9.89,9.89,9.5,9.65,45361800,[0 0]
20100429,9.68,9.68,9.64,9.65,73214500,[0 1]
20100430,9.69,9.7,9.6,9.6,50233000,[0 0]
20100513,9.56,9.61,9.5,9.6,536245800,[1 0]
20100514,9.6,9.6,9.4,9.49,64002900,[1 1]
20100517,9.49,9.49,9.33,9.45,305419800,[0 1]
20100518,9.5,9.55,9.35,9.4,519261100,[0 0]
