date,open,max,min,close,volume,y
20100628,20.27,20.7,20.27,20.7,141482600,[0 1]
20100629,20.75,20.75,20.41,20.64,1562198000,[0 0]
20100630,20.7,21.05,20.4,20.76,743253100,[1 1]
20100701,20.8,20.95,20.06,20.5,447353000,[0 0]
20100702,20.6,20.85,20.1,20.1,146177600,[0 0]
20100705,20.2,20.39,19.95,20.18,100218200,[1 0]
20100706,20.39,20.64,20.05,20.57,142535700,[0 1]
20100707,20.5,20.57,20.0,20.34,328176000,[1 0]
20100708,20.6,20.6,20.05,20.05,126852900,[0 1]
20100712,20.0,20.4,18.5,19.9,206847300,[0 0]
20100713,20.01,20.01,19.3,19.49,110685800,[0 1]
20100714,19.69,20.48,19.69,20.46,371541000,[1 1]
20100715,20.59,20.65,20.01,20.39,122564500,[0 1]
20100716,20.19,20.59,20.02,20.35,142262200,[1 0]
20100719,20.6,21.2,20.54,20.95,120271600,[0 0]
20100720,21.2,21.9,21.1,21.9,264170200,[1 0]
20100721,22.0,22.0,21.02,21.57,163937100,[1 1]
20100722,21.6,22.4,21.15,21.3,341276200,[1 1]
20100723,21.1,21.99,21.1,21.9,184925600,[1 0]
20100726,21.95,22.27,21.85,21.85,156292500,[0 0]
20100727,22.15,22.2,21.7,21.82,303898900,[0 1]
20100728,21.9,22.11,21.7,21.7,230791800,[1 1]
20100729,22.0,22.07,21.85,21.9,325108600,[0 1]
20100730,21.45,22.19,21.42,22.19,218426200,[0 1]
20100802,22.29,22.39,22.06,22.35,209062800,[1 0]
20100803,22.35,22.35,22.19,22.2,135008700,[0 1]
20100816,22.2,22.55,22.2,22.5,81314700,[1 1]
20100817,22.62,22.64,22.32,22.6,242392900,[1 1]
20100818,22.6,22.6,22.37,22.6,209400100,[0 1]
20100819,22.68,22.7,22.51,22.6,68466300,[1 1]
20100820,22.55,22.55,22.4,22.48,41786300,[1 1]
20100823,22.47,22.6,22.2,22.5,166926900,[1 1]
20100824,22.23,22.38,21.6,21.8,158244200,[1 1]
20100825,21.62,21.98,21.62,21.9,89588000,[1 1]
20100826,22.05,22.43,22.05,22.18,536251600,[0 0]
20100827,22.47,22.59,22.12,22.36,160644500,[1 1]
20100830,22.48,22.9,22.48,22.87,642942100,[1 1]
20100831,22.92,23.2,22.75,23.2,670145600,[0 0]
20100901,23.38,23.44,23.0,23.02,456271500,[0 1]
20100902,23.0,23.25,22.65,22.82,192837100,[0 1]
20100903,23.0,23.2,22.78,22.8,92632900,[0 1]
20100906,22.72,22.8,22.4,22.4,90734200,[1 0]
20100908,22.4,23.0,22.26,23.0,134441000,[0 0]
20100909,23.0,23.35,23.0,23.25,483756800,[0 0]
20100910,23.3,23.35,23.2,23.27,201890200,[1 1]
20100913,23.39,23.49,22.9,23.0,219739800,[0 1]
20100914,22.92,23.14,22.91,23.14,113808700,[0 1]
20100915,22.7,23.08,22.7,22.87,209612100,[1 0]
20100916,22.6,23.13,22.55,23.13,132556100,[0 0]
20100917,23.3,23.65,23.15,23.65,1001279100,[0 0]
20100920,23.71,23.75,23.41,23.6,157434900,[0 0]
20100921,23.79,23.79,23.41,23.48,47973500,[1 1]
20100922,23.6,23.69,23.35,23.5,40348800,[0 0]
20100923,23.64,23.64,23.39,23.52,1349114600,[1 0]
20100924,23.53,23.68,23.41,23.6,414978900,[1 0]
20100927,23.47,23.78,23.47,23.75,678092000,[1 0]
20100928,23.8,24.0,23.8,23.99,850000900,[1 0]
20100929,24.0,24.1,23.9,23.9,585072000,[1 0]
20100930,23.91,24.2,23.91,24.19,721461900,[0 0]
20101001,24.2,24.5,24.0,24.49,1234069500,[1 0]
20101004,24.48,24.8,24.46,24.8,1575672700,[0 0]
20101005,24.8,25.2,24.8,25.2,2243754700,[0 1]
20101006,25.01,25.59,25.0,25.5,1016317400,[0 0]
20101007,25.8,25.8,25.6,25.8,700916400,[0 1]
20101008,25.78,26.2,25.78,26.0,1762279900,[1 0]
20101011,26.0,26.75,25.42,26.6,273281800,[0 1]
20101013,26.8,27.49,26.8,27.39,1330293400,[1 0]
20101014,28.0,28.3,26.49,27.43,989912400,[1 0]
20101015,27.61,28.0,27.12,27.96,501508300,[1 0]
20101018,27.95,28.1,27.12,27.12,547182100,[0 0]
20101019,27.23,27.49,25.6,26.6,892100200,[1 1]
20101020,26.6,26.9,26.47,26.7,275714000,[1 0]
20101021,26.65,27.71,26.65,27.39,457322800,[1 1]
20101022,27.5,27.89,27.5,27.79,197014000,[0 0]
20101025,28.25,28.25,27.0,27.9,269155000,[1 1]
20101026,28.1,28.1,27.4,27.42,364819300,[1 1]
20101027,28.2,28.2,26.93,27.35,1201130200,[0 0]
20101028,27.4,27.55,26.7,26.82,782892400,[0 1]
20101029,27.39,27.4,26.67,27.4,379312000,[1 1]
20101101,27.4,27.78,27.04,27.38,178542800,[1 1]
20101103,27.38,27.98,27.21,27.62,246473700,[1 1]
20101104,27.8,27.8,27.2,27.3,313469900,[0 0]
20101105,27.29,27.5,27.25,27.44,132241400,[1 1]
20101108,27.35,27.59,27.14,27.59,157079000,[0 0]
20101109,27.4,27.67,27.1,27.55,310988100,[1 1]
20101110,27.45,27.57,26.8,27.55,390202500,[1 1]
20101111,27.28,27.28,26.12,26.48,642147100,[1 1]
20101112,26.0,26.75,25.71,26.25,390832200,[1 0]
20101116,26.23,26.38,25.25,25.52,391293300,[1 0]
20101117,25.59,26.09,25.53,25.95,231712200,[0 1]
20101118,26.6,26.94,26.45,26.89,250583900,[1 1]
20101119,26.31,27.0,26.31,26.73,99880700,[0 0]
20101122,26.31,27.0,26.25,27.0,477898000,[0 0]
20101123,27.15,27.15,26.5,26.7,524917000,[1 0]
20101124,26.67,27.59,26.32,27.28,608803600,[0 0]
20101125,27.54,27.56,27.15,27.45,224564600,[1 1]
20101126,27.13,27.35,26.61,27.35,189919300,[0 0]
20101209,26.28,26.6,25.6,25.8,1251099600,[0 1]
20101210,25.71,25.98,25.4,25.6,638532700,[0 0]
20101223,26.06,26.09,25.15,25.4,885693600,[0 0]
20101227,25.2,25.39,25.05,25.05,577457500,[0 0]
20101228,24.9,25.05,24.6,24.6,579515300,[1 1]
20101229,24.64,24.77,24.44,24.59,1054900100,[1 0]
20101230,24.57,25.3,24.5,25.16,540444400,[1 1]
20110103,25.01,25.85,25.01,25.39,381181300,[1 0]
20110104,25.2,25.78,24.5,24.5,667864000,[1 1]
20110105,24.65,24.7,24.35,24.4,1144043200,[0 0]
20110106,24.51,24.51,24.35,24.51,377094900,[0 0]
20110107,24.97,24.97,24.3,24.3,303376800,[0 0]
20110110,24.16,25.47,24.16,25.38,314745800,[1 0]
20110111,25.49,25.5,24.92,25.3,387517200,[1 0]
20110112,25.45,25.64,25.08,25.5,229147500,[1 0]
20110113,25.63,25.69,25.05,25.05,1305767200,[0 0]
20110114,25.02,25.49,24.96,25.49,345284100,[0 1]
20110117,25.5,25.5,24.86,25.25,226945400,[0 1]
20110118,25.23,25.43,24.86,25.4,105884800,[1 1]
20110119,25.48,25.48,24.87,25.2,86435900,[0 1]
20110120,25.1,25.34,24.86,24.86,137572100,[1 0]
20110121,24.85,25.07,24.35,24.47,347899700,[0 1]
20110124,24.47,25.15,24.33,25.15,118048500,[1 1]
20110126,25.13,25.13,23.5,23.5,371801000,[0 0]
20110127,23.65,23.65,21.8,22.55,1664959800,[0 1]
20110128,22.55,22.55,21.9,21.95,1317018400,[1 1]
20110131,22.19,22.24,21.32,21.85,399878400,[1 0]
20110201,21.84,22.75,21.84,22.35,503584700,[0 1]
20110202,22.42,22.9,22.0,22.3,428065200,[1 0]
20110203,22.4,22.4,21.95,21.95,607312700,[0 1]
20110204,22.49,22.49,19.98,21.06,976089300,[0 0]
