date,open,max,min,close,volume,y
20070814,130.06,132.76,128.3,129.51,5570482500,[0 0]
20070815,128.3,129.0,120.0,125.0,8525496000,[0 1]
20070816,118.0,120.0,112.0,120.0,11109465000,[1 1]
20070817,121.0,123.5,116.4,118.16,10246644400,[1 1]
20070820,120.0,126.5,119.0,125.47,6973045900,[1 0]
20070821,126.0,128.09,123.49,127.0,6784268800,[1 1]
20070822,129.99,130.33,127.5,128.5,3556250100,[1 0]
20070823,130.9,130.98,124.5,129.0,6175345000,[0 0]
20070824,128.89,130.0,126.59,130.0,2954393100,[0 0]
20070827,130.0,130.49,128.06,130.29,1858671700,[1 1]
20070828,129.0,129.98,126.37,127.7,5413739700,[0 0]
20070829,127.8,131.45,126.5,130.99,3446910300,[0 0]
20070830,130.97,135.48,129.55,132.85,4986271600,[1 1]
20070831,135.78,137.87,134.94,136.0,6764769900,[1 0]
20070903,134.01,135.99,134.01,135.5,949930100,[0 1]
20070904,135.5,138.51,133.65,133.65,5428483000,[1 0]
20070905,133.49,133.99,131.0,133.0,4865431300,[1 0]
20070906,134.0,135.0,130.9,130.9,4530335900,[0 1]
20070910,128.99,130.09,124.66,127.3,4606453600,[1 0]
20070911,128.01,129.9,126.8,128.69,4533487300,[0 1]
20070912,128.5,131.59,127.5,131.59,3724882900,[0 0]
20070913,131.0,132.98,129.74,131.2,2320080300,[1 1]
20070914,131.1,132.95,129.36,129.36,1897970400,[1 1]
20070917,129.36,131.29,128.01,128.4,3910675900,[0 0]
20070918,130.98,130.98,127.02,128.3,6733523300,[0 0]
20070919,131.0,134.48,129.8,132.0,6778127700,[0 0]
20070920,134.48,135.94,131.99,133.11,7919048900,[0 0]
20070921,134.01,136.22,133.61,135.5,6264043100,[1 0]
20070924,136.0,136.0,132.7,133.01,7270948500,[0 0]
20070925,133.1,133.1,129.8,131.35,6723717000,[1 0]
20071008,146.16,146.94,144.21,145.5,3659166800,[0 1]
20071009,146.2,146.49,143.92,145.7,8277074000,[1 0]
20071010,145.68,145.69,141.05,142.2,6623674400,[1 1]
20071011,144.4,145.0,140.13,142.4,3749031600,[0 0]
20071015,142.21,143.7,138.1,139.5,5866799300,[1 0]
20071016,138.1,139.0,135.0,135.0,4380398300,[1 0]
20071017,137.16,140.5,137.0,140.4,5266773200,[0 0]
20071018,139.4,144.89,136.5,142.5,3882861100,[1 0]
20071019,141.03,142.4,137.51,138.17,4872133400,[1 0]
20071022,136.31,139.99,136.0,138.01,6128883400,[1 0]
20071023,139.0,143.79,139.0,142.26,5191694600,[0 1]
20071024,142.27,142.7,139.0,140.89,4443547500,[0 0]
20071025,141.5,142.7,137.59,137.6,4972269800,[0 0]
20071026,141.34,141.34,138.11,138.81,3843469400,[0 1]
20071029,140.71,142.3,140.07,140.75,5006968200,[0 1]
20071030,141.99,143.35,141.01,141.3,4686949800,[0 1]
20071031,143.0,144.48,140.76,143.0,5120036700,[1 0]
20071101,142.5,143.99,141.0,143.0,4599694900,[1 0]
20071105,142.82,142.82,139.55,141.89,8959680000,[1 0]
20071106,142.65,144.28,141.6,141.7,3417603500,[1 0]
20071107,141.69,142.0,139.52,139.52,3786660000,[1 1]
20071108,139.6,139.7,130.28,132.0,15536234400,[0 0]
