date,open,max,min,close,volume,y
20071029,14.01,16.94,14.01,16.27,21316697700,[0 1]
20071030,15.8,16.19,15.5,15.5,1488821900,[0 1]
20071031,15.8,16.9,15.5,16.9,3520657700,[1 1]
20071101,16.58,16.6,16.15,16.2,623535800,[0 0]
20071105,16.2,16.75,15.7,16.65,431827200,[0 1]
20071106,16.65,17.5,16.64,17.15,336706400,[1 0]
20071107,17.15,17.5,17.05,17.29,226495700,[0 0]
20071108,17.15,17.4,16.85,17.01,1409866200,[1 0]
20071109,17.0,17.0,16.42,17.0,189039000,[0 0]
20071112,17.0,17.0,16.2,16.35,137242600,[1 1]
20071113,16.5,16.85,16.35,16.6,18922600,[1 1]
20071114,16.74,17.3,16.5,17.3,996793300,[1 1]
20071116,17.3,17.3,16.75,17.0,3839921600,[1 1]
20071119,17.15,17.15,15.65,15.9,568610100,[0 1]
20071121,15.99,15.99,15.22,15.6,1409826400,[0 0]
20071122,15.8,15.8,15.4,15.8,245713500,[1 0]
20071123,15.9,16.0,15.3,15.55,723508800,[1 0]
20071126,15.79,15.79,15.06,15.21,557661300,[0 1]
20071127,15.07,15.2,14.82,15.2,967249800,[0 0]
20071128,15.2,15.99,15.17,15.5,949316800,[1 0]
20071129,15.35,15.65,15.35,15.63,377191400,[0 0]
20071130,15.8,15.8,15.3,15.7,256592100,[1 1]
20071203,15.8,15.9,15.7,15.89,170149700,[0 1]
20071204,15.5,16.5,15.5,16.2,777355600,[0 0]
20071205,16.21,16.79,16.21,16.5,620604700,[0 0]
20071206,16.36,16.8,16.36,16.58,700775400,[0 0]
20071207,16.78,16.78,16.5,16.6,102408000,[0 1]
20071210,16.51,16.7,16.2,16.5,165699200,[0 1]
20071211,16.55,16.85,16.55,16.68,593225600,[1 1]
20071212,16.6,16.69,16.07,16.29,34617800,[1 0]
20071213,16.0,16.2,15.0,15.85,1186472700,[1 0]
20071214,15.85,16.0,15.8,15.89,393802600,[1 0]
20071217,15.6,16.15,15.5,15.89,505023100,[0 0]
20071218,15.9,16.0,15.75,15.9,569987200,[0 0]
20071219,15.02,16.0,15.02,15.9,826985900,[0 0]
20071220,16.11,16.15,15.0,15.65,195504600,[1 1]
20071221,16.1,16.1,15.84,15.9,261876900,[0 0]
20071226,15.95,15.95,15.75,15.9,103347000,[1 0]
20071227,15.75,15.9,15.75,15.9,54967600,[0 0]
20071228,15.65,16.3,15.2,16.3,398702300,[0 1]
20080102,15.9,16.47,15.9,15.9,371807000,[0 0]
20080103,15.7,15.8,15.27,15.27,120000000,[0 0]
20080104,15.28,15.28,14.65,14.8,216588600,[0 1]
20080107,15.5,15.8,14.99,15.0,99926400,[0 0]
20080108,15.2,15.24,15.0,15.24,48459000,[0 0]
20080109,15.0,15.22,14.95,15.11,328615500,[1 0]
20080110,15.45,15.89,15.3,15.45,132393200,[1 1]
20080111,15.0,15.45,14.9,15.0,2330182900,[1 1]
20080114,14.95,15.15,14.9,15.0,755006400,[0 0]
20080115,15.0,15.0,14.5,14.5,927814700,[0 1]
20080116,14.25,14.26,14.25,14.26,910626200,[0 0]
20080117,14.0,14.25,13.95,14.0,1365771400,[0 1]
20080118,14.0,14.0,13.3,13.75,870323100,[0 1]
20080121,13.3,13.3,12.3,12.3,213864500,[1 0]
20080122,12.5,12.5,12.0,12.45,263740500,[1 1]
20080123,12.5,12.8,11.6,12.05,231198500,[0 0]
20080124,12.7,12.7,12.25,12.5,1492025600,[1 1]
20080128,12.3,12.8,12.06,12.66,765789400,[0 1]
20080129,12.8,13.5,12.8,13.25,158638200,[0 1]
20080130,13.17,14.49,13.17,14.26,385798900,[1 1]
20080131,14.0,14.2,14.0,14.05,373618300,[1 1]
