date,open,max,min,close,volume,y
20131028,19.5,19.5,19.06,19.21,8155427800,[0 0]
20131029,19.2,19.25,18.85,18.93,1137099400,[1 1]
20131030,18.8,18.8,18.51,18.51,949943300,[1 1]
20131031,18.3,19.31,18.3,19.18,1857276500,[0 1]
20131101,18.93,19.97,18.89,19.9,350265700,[1 0]
20131104,20.29,21.28,20.11,20.98,1094168100,[0 1]
20131105,20.97,21.59,20.8,21.5,401212400,[1 0]
20131106,21.51,21.89,20.85,20.88,149635100,[0 0]
20131107,20.88,21.5,20.88,21.5,225803500,[0 1]
20131108,21.5,21.7,21.18,21.54,195594200,[1 0]
20131111,21.4,21.53,21.38,21.53,18502100,[0 0]
20131112,21.4,21.53,21.17,21.45,497546900,[0 0]
20131113,21.45,21.65,21.35,21.65,99581600,[0 0]
20131114,21.65,21.99,21.45,21.99,241873500,[0 0]
20131118,22.0,22.09,21.73,21.84,501076000,[0 1]
20131119,21.85,21.85,21.02,21.75,301346400,[0 1]
20131121,21.49,21.65,21.02,21.02,418872200,[1 1]
20131122,21.14,21.29,20.32,20.62,369059500,[1 1]
20131125,20.52,21.05,20.44,20.7,112666500,[0 1]
20131126,21.04,21.64,20.21,21.64,182840500,[0 0]
20131127,21.45,21.64,21.22,21.6,102100100,[0 0]
20131128,21.6,21.65,21.35,21.55,111835200,[0 0]
20131129,21.35,21.75,21.26,21.55,120249500,[0 1]
20131202,21.1,21.43,21.01,21.43,97282300,[0 0]
20131203,21.06,21.29,20.56,20.99,273677400,[0 1]
20131204,20.51,20.99,20.5,20.75,229218900,[1 1]
20131205,20.24,21.0,20.11,20.7,386247000,[1 0]
20131206,20.6,20.6,20.08,20.6,208739500,[0 0]
20131209,20.45,20.45,20.18,20.3,362495100,[0 1]
20131210,20.26,20.31,19.64,20.09,1085309800,[0 0]
20131211,20.05,20.16,19.94,20.11,651840000,[0 0]
20131212,20.01,20.21,19.8,20.05,446478800,[1 0]
20131213,20.01,20.55,20.01,20.55,763440900,[0 1]
20131216,20.54,20.78,20.36,20.78,547320200,[1 1]
20131217,20.69,21.0,20.69,21.0,719515600,[0 0]
20131218,21.11,21.39,20.68,21.39,701890700,[0 0]
20131219,21.24,21.9,21.23,21.9,468160900,[0 1]
20131220,21.89,21.99,21.03,21.68,1122487200,[0 0]
20131223,21.67,21.9,21.48,21.9,299564300,[0 1]
20131226,21.89,21.9,21.5,21.5,164945500,[1 1]
