date,open,max,min,close,volume,y
19980324,0.97,0.97,0.97,0.97,97000,[0 1]
19980325,0.93,0.93,0.93,0.93,3813000,[0 1]
19980326,0.95,0.95,0.95,0.95,95000,[1 1]
19980401,0.84,0.84,0.84,0.84,7980000,[0 0]
19980414,0.88,0.88,0.85,0.87,10093000,[0 0]
19980415,0.95,0.95,0.9,0.9,275000,[0 0]
19980417,0.95,0.95,0.95,0.95,95000,[0 0]
19980504,0.91,0.91,0.91,0.91,455000,[0 1]
19980519,0.88,0.88,0.86,0.86,1048000,[1 0]
19980602,0.75,0.75,0.75,0.75,300000,[0 0]
19980603,0.75,0.75,0.75,0.75,75000,[0 0]
19980608,0.75,0.75,0.75,0.75,75000,[0 1]
19980609,0.75,0.75,0.75,0.75,75000,[0 1]
19980622,0.74,0.74,0.74,0.74,1850000,[1 0]
19980623,0.74,0.74,0.74,0.74,1480000,[0 0]
19980624,0.74,0.74,0.74,0.74,740000,[0 1]
19980626,0.8,0.8,0.8,0.8,80000,[1 1]
19980630,0.87,0.87,0.87,0.87,87000,[1 1]
19980825,0.7,0.7,0.7,0.7,840000,[0 1]
19980911,0.69,0.69,0.69,0.69,276000,[0 0]
19981021,0.6,0.6,0.6,0.6,600000,[0 0]
19981030,0.6,0.6,0.6,0.6,60000,[1 0]
19981104,0.49,0.49,0.49,0.49,245000,[0 1]
19981106,0.41,0.41,0.37,0.37,2337000,[0 0]
19981117,0.45,0.45,0.45,0.45,90000,[0 0]
19981124,0.45,0.45,0.45,0.45,540000,[1 1]
19981130,0.46,0.46,0.46,0.46,598000,[1 0]
19981201,0.48,0.48,0.48,0.48,480000,[1 0]
19981203,0.48,0.48,0.48,0.48,96000,[1 1]
19981208,0.46,0.47,0.46,0.46,419000,[0 0]
19981209,0.47,0.47,0.45,0.45,415000,[1 0]
19981218,0.45,0.45,0.45,0.45,90000,[1 0]
19990119,0.79,0.79,0.79,0.79,79000,[0 0]
19990121,0.8,0.8,0.8,0.8,1440000,[0 1]
19990122,1.0,1.0,1.0,1.0,5100000,[1 1]
19990126,1.1,1.1,1.1,1.1,110000,[0 0]
19990127,1.2,1.2,1.2,1.2,960000,[0 1]
19990128,1.2,1.2,1.2,1.2,480000,[1 1]
19990129,1.4,1.45,1.4,1.45,3615000,[0 0]
19990201,1.4,1.4,1.4,1.4,1120000,[1 0]
19990202,1.25,1.25,1.2,1.2,2340000,[0 1]
19990203,1.11,1.11,1.05,1.09,2132000,[1 0]
19990204,0.9,0.9,0.9,0.9,180000,[1 0]
19990208,1.1,1.1,1.1,1.1,1100000,[0 0]
19990225,1.05,1.05,1.05,1.05,1050000,[1 1]
19990303,1.05,1.05,1.05,1.05,525000,[0 0]
19990309,1.1,1.1,1.1,1.1,220000,[0 0]
19990315,1.05,1.05,1.05,1.05,525000,[0 1]
19990316,1.05,1.05,1.05,1.05,1575000,[0 0]
19990317,1.01,1.01,1.01,1.01,505000,[0 0]
19990413,1.0,1.0,1.0,1.0,1500000,[0 1]
19990414,1.1,1.1,1.1,1.1,6930000,[0 0]
19990415,1.1,1.2,1.1,1.2,3820000,[1 0]
19990416,1.2,1.3,1.2,1.3,1250000,[0 0]
19990507,1.2,1.2,1.2,1.2,240000,[0 1]
19990511,1.25,1.25,1.25,1.25,250000,[1 1]
19990512,1.25,1.25,1.25,1.25,625000,[0 1]
19990513,1.3,1.3,1.3,1.3,650000,[1 0]
19990519,1.35,1.35,1.35,1.35,135000,[0 0]
19990524,1.2,1.2,1.2,1.2,960000,[0 0]
19990526,1.2,1.2,1.2,1.2,960000,[1 0]
19990527,1.25,1.25,1.25,1.25,125000,[0 0]
19990601,1.25,1.25,1.25,1.25,375000,[1 0]
19990608,1.3,1.3,1.3,1.3,650000,[0 0]
19990615,1.3,1.3,1.3,1.3,130000,[1 0]
19990617,1.3,1.3,1.3,1.3,21320000,[1 1]
19990618,1.3,1.3,1.3,1.3,48360000,[0 0]
19990621,1.3,1.35,1.3,1.3,50715000,[0 0]
19990622,1.3,1.38,1.3,1.38,74514000,[1 0]
19990623,1.45,1.55,1.39,1.46,8041000,[0 1]
19990624,1.45,1.52,1.4,1.5,12613000,[1 1]
19990625,1.45,1.45,1.4,1.4,8965000,[1 0]
19990628,1.45,1.45,1.4,1.4,2150000,[0 0]
19990629,1.43,1.43,1.4,1.4,1418000,[0 1]
19990630,1.4,1.43,1.4,1.43,2834000,[0 1]
19990701,1.45,1.61,1.45,1.6,8373000,[1 0]
19990702,1.65,2.05,1.65,2.0,23046000,[1 0]
19990705,2.0,2.05,1.96,1.96,2992000,[1 1]
19990706,2.0,2.0,1.85,1.85,1342000,[1 1]
19990707,1.85,1.97,1.85,1.97,3571000,[0 0]
19990714,1.61,1.65,1.61,1.65,4230000,[0 0]
19990715,1.65,1.65,1.65,1.65,1650000,[0 1]
19990719,1.75,1.75,1.75,1.75,175000,[0 0]
19990720,1.82,1.85,1.71,1.85,888000,[1 1]
19990721,1.83,1.83,1.65,1.65,2655000,[1 0]
19990722,1.7,1.8,1.7,1.8,2975000,[0 0]
19990723,1.7,1.7,1.7,1.7,170000,[0 0]
19990727,1.61,1.61,1.61,1.61,805000,[1 0]
19990728,1.5,1.5,1.5,1.5,150000,[0 0]
19990729,1.6,1.6,1.6,1.6,320000,[0 0]
19990730,1.75,1.75,1.75,1.75,175000,[0 0]
19990806,1.7,1.7,1.7,1.7,1700000,[1 0]
19990811,1.69,1.7,1.69,1.7,1017000,[1 0]
19990812,1.8,1.8,1.7,1.7,3580000,[0 0]
19990817,1.8,1.8,1.6,1.6,3550000,[1 0]
19990818,1.6,1.6,1.6,1.6,160000,[1 0]
19990819,1.7,1.79,1.7,1.79,1029000,[1 0]
19990820,1.75,1.8,1.7,1.7,10805000,[0 1]
19990823,1.6,1.7,1.6,1.7,6910000,[1 1]
19990824,1.7,1.7,1.7,1.7,2040000,[1 0]
19990825,1.7,1.7,1.66,1.66,2870000,[0 0]
19990826,1.61,1.61,1.6,1.6,2245000,[0 1]
19990827,1.61,1.65,1.61,1.61,652000,[1 1]
19990830,1.61,1.61,1.6,1.6,3842000,[0 1]
19990831,1.6,1.6,1.6,1.6,480000,[0 0]
19990901,1.6,1.7,1.6,1.7,2090000,[0 1]
19990903,1.61,1.61,1.6,1.6,1446000,[0 1]
19990906,1.62,1.62,1.6,1.6,1612000,[0 0]
19990908,1.61,1.61,1.6,1.6,5925000,[0 0]
19990909,1.6,1.6,1.6,1.6,800000,[0 0]
19990910,1.75,1.75,1.6,1.69,5375000,[0 1]
19990913,1.74,1.74,1.73,1.73,1212000,[0 0]
19990914,1.75,1.8,1.71,1.8,4890000,[0 1]
19990915,1.8,1.84,1.8,1.8,3268000,[0 1]
19990916,1.83,1.85,1.82,1.85,5293000,[1 1]
19990917,1.85,1.89,1.82,1.89,5500000,[0 1]
19990924,1.78,1.82,1.78,1.82,894000,[0 0]
19990927,1.8,1.8,1.8,1.8,360000,[0 0]
19990928,1.8,1.8,1.8,1.8,900000,[0 0]
19990929,1.8,1.8,1.8,1.8,180000,[0 0]
19991001,1.85,1.85,1.8,1.8,7531000,[0 1]
19991004,1.8,1.81,1.8,1.81,542000,[0 0]
19991005,1.8,1.8,1.8,1.8,360000,[1 0]
19991006,1.8,1.8,1.75,1.8,4659000,[1 0]
19991007,1.8,1.8,1.76,1.76,9680000,[0 0]
19991013,1.71,1.79,1.71,1.79,521000,[0 1]
19991014,1.71,1.75,1.71,1.75,2605000,[0 0]
19991015,1.75,1.75,1.75,1.75,875000,[0 1]
19991018,1.75,1.75,1.71,1.71,2596000,[1 1]
19991019,1.75,1.8,1.75,1.8,3542000,[0 0]
19991020,1.8,1.8,1.8,1.8,10440000,[0 0]
19991021,1.81,1.81,1.81,1.81,362000,[0 1]
19991022,1.85,1.85,1.85,1.85,185000,[0 1]
19991025,1.85,1.85,1.85,1.85,925000,[0 0]
19991026,1.83,1.85,1.83,1.85,10720000,[0 0]
19991027,1.84,1.85,1.84,1.85,7391000,[0 0]
19991028,1.9,1.9,1.85,1.85,1880000,[1 1]
19991029,1.86,1.87,1.84,1.87,4073000,[1 0]
19991103,1.87,1.87,1.87,1.87,561000,[0 0]
19991104,1.87,1.9,1.87,1.87,14070000,[1 1]
19991105,1.87,1.92,1.87,1.9,6470000,[0 1]
19991108,1.92,1.95,1.9,1.92,22491000,[0 0]
19991109,1.91,2.05,1.91,2.0,26488000,[1 0]
19991110,2.18,2.18,2.18,2.18,218000,[1 0]
19991111,2.0,2.0,2.0,2.0,3200000,[0 0]
19991112,1.98,2.05,1.97,1.97,2794000,[0 0]
19991116,1.96,2.0,1.96,1.96,2378000,[1 0]
19991117,1.96,1.96,1.96,1.96,1176000,[1 0]
19991119,1.96,2.0,1.96,2.0,4129000,[0 0]
19991122,2.0,2.1,2.0,2.0,4675000,[1 0]
19991123,2.05,2.05,2.04,2.04,1843000,[0 1]
19991126,2.05,2.09,2.05,2.08,15906000,[1 0]
19991129,2.0,2.04,2.0,2.03,3426000,[0 1]
19991130,2.08,2.08,2.08,2.08,1040000,[0 0]
19991201,2.01,2.01,2.0,2.0,2605000,[1 0]
19991202,2.05,2.15,2.05,2.15,11281000,[0 1]
19991203,2.2,2.4,2.2,2.2,14405000,[0 0]
19991206,2.23,2.23,2.22,2.22,9770000,[0 0]
19991207,2.22,2.24,2.22,2.24,2686000,[0 0]
19991208,2.22,2.22,2.22,2.22,2457000,[0 0]
19991209,2.25,2.25,2.2,2.2,3531000,[1 0]
19991210,2.21,2.21,2.18,2.18,3081000,[1 1]
19991214,2.11,2.11,2.11,2.11,211000,[0 0]
19991215,2.2,2.2,2.08,2.08,6244000,[1 0]
19991216,2.1,2.1,2.1,2.1,3150000,[0 1]
19991217,2.06,2.06,1.98,1.99,12342000,[0 1]
19991220,2.0,2.0,1.98,1.98,7996000,[1 1]
19991221,2.0,2.05,2.0,2.02,10754000,[1 0]
19991222,2.1,2.1,2.1,2.1,1470000,[0 0]
19991223,2.3,2.3,2.11,2.11,1764000,[1 0]
19991227,2.1,2.1,2.1,2.1,210000,[1 1]
19991228,2.1,2.1,2.1,2.1,5040000,[0 0]
19991229,2.1,2.1,2.1,2.1,7350000,[0 0]
20000412,2.0,2.0,2.0,2.0,2200000,[1 0]
20000414,1.9,1.9,1.8,1.8,5680000,[0 1]
20000802,2.15,2.15,2.15,2.15,3225000,[0 0]
20000809,2.1,2.1,2.05,2.05,6670000,[1 0]
20000810,2.0,2.0,2.0,2.0,200000,[0 0]
20000811,2.0,2.0,2.0,2.0,200000,[0 0]
20000515,1.9,1.9,1.9,1.9,1330000,[0 0]
20000502,1.85,1.85,1.85,1.85,555000,[0 0]
20000503,1.91,1.91,1.85,1.85,6768000,[1 1]
20000504,1.85,1.85,1.77,1.77,1833000,[1 0]
20000509,1.95,1.95,1.95,1.95,1950000,[1 0]
20000505,1.92,1.92,1.92,1.92,192000,[1 0]
20000516,1.9,2.05,1.9,2.05,3450000,[1 0]
20000522,1.8,1.85,1.75,1.85,5798000,[0 0]
20000524,1.71,1.71,1.71,1.71,513000,[1 1]
20000525,1.71,1.71,1.7,1.7,4762000,[0 1]
20000529,1.8,1.8,1.8,1.8,1620000,[0 1]
20000530,1.7,1.7,1.7,1.7,850000,[0 1]
20000531,1.85,1.85,1.85,1.85,185000,[1 0]
20000613,1.81,1.81,1.8,1.8,3610000,[0 0]
20000614,1.8,1.98,1.8,1.95,6697000,[0 1]
20000615,1.9,1.9,1.9,1.9,7600000,[0 0]
20000616,1.85,1.9,1.8,1.8,9090000,[1 1]
20000620,1.85,1.85,1.8,1.85,5175000,[0 1]
20000621,1.9,1.9,1.9,1.9,950000,[0 0]
20000623,2.0,2.0,2.0,2.0,7200000,[0 0]
20000626,2.05,2.05,2.05,2.05,1025000,[0 1]
20000627,2.05,2.05,2.05,2.05,5535000,[1 0]
20000629,2.0,2.05,2.0,2.05,12542000,[0 0]
20000703,2.04,2.05,2.04,2.05,2662000,[1 1]
20000704,2.05,2.05,2.05,2.05,1230000,[0 0]
20000705,2.05,2.1,2.05,2.1,7010000,[0 1]
20000706,2.09,2.15,2.09,2.15,14464000,[0 0]
20000707,2.15,2.2,2.15,2.2,3050000,[0 0]
20000711,2.11,2.11,2.11,2.11,2110000,[1 1]
20000712,2.19,2.2,2.19,2.2,4391000,[0 1]
20000713,2.2,2.2,2.2,2.2,2860000,[0 1]
20000714,2.2,2.21,2.15,2.2,21245000,[0 1]
20000717,2.17,2.19,2.15,2.19,7592000,[1 0]
20000718,2.2,2.22,2.2,2.2,7710000,[0 0]
20000719,2.2,2.2,2.19,2.19,1535000,[1 0]
20000720,2.22,2.25,2.21,2.25,8696000,[0 1]
20000721,2.25,2.25,2.25,2.25,900000,[0 1]
20000724,2.3,2.3,2.25,2.25,2980000,[1 0]
20000725,2.25,2.25,2.2,2.2,1565000,[0 0]
20000728,2.15,2.15,2.15,2.15,1075000,[1 0]
20000801,2.15,2.15,2.15,2.15,2150000,[0 1]
20000815,2.05,2.1,2.05,2.1,6266000,[0 0]
20000816,2.1,2.1,2.05,2.05,2060000,[1 1]
20000817,2.19,2.19,2.1,2.1,8934000,[1 0]
20000818,2.1,2.1,2.1,2.1,1260000,[0 1]
20000821,2.1,2.1,2.1,2.1,420000,[0 1]
20000822,2.11,2.11,2.1,2.1,21730000,[0 1]
20000823,2.15,2.15,2.15,2.15,5160000,[1 0]
20000828,2.1,2.1,2.1,2.1,1050000,[0 1]
20000830,2.23,2.23,2.23,2.23,11150000,[1 1]
20000831,2.24,2.24,2.24,2.24,1568000,[0 0]
20000901,2.3,2.3,2.3,2.3,1610000,[1 1]
20000904,2.3,2.3,2.3,2.3,2300000,[0 0]
20000905,2.35,2.35,2.34,2.35,3750000,[1 0]
20000906,2.35,2.35,2.35,2.35,235000,[0 1]
20000912,2.32,2.32,2.32,2.32,1160000,[0 1]
20000913,2.25,2.25,2.17,2.23,9508000,[1 1]
20000914,2.2,2.2,2.2,2.2,220000,[1 0]
20000915,2.1,2.1,2.05,2.05,2070000,[0 0]
20000918,2.05,2.05,2.0,2.0,3615000,[1 1]
20000920,2.0,2.0,2.0,2.0,2200000,[0 0]
20000921,2.0,2.0,2.0,2.0,2000000,[0 0]
20000922,1.96,1.96,1.95,1.95,2345000,[1 0]
20000928,2.0,2.0,2.0,2.0,3000000,[1 1]
20000929,2.0,2.0,2.0,2.0,1600000,[0 0]
20001002,1.95,1.95,1.8,1.8,2105000,[0 0]
20001003,1.9,1.9,1.9,1.9,1140000,[0 0]
20001009,1.9,1.9,1.9,1.9,2090000,[1 1]
20001010,2.0,2.0,2.0,2.0,2200000,[0 1]
20001013,2.0,2.0,2.0,2.0,1800000,[0 0]
20001016,2.0,2.0,2.0,2.0,1600000,[0 0]
20001017,1.86,1.86,1.85,1.85,1855000,[0 0]
20001018,1.85,1.85,1.81,1.81,2743000,[0 1]
20001023,1.86,1.9,1.86,1.9,2830000,[0 0]
20001024,1.85,1.85,1.8,1.8,2910000,[0 1]
20001025,1.8,1.8,1.8,1.8,3600000,[0 0]
20001026,1.8,1.85,1.8,1.8,2365000,[0 0]
20001027,1.85,1.85,1.85,1.85,740000,[0 1]
20001101,1.97,2.0,1.97,2.0,3385000,[1 0]
20001103,2.03,2.03,2.02,2.02,2223000,[0 1]
20001107,2.0,2.0,2.0,2.0,1000000,[1 1]
20001108,2.0,2.0,2.0,2.0,200000,[0 1]
20001109,2.0,2.0,2.0,2.0,200000,[1 1]
20001116,2.01,2.01,2.0,2.0,1205000,[0 1]
20001117,2.0,2.0,2.0,2.0,400000,[1 0]
20001120,2.05,2.05,2.05,2.05,1845000,[1 0]
20001121,2.01,2.03,2.01,2.03,2020000,[0 1]
20001122,2.05,2.05,2.05,2.05,1025000,[1 0]
20001123,2.05,2.05,2.05,2.05,820000,[1 0]
20001127,2.0,2.0,2.0,2.0,400000,[1 1]
20001128,2.0,2.0,2.0,2.0,2000000,[0 1]
20001129,2.0,2.0,2.0,2.0,4000000,[1 0]
20001130,2.0,2.0,1.95,1.95,6975000,[0 0]
20001201,1.94,1.94,1.94,1.94,1940000,[1 0]
20001204,1.95,1.95,1.95,1.95,195000,[1 0]
20001205,1.97,1.97,1.97,1.97,5910000,[1 1]
20001208,2.0,2.0,2.0,2.0,800000,[0 0]
20001220,2.05,2.05,2.0,2.0,9225000,[1 0]
20001221,2.0,2.0,2.0,2.0,200000,[0 1]
20001222,2.0,2.0,2.0,2.0,2000000,[0 0]
20001226,2.05,2.05,2.03,2.03,23558000,[0 0]
20001227,2.03,2.1,2.03,2.1,5586000,[1 0]
20000215,2.09,2.09,2.09,2.09,209000,[1 0]
20000216,2.25,2.25,2.25,2.25,225000,[1 0]
20000217,2.1,2.13,2.1,2.13,8214000,[1 0]
20000218,2.13,2.13,2.1,2.1,2526000,[0 0]
20000221,2.08,2.2,2.08,2.2,10098000,[0 0]
20000222,2.15,2.15,2.15,2.15,7525000,[1 0]
20000223,2.19,2.19,2.19,2.19,876000,[0 0]
20000224,2.1,2.1,2.03,2.03,4157000,[1 0]
20000225,2.04,2.05,2.0,2.0,6699000,[0 0]
20000229,2.0,2.0,1.96,1.96,1392000,[0 1]
20000301,1.96,1.96,1.95,1.95,976000,[1 1]
20000302,1.98,1.98,1.94,1.94,2149000,[1 0]
20000303,2.1,2.1,2.1,2.1,210000,[0 0]
20000308,1.9,1.9,1.9,1.9,950000,[1 0]
20000309,2.0,2.0,1.93,1.93,972000,[0 0]
20000310,1.91,1.91,1.91,1.91,1910000,[0 0]
20000313,1.9,1.9,1.9,1.9,1140000,[0 0]
20000314,1.9,1.9,1.9,1.9,190000,[0 0]
20000316,1.9,2.24,1.9,2.24,617000,[0 0]
20000317,2.0,2.0,2.0,2.0,2000000,[1 0]
20000323,2.0,2.0,2.0,2.0,6400000,[1 0]
20000324,2.0,2.02,2.0,2.02,3004000,[1 1]
20000327,2.05,2.05,2.05,2.05,5535000,[1 1]
20000328,2.05,2.05,2.05,2.05,410000,[1 0]
20000330,2.0,2.0,2.0,2.0,13200000,[1 1]
20000331,2.05,2.05,2.03,2.05,7376000,[1 1]
20000403,2.0,2.05,2.0,2.01,1221000,[1 0]
20000404,2.01,2.01,1.95,1.95,2976000,[1 1]
20000405,2.01,2.01,2.01,2.01,201000,[0 0]
20000406,2.04,2.04,2.0,2.0,5827000,[0 1]
20000411,1.9,1.94,1.9,1.94,5514000,[0 1]
20000112,2.5,2.5,2.46,2.46,4960000,[1 1]
20000113,2.47,2.47,2.41,2.41,6838000,[1 0]
20000114,2.42,2.42,2.35,2.35,5532000,[1 0]
20000119,2.21,2.21,2.21,2.21,1326000,[1 0]
20000120,2.24,2.25,2.2,2.2,2439000,[0 1]
20000121,2.2,2.2,2.2,2.2,220000,[0 1]
20000124,2.2,2.2,2.15,2.15,4353000,[0 0]
20000127,2.15,2.15,2.15,2.15,12900000,[0 0]
20000128,2.15,2.15,2.11,2.12,9414000,[0 1]
20000201,2.16,2.16,2.13,2.13,7730000,[0 0]
20000202,2.15,2.15,2.05,2.05,26860000,[1 0]
20000203,2.08,2.08,2.08,2.08,3120000,[0 0]
20000204,2.09,2.12,2.09,2.1,1261000,[1 0]
20000208,2.1,2.1,2.09,2.09,1678000,[0 0]
20000209,2.09,2.09,2.0,2.0,8679000,[0 0]
20000210,2.0,2.04,1.95,2.04,14705000,[0 0]
20000211,2.1,2.1,2.01,2.01,3285000,[0 0]
20000214,1.95,2.0,1.95,2.0,2150000,[0 0]
20000103,2.19,2.19,2.1,2.15,5074000,[1 0]
20000104,2.1,2.1,2.1,2.1,2520000,[1 1]
20000105,2.1,2.2,2.1,2.18,5224000,[1 0]
20000106,2.29,2.29,2.2,2.2,9029000,[1 1]
20000107,2.25,2.4,2.23,2.4,23757000,[0 0]
20000110,2.6,2.7,2.59,2.63,11685000,[0 0]
20000111,2.55,2.55,2.5,2.5,10775000,[1 1]
20010102,2.06,2.06,2.06,2.06,4120000,[0 0]
20010103,2.06,2.06,2.05,2.06,6590000,[0 0]
20010104,2.1,2.1,2.1,2.1,2100000,[1 1]
20010105,2.1,2.1,2.1,2.1,4620000,[0 0]
20010108,2.25,2.25,2.25,2.25,225000,[0 0]
20010109,2.3,2.3,2.3,2.3,460000,[1 0]
20010110,2.3,2.3,2.3,2.3,2300000,[1 0]
20010112,2.3,2.3,2.3,2.3,230000,[1 0]
20010116,2.23,2.23,2.23,2.23,1115000,[0 1]
20010117,2.23,2.23,2.23,2.23,669000,[0 0]
20010122,2.2,2.29,2.2,2.29,2237000,[0 0]
20010124,2.2,2.25,2.2,2.25,1795000,[0 1]
20010126,2.25,2.25,2.25,2.25,900000,[0 0]
20010129,2.3,2.3,2.3,2.3,460000,[1 0]
20010201,2.3,2.3,2.3,2.3,2300000,[1 0]
20010208,2.2,2.2,2.2,2.2,440000,[0 0]
20010209,2.25,2.25,2.25,2.25,1125000,[0 1]
20010212,2.23,2.23,2.23,2.23,223000,[0 0]
20010220,2.2,2.2,2.19,2.2,2193000,[1 0]
20010301,2.2,2.2,2.2,2.2,440000,[1 1]
20010302,2.2,2.2,2.2,2.2,220000,[1 0]
20010307,2.2,2.2,2.2,2.2,2640000,[0 1]
20010313,2.2,2.2,2.2,2.2,4400000,[0 0]
20010314,2.2,2.2,2.2,2.2,660000,[0 0]
20010315,2.2,2.2,2.2,2.2,1980000,[1 0]
20010316,2.15,2.15,2.11,2.11,16076000,[0 1]
20010319,2.2,2.2,2.2,2.2,4400000,[1 0]
20010321,2.25,2.25,2.25,2.25,1125000,[1 0]
20010417,2.28,2.28,2.28,2.28,912000,[0 1]
20010419,2.2,2.2,2.2,2.2,220000,[0 1]
20010423,2.3,2.3,2.3,2.3,2300000,[0 1]
20010424,2.2,2.2,2.2,2.2,2420000,[0 0]
20010426,2.3,2.3,2.3,2.3,4370000,[1 0]
20010507,2.3,2.3,2.3,2.3,1150000,[1 0]
20010509,2.39,2.4,2.35,2.4,7366000,[0 0]
20010511,2.35,2.35,2.35,2.35,1410000,[0 0]
20010518,2.3,2.3,2.25,2.25,2480000,[0 0]
20010521,2.21,2.25,2.21,2.25,5384000,[1 0]
20010524,2.31,2.31,2.3,2.3,3221000,[1 1]
20010525,2.3,2.45,2.3,2.45,2790000,[0 1]
20010529,2.45,2.45,2.45,2.45,735000,[0 1]
20010531,2.44,2.5,2.44,2.5,7989000,[1 0]
20010601,2.5,2.5,2.5,2.5,11250000,[1 1]
20010604,2.6,2.6,2.6,2.6,1300000,[0 0]
20010613,2.6,2.6,2.6,2.6,1820000,[1 0]
20010615,2.7,2.7,2.7,2.7,270000,[1 0]
20010618,2.7,2.8,2.7,2.8,3350000,[1 0]
20010619,2.8,2.8,2.8,2.8,2800000,[1 0]
20010620,2.6,2.6,2.6,2.6,260000,[1 0]
20010622,2.6,2.6,2.6,2.6,3380000,[0 1]
20010626,2.5,2.5,2.5,2.5,250000,[1 0]
20010702,2.6,2.6,2.6,2.6,520000,[0 0]
20010703,2.6,2.6,2.6,2.6,2600000,[0 0]
20010706,2.6,2.6,2.6,2.6,2600000,[1 0]
20010711,2.6,2.62,2.6,2.62,10445000,[0 0]
20010712,2.7,2.85,2.7,2.8,13295000,[0 1]
20010717,2.51,2.7,2.51,2.7,5363000,[0 0]
20010718,2.8,2.8,2.7,2.72,4382000,[1 1]
20010719,2.7,2.7,2.7,2.7,2700000,[0 1]
20010720,2.7,2.7,2.7,2.7,2700000,[0 0]
20010725,2.6,2.6,2.6,2.6,3900000,[1 0]
