date,open,max,min,close,volume,y
20110202,20.5,22.0,20.26,21.25,30935970400,[0 0]
20110203,21.1,21.1,20.62,21.05,3711411600,[0 0]
20110204,20.99,21.28,20.9,21.0,1829809300,[0 1]
20110207,21.0,21.44,20.9,21.0,831821600,[1 0]
20110208,20.63,21.09,20.05,20.1,1217327500,[1 1]
20110209,20.25,20.79,19.4,19.4,2414847400,[0 1]
20110210,19.45,20.22,19.1,20.0,1311565100,[0 0]
20110211,19.61,20.6,19.61,20.35,614106900,[1 0]
20110214,20.22,20.5,19.75,20.25,696985200,[1 1]
20110215,20.2,20.74,20.2,20.7,212109300,[0 0]
20110216,20.51,21.03,20.5,20.8,1135378200,[1 1]
20110217,20.36,20.79,20.02,20.4,246214100,[1 1]
20110218,20.31,21.2,20.01,20.7,1196824900,[0 1]
20110221,20.7,21.1,20.5,20.5,80354300,[0 1]
20110222,20.49,20.71,20.14,20.5,696661300,[1 0]
20110223,20.74,20.84,20.55,20.84,472971100,[1 1]
20110224,20.67,21.04,20.54,20.6,638263200,[0 1]
20110225,20.96,20.96,20.7,20.95,37137900,[1 1]
20110228,20.9,21.52,20.9,21.4,512028200,[0 0]
20110301,21.02,21.4,20.8,21.0,199828100,[0 0]
20110302,20.9,21.38,20.9,21.0,264206700,[1 1]
20110303,21.31,21.35,21.1,21.25,104307100,[0 1]
20110304,21.3,21.69,21.21,21.4,109136900,[1 0]
20110309,21.4,23.0,21.4,22.5,286728000,[1 1]
20110310,22.51,23.29,22.2,23.0,612355100,[1 1]
20110311,22.99,23.49,22.88,22.99,275362200,[0 0]
20110314,23.19,23.37,23.0,23.2,608112700,[0 0]
20110315,23.49,23.49,22.38,22.6,457454400,[1 0]
20110316,22.65,23.1,22.17,23.0,581313800,[0 1]
20110317,22.75,23.1,22.6,23.1,187806700,[1 0]
20110318,23.09,23.09,22.55,22.55,225971000,[0 0]
20110321,22.73,23.1,22.73,22.98,44590400,[1 0]
20110322,23.06,23.24,22.9,23.1,427775000,[1 0]
20110323,23.1,23.35,22.65,22.65,511721300,[1 0]
20110324,23.03,23.49,22.79,23.25,65377100,[1 1]
20110325,23.49,24.0,23.03,23.75,156340800,[1 0]
20110328,23.6,23.92,23.5,23.8,18526000,[1 0]
20110329,23.75,23.76,23.51,23.51,59503300,[0 0]
20110330,24.0,24.0,22.8,22.8,276433800,[0 0]
20110331,22.76,23.0,22.6,22.75,330168700,[0 1]
20110401,23.09,23.11,22.39,22.39,92382400,[0 0]
20110404,22.5,22.87,22.44,22.49,1615991600,[0 1]
20110405,22.98,22.98,22.5,22.5,192570900,[1 0]
20110406,22.55,22.83,22.5,22.5,20101100,[1 0]
20110407,22.27,22.75,22.0,22.75,116541700,[1 0]
20110408,22.75,23.39,22.75,23.0,57136900,[1 0]
20110411,23.0,23.45,23.0,23.0,37927700,[0 0]
20110412,23.0,23.34,23.0,23.01,19099200,[0 0]
20110413,23.11,23.8,23.11,23.65,1107444000,[1 0]
20110414,23.99,24.98,23.99,24.6,547834600,[0 0]
20110415,24.99,25.7,24.61,24.95,165587200,[1 1]
20110418,25.2,25.3,24.6,24.88,35662500,[0 0]
20110419,24.9,24.9,24.2,24.36,194413200,[0 0]
20110420,24.9,24.98,24.35,24.35,259218700,[0 1]
20110425,23.9,24.39,23.8,24.09,54978400,[1 0]
20110426,24.22,24.5,24.2,24.3,274610700,[1 0]
20110427,24.37,24.45,24.2,24.3,151424100,[0 1]
20110428,24.21,24.49,24.2,24.2,203064400,[0 0]
20110429,24.25,24.39,24.2,24.39,120847400,[0 0]
20110502,24.2,25.0,24.2,24.72,609997200,[0 0]
20110503,24.99,25.0,24.66,24.66,1039740800,[1 1]
20110504,24.56,24.75,24.5,24.5,279508600,[1 1]
20110505,24.5,24.5,24.3,24.3,8062000,[1 0]
20110506,24.59,25.0,24.34,24.9,64194800,[1 0]
20110509,24.61,24.76,24.6,24.7,61712400,[0 1]
20110510,24.6,25.0,24.6,24.72,169822200,[1 0]
20110511,24.88,24.88,24.2,24.6,1126162000,[1 0]
20110512,24.6,25.0,24.31,24.75,1803601200,[1 1]
20110513,24.75,24.84,24.42,24.75,108346500,[1 1]
20110516,24.94,25.99,24.54,25.26,729798200,[1 0]
20110517,25.9,25.9,25.45,25.75,113046700,[0 1]
20110518,25.75,25.87,25.65,25.8,145409700,[0 0]
20110519,25.8,26.25,25.4,25.4,96975000,[0 1]
