date,open,max,min,close,volume,y
20110202,20.01,21.98,19.5,21.1,916774012,[0 1]
20110203,21.0,21.07,20.62,20.9,31554188,[0 0]
20110204,20.9,21.26,20.89,21.0,17646508,[0 1]
20110207,20.76,21.5,20.76,20.83,13822030,[1 0]
20110208,20.72,21.1,20.08,20.08,8205037,[1 1]
20110209,20.2,21.0,19.6,19.6,13549575,[0 1]
20110210,19.51,20.22,19.0,20.22,10758471,[1 0]
20110211,20.29,20.58,19.94,20.49,5920755,[1 1]
20110214,20.55,20.58,19.81,20.39,2538193,[1 0]
20110215,20.17,20.8,20.17,20.6,3377508,[1 0]
20110216,20.59,21.15,20.51,20.85,3003773,[1 1]
20110217,20.5,20.69,20.38,20.69,534369,[1 1]
20110218,20.32,21.15,20.05,21.15,4363574,[1 1]
20110221,20.7,21.19,20.59,21.19,1670020,[0 0]
20110222,20.87,20.87,20.21,20.6,962768,[1 0]
20110223,20.6,20.99,20.5,20.69,996504,[1 1]
20110224,20.26,20.99,20.26,20.85,971075,[0 0]
20110225,20.01,20.9,20.01,20.9,4581054,[1 0]
20110228,20.85,21.5,20.8,20.8,3392392,[0 0]
20110301,21.4,21.4,21.07,21.07,854714,[0 1]
20110302,21.0,21.26,20.1,21.0,1472688,[1 0]
20110303,20.5,21.33,20.5,21.19,2471198,[1 0]
20110304,21.22,21.85,21.19,21.85,2133623,[1 0]
20110309,21.4,22.5,20.51,22.5,5462024,[0 1]
20110310,22.32,23.4,22.24,22.96,5387723,[1 1]
20110311,22.99,23.5,22.75,23.0,2052904,[1 0]
20110314,23.2,23.35,23.0,23.35,2141180,[0 0]
20110315,23.01,23.01,22.39,22.7,1173719,[1 1]
20110316,22.94,22.94,22.29,22.5,625842,[0 0]
20110317,22.69,23.35,22.63,23.35,1282465,[1 0]
20110318,22.92,22.92,22.47,22.5,604504,[1 0]
20110321,22.8,23.09,22.8,22.98,765865,[0 1]
20110322,23.01,23.24,23.0,23.15,2084329,[1 1]
20110323,23.0,23.47,22.92,23.02,969510,[0 0]
20110324,22.9,23.35,22.7,23.0,1035534,[1 1]
