date,open,max,min,close,volume,y
20041124,13.1,13.1,13.1,13.1,131000,[1 1]
20050131,15.0,15.0,15.0,15.0,2250000,[1 0]
20050223,18.0,18.0,18.0,18.0,1800000,[1 1]
20050415,20.0,20.0,20.0,20.0,1000000,[1 1]
20050418,20.0,20.0,20.0,20.0,800000,[0 1]
20050504,20.31,20.31,20.31,20.31,609300,[1 1]
20050518,21.0,21.0,21.0,21.0,1680000,[0 1]
20050622,22.0,22.0,22.0,22.0,1100000,[1 1]
20050707,24.0,24.0,24.0,24.0,1200000,[1 1]
20050725,23.0,23.0,23.0,23.0,920000,[1 0]
20050809,24.0,24.0,24.0,24.0,1200000,[0 1]
20050905,25.0,25.0,25.0,25.0,1250000,[1 1]
20051003,26.0,26.0,26.0,26.0,1040000,[1 1]
20051004,26.0,26.0,26.0,26.0,260000,[0 0]
20051107,28.01,28.01,28.01,28.01,1960700,[0 1]
20051121,30.01,30.01,30.01,30.01,3301100,[1 1]
20060130,35.02,35.02,35.02,35.02,1751000,[1 1]
20060213,42.01,42.01,42.01,42.01,420100,[0 0]
20060306,45.01,45.01,45.01,45.01,450100,[1 0]
20060505,56.0,56.0,56.0,56.0,1120000,[1 0]
20060526,55.0,55.0,55.0,55.0,550000,[0 1]
20060608,55.0,55.0,55.0,55.0,13750000,[0 1]
20060630,60.0,60.0,60.0,60.0,1800000,[0 0]
20060831,65.0,65.0,65.0,65.0,2600000,[0 0]
20061205,81.0,81.0,81.0,81.0,810000,[1 0]
20061220,95.0,95.0,95.0,95.0,950000,[1 1]
20070222,95.17,95.17,95.17,95.17,2855100,[1 1]
20070424,88.0,88.0,88.0,88.0,1760000,[0 0]
20070507,88.0,88.0,88.0,88.0,880000,[1 0]
20070613,125.01,125.01,125.01,125.01,2500200,[1 1]
20070621,147.02,147.02,147.02,147.02,1470200,[1 1]
20070622,155.0,155.0,155.0,155.0,1550000,[0 1]
20070705,155.45,155.45,155.45,155.45,17099500,[1 0]
20070710,170.21,170.21,170.21,170.21,1702100,[1 1]
20070926,225.01,225.01,225.01,225.01,22501000,[1 1]
20071002,225.0,225.0,225.0,225.0,20250000,[1 0]
20071004,225.0,225.0,225.0,225.0,4500000,[0 0]
20071008,229.0,229.0,229.0,229.0,11450000,[1 0]
20071031,229.0,229.0,229.0,229.0,2290000,[1 1]
20080116,230.0,230.0,230.0,230.0,2300000,[0 1]
20080226,200.0,200.0,200.0,200.0,20000000,[0 1]
20080328,164.99,164.99,164.99,164.99,14849100,[1 1]
20080609,80.0,80.0,80.0,80.0,20800000,[1 1]
20080624,75.1,80.0,75.1,80.0,15069000,[1 1]
20080630,82.0,82.0,82.0,82.0,1640000,[0 1]
20080701,82.0,82.0,82.0,82.0,1640000,[0 0]
20080702,82.0,82.0,82.0,82.0,4100000,[1 0]
20080703,82.0,82.0,82.0,82.0,4100000,[1 1]
20081029,48.0,48.0,48.0,48.0,480000,[1 1]
20090326,99.0,99.0,99.0,99.0,1980000,[1 0]
20090430,112.0,112.0,112.0,112.0,1120000,[1 0]
20090716,70.5,70.5,67.3,67.3,20245700,[0 0]
20090717,68.95,68.95,68.95,68.95,689500,[0 0]
20090721,70.0,70.0,70.0,70.0,700000,[1 1]
20090722,70.5,70.5,70.5,70.5,705000,[1 1]
20090723,70.0,70.5,70.0,70.5,3519000,[1 1]
20090724,70.39,70.4,69.5,70.4,13944900,[1 1]
20090727,71.94,71.94,71.49,71.49,4293900,[0 0]
20090728,71.49,71.49,71.49,71.49,1429800,[1 1]
20090729,71.0,71.89,71.0,71.89,2138900,[0 1]
20090730,74.0,74.0,71.99,71.99,1459900,[0 0]
20090731,73.0,73.0,73.0,73.0,730000,[0 0]
20090803,71.38,73.49,71.38,73.49,1448700,[0 1]
20090806,70.0,72.79,70.0,72.79,73037100,[1 1]
20090807,74.0,74.0,74.0,74.0,740000,[1 0]
20090810,75.0,75.0,75.0,75.0,750000,[0 1]
20090811,73.1,74.99,73.1,74.99,3682900,[0 1]
20090812,76.0,76.0,76.0,76.0,760000,[0 0]
20090814,77.0,77.0,77.0,77.0,770000,[0 1]
20090818,77.0,78.0,77.0,78.0,6940000,[1 0]
20090820,79.0,79.0,79.0,79.0,790000,[1 0]
20090821,79.5,79.5,79.5,79.5,795000,[0 0]
20090825,77.99,79.0,77.99,79.0,67435000,[1 1]
20090826,79.5,79.5,77.3,79.0,6281000,[0 1]
20090827,79.9,79.9,78.0,79.0,2369000,[0 1]
20090828,79.99,79.99,79.99,79.99,1599800,[1 1]
20090902,80.5,80.5,76.1,76.11,4648200,[0 1]
20090903,78.0,78.0,78.0,78.0,780000,[1 1]
20090909,77.89,80.0,77.89,80.0,21052000,[0 1]
20090910,78.0,79.0,78.0,79.0,7030000,[0 1]
20090911,79.99,79.99,79.99,79.99,799900,[1 1]
20090915,82.0,82.0,78.0,79.4,9428000,[0 0]
20090916,80.0,80.0,80.0,80.0,800000,[0 1]
20090917,82.0,82.0,82.0,82.0,820000,[0 0]
20090918,84.0,84.0,84.0,84.0,840000,[1 1]
20090921,84.5,84.5,84.5,84.5,845000,[1 0]
20090922,82.0,85.0,79.5,85.0,16499000,[0 1]
20090923,86.0,86.0,86.0,86.0,860000,[1 0]
20090924,86.9,86.9,86.9,86.9,869000,[1 0]
