date,open,max,min,close,volume,y
19990715,0.45,0.45,0.45,0.45,315000,[0 0]
19990716,0.29,0.29,0.29,0.29,145000,[0 1]
19990729,0.1,0.1,0.1,0.1,60000,[1 0]
19990730,0.13,0.13,0.07,0.07,168000,[0 0]
19990803,0.12,0.12,0.12,0.12,12000,[0 1]
19990806,0.15,0.15,0.15,0.15,15000,[0 0]
19990810,0.14,0.14,0.14,0.14,14000,[1 1]
19990811,0.14,0.14,0.14,0.14,14000,[1 0]
19990816,0.14,0.14,0.14,0.14,14000,[1 0]
19990818,0.14,0.14,0.14,0.14,28000,[0 1]
19990827,0.15,0.15,0.15,0.15,120000,[1 0]
19990831,0.15,0.15,0.15,0.15,90000,[1 0]
19990906,0.09,0.09,0.09,0.09,9000,[0 1]
19990916,0.12,0.12,0.12,0.12,12000,[0 1]
19990923,0.16,0.16,0.16,0.16,48000,[0 0]
19990929,0.18,0.18,0.18,0.18,18000,[1 1]
20001221,0.06,0.06,0.06,0.06,18000,[1 0]
20010209,0.45,0.45,0.45,0.45,135000,[0 0]
20010213,0.29,0.29,0.29,0.29,58000,[0 1]
20021220,0.05,0.05,0.05,0.05,10000,[0 1]
20021226,0.1,0.1,0.1,0.1,10000,[0 1]
20030506,0.2,0.2,0.2,0.2,40000,[1 1]
20030108,0.1,0.1,0.1,0.1,10000,[0 0]
20030613,0.11,0.11,0.11,0.11,11000,[1 0]
20030616,0.1,0.1,0.1,0.1,10000,[0 1]
20030620,0.1,0.1,0.1,0.1,20000,[1 0]
20030714,0.15,0.15,0.15,0.15,30000,[1 1]
20030722,0.15,0.15,0.15,0.15,30000,[0 0]
20030915,0.2,0.2,0.2,0.2,60000,[1 0]
20030916,0.2,0.2,0.2,0.2,20000,[1 0]
20030917,0.15,0.15,0.15,0.15,30000,[0 0]
20040107,0.27,0.27,0.27,0.27,108000,[1 0]
20040112,0.3,0.3,0.3,0.3,30000,[0 0]
20040113,0.35,0.41,0.35,0.41,307000,[0 0]
20040114,0.38,0.38,0.38,0.38,38000,[0 0]
20040429,0.3,0.3,0.3,0.3,30000,[1 0]
20040504,0.3,0.3,0.3,0.3,30000,[0 0]
20040507,0.3,0.3,0.3,0.3,30000,[1 1]
20040706,0.44,0.44,0.44,0.44,88000,[1 1]
20040713,0.36,0.36,0.36,0.36,144000,[1 0]
20040827,0.4,0.4,0.4,0.4,80000,[0 1]
20040830,0.36,0.36,0.36,0.36,216000,[1 0]
20040914,0.45,0.5,0.45,0.5,195000,[0 0]
20041018,0.65,0.65,0.65,0.65,390000,[1 0]
20041019,0.72,0.8,0.72,0.8,840000,[0 1]
20041020,0.8,0.8,0.8,0.8,80000,[1 0]
20041021,0.8,0.8,0.8,0.8,480000,[1 0]
20041025,1.0,1.0,1.0,1.0,100000,[0 0]
20041202,0.75,0.76,0.75,0.76,530800,[1 1]
20041203,0.7,0.7,0.7,0.7,56000,[0 0]
20050104,0.95,0.95,0.95,0.95,380000,[0 0]
20050210,1.1,1.1,1.1,1.1,1232000,[1 0]
20050215,0.9,0.9,0.9,0.9,621000,[0 1]
20050303,1.1,1.1,1.1,1.1,770000,[1 1]
20050304,1.15,1.15,1.15,1.15,207000,[0 0]
20050330,1.0,1.0,1.0,1.0,100000,[0 1]
20050415,1.0,1.0,1.0,1.0,200000,[0 1]
20050603,1.5,1.5,1.5,1.5,15000,[1 1]
20050719,2.0,2.0,1.5,1.5,84900,[0 0]
20051103,2.9,2.9,2.5,2.5,540000,[1 0]
20060120,2.49,2.49,2.49,2.49,249000,[0 0]
20060124,2.3,2.3,2.3,2.3,2300000,[0 1]
20060126,2.3,2.3,2.3,2.3,322000,[1 0]
20060127,2.5,2.5,2.5,2.5,500000,[1 1]
20060130,2.5,2.5,2.5,2.5,75000,[0 0]
20060201,2.5,2.5,2.5,2.5,25000,[0 1]
20060202,2.5,2.5,2.5,2.5,25000,[0 0]
20060206,2.5,2.5,2.5,2.5,25000,[0 0]
20060630,1.5,1.5,1.5,1.5,15000,[1 0]
20060707,1.3,1.3,1.3,1.3,26000,[0 1]
20060821,0.55,0.55,0.55,0.55,275000,[0 0]
20060822,0.61,0.61,0.61,0.61,305000,[0 0]
20060908,0.61,0.61,0.61,0.61,24400,[0 1]
20060911,0.61,0.61,0.61,0.61,12200,[1 0]
20060913,0.61,0.61,0.61,0.61,12200,[1 0]
20061027,0.7,0.7,0.7,0.7,7000,[0 1]
20061103,0.87,0.87,0.87,0.87,26100,[0 1]
20061108,0.92,0.92,0.92,0.92,460000,[0 0]
20070110,1.15,1.35,1.15,1.3,861000,[1 0]
20070116,1.4,3.0,1.4,1.9,9156800,[1 1]
20070117,2.0,2.39,1.5,1.5,920300,[0 1]
20070119,1.5,1.5,1.5,1.5,45000,[0 0]
20070122,1.5,2.35,1.5,2.0,2873000,[0 0]
20070123,2.1,2.25,2.01,2.01,2106600,[0 1]
20070124,2.0,2.0,2.0,2.0,200000,[0 1]
20070201,1.95,1.95,1.95,1.95,39000,[1 0]
20070205,1.86,1.86,1.86,1.86,260400,[0 0]
20070206,1.8,2.2,1.8,2.2,1686000,[0 0]
20070208,2.1,2.1,2.1,2.1,336000,[0 1]
20070209,1.35,2.08,1.35,2.08,55100,[0 1]
20070222,2.09,3.01,2.02,3.0,2451900,[1 0]
20070223,3.01,5.1,2.8,3.15,31037900,[1 0]
20070226,3.2,3.5,2.5,2.66,14395200,[0 0]
20070227,2.6,3.9,2.55,3.5,4819600,[0 0]
20070228,2.7,2.7,2.7,2.7,649000,[0 0]
20070301,2.73,2.99,2.6,2.6,276900,[1 1]
20070302,2.98,2.98,2.0,2.39,1195400,[0 1]
20070305,2.49,2.5,2.49,2.5,124600,[0 1]
20070306,2.5,2.99,2.5,2.83,2665500,[0 1]
20070307,2.8,2.8,2.5,2.7,1320500,[0 1]
20070308,2.65,2.7,2.5,2.7,287500,[1 0]
20070309,2.75,3.0,2.4,2.4,3663300,[1 0]
20070313,2.11,2.2,2.11,2.2,149500,[1 0]
20070315,2.01,2.5,2.01,2.5,66900,[0 0]
20070320,2.2,2.89,1.98,1.98,8845600,[1 0]
20070321,2.1,2.1,1.9,1.9,3639900,[0 0]
20070322,1.88,2.0,1.88,2.0,1231900,[0 1]
20070323,2.0,2.5,2.0,2.17,7094000,[0 1]
20070326,2.25,2.5,2.25,2.4,2314500,[1 0]
20070327,2.5,2.5,2.19,2.3,767100,[1 1]
20070328,2.2,2.38,2.2,2.2,268500,[0 1]
20070329,2.1,2.15,2.03,2.03,698300,[0 0]
20070330,2.03,2.15,2.01,2.15,543500,[1 1]
20070402,2.18,2.18,2.1,2.1,129100,[0 1]
