date,open,max,min,close,volume,y
20040401,117.0,119.5,117.0,119.5,218726500,[0 1]
20040415,114.23,114.23,113.51,113.8,61539200,[0 0]
20040416,114.01,115.3,114.01,115.3,9173300,[0 1]
20040419,116.0,116.0,112.8,113.0,36342900,[0 1]
20040420,113.0,114.5,113.0,113.0,79660500,[0 0]
20040422,112.01,112.01,111.2,111.51,63530400,[0 1]
20040423,111.0,112.7,110.5,112.5,94852900,[0 0]
20040426,112.7,112.7,111.55,112.0,97728200,[0 0]
20040427,112.0,113.4,112.0,113.0,187957900,[0 1]
20040428,114.99,114.99,108.2,108.2,72714100,[1 1]
20040429,107.0,107.0,100.0,100.0,112378500,[1 1]
20040430,101.0,101.5,99.7,100.0,375614300,[0 0]
20040503,100.0,100.0,97.0,98.05,184891300,[1 1]
20040514,97.03,99.84,97.01,97.62,261345900,[1 0]
20040517,98.97,98.97,95.5,96.0,32718300,[0 1]
20040518,96.21,97.5,96.0,96.0,635353500,[0 1]
20040519,97.55,100.47,97.1,100.47,299136400,[1 1]
20040520,99.99,101.0,99.99,100.1,48210800,[1 1]
20040521,100.0,101.35,98.5,101.35,63367400,[0 1]
20040524,103.0,103.0,102.0,102.31,44053100,[1 0]
20040525,104.0,105.9,103.5,105.0,44901000,[1 0]
20040526,105.0,106.5,104.88,106.0,112399000,[1 0]
20040527,107.49,109.01,107.49,109.01,51050000,[1 1]
20040528,108.01,109.2,108.01,109.0,53294200,[1 0]
20040531,110.0,110.5,108.0,108.0,43878000,[1 1]
20040601,108.0,110.49,108.0,110.49,20578800,[1 0]
20040615,110.0,111.95,110.0,110.55,67486100,[0 0]
20040616,110.01,112.0,110.0,112.0,18813700,[0 1]
20040617,111.8,112.5,110.5,110.5,160576300,[1 0]
20040618,109.01,109.01,108.0,108.41,33550900,[1 1]
20040621,109.0,111.7,109.0,110.21,65013000,[0 1]
20040622,109.5,109.5,108.6,109.2,73049400,[0 0]
20040623,109.99,111.3,109.99,111.3,18832000,[1 0]
20040624,111.5,112.4,111.5,112.3,99826600,[0 0]
20040625,112.5,114.1,112.5,114.01,51138300,[1 1]
20040628,114.5,115.0,113.02,115.0,91709900,[1 1]
20040629,115.0,115.5,115.0,115.5,114040000,[1 0]
20040630,116.0,116.0,115.0,115.14,57669800,[0 1]
20040715,118.26,118.27,117.0,117.0,92012400,[0 1]
20040716,119.5,120.0,118.03,119.41,209326200,[0 0]
20040719,119.0,119.0,118.8,119.0,51152000,[1 1]
20040720,119.5,120.0,119.0,119.03,111177700,[1 0]
20040721,119.0,119.0,115.0,115.0,29523000,[0 1]
20040722,115.0,117.1,115.0,117.0,86039200,[1 1]
20040723,116.0,117.0,115.5,115.5,25551200,[0 1]
20040726,115.6,115.9,114.7,115.9,64412800,[0 0]
20040727,115.9,117.0,114.8,117.0,102856400,[1 1]
20040728,116.0,117.5,116.0,117.01,39738100,[1 1]
20040729,117.0,117.0,115.0,115.0,18508200,[1 0]
20040730,116.0,116.0,115.15,116.0,26671500,[0 1]
20040802,116.95,116.95,116.0,116.5,102642000,[0 1]
20040819,118.0,119.7,118.0,118.4,185963400,[1 0]
20040818,115.0,118.09,114.04,117.55,85438700,[0 1]
20040817,111.5,114.0,111.5,114.0,65602800,[0 1]
20040816,112.0,112.0,110.0,111.5,17727600,[1 1]
20040813,110.6,111.5,110.6,111.5,37709000,[0 0]
20040826,118.01,119.98,118.0,118.99,18989900,[0 1]
20040825,118.55,120.0,118.55,120.0,19042400,[1 1]
20040824,118.64,119.5,118.0,118.55,79708800,[1 0]
20040823,118.51,119.0,118.51,118.65,63010200,[1 0]
20040820,119.44,121.6,119.44,121.49,121012600,[0 0]
