date,open,max,min,close,volume,y
20040401,117.5,119.9,117.5,119.79,7099915,[0 1]
20040415,115.5,115.5,113.0,113.0,6525535,[0 1]
20040416,113.81,115.1,113.8,115.1,2724721,[0 1]
20040419,115.5,115.5,112.5,112.8,2701904,[1 0]
20040420,114.0,114.7,113.0,113.5,1757446,[0 0]
20040422,113.0,113.0,111.2,111.9,8431773,[0 1]
20040423,111.4,112.6,111.0,112.1,5480371,[0 0]
20040426,112.1,113.96,111.3,113.96,3278790,[0 1]
20040427,111.8,113.4,111.8,113.0,2807736,[0 1]
20040428,111.3,111.3,109.0,109.0,4369814,[1 1]
20040429,108.5,108.9,100.5,100.5,6996242,[1 1]
20040430,102.0,102.0,99.51,100.5,5685524,[1 1]
20040503,102.0,102.0,97.45,98.5,8019030,[1 1]
20040514,99.5,99.5,98.0,98.01,5055832,[0 1]
20040517,99.0,99.0,96.0,96.89,2998216,[0 1]
20040518,96.1,97.01,96.0,96.0,3680349,[0 1]
20040519,97.99,100.25,97.99,99.12,3374758,[1 1]
20040520,100.0,100.4,99.0,100.11,3044536,[1 1]
20040521,97.2,101.7,97.2,101.7,2596377,[0 1]
20040524,101.99,103.0,101.5,103.0,4241617,[1 0]
20040525,103.0,106.29,103.0,105.0,4264176,[0 0]
20040526,105.0,106.85,105.0,106.85,3088032,[1 1]
20040527,107.0,110.0,107.0,108.13,6832724,[0 1]
20040528,109.01,109.48,108.01,109.48,4626708,[0 0]
20040531,109.0,110.0,109.0,110.0,2068863,[1 0]
20040601,108.0,110.19,107.5,110.19,3123492,[0 1]
20040615,111.99,112.0,110.0,112.0,2259711,[1 1]
20040616,110.0,111.59,110.0,111.59,2380026,[0 1]
20040617,111.5,112.5,111.2,112.2,3993401,[0 0]
20040618,110.5,110.5,108.0,110.0,4299977,[1 0]
20040621,110.0,116.39,108.51,111.0,4911306,[0 1]
20040622,110.0,110.0,108.01,109.8,2885749,[0 0]
20040623,110.0,111.0,110.0,111.0,2260651,[1 1]
20040624,111.3,112.0,111.3,112.0,2467830,[1 1]
20040625,112.5,114.79,112.5,114.79,2367947,[0 0]
20040628,113.64,115.0,113.51,115.0,4282943,[0 0]
20040629,115.0,115.9,114.1,115.5,3911688,[0 1]
20040630,116.0,116.0,114.8,115.2,3853930,[1 0]
20040715,117.5,118.0,117.0,117.0,2527410,[1 1]
20040716,118.0,120.0,118.0,120.0,8756295,[1 0]
20040719,111.01,119.5,111.01,119.5,2101476,[0 1]
20040720,119.6,119.6,117.5,117.5,4529380,[0 0]
20040721,119.03,119.03,115.5,115.5,2949643,[0 1]
20040722,115.02,116.99,115.0,115.63,1318918,[1 0]
20040723,116.5,117.98,116.0,116.0,2861330,[0 0]
20040726,115.5,116.0,114.22,115.0,5340096,[0 0]
20040727,115.9,117.0,115.0,116.5,1790266,[0 1]
20040728,117.0,117.5,116.5,116.5,2464800,[1 1]
20040729,116.6,118.0,115.0,115.0,2658820,[1 1]
20040730,115.6,116.0,114.7,116.0,4126808,[1 0]
20040802,116.0,116.8,115.02,115.5,4012049,[1 1]
20040813,111.0,111.0,110.6,111.0,1764660,[0 1]
20040816,112.0,112.0,110.0,111.5,4071464,[1 1]
20040817,111.5,113.9,111.2,113.9,4255289,[0 0]
20040818,114.0,118.5,114.0,118.5,6089490,[1 0]
20040819,117.55,119.3,117.55,118.5,5420729,[0 0]
20040820,118.0,121.6,118.0,121.2,9956790,[0 1]
20040823,121.5,121.5,118.5,118.5,2047748,[1 0]
20040824,118.65,119.0,118.46,118.46,2187205,[1 0]
20040825,117.01,119.0,117.01,119.0,3608310,[1 1]
20040826,120.0,120.0,118.0,118.0,1666991,[0 0]
20040827,118.99,118.99,117.0,117.0,1437179,[1 1]
20040830,114.06,124.98,114.06,117.4,4129257,[1 0]
20040831,117.5,118.3,114.01,116.0,3185559,[0 1]
20040901,116.0,117.0,115.1,115.1,2551790,[0 0]
20040915,114.8,116.5,114.8,116.0,2052410,[1 1]
20040916,114.51,118.0,114.51,118.0,1210121,[0 0]
20040917,118.9,120.0,118.01,119.0,7845868,[1 0]
20040920,121.0,121.0,118.01,119.27,3899634,[1 1]
20040921,118.0,120.0,118.0,119.0,2990020,[0 1]
20040922,119.8,119.8,118.11,118.11,1247485,[0 0]
20040923,118.0,118.5,117.9,117.9,3276210,[0 0]
20040924,118.0,118.05,117.65,117.65,3935220,[1 1]
20040927,117.75,118.8,117.0,117.1,4398215,[0 0]
20040928,116.0,117.99,116.0,117.5,2273144,[0 1]
20040929,117.5,118.1,117.2,118.1,3794450,[0 0]
20040930,118.01,119.0,117.11,118.01,5075318,[1 1]
20041001,119.0,124.5,119.0,124.5,7960600,[1 1]
20041015,131.5,135.8,131.0,134.2,5034287,[1 1]
20041018,135.7,135.7,133.0,134.9,2846470,[0 0]
20041019,135.0,137.09,133.11,134.4,5672652,[0 0]
20041020,135.0,135.0,130.03,133.89,4985957,[1 1]
20041021,134.99,142.48,134.99,142.48,6494010,[0 0]
20041022,141.5,145.0,141.5,141.5,7471420,[1 1]
20041025,143.0,143.0,140.0,140.5,5563284,[0 1]
20041026,141.89,142.9,140.13,140.36,2441744,[1 0]
20041027,141.5,141.5,140.0,140.5,2468910,[1 0]
20041028,140.5,144.0,140.5,142.9,5692511,[1 0]
20041029,144.5,145.0,140.0,141.3,10578355,[1 1]
20041101,140.0,142.5,140.0,141.28,2851262,[0 0]
20041116,142.0,142.0,139.01,141.0,1114972,[1 1]
20041117,140.0,140.6,139.0,139.95,2612518,[0 0]
20041118,140.0,140.0,137.15,137.15,4281335,[1 0]
20041119,139.0,139.0,136.14,136.14,4507709,[0 0]
20041122,137.95,138.99,136.1,137.0,5705039,[1 1]
20041123,138.56,142.99,138.56,139.5,10936802,[0 1]
20041124,140.0,142.5,140.0,140.06,5546182,[1 1]
20041125,141.0,143.36,140.5,142.98,4361734,[1 1]
20041126,142.98,148.0,142.0,148.0,5576004,[0 0]
20041129,149.0,149.0,145.05,148.9,7511527,[1 1]
20041130,149.0,149.0,147.0,147.02,8467031,[1 1]
20041201,149.0,151.75,148.5,151.75,9239393,[0 1]
20041227,55.0,55.72,54.5,55.31,2658729,[0 1]
20041228,55.0,55.5,54.22,54.5,1326982,[0 1]
20041229,54.1,56.19,53.67,54.55,3165106,[1 1]
20041230,54.5,55.99,54.5,54.8,970529,[1 0]
20050103,56.5,56.5,54.5,55.4,4872636,[1 0]
20050114,49.7,51.19,49.5,51.19,2653044,[1 1]
20050117,49.2,50.0,49.02,49.99,1755506,[1 0]
20050118,49.0,55.98,49.0,55.98,2179746,[1 1]
20050119,51.01,52.6,51.01,52.6,2721353,[1 0]
20050120,52.35,52.35,51.01,51.6,2087594,[0 1]
20050121,51.5,51.5,50.52,50.52,1626124,[0 0]
20050124,50.0,51.0,50.0,50.05,836116,[1 0]
20050126,50.15,51.4,50.15,50.9,1947325,[0 0]
20050127,52.0,52.0,51.0,51.5,2330313,[1 1]
20050128,51.6,51.89,51.0,51.0,1092651,[1 0]
20050131,53.0,55.5,53.0,55.5,4076300,[1 0]
20050201,55.0,55.0,53.0,53.01,3456737,[1 1]
20050216,69.49,70.0,67.09,67.7,4215684,[0 1]
20050217,68.0,68.55,67.8,67.85,2453525,[0 1]
20050218,68.1,68.1,66.2,67.6,3172527,[0 0]
20050221,67.6,67.6,65.21,65.62,3482099,[0 1]
20050222,66.0,67.3,65.8,67.0,1362842,[1 1]
20050223,67.5,67.6,66.21,67.6,3606963,[0 1]
20050224,68.3,70.5,68.2,70.5,3480064,[1 1]
20050225,70.95,71.97,68.51,70.01,5641211,[1 1]
20050228,70.0,70.0,64.0,70.0,5290642,[1 1]
20050301,70.4,72.0,70.0,71.0,5452766,[1 0]
20050314,72.51,72.97,71.0,71.0,2170930,[0 1]
20050315,71.5,72.0,66.55,66.55,1427338,[1 1]
20050316,69.6,69.6,68.0,69.5,4209661,[0 1]
20050317,69.5,71.8,69.5,71.6,1467539,[0 0]
20050318,71.0,71.49,69.72,69.81,1781847,[1 1]
20050321,71.0,71.88,68.02,68.5,1924040,[0 0]
20050322,71.1,71.1,70.0,70.0,3399871,[0 1]
20050323,69.5,69.5,68.0,68.0,2228836,[0 1]
20050324,69.0,69.87,69.0,69.1,450832,[0 0]
20050328,69.4,70.0,66.0,69.99,4095177,[1 0]
20050329,69.7,69.7,65.2,65.2,2898616,[0 1]
20050330,66.9,68.0,66.6,66.6,2911232,[0 1]
20050331,68.0,68.0,66.5,66.5,1767636,[1 1]
20050401,68.0,68.0,66.0,66.0,3041983,[1 0]
20050414,67.0,67.0,65.02,65.02,2570210,[1 1]
20050415,64.95,66.0,63.0,63.0,1006751,[0 1]
20050418,64.5,64.95,63.5,64.0,1864730,[1 0]
20050419,64.0,65.86,64.0,65.86,1257404,[0 1]
20050420,63.02,65.94,63.02,64.0,1681201,[0 0]
20050422,66.0,66.39,63.0,63.5,1878685,[0 1]
20050425,63.45,64.98,63.0,63.0,1285028,[1 0]
20050426,63.3,69.0,63.0,69.0,2620764,[1 0]
20050427,65.49,65.5,64.01,65.5,4052511,[0 1]
20050428,66.5,66.5,64.0,64.0,2586225,[0 1]
20050429,65.8,65.8,63.31,65.5,1247523,[0 1]
20050502,64.2,66.8,64.1,66.8,2526378,[1 0]
20050513,69.88,69.88,67.11,67.7,3008863,[0 0]
20050516,69.2,70.0,68.0,70.0,2496030,[1 0]
20050517,70.45,70.45,69.0,70.29,2499934,[1 1]
20050518,70.0,72.48,70.0,72.48,4406692,[0 0]
20050519,72.48,72.48,71.0,72.0,3186736,[0 1]
20050520,72.4,72.4,70.15,71.25,3720263,[1 0]
20050523,72.0,72.0,69.3,69.5,969800,[1 1]
20050524,68.11,69.2,65.0,69.2,3916484,[1 0]
20050525,69.5,69.94,68.4,69.7,4689112,[1 0]
20050527,69.66,70.0,68.8,70.0,1986809,[1 0]
20050530,69.0,70.19,69.0,69.2,3345538,[1 1]
20050531,70.88,70.88,68.51,68.51,2900687,[0 0]
20050601,70.0,70.1,69.5,69.52,2258006,[1 0]
20050614,71.05,73.0,70.0,73.0,2801734,[0 0]
20050615,73.75,73.75,71.5,71.8,1329995,[0 1]
20050616,71.0,73.45,71.0,72.9,2001903,[0 1]
20050617,72.8,74.49,72.8,74.49,2578919,[1 1]
20050620,74.49,74.49,73.0,73.5,4316436,[1 1]
20050621,74.0,75.4,72.56,74.0,2759095,[0 1]
20050622,74.0,74.0,72.0,74.0,2202486,[0 0]
20050623,73.5,74.5,72.2,74.5,2136323,[1 1]
20050624,73.5,73.5,72.75,73.25,1264750,[0 1]
20050627,73.4,75.0,73.0,75.0,5667826,[1 1]
20050628,75.05,76.7,74.5,76.7,2601206,[1 0]
20050629,77.2,77.5,75.5,76.55,2830277,[1 1]
20050714,77.0,77.0,76.04,76.04,2166849,[0 0]
20050715,77.0,77.0,76.2,76.7,2269327,[0 0]
20050718,77.0,79.2,77.0,79.19,2850413,[0 1]
20050719,78.7,78.7,77.0,78.2,2714625,[1 1]
20050720,78.0,78.25,77.0,77.1,2695464,[1 1]
20050721,79.2,80.0,77.5,77.5,1204936,[0 0]
20050722,77.9,78.0,77.0,77.0,3493841,[0 0]
20050725,77.0,77.0,75.0,75.0,3059802,[1 0]
20050726,74.0,76.79,74.0,74.0,2631553,[0 1]
20050727,76.0,76.5,76.0,76.5,859410,[1 0]
20050728,76.0,77.3,76.0,77.3,2870135,[0 1]
20050729,77.9,77.99,76.01,76.01,2025958,[1 0]
20050801,76.4,77.5,76.2,77.5,5380610,[1 1]
20050812,85.0,87.0,82.0,87.0,4060521,[0 1]
20050815,86.25,87.5,86.0,87.5,2836323,[0 1]
20050816,87.0,89.98,86.0,89.98,2210127,[0 0]
20050817,86.5,92.0,86.5,92.0,4523554,[1 1]
20050818,89.5,89.5,87.01,88.49,4104753,[0 1]
20050819,87.5,87.5,85.0,85.8,2736524,[0 0]
20050822,85.5,87.0,85.5,86.0,1749600,[0 0]
20050823,88.0,88.0,86.01,86.01,1550776,[0 0]
20050824,86.89,87.3,86.01,87.0,4185677,[1 0]
20050825,83.5,89.99,83.5,89.0,3009090,[0 1]
20050826,86.5,89.99,86.5,88.5,3524046,[1 1]
20050829,88.0,90.0,87.91,90.0,4435870,[0 1]
20050830,88.6,89.0,88.01,88.49,3215756,[1 0]
20050831,88.99,89.49,88.01,89.3,5197636,[1 1]
20050901,88.65,89.01,88.0,89.0,2829810,[1 1]
20050915,93.4,96.5,93.4,95.61,3036632,[1 0]
20050916,96.5,96.5,95.3,96.4,3057322,[0 1]
20050919,96.26,98.99,96.26,97.0,4980007,[1 1]
20050920,97.98,99.0,97.01,98.0,3575048,[1 0]
20050921,99.18,102.0,99.0,102.0,7949802,[1 0]
20050922,102.0,102.94,101.0,102.94,5185982,[0 0]
20050923,102.0,102.0,101.2,101.5,4374165,[0 1]
20050926,102.0,102.9,100.11,102.9,7501736,[1 1]
20050927,101.0,101.05,99.0,99.0,4489330,[1 1]
20050928,100.0,100.1,99.6,99.6,3600287,[0 1]
20050929,100.0,100.3,97.56,100.3,3254487,[0 1]
20050930,100.81,102.8,100.0,102.5,7104077,[1 0]
20051003,103.0,105.05,103.0,104.5,11336102,[0 0]
20051017,102.11,105.79,102.11,105.79,4437534,[1 0]
