date,open,max,min,close,volume,y
20080822,9.0,9.0,9.0,9.0,54000,[0 0]
20080901,9.0,9.0,9.0,9.0,51300,[0 0]
20080902,8.86,8.86,8.86,8.86,73538,[0 1]
20080912,8.9,8.9,7.3,7.3,13210,[0 0]
20080915,7.3,7.3,6.49,6.49,97098,[0 0]
20080918,4.97,4.97,4.85,4.85,34927,[1 1]
20080919,5.99,7.0,5.99,7.0,24378,[1 0]
20080926,6.5,6.5,6.5,6.5,24050,[0 0]
20081001,5.96,5.96,5.96,5.96,4172,[1 0]
20081020,2.5,2.5,2.5,2.5,250,[0 1]
20081027,2.5,2.5,2.5,2.5,1000,[1 1]
20081103,2.65,2.65,2.65,2.65,13780,[0 0]
20081104,2.67,2.67,2.67,2.67,19224,[0 0]
20081106,4.8,4.8,4.0,4.8,5360,[1 0]
20081110,4.8,4.8,3.5,3.5,7480,[0 1]
20081111,2.7,2.7,2.7,2.7,1620,[1 0]
20081114,2.5,2.5,2.5,2.5,500,[0 1]
20081117,2.7,2.7,2.7,2.7,8640,[0 0]
20081125,1.5,1.5,1.5,1.5,13200,[0 0]
20081126,1.4,1.4,1.4,1.4,12320,[0 0]
20081127,1.5,1.5,1.5,1.5,14400,[0 1]
20081201,1.56,1.65,1.56,1.65,10053,[1 1]
20081204,2.35,2.35,2.35,2.35,470,[1 0]
20081217,1.54,1.54,1.54,1.54,2002,[0 1]
20081219,1.54,1.54,1.54,1.54,1540,[1 0]
20081222,1.5,1.5,1.5,1.5,12450,[1 1]
20081226,1.5,1.5,1.5,1.5,4500,[0 0]
20090102,1.65,1.65,1.65,1.65,18810,[0 0]
20090106,1.65,1.65,1.65,1.65,3300,[1 0]
20090107,1.4,1.4,1.2,1.2,4220,[1 1]
20090108,1.67,1.67,1.67,1.67,9018,[0 1]
20090112,1.99,1.99,1.99,1.99,3980,[1 0]
20090202,1.61,1.61,1.6,1.6,17360,[1 1]
20090206,1.69,1.69,1.6,1.6,16855,[0 1]
20090213,1.7,1.7,1.7,1.7,850,[1 1]
20090216,1.7,1.7,1.61,1.61,16901,[1 1]
20090218,1.68,1.68,1.6,1.6,16390,[1 1]
20090304,1.5,1.5,1.5,1.5,3750,[1 0]
20090306,1.4,1.4,1.3,1.3,18540,[0 1]
20090311,1.3,1.3,1.2,1.2,12630,[0 1]
20090319,1.19,1.19,1.15,1.15,11847,[1 0]
20090401,1.12,1.12,1.12,1.12,112,[1 1]
20090407,1.18,1.18,1.18,1.18,5782,[0 1]
20090409,1.44,1.44,1.44,1.44,6048,[1 0]
20090415,1.52,1.52,1.52,1.52,152,[1 1]
20090416,1.6,1.65,1.6,1.65,24450,[1 1]
20090420,2.3,2.3,1.6,1.6,26960,[0 1]
20090422,1.6,1.6,1.6,1.6,1920,[1 1]
20090423,1.78,1.8,1.78,1.8,9668,[0 0]
20090511,3.4,3.49,3.4,3.4,27740,[0 0]
20090514,2.65,2.65,2.6,2.6,26050,[0 1]
20090518,2.74,2.74,2.74,2.74,2740,[0 0]
20090519,2.76,2.76,2.76,2.76,5520,[1 1]
20090526,2.7,2.7,2.54,2.6,61415,[1 0]
20090527,2.5,2.5,2.5,2.5,15250,[1 1]
20090601,2.5,2.5,2.5,2.5,2250,[0 1]
20090609,2.45,2.45,2.45,2.45,1470,[0 0]
20090615,2.9,2.9,2.9,2.9,10730,[0 1]
20090616,2.8,2.8,2.8,2.8,13160,[0 1]
20090617,2.9,2.9,2.9,2.9,24940,[0 1]
20090701,2.91,2.91,2.91,2.91,12222,[1 1]
20090702,2.91,2.91,2.91,2.91,4365,[0 0]
20090703,2.91,3.0,2.91,3.0,29190,[1 0]
20090707,3.11,3.11,3.1,3.1,13050,[1 1]
20090708,3.0,3.02,3.0,3.02,48738,[0 1]
20090710,3.4,3.4,3.15,3.16,55739,[0 1]
20090713,3.72,3.8,3.7,3.7,59970,[1 0]
20090720,3.57,3.57,3.57,3.57,14280,[0 0]
20090721,3.57,3.7,3.57,3.7,19798,[0 1]
20090722,3.85,3.85,3.85,3.85,20790,[1 0]
20090727,4.65,4.65,4.2,4.5,58737,[0 0]
20090728,4.79,4.79,4.79,4.79,479,[1 0]
20090729,4.95,4.95,4.9,4.9,6910,[0 0]
20090730,4.95,4.97,4.8,4.97,10377,[1 1]
20090803,5.15,5.15,5.15,5.15,59225,[0 1]
20090804,5.36,5.36,5.36,5.36,6432,[0 1]
20090805,5.15,5.15,5.15,5.15,10815,[1 1]
20090806,5.25,5.25,5.15,5.15,51560,[1 0]
20090807,5.25,5.25,5.25,5.25,7875,[0 1]
20090810,4.8,4.8,4.8,4.8,5760,[0 0]
20090812,4.81,4.81,4.81,4.81,3412,[0 1]
20090814,4.9,4.9,4.9,4.9,490,[1 1]
20090819,4.69,4.69,4.69,4.69,1407,[1 0]
20090820,4.8,4.8,4.75,4.75,57250,[0 1]
20090824,5.1,5.1,5.1,5.1,15810,[0 1]
20090826,5.1,5.1,5.05,5.05,57600,[1 0]
20090828,5.06,5.06,5.06,5.06,3542,[0 1]
20090831,5.1,8.0,5.1,8.0,100275,[0 1]
20090901,4.05,4.05,4.05,4.05,4860,[0 1]
20090902,5.2,5.2,5.2,5.2,520,[0 1]
20090903,5.4,5.4,5.4,5.4,540,[0 0]
20090904,5.75,6.05,5.75,6.05,32370,[0 1]
20090908,5.83,7.15,5.83,6.67,61065,[1 1]
20090909,6.18,6.18,6.18,6.18,46350,[0 0]
20090911,6.28,6.29,6.27,6.27,97999,[0 0]
20090914,6.4,6.4,6.37,6.37,133741,[0 1]
20090916,6.6,6.7,6.6,6.65,57995,[0 1]
20090921,6.24,6.24,6.24,6.24,6240,[0 0]
20090922,6.0,6.0,6.0,6.0,9000,[1 1]
20090924,5.93,5.93,5.93,5.93,41510,[1 0]
20090925,5.94,5.94,5.9,5.9,67396,[0 0]
20090928,6.0,6.0,4.5,4.5,32700,[0 0]
20090930,6.21,6.5,6.21,6.5,53670,[1 0]
20091001,6.04,6.04,6.04,6.04,22952,[0 1]
20091002,6.01,6.01,6.01,6.01,3606,[1 0]
20091005,6.17,6.4,5.99,6.16,100756,[1 0]
20091008,5.8,6.49,5.8,6.49,56275,[0 1]
20091009,6.49,7.0,5.98,7.0,13309,[1 0]
20091013,6.5,6.56,6.5,6.56,68740,[0 0]
20091014,6.8,6.8,6.5,6.69,48411,[1 0]
20091019,6.71,7.1,6.71,7.1,93872,[0 1]
20091021,6.5,6.5,6.5,6.5,2600,[1 1]
20091022,7.9,8.5,7.54,8.5,67108,[0 1]
20091023,8.01,8.5,7.9,8.5,105158,[0 1]
20091026,7.8,7.8,7.8,7.8,62400,[1 0]
20091028,6.21,6.21,6.0,6.0,93919,[1 0]
20091029,6.27,6.4,6.27,6.4,64220,[1 0]
20091030,6.0,6.0,6.0,6.0,24000,[0 1]
20091103,6.0,6.2,5.89,6.2,76265,[1 0]
20091105,6.12,6.12,6.12,6.12,23256,[1 0]
20091109,6.19,6.46,5.99,6.29,62529,[0 1]
20091110,6.3,6.46,6.0,6.4,158883,[0 1]
20091111,6.35,6.98,6.03,6.98,129104,[0 1]
20091112,6.0,6.0,5.94,5.94,23172,[1 0]
20091117,5.65,5.75,5.01,5.01,51158,[0 1]
20091118,5.9,6.48,5.9,6.48,101490,[0 1]
20091123,6.0,6.0,6.0,6.0,18600,[0 1]
20091124,6.0,6.08,5.81,6.04,19975,[0 1]
20091125,5.95,6.07,5.95,6.07,30952,[0 0]
20091126,5.84,5.84,5.4,5.7,58020,[1 0]
20091130,5.9,5.9,5.9,5.9,590,[1 1]
20091201,5.88,5.88,5.88,5.88,53508,[0 0]
20091202,6.05,6.45,5.75,6.45,170430,[0 1]
20091207,6.35,6.65,6.35,6.65,170432,[1 1]
20091208,6.65,6.65,6.5,6.5,56200,[0 1]
20091209,6.4,6.4,6.4,6.4,21120,[0 1]
20091210,6.19,6.19,6.0,6.0,81227,[0 0]
20091211,5.95,5.95,5.95,5.95,8925,[1 1]
20091216,6.52,6.52,6.52,6.52,13040,[1 1]
20091221,6.67,6.67,6.62,6.62,106415,[0 0]
20091222,6.5,6.5,6.5,6.5,6500,[1 0]
20091228,6.38,6.4,6.38,6.4,20472,[1 0]
20091229,6.15,6.15,6.15,6.15,8610,[0 1]
20091230,6.99,6.99,6.99,6.99,34950,[0 1]
20100104,6.5,6.99,6.5,6.99,196953,[1 0]
20100108,6.45,6.45,6.45,6.45,10320,[1 0]
20100111,6.45,6.45,6.33,6.33,43965,[1 0]
20100112,6.55,6.95,6.55,6.95,144950,[0 1]
20100113,7.23,7.23,7.23,7.23,68685,[0 1]
20100119,7.18,7.28,6.25,6.25,104600,[0 0]
20100121,7.25,7.25,7.25,7.25,21750,[1 1]
20100126,6.51,6.96,6.36,6.36,138324,[1 0]
20100128,7.1,7.1,6.51,6.51,54859,[1 0]
20100129,7.0,7.53,7.0,7.53,71590,[0 1]
20100201,8.14,8.14,7.7,8.14,93016,[1 1]
20100202,8.48,9.99,7.51,9.99,135991,[1 0]
20100203,8.52,8.77,8.52,8.77,97253,[1 0]
20100204,8.3,8.3,8.3,8.3,3320,[1 1]
20100205,8.77,8.77,8.77,8.77,87700,[0 0]
20100208,8.2,8.26,8.2,8.26,158338,[1 0]
20100209,8.17,8.46,7.92,7.92,124866,[1 0]
20100210,7.92,7.92,7.8,7.8,78948,[0 0]
20100212,8.0,8.6,8.0,8.23,155681,[1 0]
20100217,8.35,8.6,8.15,8.37,144500,[0 0]
20100218,8.38,8.38,8.38,8.38,12570,[0 1]
20100219,8.6,8.6,8.6,8.6,43000,[0 1]
20100222,8.6,8.6,8.37,8.37,56470,[0 0]
20100223,8.22,8.22,8.22,8.22,40278,[1 0]
20100224,8.6,8.62,8.6,8.62,43038,[0 0]
20100301,8.2,8.2,7.55,7.55,54590,[1 0]
20100305,8.05,8.89,8.05,8.89,149105,[0 0]
20100308,8.05,8.97,7.5,8.97,52339,[1 0]
20100309,9.0,9.15,8.45,8.45,356462,[0 0]
20100312,8.5,8.5,8.01,8.01,29686,[1 1]
20100315,8.72,8.72,8.4,8.65,97057,[1 0]
20100316,8.5,8.5,8.43,8.43,88162,[0 1]
20100317,8.33,8.92,8.33,8.92,45826,[0 1]
20100319,8.7,9.04,8.7,8.7,253714,[0 1]
20100322,8.6,9.05,8.6,9.05,87855,[0 0]
20100324,8.6,8.6,8.6,8.6,38700,[1 1]
