date,open,max,min,close,volume,y
20130429,16.67,16.92,16.15,16.57,328321224,[1 1]
20130430,16.62,17.06,16.5,17.02,98343663,[1 1]
20130502,17.0,17.49,16.98,17.49,127384450,[0 0]
20130503,17.4,17.84,17.32,17.7,311556900,[1 1]
20130506,17.71,17.99,17.68,17.93,230321771,[0 1]
20130507,17.8,17.93,17.3,17.84,119767329,[1 1]
20130508,17.8,17.87,17.38,17.54,54699339,[0 0]
20130509,17.46,17.75,17.36,17.72,69211815,[0 0]
20130510,17.7,17.94,17.58,17.89,134033722,[0 1]
20130513,17.76,17.88,17.45,17.75,45356538,[0 1]
20130514,17.7,18.02,17.7,17.97,206088383,[0 0]
20130515,17.95,18.52,17.82,18.2,288260387,[1 0]
20130516,18.27,18.69,18.2,18.69,134017238,[0 0]
20130517,18.69,18.88,18.51,18.68,120387666,[1 1]
20130520,18.75,18.75,18.26,18.5,48735937,[0 0]
20130521,18.48,18.48,18.1,18.45,47441991,[1 1]
20130522,18.39,18.54,17.92,18.28,53945573,[0 0]
20130523,18.0,18.1,17.75,17.9,28912170,[0 0]
20130524,17.7,18.02,17.59,17.96,35333418,[0 0]
20130527,17.98,18.19,17.8,17.93,32040660,[0 0]
20130528,18.11,18.3,17.96,18.3,53215856,[1 1]
20130529,18.0,18.3,17.71,18.1,18590449,[0 0]
20130531,18.0,18.3,17.85,18.06,40644932,[1 1]
20130603,18.31,18.4,17.89,18.3,46645641,[1 1]
20130604,18.19,18.19,17.76,17.9,17582396,[0 1]
20130605,17.78,18.06,17.51,17.83,19583374,[0 0]
20130606,17.75,17.9,17.59,17.8,23266937,[0 1]
20130607,17.7,17.96,17.52,17.92,20192283,[1 0]
20130610,17.7,17.99,17.7,17.94,25720517,[1 0]
20130611,17.93,17.93,16.99,17.41,21120431,[0 1]
20130612,17.46,17.68,17.11,17.35,19914575,[1 0]
20130613,17.1,17.74,16.99,17.74,31713077,[1 1]
20130614,17.77,18.25,17.51,18.1,72339436,[1 1]
20130617,18.14,18.19,17.95,18.05,42897663,[1 0]
20130618,18.0,18.14,17.79,17.9,33486123,[1 1]
20130619,17.9,18.0,17.28,17.28,13490470,[0 0]
20130620,17.27,17.4,16.71,17.05,16664515,[1 0]
20130621,17.11,17.2,16.8,17.05,12482958,[0 0]
20130624,17.0,17.09,15.93,17.0,14557781,[0 1]
20130625,16.7,17.15,16.48,16.83,10191316,[1 0]
20130626,16.9,16.9,16.64,16.74,5651761,[0 1]
20130627,16.8,17.5,16.71,17.29,20167750,[1 1]
20130628,17.17,17.84,17.04,17.51,33584290,[0 1]
20130701,17.3,17.9,17.28,17.47,23088040,[1 0]
20130702,17.5,17.77,16.8,17.09,22743880,[0 1]
20130703,17.0,17.5,16.9,17.21,13594070,[1 0]
20130704,17.12,17.71,17.12,17.65,20157962,[0 0]
20130705,17.5,17.8,17.33,17.69,22796135,[1 1]
20130708,17.5,18.1,17.45,17.95,47713279,[1 1]
20130710,17.83,17.99,17.03,17.65,18684906,[0 1]
20130711,17.65,17.93,17.51,17.89,13306768,[0 0]
20130712,17.65,17.83,17.56,17.7,10987141,[0 1]
20130715,17.5,17.75,17.26,17.51,11569612,[1 1]
20130716,17.5,17.6,17.09,17.3,9573352,[1 1]
20130717,17.4,17.97,17.3,17.8,31690930,[1 1]
20130718,17.63,18.38,17.61,17.81,63879385,[0 1]
20130719,17.85,18.03,17.76,17.76,18768626,[1 0]
20130722,17.9,18.09,17.88,18.09,29530435,[1 0]
20130723,17.95,18.03,17.9,18.0,20361048,[1 0]
20130724,18.0,18.0,17.7,17.87,10193203,[1 0]
20130725,17.75,18.17,17.75,18.12,38455726,[1 1]
20130726,18.0,18.28,17.85,18.27,26630155,[1 0]
20130729,18.0,18.4,17.97,18.1,28805923,[0 0]
20130730,18.02,18.35,18.02,18.35,24481002,[0 1]
20130731,18.22,18.49,18.16,18.45,45772418,[1 0]
20130801,18.45,18.78,18.0,18.69,63864372,[1 1]
20130802,18.2,19.09,18.2,18.95,63270389,[1 0]
20130805,18.82,19.5,18.68,19.4,68678252,[1 1]
20130806,19.31,19.48,18.96,19.33,50536814,[0 1]
20130807,19.2,19.84,19.1,19.69,76461054,[1 1]
20130808,19.5,19.97,19.02,19.86,51913360,[1 0]
20130809,19.71,19.96,19.4,19.71,37061500,[0 0]
20130812,19.85,20.06,19.44,19.56,42617701,[0 0]
20130813,19.5,19.78,19.45,19.58,30514681,[1 0]
20130814,19.58,19.75,19.12,19.5,24463757,[0 0]
20130815,19.4,19.63,19.0,19.4,23193100,[0 1]
20130816,19.36,19.7,18.94,19.2,22844409,[1 0]
20130819,19.23,19.29,18.6,18.6,15185336,[1 0]
20130830,18.83,19.17,18.83,19.17,233888900,[0 0]
20130902,19.0,19.24,18.85,19.19,142338464,[1 1]
20130903,19.0,19.29,18.86,19.19,141672464,[0 0]
20130904,19.1,19.29,19.05,19.14,75482915,[0 0]
20130905,19.08,19.63,19.07,19.61,195906519,[1 0]
20130906,19.4,19.97,19.4,19.9,111398841,[1 0]
20130909,19.77,20.55,19.73,20.5,190121532,[1 1]
20130910,20.28,20.7,20.05,20.49,86760480,[1 0]
20130911,20.51,21.1,20.5,20.81,88742605,[0 0]
20130912,20.6,21.0,20.6,21.0,54784210,[1 0]
20130913,20.8,21.08,20.61,20.95,50025552,[0 0]
20130916,20.89,21.02,20.57,20.73,36356621,[1 0]
20130917,20.73,21.25,20.69,21.2,65389920,[0 1]
20130918,21.13,22.0,21.13,21.82,74475100,[0 1]
20130919,21.81,21.98,21.17,21.66,33623612,[1 1]
20130920,21.55,21.7,21.42,21.5,22911658,[0 0]
20130923,21.5,21.55,20.4,21.29,32586852,[1 0]
20130924,21.07,21.55,21.06,21.43,32224380,[1 1]
20130925,21.35,21.87,21.22,21.87,33245934,[0 0]
20130926,21.66,22.1,21.51,22.09,50132285,[0 1]
20130927,21.8,22.13,21.61,22.11,31788894,[0 0]
20130930,21.9,22.0,21.63,21.79,31588743,[0 0]
20131001,21.7,22.4,21.6,22.4,78012282,[0 1]
20131002,22.2,22.4,22.0,22.1,29046788,[1 1]
20131003,22.05,22.15,21.3,21.53,20891475,[1 0]
20131004,21.6,21.78,21.35,21.5,16624334,[0 1]
20131007,21.6,22.0,21.42,22.0,28480425,[1 0]
20131008,21.81,22.4,21.77,22.2,37269555,[1 1]
20131009,22.3,22.83,22.12,22.76,56176414,[1 1]
20131010,22.65,23.31,22.65,23.31,52944045,[1 0]
20131011,23.22,23.42,23.13,23.42,29998543,[0 1]
20131014,23.2,23.77,22.93,23.48,30930715,[0 1]
20131015,23.6,23.74,23.2,23.65,32933407,[1 1]
20131016,23.51,23.84,23.35,23.64,33641649,[1 1]
20131017,23.5,23.89,23.35,23.89,28339281,[1 0]
20131018,23.8,24.32,23.71,24.25,43133859,[1 0]
20131021,24.15,24.53,24.11,24.11,30612717,[1 0]
20131022,24.2,24.34,23.5,24.25,27373508,[0 1]
20131023,24.05,24.15,23.5,23.55,23898006,[0 1]
20131024,23.54,23.85,23.25,23.85,26310665,[1 1]
20131025,23.8,23.95,23.75,23.75,17372695,[1 0]
20131028,23.85,23.85,23.5,23.8,15732990,[0 1]
20131029,23.75,23.94,23.55,23.61,18692658,[0 1]
20131030,23.73,24.01,23.55,24.01,29875623,[1 1]
20131031,24.0,24.42,23.62,24.4,89877814,[1 0]
20131101,24.2,24.7,24.16,24.65,63365242,[0 0]
20131104,24.61,24.77,24.01,24.18,42257890,[1 1]
20131105,24.17,24.35,23.9,23.9,23483014,[0 1]
20131106,23.85,23.95,23.0,23.38,23776883,[0 1]
20131107,23.0,23.53,23.0,23.19,20103304,[0 1]
20131108,23.0,23.4,22.7,23.35,25241877,[1 1]
20131111,23.2,23.85,23.2,23.55,19044534,[1 1]
20131112,23.55,23.9,22.75,22.99,22352239,[1 1]
20131113,22.9,23.82,22.73,23.78,22500549,[1 1]
20131114,23.53,24.3,23.5,23.81,39834597,[0 1]
20131118,24.05,24.43,23.8,23.98,22080620,[0 0]
20131119,24.1,24.25,23.32,23.63,17814351,[1 0]
20131121,23.5,24.25,23.5,24.01,33882404,[1 0]
20131122,23.79,24.36,23.6,24.18,27688296,[1 1]
20131125,24.1,24.37,24.0,24.11,20806272,[0 1]
20131126,24.1,24.37,24.0,24.21,28051119,[1 0]
20131127,24.2,24.35,24.0,24.35,19489162,[1 1]
20131128,24.3,25.39,24.3,25.11,62530132,[0 0]
20131129,25.1,25.6,25.1,25.25,45008444,[0 0]
20131202,25.0,25.5,25.0,25.16,35441397,[0 1]
20131203,25.3,25.41,24.72,25.0,32491225,[1 1]
20131204,25.09,25.25,24.37,24.64,19738867,[1 1]
20131205,24.5,24.76,24.04,24.2,14172562,[1 0]
20131206,24.12,24.52,24.04,24.09,14446231,[0 0]
20131209,24.05,24.5,24.01,24.25,29623073,[0 1]
20131210,24.38,24.99,23.91,24.25,23258587,[0 0]
20131211,24.25,24.45,24.09,24.13,17684407,[0 0]
20131212,24.35,24.47,23.11,24.0,18370151,[0 1]
20131213,23.6,24.29,23.28,24.0,14462057,[1 1]
20131216,24.1,24.43,23.83,24.05,17188816,[1 1]
20131217,24.0,24.38,23.81,24.28,17166581,[1 1]
20131218,24.06,24.69,24.0,24.25,23975787,[0 0]
20131219,24.2,24.6,24.11,24.45,16660521,[1 1]
20131220,24.01,24.6,24.01,24.25,13274265,[0 0]
20131223,24.25,24.43,24.0,24.15,14096699,[0 0]
20131226,23.85,24.2,23.62,23.65,15750484,[1 0]
20131227,23.61,24.1,23.61,24.08,17354960,[1 1]
20131230,23.76,24.5,23.76,24.27,14449337,[0 0]
20140102,24.06,24.49,23.74,23.82,14649080,[0 0]
20140103,23.81,24.0,23.37,23.72,11885994,[0 1]
20140106,23.3,23.8,22.87,23.13,17910482,[1 0]
20140107,23.0,23.28,22.6,22.86,17110493,[1 1]
20140108,22.91,23.29,22.82,23.29,15231713,[0 0]
20140109,23.1,23.24,22.05,22.5,19175612,[1 1]
20140110,22.51,23.15,22.5,23.15,14670919,[1 0]
20140113,22.6,23.23,22.6,23.1,19975515,[1 0]
20140114,23.0,23.5,23.0,23.5,12604632,[0 1]
20140115,23.42,24.04,23.42,23.98,23576411,[0 0]
