date,open,max,min,close,volume,y
20041001,60.0,60.0,60.0,60.0,432000,[0 1]
20041004,61.5,61.5,58.0,58.0,329400,[0 0]
20041006,61.99,62.0,61.99,62.0,223181,[1 1]
20041007,60.72,62.0,60.72,62.0,184720,[0 0]
20041014,62.0,62.0,61.0,61.0,173100,[0 1]
20041015,61.99,61.99,61.5,61.5,49543,[0 1]
20041018,69.0,69.0,69.0,69.0,6900,[0 0]
20041020,61.2,61.2,61.2,61.2,183600,[0 0]
20041025,61.2,61.2,61.2,61.2,85680,[0 1]
20041026,61.2,61.2,61.0,61.0,115980,[0 1]
20041027,61.71,61.71,61.7,61.7,370232,[0 1]
20041028,66.0,66.0,58.51,58.51,458900,[0 0]
20041101,68.9,68.9,68.9,68.9,6890,[0 0]
20041104,62.0,62.0,62.0,62.0,248000,[1 0]
20041105,61.0,61.0,61.0,61.0,1079700,[0 1]
20041108,61.0,61.0,61.0,61.0,67100,[0 1]
20041110,61.0,61.0,60.84,60.84,42668,[1 0]
20041111,59.5,60.18,59.5,60.18,186490,[1 0]
20041112,60.97,60.98,60.97,60.98,317046,[0 0]
20041116,60.98,60.98,60.98,60.98,97568,[0 1]
20041118,61.0,61.0,61.0,61.0,36600,[0 0]
20041119,57.0,57.0,57.0,57.0,114000,[0 0]
20041122,60.49,60.49,60.49,60.49,302450,[1 1]
20041123,60.0,60.2,59.5,60.2,438560,[0 1]
20041124,60.0,60.2,60.0,60.2,138140,[1 0]
20041125,61.0,61.0,59.5,59.5,609700,[0 0]
20041129,59.0,59.0,59.0,59.0,64900,[1 1]
20041130,60.0,60.5,60.0,60.5,806300,[1 0]
20041203,59.6,59.6,59.6,59.6,59600,[1 0]
20041206,59.6,59.6,59.6,59.6,387400,[0 1]
20041208,60.5,60.5,60.5,60.5,302500,[1 0]
20041210,60.5,60.5,60.5,60.5,6050,[1 1]
20041213,59.6,64.0,58.5,64.0,940190,[1 0]
20041228,60.0,65.0,60.0,65.0,49500,[1 0]
20041229,57.5,57.6,57.5,57.6,28780,[0 0]
20041230,58.0,65.0,58.0,65.0,35500,[1 0]
20050104,58.0,58.0,58.0,58.0,232000,[0 0]
20050106,57.8,57.8,57.8,57.8,57800,[0 1]
20050107,58.0,58.0,54.7,54.7,112054,[0 0]
20050112,55.0,55.0,54.0,54.0,270300,[0 1]
20050114,55.5,55.5,55.5,55.5,172050,[0 1]
20050120,56.0,56.0,55.32,55.32,251696,[0 0]
20050124,55.0,55.0,55.0,55.0,27500,[0 0]
20050126,55.0,55.0,55.0,55.0,22000,[1 0]
20050128,54.5,54.5,54.5,54.5,163500,[0 1]
20050131,55.0,55.0,55.0,55.0,110000,[0 1]
20050202,61.0,61.0,61.0,61.0,12200,[0 0]
20050204,55.5,56.0,55.5,56.0,527750,[1 0]
20050209,56.05,56.05,56.05,56.05,569050,[0 1]
20050215,57.0,57.0,56.1,56.1,187380,[0 0]
20050222,56.5,56.99,56.0,56.0,391095,[0 0]
20050223,56.1,56.1,55.0,55.0,776047,[1 0]
20050224,55.0,55.0,55.0,55.0,49500,[0 1]
20050225,56.5,56.5,56.5,56.5,480250,[0 0]
20050228,57.2,57.8,57.2,57.8,57680,[0 1]
20050301,58.0,58.0,58.0,58.0,34800,[1 0]
20050302,56.1,56.1,56.1,56.1,168410,[1 1]
20050303,56.0,58.0,56.0,58.0,827680,[1 0]
20050304,58.0,58.0,58.0,58.0,81200,[0 0]
20050307,57.0,57.0,57.0,57.0,228000,[0 0]
20050308,58.0,58.0,58.0,58.0,174000,[0 0]
20050309,58.8,58.8,58.8,58.8,176400,[1 0]
20050311,56.0,56.01,56.0,56.01,218427,[1 0]
20050314,58.5,58.5,58.0,58.0,69700,[1 0]
20050315,58.5,58.5,58.5,58.5,81900,[0 0]
20050316,58.5,59.0,58.5,59.0,70700,[1 0]
20050318,59.0,59.0,56.0,56.0,114400,[1 1]
20050323,61.0,61.0,60.0,60.0,189000,[1 1]
20050324,58.0,58.0,58.0,58.0,75400,[1 0]
20050328,58.0,58.0,58.0,58.0,87000,[0 1]
20050329,56.1,56.1,56.0,56.0,112100,[0 1]
20050330,57.5,57.5,57.5,57.5,57500,[1 1]
20050331,57.0,57.0,57.0,57.0,57000,[1 1]
20050420,55.0,55.0,55.0,55.0,82500,[0 0]
20050422,55.0,55.0,53.0,53.0,271505,[0 1]
20050429,55.0,55.0,53.0,53.0,419100,[0 0]
20050513,54.19,54.19,54.19,54.19,65028,[1 1]
20050517,50.01,50.01,50.0,50.0,60002,[0 1]
20050518,50.0,50.0,50.0,50.0,230000,[0 1]
20050520,49.0,49.0,49.0,49.0,19600,[0 0]
20050606,50.0,50.0,50.0,50.0,40000,[1 0]
20050607,50.01,50.01,47.0,47.0,58102,[0 0]
20050614,52.0,52.0,52.0,52.0,67600,[1 0]
20050617,52.0,52.0,52.0,52.0,52000,[1 1]
20050623,49.0,49.0,49.0,49.0,19600,[0 1]
20050624,49.0,49.0,49.0,49.0,29400,[0 0]
20050711,46.01,46.01,46.01,46.01,4601,[1 1]
20050713,48.4,48.4,48.4,48.4,169400,[0 1]
20050715,47.0,47.0,45.02,45.02,421902,[0 0]
20050718,45.02,45.02,44.0,44.0,292010,[0 0]
20050720,45.0,46.0,45.0,46.0,91500,[1 0]
20050725,45.0,45.0,44.5,44.5,44750,[0 0]
20050728,45.0,45.0,45.0,45.0,90000,[0 0]
20050729,45.0,45.0,45.0,45.0,157500,[1 0]
20050804,43.11,43.11,42.5,42.5,42683,[1 0]
20050810,44.5,44.5,44.5,44.5,22250,[1 1]
20050812,43.65,43.65,43.65,43.65,21825,[1 1]
20050815,42.0,42.0,42.0,42.0,252000,[0 1]
20050817,43.3,44.0,43.3,44.0,139160,[1 1]
20050818,44.0,44.0,44.0,44.0,57200,[1 0]
20050819,44.0,44.0,44.0,44.0,52800,[0 1]
20050822,42.0,42.0,42.0,42.0,84000,[0 0]
20050824,41.1,41.1,41.1,41.1,180840,[1 0]
20050825,44.0,44.0,44.0,44.0,92400,[1 1]
20050901,43.0,43.0,43.0,43.0,258000,[1 0]
20050908,40.02,40.04,40.0,40.04,80022,[0 0]
20050909,40.5,41.5,40.5,41.5,143250,[1 0]
20050912,40.5,40.5,40.5,40.5,24254,[1 0]
20050913,40.0,40.0,40.0,40.0,20000,[1 0]
20050914,35.01,40.0,35.0,40.0,262004,[0 0]
20050916,40.1,40.1,40.1,40.1,80200,[0 1]
20050920,42.0,42.0,42.0,42.0,21000,[1 0]
20050921,40.0,40.0,39.01,39.01,31703,[1 0]
20050926,41.3,41.3,41.3,41.3,41300,[0 1]
20050928,42.0,42.0,42.0,42.0,42000,[1 0]
20051003,43.0,50.0,43.0,50.0,465500,[0 1]
20051004,43.0,43.0,43.0,43.0,129000,[0 1]
20051013,42.0,42.0,42.0,42.0,21000,[1 1]
20051019,42.0,42.0,42.0,42.0,21000,[1 0]
20051020,42.0,42.0,42.0,42.0,8400,[1 0]
20051101,40.5,40.5,40.0,40.0,56100,[1 1]
20051107,40.0,40.0,40.0,40.0,100000,[0 0]
20051114,40.23,40.23,39.0,39.0,197952,[0 1]
20051117,40.0,40.0,40.0,40.0,40000,[1 1]
20051124,39.01,39.01,35.0,35.0,25703,[0 1]
20051125,36.0,36.0,36.0,36.0,28800,[1 0]
20051202,35.01,36.0,35.01,36.0,14301,[1 0]
20051205,38.0,38.0,38.0,38.0,57000,[0 0]
20051212,38.0,38.0,38.0,38.0,57000,[1 0]
20051213,38.0,38.0,38.0,38.0,38000,[0 1]
