date,open,max,min,close,volume,y
20070720,19.19,19.33,18.68,19.15,624843360,[0 1]
20070723,19.15,19.48,18.5,18.61,95216996,[0 1]
20070724,18.64,19.0,18.21,18.74,9166469,[1 1]
20070725,18.5,18.75,18.02,18.02,8362154,[0 0]
20070726,18.5,18.5,17.94,18.23,7462833,[0 1]
20070727,18.25,18.8,17.01,18.8,12739418,[0 0]
20070730,18.5,20.4,17.83,20.2,30189641,[1 1]
20070731,19.8,20.28,19.5,19.9,10844805,[0 1]
20070801,19.5,19.8,19.06,19.8,5668900,[0 0]
20070802,19.9,20.0,19.3,19.5,6060012,[0 1]
20070803,19.5,20.25,19.44,19.8,5413142,[0 0]
20070806,19.4,19.41,18.65,19.39,2093838,[1 1]
20070807,19.15,19.75,19.1,19.1,1879270,[1 1]
20070808,19.75,20.55,19.5,19.85,14310652,[0 1]
20070809,19.99,20.0,19.51,20.0,1362075,[0 0]
20070810,19.5,19.89,18.7,19.5,1855530,[1 1]
20070813,20.0,20.09,19.65,19.65,1741512,[0 1]
20070814,19.75,19.8,16.0,19.39,1833228,[0 1]
20070815,19.0,19.4,18.3,18.3,1694324,[0 0]
20070816,17.11,18.0,14.55,16.4,2253319,[0 0]
20070817,17.31,19.05,17.3,18.5,1462621,[0 0]
20070820,17.6,17.6,16.5,16.5,768735,[1 0]
20070821,16.7,16.8,16.5,16.5,505720,[0 0]
20070822,16.51,16.8,16.51,16.68,205628,[0 1]
20070823,16.55,16.8,16.4,16.8,675798,[1 0]
20070824,16.63,17.98,16.63,17.98,860877,[0 0]
20070827,18.48,18.88,17.05,18.88,1782534,[0 1]
20070828,18.05,18.22,18.0,18.0,975412,[1 1]
20070829,18.0,18.95,18.0,18.95,867827,[0 1]
20070830,18.2,18.8,18.0,18.8,743919,[0 1]
20070831,18.5,18.95,17.79,18.0,1552172,[0 1]
20070903,18.98,19.96,18.98,19.49,1236158,[1 1]
20070904,19.0,19.8,19.0,19.8,2801187,[1 0]
20070905,19.2,19.3,18.5,19.22,403234,[0 1]
20070906,19.4,19.6,19.4,19.55,1201158,[1 0]
20070910,19.0,19.5,18.51,19.5,952455,[1 0]
20070911,19.1,19.94,19.1,19.94,1846305,[1 0]
20070912,19.0,19.68,19.0,19.68,433588,[0 0]
20070913,17.01,19.5,17.01,19.5,1555461,[1 0]
20070914,19.0,19.45,17.51,19.45,948595,[1 0]
20070917,18.9,19.0,18.9,19.0,384990,[1 0]
20070918,18.88,18.95,17.01,18.95,677697,[0 1]
20070919,19.0,19.01,18.0,18.5,1228749,[0 1]
20070920,17.0,18.8,17.0,18.8,715779,[0 0]
20070921,17.5,18.98,17.5,18.75,478582,[1 1]
20070924,17.26,18.7,17.26,18.3,1338225,[1 1]
20070925,18.22,18.36,18.05,18.05,420125,[0 0]
20070926,18.5,18.5,17.26,17.67,598796,[1 0]
20070927,17.1,18.1,17.0,18.1,2061829,[0 0]
20070928,18.2,18.35,17.21,18.35,554828,[0 0]
20071001,18.35,18.35,17.55,17.55,459958,[0 1]
20071002,17.47,18.25,17.0,17.4,1172881,[1 0]
20071003,17.4,17.4,17.0,17.0,261990,[0 1]
20071004,17.2,17.3,16.85,16.85,626427,[0 1]
20071005,17.16,17.6,17.16,17.6,816549,[0 1]
20071008,17.1,18.25,17.1,18.2,1278295,[0 1]
20071009,18.0,18.38,18.0,18.38,194050,[0 0]
20071010,18.1,18.29,18.1,18.1,551081,[1 0]
20071011,18.3,18.3,17.12,18.24,692524,[0 0]
20071015,18.2,18.2,17.4,17.4,307900,[1 0]
20071016,17.78,18.0,17.78,18.0,158136,[1 1]
20071017,18.1,18.1,17.6,17.95,180560,[0 0]
20071018,17.95,18.2,17.9,18.2,238064,[1 1]
20071019,18.0,18.25,17.01,18.25,717514,[0 1]
20071022,18.0,18.5,18.0,18.48,1107139,[0 1]
20071023,17.85,19.1,17.59,19.1,5860104,[0 0]
20071024,17.51,19.1,17.51,17.72,1427723,[1 1]
20071025,18.5,18.5,17.51,17.51,477711,[0 1]
20071026,17.91,18.56,17.9,18.56,1154080,[1 0]
20071029,18.73,18.89,17.56,18.89,1164026,[1 0]
20071030,18.0,18.0,18.0,18.0,100800,[1 0]
20071031,18.0,18.4,17.54,18.4,595504,[0 0]
20071101,18.4,18.89,17.03,17.03,582962,[1 1]
20071105,17.9,17.9,17.15,17.15,397935,[0 1]
20071106,16.95,16.95,16.5,16.7,496422,[1 0]
20071107,16.8,16.8,15.7,15.7,226200,[0 0]
20071108,15.7,15.7,15.0,15.0,464258,[0 1]
20071109,15.43,15.68,14.5,15.68,272692,[0 1]
20071112,14.75,14.75,12.5,13.04,346088,[0 0]
20071113,13.71,14.79,13.71,14.79,107905,[1 1]
20071114,13.6,14.8,13.6,14.43,206260,[0 0]
20071116,15.0,15.0,14.2,14.8,124420,[0 0]
20071119,15.0,15.0,13.5,13.5,179845,[1 0]
20071122,12.6,13.0,12.51,12.51,148604,[1 1]
20071126,13.1,13.1,12.61,12.61,139200,[1 0]
20071127,12.85,12.85,12.6,12.6,140404,[0 0]
20071128,13.0,13.1,12.95,13.1,140256,[0 1]
20071129,12.5,13.23,12.1,12.4,533347,[0 1]
20071130,12.5,13.0,12.01,12.01,143663,[1 1]
20071203,12.26,12.26,12.25,12.25,84545,[1 1]
20071204,12.5,12.7,12.5,12.7,140109,[1 0]
20071205,13.5,13.5,13.26,13.26,469161,[1 0]
20071206,13.98,14.5,13.5,13.8,476821,[0 0]
20071207,13.8,13.8,13.4,13.4,369702,[0 0]
20071210,14.45,14.45,13.0,13.0,424316,[0 0]
20071211,13.3,13.38,13.01,13.3,287017,[1 1]
20071212,13.0,13.0,12.5,12.8,187030,[0 0]
20071213,12.25,12.8,11.43,12.8,638631,[1 1]
20071214,11.5,11.5,11.4,11.5,159230,[1 0]
20071217,10.69,10.69,10.68,10.68,82645,[1 1]
20071218,11.51,11.85,10.67,10.67,302502,[0 1]
20071219,11.7,11.7,10.54,10.54,56421,[0 0]
20071220,11.3,11.3,10.5,10.8,219277,[0 0]
20071221,10.51,11.3,10.51,11.3,262216,[0 0]
20071226,11.2,11.2,11.03,11.03,105775,[1 0]
20071227,10.75,10.75,10.4,10.4,159430,[1 0]
20071228,10.8,10.8,10.8,10.8,16200,[0 1]
20080102,10.99,11.06,10.5,10.5,210542,[0 0]
20080103,10.64,10.8,10.6,10.8,105224,[0 0]
20080104,11.03,11.03,10.4,10.4,154482,[1 0]
20080108,11.0,11.37,11.0,11.22,150275,[1 0]
20080109,11.89,11.89,10.44,10.44,420818,[1 0]
20080110,11.27,11.27,10.44,10.47,122839,[0 1]
20080111,10.65,10.65,10.2,10.2,457029,[0 0]
20080114,10.28,10.28,10.0,10.0,380112,[1 1]
20080115,9.84,9.85,9.78,9.83,189456,[0 0]
20080116,9.7,9.79,9.25,9.25,318718,[1 0]
20080117,9.79,9.79,9.05,9.05,334154,[1 0]
20080121,9.05,9.05,8.2,8.41,169090,[0 0]
20080122,9.5,9.97,8.6,8.6,176343,[1 0]
