date,open,max,min,close,volume,y
20010117,0.36,0.36,0.36,0.36,10800,[0 0]
20010119,0.36,0.36,0.36,0.36,1188,[0 1]
20010123,0.36,0.36,0.36,0.36,9540,[0 1]
20010605,0.18,0.18,0.18,0.18,5400,[1 0]
20010209,0.2,0.2,0.2,0.2,1000,[0 1]
20010330,0.2,0.2,0.2,0.2,10000,[0 1]
20010828,0.24,0.24,0.24,0.24,1968,[0 1]
20020117,0.27,0.27,0.27,0.27,2430,[0 1]
20020118,0.27,0.27,0.27,0.27,23463,[0 1]
20020122,0.27,0.27,0.2,0.2,10917,[1 0]
20020124,5.99,5.99,5.99,5.99,599,[0 0]
20020318,0.24,0.25,0.24,0.25,15481,[1 0]
20020409,0.28,0.28,0.28,0.28,14000,[1 0]
20021008,0.08,0.08,0.08,0.08,128,[1 0]
20021118,0.29,0.29,0.29,0.29,11600,[0 0]
20021209,0.1,0.1,0.1,0.1,760,[0 1]
20030326,0.21,0.21,0.21,0.21,399,[0 0]
20030530,0.15,0.15,0.15,0.15,210,[0 1]
20030714,0.2,0.2,0.2,0.2,1420,[0 1]
20030801,0.26,0.26,0.26,0.26,16120,[0 0]
20030819,0.26,0.26,0.26,0.26,10400,[1 0]
20030826,0.25,0.25,0.25,0.25,17500,[1 1]
20030911,0.22,0.22,0.22,0.22,660,[0 0]
20031008,0.3,0.3,0.3,0.3,5370,[0 1]
20031013,0.27,0.27,0.27,0.27,14067,[1 0]
20031107,0.5,0.5,0.5,0.5,50,[0 1]
20031110,0.24,0.24,0.24,0.24,4800,[1 0]
20031202,0.4,0.4,0.4,0.4,320,[0 1]
20040114,0.28,0.28,0.28,0.28,2800,[1 0]
20040216,0.28,0.28,0.28,0.28,280,[1 0]
20040304,0.28,0.28,0.28,0.28,4704,[0 1]
20040402,0.2,0.2,0.2,0.2,4000,[0 0]
20040603,0.3,0.3,0.3,0.3,2100,[1 0]
20040628,0.3,0.3,0.3,0.3,30,[0 0]
20040630,0.3,0.3,0.3,0.3,150,[0 1]
20040728,0.19,0.19,0.19,0.19,7600,[1 1]
20040816,0.25,0.25,0.25,0.25,3800,[0 1]
20040817,0.2,0.2,0.19,0.19,2889,[1 1]
20040825,0.25,0.25,0.25,0.25,2000,[0 1]
20040901,0.19,0.19,0.19,0.19,12768,[0 0]
20040902,0.19,0.19,0.19,0.19,7638,[0 0]
20040916,0.3,0.3,0.3,0.3,5070,[0 1]
20041005,0.19,0.19,0.19,0.19,2337,[0 1]
20041015,0.23,0.23,0.23,0.23,1012,[0 0]
20041101,0.3,0.3,0.3,0.3,1020,[0 1]
20041108,0.3,0.3,0.3,0.3,2580,[1 0]
20041122,0.3,0.3,0.3,0.3,6480,[1 1]
