date,open,max,min,close,volume,y
20080526,8.93,9.5,8.93,9.5,1647200,[0 1]
20080527,9.6,9.6,8.11,8.6,1888500,[0 1]
20080528,8.85,9.0,8.8,9.0,5073800,[0 1]
20080529,9.0,9.35,8.62,8.62,2070800,[1 0]
20080530,8.62,8.84,8.31,8.84,1857900,[0 0]
20080613,7.7,7.7,7.7,7.7,2233000,[1 0]
20080616,7.8,7.99,7.8,7.99,555500,[1 0]
20080617,8.0,8.0,8.0,8.0,1760000,[0 0]
20080618,7.96,7.96,7.96,7.96,1592000,[1 0]
20080619,7.5,7.5,7.2,7.2,671000,[1 0]
20080620,7.11,7.5,7.11,7.13,5148500,[1 0]
20080623,7.13,7.9,7.13,7.9,1053800,[1 0]
20080624,7.5,7.5,7.5,7.5,525000,[0 1]
20080625,7.5,8.2,7.5,7.69,1359800,[0 0]
20080626,7.7,7.7,7.64,7.64,11254400,[0 0]
20080630,7.6,7.78,7.01,7.48,14706200,[1 0]
20080714,7.15,7.5,6.81,6.91,8907400,[0 0]
20080715,6.77,7.25,6.77,7.25,2079000,[1 0]
20080716,6.77,7.0,6.55,6.55,3804000,[1 1]
20080717,6.55,6.61,5.56,6.61,3269300,[0 1]
20080718,6.25,6.27,6.25,6.25,1314500,[0 0]
20080721,6.41,6.5,6.41,6.5,2140000,[0 1]
20080722,6.87,7.0,6.5,6.5,1135200,[1 1]
20080723,6.9,7.29,6.71,7.0,8371500,[0 0]
20080724,7.0,7.0,7.0,7.0,420000,[0 1]
20080725,7.0,7.0,7.0,7.0,490000,[0 0]
20080728,7.29,7.45,7.0,7.32,5419600,[1 1]
20080729,6.85,7.39,6.85,7.1,3658700,[0 0]
20080730,7.11,7.28,7.05,7.07,3048100,[0 1]
20080731,6.65,6.9,6.65,6.8,1569500,[1 1]
20080814,6.6,6.6,6.6,6.6,924000,[1 1]
20080815,6.8,6.8,6.7,6.7,1695000,[1 0]
20080818,6.6,6.6,6.6,6.6,528000,[1 0]
20080819,6.59,6.59,6.59,6.59,131800,[1 0]
20080820,6.6,6.6,6.2,6.2,1094000,[0 1]
20080821,6.7,6.7,6.5,6.7,668000,[0 0]
20080822,6.7,6.98,6.7,6.7,2705800,[1 1]
20080825,7.15,7.3,6.61,7.3,1729800,[1 0]
20080826,7.5,7.6,7.3,7.4,3199500,[0 1]
20080912,6.4,6.4,5.8,5.8,1701000,[1 1]
20080915,5.8,6.25,5.72,6.25,599300,[1 0]
20080916,5.76,6.19,5.76,6.19,367100,[0 1]
20080917,6.19,6.19,6.19,6.19,2414100,[1 1]
20080918,5.31,5.31,5.3,5.3,212300,[1 0]
20080922,6.23,6.23,5.37,5.93,292200,[0 0]
20080923,6.0,6.0,5.89,5.98,1010900,[1 1]
20080924,5.96,6.2,5.9,6.18,8967800,[0 1]
20080926,5.8,5.97,5.8,5.97,5013100,[0 0]
20080929,6.15,6.26,5.2,5.2,6766400,[0 0]
