date,open,max,min,close,volume,y
20070419,16.3,17.4,15.68,16.81,15107310500,[0 0]
20070420,16.9,16.94,16.56,16.6,415136800,[0 0]
20070423,16.6,16.65,16.5,16.54,994405500,[0 1]
20070424,16.5,16.74,16.25,16.45,2598302500,[0 0]
20070425,16.5,16.55,16.3,16.3,610008400,[0 1]
20070426,16.25,16.3,15.73,16.25,756663500,[0 0]
20070427,16.2,16.9,16.0,16.9,453910400,[1 0]
20070430,16.3,16.3,16.1,16.29,452485600,[1 1]
20070502,16.5,16.5,16.0,16.2,581726400,[0 0]
20070503,16.1,16.26,16.0,16.0,126841500,[1 0]
20070504,16.19,17.0,16.11,16.6,253682800,[0 1]
20070507,16.2,16.5,16.2,16.36,77034700,[1 1]
20070508,16.2,16.24,15.95,16.1,144188700,[1 1]
20070509,16.1,16.5,16.1,16.5,78943900,[0 1]
20070510,16.48,16.5,16.25,16.3,284635700,[1 0]
20070511,16.3,16.51,16.25,16.49,80158700,[0 0]
20070514,16.5,16.64,16.27,16.5,129489200,[0 0]
20070515,16.59,16.6,16.12,16.4,41156300,[0 0]
20070516,16.4,16.5,16.3,16.4,214798100,[1 1]
20070517,16.4,16.7,16.1,16.6,293204100,[1 0]
20070518,16.69,16.69,16.35,16.56,25569000,[0 0]
20070521,16.26,16.6,16.21,16.51,1360390600,[1 0]
20070522,16.6,17.0,16.6,17.0,134311500,[1 0]
20070523,17.35,18.2,16.83,18.0,611359500,[0 1]
20070524,18.0,18.19,17.57,18.19,471692000,[1 0]
20070525,18.3,18.8,18.3,18.35,226962800,[0 1]
20070528,18.35,18.7,18.35,18.7,47429800,[0 0]
20070529,18.5,18.9,18.4,18.5,62563400,[1 0]
20070530,18.21,18.9,18.2,18.85,61726500,[1 1]
20070531,19.0,20.49,19.0,20.19,147278000,[1 1]
20070601,20.0,21.0,19.7,19.76,668814400,[1 0]
20070604,20.4,20.94,19.6,19.6,114752600,[1 0]
20070605,19.61,19.61,19.5,19.6,48602900,[0 0]
20070606,19.3,20.0,19.01,19.59,143515200,[0 1]
20070608,19.01,19.01,18.89,19.0,56589100,[0 1]
20070611,18.9,18.9,18.5,18.7,40530200,[0 0]
20070612,18.9,18.9,17.8,17.8,4090100,[0 0]
20070613,18.2,18.74,17.9,17.99,84050500,[1 1]
20070614,18.4,18.5,18.4,18.5,189618800,[0 0]
20070615,18.6,18.7,18.3,18.51,159559600,[1 0]
20070618,18.89,18.9,18.37,18.37,98742000,[0 0]
20070619,18.05,18.05,17.19,17.19,263151900,[1 0]
20070620,17.26,17.26,16.8,16.89,1129288700,[0 1]
20070621,17.0,18.0,17.0,18.0,1664050900,[0 1]
20070622,18.0,18.0,17.85,17.9,297216000,[1 0]
20070625,17.7,18.01,17.7,18.0,39949000,[1 0]
20070626,18.06,18.2,17.8,17.8,131153800,[1 0]
20070627,17.75,17.75,17.3,17.43,177108000,[0 0]
20070628,17.89,17.95,17.5,17.5,261919000,[0 0]
20070629,18.0,18.3,17.8,18.0,194832000,[1 0]
20070702,18.1,18.1,17.61,18.0,61726400,[1 0]
20070703,17.8,17.9,17.6,17.6,192145300,[0 1]
20070704,17.89,17.9,17.8,17.9,45952900,[1 1]
20070705,17.9,17.9,17.42,17.7,644532100,[1 1]
20070706,17.75,17.75,17.4,17.44,104435400,[1 0]
20070710,17.44,17.65,16.9,17.58,137107100,[1 0]
20070711,17.59,17.6,17.21,17.25,67508000,[1 0]
20070712,17.1,17.75,17.1,17.75,129435200,[0 1]
20070713,17.9,19.27,17.7,18.8,2016475600,[1 0]
20070716,18.9,19.12,18.1,19.1,831601900,[0 1]
20070717,19.1,20.0,18.99,20.0,1001903400,[1 1]
20070718,20.0,20.1,19.45,20.1,142766600,[1 1]
20070719,20.0,20.0,19.51,19.8,226663800,[0 1]
20070720,19.8,20.0,19.41,19.9,162891700,[0 0]
20070723,19.98,19.98,19.5,19.5,35229500,[0 0]
20070724,19.2,19.6,18.3,18.78,68902200,[0 1]
20070725,18.3,18.5,17.5,17.99,235834700,[0 0]
20070726,18.0,18.0,16.69,17.24,702574600,[1 0]
20070727,17.23,17.5,17.0,17.45,139174600,[0 0]
