date,open,max,min,close,volume,y
20070419,16.29,17.36,15.15,16.7,260980673,[0 0]
20070420,16.94,16.94,16.5,16.65,16279675,[0 1]
20070423,16.3,16.7,16.3,16.59,6208336,[0 1]
20070424,16.35,16.8,16.3,16.3,6254984,[0 1]
20070425,16.42,16.5,16.01,16.32,2464882,[0 1]
20070426,16.24,16.29,15.7,16.15,3672773,[0 0]
20070427,16.0,16.25,15.76,16.25,2214195,[1 0]
20070430,16.69,16.69,16.2,16.25,714311,[1 0]
20070502,16.5,16.5,16.01,16.39,1644672,[0 1]
20070503,16.1,16.17,15.9,15.9,844258,[1 0]
20070504,16.0,16.87,16.0,16.7,2060080,[1 1]
20070507,16.5,16.58,16.0,16.5,933023,[1 1]
20070508,16.25,16.4,16.06,16.4,422546,[1 0]
20070509,16.4,16.5,16.15,16.5,637586,[1 1]
20070510,16.27,16.3,16.25,16.3,325588,[1 0]
20070511,16.39,16.5,16.02,16.5,727801,[1 0]
20070514,16.49,16.49,16.39,16.49,238475,[0 0]
20070515,16.49,16.52,16.08,16.19,583000,[0 1]
20070516,16.38,16.4,16.3,16.4,720240,[1 1]
20070517,16.3,16.6,16.16,16.6,669959,[0 1]
20070518,16.6,16.7,16.22,16.5,628422,[0 1]
20070521,16.3,16.6,16.1,16.6,859153,[0 1]
20070522,16.5,16.9,16.5,16.9,1291784,[0 0]
20070523,16.9,18.01,16.9,17.99,2918653,[0 1]
20070524,17.69,18.05,17.69,18.05,1365943,[0 0]
20070525,18.1,18.75,17.66,18.75,863367,[0 0]
20070528,18.45,18.7,18.4,18.7,805374,[1 0]
20070529,18.75,18.89,16.71,18.89,1199113,[1 1]
20070530,18.2,19.0,18.0,19.0,1019277,[1 1]
20070531,19.0,20.05,19.0,20.0,1299965,[1 1]
20070601,20.0,20.55,19.7,19.7,1052681,[0 0]
20070604,20.2,20.2,19.73,19.73,353187,[0 1]
20070606,19.0,20.0,19.0,19.7,378000,[0 0]
20070608,18.8,19.39,18.8,19.39,75790,[1 1]
20070611,18.0,18.95,18.0,18.6,488002,[0 0]
20070612,18.6,18.75,17.01,17.5,342041,[0 1]
20070613,18.01,18.01,18.0,18.0,100824,[1 0]
20070614,18.1,18.15,18.1,18.15,362415,[0 0]
20070615,18.5,18.6,18.3,18.3,159350,[0 1]
20070618,19.0,19.0,17.0,17.0,190525,[0 1]
20070619,17.35,18.37,17.35,18.37,438336,[0 0]
20070620,17.1,17.24,16.9,17.0,438841,[1 0]
20070621,17.0,18.35,17.0,18.35,470510,[1 0]
20070622,17.8,17.8,17.0,17.0,58080,[0 1]
20070625,17.0,18.01,17.0,17.9,242169,[0 0]
20070626,17.91,18.19,17.7,17.7,539911,[0 0]
20070627,17.7,17.7,17.49,17.49,332097,[0 0]
20070628,17.3,17.3,17.3,17.3,10380,[0 1]
20070629,17.26,18.37,17.26,18.05,476111,[0 1]
20070702,18.2,18.2,17.6,17.6,233640,[0 0]
20070703,17.6,17.6,17.6,17.6,114400,[1 1]
20070704,17.86,17.86,17.6,17.6,226580,[1 1]
20070705,17.9,17.9,17.21,17.21,680744,[1 0]
20070706,17.55,17.75,17.22,17.22,459597,[0 1]
20070710,17.5,18.0,17.2,17.22,455935,[0 1]
20070711,17.4,17.4,17.4,17.4,109620,[0 0]
20070712,17.15,17.79,16.99,17.79,510218,[1 1]
20070713,18.0,19.0,18.0,18.49,778282,[0 0]
20070716,18.3,19.0,18.3,18.52,704678,[1 0]
20070717,18.5,20.0,18.01,20.0,1547500,[1 1]
20070718,19.0,20.1,18.11,20.1,1022424,[1 0]
20070719,20.0,20.0,20.0,20.0,170000,[0 0]
20070720,17.81,19.5,17.81,18.41,391726,[0 0]
20070723,19.8,19.94,17.67,17.67,553055,[1 0]
20070724,19.5,19.69,18.86,18.86,83960,[1 1]
20070725,17.81,17.83,17.5,17.5,141375,[1 0]
20070726,17.36,17.36,16.8,16.9,405999,[0 0]
20070727,17.15,17.4,17.15,17.35,217605,[0 1]
20070731,17.5,17.9,17.5,17.9,177020,[0 0]
20070801,17.0,17.0,17.0,17.0,85000,[0 0]
20070802,17.2,17.2,16.52,16.52,370660,[0 0]
20070803,16.52,16.52,15.99,15.99,484550,[1 1]
20070806,16.5,16.5,15.01,16.0,165577,[0 0]
20070808,16.7,17.2,16.7,17.2,253000,[0 0]
20070809,17.28,17.28,16.49,16.49,119653,[1 1]
20070810,15.9,15.9,15.9,15.9,100170,[0 1]
20070813,16.0,16.0,15.7,15.7,63700,[1 0]
20070814,15.9,15.9,15.02,15.02,143720,[0 0]
20070815,15.05,15.11,14.0,15.05,128901,[1 0]
20070816,13.9,13.9,12.0,12.99,154065,[1 0]
20070817,14.5,14.5,13.4,13.4,150200,[0 1]
20070820,13.5,13.5,13.0,13.0,425310,[1 1]
20070821,13.5,13.5,12.91,12.91,119580,[0 0]
20070822,12.9,13.63,12.78,13.63,530193,[0 0]
20070823,12.91,12.91,12.9,12.9,52906,[1 1]
20070824,12.95,13.8,12.9,13.8,459328,[0 1]
20070827,13.01,13.01,13.01,13.01,2602,[1 0]
20070828,13.0,13.8,12.5,12.5,266064,[0 1]
20070829,12.8,17.0,12.6,16.8,225017,[0 1]
20070830,13.95,14.0,13.95,14.0,254550,[0 1]
20070831,14.19,14.19,13.9,13.95,315609,[0 0]
20070903,14.51,14.51,13.92,13.92,598148,[0 0]
20070904,13.85,14.0,13.25,13.25,547219,[1 0]
20070905,13.27,13.27,13.2,13.2,91890,[1 1]
20070906,13.0,13.0,12.5,13.0,436750,[1 0]
20070910,12.6,12.6,12.1,12.1,187760,[0 0]
20070911,12.6,12.6,12.51,12.51,247261,[1 0]
20070912,13.0,13.0,12.02,12.02,148840,[1 1]
20070913,12.0,12.95,12.0,12.95,329595,[0 0]
20070914,12.08,12.08,12.05,12.05,54285,[1 0]
20070917,11.7,11.7,11.3,11.5,285665,[1 1]
20070918,11.62,11.7,11.45,11.7,317093,[0 0]
20070919,12.8,12.8,12.4,12.7,321240,[0 0]
20070920,12.95,14.1,12.95,13.7,426215,[0 1]
20070921,13.85,14.85,13.7,14.8,573034,[1 1]
20070924,14.9,15.89,14.8,15.8,3557508,[0 0]
20070925,15.75,16.13,15.03,15.8,2758926,[0 0]
20070926,16.5,16.9,15.5,15.5,5019481,[0 0]
20070927,15.89,15.89,15.35,15.6,1953144,[0 0]
20070928,16.38,16.9,15.2,15.2,2900955,[0 1]
20071001,15.72,16.79,15.72,15.99,1769664,[0 0]
20071002,16.1,16.1,15.0,15.8,2670989,[0 1]
20071003,15.8,15.96,14.2,14.3,2047490,[0 1]
20071004,14.31,15.0,14.31,14.95,554957,[0 1]
20071005,15.3,15.3,15.0,15.0,1203378,[0 1]
