date,open,max,min,close,volume,y
19980527,0.65,0.65,0.65,0.65,650000,[0 0]
19980528,0.64,0.65,0.63,0.63,2451000,[0 0]
19980601,0.61,0.63,0.6,0.6,428000,[0 0]
19980602,0.63,0.63,0.59,0.59,422000,[0 0]
19980603,0.58,0.59,0.58,0.59,8014000,[0 0]
19980604,0.59,0.59,0.59,0.59,944000,[1 0]
19980605,0.58,0.58,0.58,0.58,522000,[1 0]
19980608,0.58,0.58,0.58,0.58,232000,[0 0]
19980609,0.57,0.57,0.57,0.57,855000,[0 0]
19980615,0.55,0.55,0.53,0.55,2060000,[1 0]
19980616,0.55,0.55,0.55,0.55,110000,[0 0]
19980617,0.56,0.57,0.56,0.57,617000,[0 1]
19980618,0.55,0.55,0.54,0.54,4014000,[0 0]
19980619,0.55,0.55,0.54,0.55,1150000,[1 0]
19980622,0.55,0.55,0.54,0.54,1945000,[0 0]
19980623,0.55,0.55,0.54,0.54,1808000,[0 0]
19980624,0.54,0.54,0.54,0.54,54000,[1 0]
19980625,0.54,0.54,0.54,0.54,324000,[0 1]
19980626,0.55,0.55,0.53,0.53,639000,[0 0]
19980629,0.55,0.55,0.55,0.55,110000,[0 0]
19980630,0.55,0.55,0.54,0.55,2070000,[0 0]
19980701,0.54,0.54,0.54,0.54,432000,[0 0]
19980702,0.54,0.54,0.54,0.54,432000,[0 0]
19980703,0.53,0.53,0.53,0.53,53000,[0 1]
19980708,0.55,0.55,0.55,0.55,880000,[0 0]
19980710,0.54,0.54,0.54,0.54,432000,[0 1]
19980713,0.54,0.54,0.54,0.54,540000,[0 0]
19980715,0.55,0.55,0.55,0.55,880000,[1 0]
19980716,0.56,0.56,0.54,0.55,2866000,[1 0]
19980720,0.54,0.54,0.54,0.54,1080000,[0 1]
19980811,0.5,0.5,0.49,0.49,5385000,[0 0]
19980812,0.49,0.5,0.48,0.49,8762000,[1 0]
19980813,0.48,0.49,0.48,0.49,5831000,[1 0]
19980814,0.49,0.51,0.49,0.51,1849000,[0 1]
19980817,0.5,0.5,0.49,0.5,5409000,[1 0]
19980818,0.5,0.5,0.48,0.48,1576000,[0 0]
19980819,0.5,0.5,0.49,0.49,7305000,[1 0]
19980820,0.47,0.49,0.47,0.49,4188000,[1 0]
19980821,0.48,0.48,0.47,0.47,5712000,[0 0]
19980824,0.49,0.49,0.47,0.47,4197000,[0 0]
19980825,0.47,0.48,0.47,0.47,5270000,[0 0]
19980826,0.46,0.46,0.46,0.46,4324000,[1 0]
19980827,0.46,0.46,0.44,0.44,3651000,[1 1]
19980831,0.45,0.45,0.44,0.44,268000,[1 1]
19980901,0.45,0.45,0.44,0.44,1365000,[1 1]
19980902,0.42,0.43,0.4,0.43,8731000,[0 0]
19980903,0.39,0.41,0.39,0.41,396000,[0 0]
19980904,0.39,0.39,0.38,0.38,1506000,[1 0]
19980908,0.4,0.4,0.4,0.4,200000,[0 0]
19980909,0.4,0.4,0.4,0.4,160000,[1 0]
19980910,0.38,0.38,0.37,0.37,408000,[1 0]
19980911,0.35,0.39,0.34,0.37,11436000,[1 0]
19980914,0.4,0.4,0.4,0.4,800000,[1 0]
19980915,0.4,0.4,0.4,0.4,400000,[0 0]
19980921,0.4,0.4,0.4,0.4,2000000,[1 0]
19980923,0.4,0.42,0.4,0.42,284000,[1 0]
19980929,0.39,0.39,0.39,0.39,39000,[1 0]
19980930,0.42,0.42,0.42,0.42,84000,[0 1]
19981002,0.39,0.4,0.39,0.4,2382000,[1 0]
19981006,0.39,0.39,0.39,0.39,975000,[0 0]
19981009,0.41,0.41,0.41,0.41,246000,[1 0]
19981014,0.39,0.39,0.38,0.38,1184000,[1 0]
19981016,0.38,0.38,0.38,0.38,38000,[0 1]
19981020,0.39,0.39,0.39,0.39,39000,[1 0]
19981021,0.38,0.39,0.38,0.39,618000,[0 0]
19990326,0.45,0.45,0.45,0.45,90000,[0 0]
19990329,0.45,0.45,0.42,0.42,645000,[1 1]
19990331,0.42,0.42,0.42,0.42,3780000,[0 0]
19990405,0.43,0.43,0.43,0.43,46225000,[0 1]
19990406,0.45,0.45,0.45,0.45,1125000,[1 0]
19990407,0.43,0.44,0.43,0.43,7657000,[0 0]
19990408,0.42,0.45,0.42,0.43,639000,[0 0]
19990409,0.43,0.43,0.43,0.43,688000,[0 1]
19990413,0.44,0.44,0.44,0.44,44000,[0 0]
19990414,0.43,0.43,0.43,0.43,1290000,[0 0]
19990415,0.44,0.44,0.44,0.44,17864000,[0 0]
19990416,0.44,0.44,0.44,0.44,1100000,[0 0]
19990419,0.44,0.44,0.44,0.44,88000,[0 0]
19990420,0.43,0.43,0.43,0.43,516000,[1 1]
19990422,0.44,0.44,0.43,0.43,130000,[0 0]
19990423,0.43,0.43,0.43,0.43,387000,[1 1]
19990426,0.43,0.43,0.43,0.43,43000,[1 0]
19990427,0.43,0.43,0.42,0.42,4428000,[0 0]
19990430,0.44,0.44,0.43,0.43,9097000,[0 0]
19990503,0.42,0.42,0.42,0.42,210000,[1 0]
19990506,0.45,0.45,0.43,0.44,4212000,[0 0]
19990507,0.45,0.47,0.45,0.47,15371000,[0 0]
19990510,0.49,0.49,0.48,0.48,1018000,[1 1]
19990511,0.49,0.49,0.49,0.49,3038000,[0 0]
19990512,0.49,0.5,0.49,0.5,2990000,[0 0]
19990513,0.52,0.55,0.52,0.54,6893000,[1 0]
19990514,0.56,0.56,0.54,0.54,5005000,[0 0]
19990517,0.53,0.53,0.52,0.52,1736000,[1 1]
19990518,0.52,0.52,0.52,0.52,52000,[0 0]
19990519,0.53,0.53,0.52,0.52,525000,[1 0]
19990521,0.53,0.53,0.53,0.53,159000,[0 1]
19990525,0.52,0.52,0.52,0.52,520000,[1 1]
19990526,0.51,0.52,0.51,0.52,8895000,[0 0]
19990527,0.51,0.52,0.51,0.52,1037000,[1 0]
19990528,0.52,0.53,0.52,0.53,5158000,[0 0]
19990601,0.51,0.52,0.51,0.51,1081000,[0 1]
19990602,0.53,0.53,0.52,0.52,885000,[1 0]
19990604,0.52,0.52,0.51,0.51,3492000,[0 0]
19990607,0.52,0.52,0.52,0.52,2340000,[0 0]
19990609,0.52,0.52,0.5,0.5,6491000,[0 1]
19990610,0.52,0.52,0.51,0.51,5570000,[0 0]
19990611,0.51,0.51,0.51,0.51,1275000,[0 0]
19990614,0.51,0.51,0.51,0.51,3570000,[1 0]
19990615,0.51,0.51,0.51,0.51,612000,[1 1]
19990616,0.51,0.52,0.51,0.52,562000,[0 1]
