date,open,max,min,close,volume,y
20071220,24.45,25.0,24.15,24.15,1711000,[0 0]
20071221,24.11,24.18,24.11,24.12,6270700,[0 0]
20071226,24.2,24.2,24.0,24.0,3611700,[0 1]
20071227,23.91,23.91,23.0,23.1,6249900,[0 0]
20071228,23.0,23.05,23.0,23.05,2531000,[0 1]
20080102,23.05,23.06,23.05,23.05,2074700,[1 1]
20080103,23.05,23.5,23.05,23.5,700500,[0 1]
20080104,23.01,23.01,22.5,22.5,1828300,[0 0]
20080108,22.02,22.3,22.01,22.3,2650600,[1 0]
20080109,22.3,23.0,22.01,22.01,1559700,[1 0]
20080110,22.03,22.75,22.02,22.2,3562500,[1 0]
20080111,22.3,22.3,22.3,22.3,446000,[0 0]
20080114,22.4,22.41,22.4,22.41,1118300,[0 0]
20080115,22.2,22.2,22.05,22.05,885000,[1 1]
20080116,22.05,22.29,21.6,22.29,5938800,[1 0]
20080118,22.3,22.3,21.5,21.7,1094000,[0 1]
20080121,21.0,21.1,20.5,20.5,3353000,[0 0]
20080122,20.4,21.0,20.4,21.0,1464000,[0 0]
20080123,21.0,21.0,19.5,20.0,3840000,[1 0]
20080129,20.5,20.5,20.1,20.5,816000,[0 0]
20080131,20.49,20.49,20.07,20.1,2018500,[1 1]
20080201,20.7,20.7,20.7,20.7,5382000,[0 0]
20080206,20.07,20.7,20.07,20.7,1416700,[0 1]
20080207,20.7,20.7,20.7,20.7,207000,[0 1]
20080220,19.5,19.5,19.5,19.5,1170000,[0 1]
20080221,19.11,19.11,19.1,19.1,2101100,[1 0]
20080225,19.0,19.0,19.0,19.0,190000,[0 1]
20080227,19.3,19.3,19.3,19.3,193000,[0 0]
20080228,20.64,22.5,20.64,22.5,2112900,[0 0]
20080229,22.7,22.7,22.7,22.7,454000,[0 0]
20080303,20.5,20.5,20.15,20.5,2230500,[0 1]
20080304,20.35,20.35,20.3,20.3,609500,[1 1]
20080305,20.4,21.0,20.4,21.0,2052500,[1 1]
20080306,21.0,21.0,20.41,20.41,2670600,[1 0]
20080307,20.4,20.4,20.4,20.4,408000,[1 0]
20080310,20.15,20.15,20.0,20.0,803000,[0 0]
20080313,19.5,19.5,19.01,19.01,385100,[1 1]
20080314,19.5,19.5,19.05,19.05,1157000,[0 0]
20080317,19.0,19.0,18.75,18.75,1317500,[0 0]
20080318,18.7,18.7,18.63,18.65,559800,[0 0]
20080319,18.65,18.65,18.01,18.01,919400,[1 0]
20080320,18.11,18.11,18.11,18.11,181100,[0 0]
20080324,18.5,18.5,18.5,18.5,370000,[0 0]
20080325,18.7,18.7,18.0,18.0,3079100,[0 1]
20080326,18.0,18.0,18.0,18.0,4500000,[0 0]
20080327,18.0,18.0,17.8,17.8,1978000,[1 0]
20080328,18.0,18.0,18.0,18.0,2878900,[0 0]
20080331,18.0,18.0,17.2,17.2,5461700,[1 1]
20080401,17.49,17.49,17.35,17.48,1917600,[1 0]
20080402,17.47,17.47,17.15,17.15,520900,[1 0]
20080403,17.2,17.3,17.2,17.3,2070500,[0 0]
20080404,17.5,17.5,17.5,17.5,350000,[1 0]
20080410,17.5,17.5,17.5,17.5,1750000,[1 0]
20080414,17.02,17.02,17.0,17.0,1020700,[1 1]
20080416,17.03,17.03,17.03,17.03,170300,[0 1]
20080417,17.1,17.1,17.0,17.0,2214200,[1 0]
20080418,17.01,17.01,17.0,17.0,340100,[0 0]
20080422,17.0,17.0,17.0,17.0,1870000,[0 0]
20080423,16.99,17.0,16.99,17.0,2379500,[0 0]
20080425,17.0,17.0,17.0,17.0,170000,[0 0]
20080428,16.55,16.55,16.51,16.51,826700,[0 0]
20080429,16.5,16.5,16.2,16.2,3925900,[1 0]
20080430,16.49,16.8,16.49,16.8,1657900,[1 0]
20080514,16.74,17.5,16.74,17.1,15779500,[0 1]
20080515,17.5,19.8,17.5,18.05,2721000,[0 0]
20080516,18.03,19.0,18.03,19.0,738300,[0 0]
20080519,19.4,20.5,19.21,20.5,7862000,[0 0]
20080520,20.49,20.8,20.49,20.8,4102100,[1 0]
20080521,21.0,21.0,20.2,20.2,2297000,[0 1]
20080523,20.2,22.0,20.2,22.0,4739500,[0 0]
20080526,21.5,22.1,21.5,22.0,4618900,[1 0]
20080527,21.5,21.5,21.5,21.5,860000,[0 0]
20080528,21.1,21.5,21.1,21.5,426000,[1 0]
20080529,22.0,22.3,22.0,22.3,6383000,[1 0]
20080530,22.3,22.47,21.01,22.47,880800,[1 0]
20080603,21.05,21.85,19.9,21.85,4239500,[0 0]
20080604,21.01,21.01,20.63,21.0,6293100,[0 0]
20080605,21.0,21.0,21.0,21.0,210000,[0 1]
20080606,21.0,21.0,21.0,21.0,1050000,[0 0]
20080609,20.4,20.5,20.03,20.5,1631600,[0 0]
20080611,19.75,19.75,19.63,19.63,1376000,[1 0]
20080612,20.95,20.95,20.95,20.95,209500,[1 0]
20080613,19.35,19.35,19.3,19.3,580000,[0 1]
20080616,19.31,19.31,19.1,19.2,1540500,[1 1]
20080617,19.2,19.2,19.12,19.12,383200,[0 0]
20080618,19.12,19.12,19.0,19.0,1903200,[0 0]
20080619,18.75,19.0,18.74,19.0,4342200,[0 0]
20080623,19.0,19.0,19.0,19.0,760000,[1 0]
20080625,19.0,19.3,19.0,19.3,956000,[1 0]
20080626,18.63,18.63,18.0,18.0,2170200,[0 1]
20080627,18.0,18.0,17.63,17.63,536300,[1 1]
20080630,18.49,18.49,18.49,18.49,184900,[1 0]
20080701,17.52,17.52,17.02,17.5,1906400,[0 1]
20080707,17.06,17.06,17.0,17.0,1703700,[0 0]
20080708,16.5,16.5,16.3,16.3,1803800,[0 0]
20080710,16.5,16.5,16.5,16.5,165000,[1 0]
20080711,17.0,17.0,17.0,17.0,680000,[0 1]
20080724,17.8,17.8,17.8,17.8,712000,[1 1]
20080725,17.8,17.8,17.5,17.5,2103000,[1 0]
20080728,18.25,18.25,18.25,18.25,182500,[1 0]
20080729,16.64,17.9,16.64,17.9,524400,[1 0]
20080801,17.9,17.9,16.63,17.9,1061300,[1 0]
20080804,16.64,16.64,16.63,16.63,831600,[1 0]
20080805,16.38,17.5,16.38,17.5,994000,[0 1]
20080806,16.36,16.36,16.36,16.36,327200,[0 1]
20080807,16.5,16.5,16.5,16.5,825000,[0 0]
20080808,16.36,16.36,16.12,16.12,324800,[0 0]
20080812,16.5,16.5,16.5,16.5,4785000,[1 1]
20080815,17.0,17.45,17.0,17.4,3452000,[1 1]
20080818,17.0,17.0,17.0,17.0,1190000,[0 1]
20080819,17.3,17.3,17.3,17.3,865000,[1 1]
20080820,18.0,18.0,18.0,18.0,180000,[1 0]
20080821,17.5,17.5,17.5,17.5,350000,[0 0]
20080825,17.01,17.01,17.0,17.0,1530300,[1 1]
20080827,17.0,17.0,17.0,17.0,340000,[0 0]
20080901,16.6,16.6,16.6,16.6,498000,[0 1]
20080902,16.55,16.55,16.4,16.4,4298500,[0 0]
20080903,16.4,16.4,16.4,16.4,3280000,[0 0]
20080904,16.31,16.31,16.0,16.0,1286200,[1 0]
20080909,16.01,16.01,15.0,15.0,2460100,[1 1]
20080910,15.0,15.0,15.0,15.0,450000,[1 0]
20080912,14.98,14.98,14.98,14.98,149800,[0 1]
20080915,14.99,14.99,14.0,14.0,5360000,[1 1]
20080916,14.01,14.01,14.01,14.01,420300,[1 0]
20080917,13.0,14.0,13.0,14.0,1710000,[0 1]
20080918,14.98,14.99,14.95,14.95,748600,[1 0]
20080919,14.01,14.51,14.01,14.51,12880700,[1 1]
20080922,14.3,14.3,14.3,14.3,572000,[0 1]
20080929,15.0,15.55,15.0,15.55,1083000,[0 0]
20080930,15.1,15.2,15.1,15.2,909000,[1 1]
20081001,15.2,15.2,15.2,15.2,304000,[1 1]
20081002,14.0,14.0,14.0,14.0,1260000,[1 1]
20081006,14.0,14.0,12.51,13.28,4575300,[0 1]
20081007,12.5,12.5,12.0,12.0,1225000,[0 1]
20081008,12.0,12.0,11.5,11.5,1290000,[0 0]
20081009,11.51,11.51,11.51,11.51,575500,[0 0]
20081010,11.5,11.5,11.5,11.5,115000,[0 1]
20081013,11.5,11.5,11.5,11.5,1150000,[0 0]
20081014,11.6,11.6,11.6,11.6,232000,[0 1]
20081016,11.6,11.6,11.6,11.6,1160000,[0 1]
20081020,10.51,10.51,10.51,10.51,525500,[0 1]
20081021,11.0,11.0,11.0,11.0,110000,[0 0]
20081023,10.61,10.61,10.12,10.12,207300,[0 1]
20081024,10.11,10.11,10.0,10.0,1202100,[0 1]
20081027,10.05,10.05,10.0,10.0,200500,[1 0]
20081028,9.87,9.87,9.87,9.87,197400,[0 1]
20081029,10.0,10.2,10.0,10.2,506000,[0 0]
20081030,10.5,10.6,10.5,10.6,211000,[1 0]
20081103,10.15,10.15,10.0,10.0,506000,[0 1]
20081104,10.51,10.51,10.51,10.51,5255000,[0 0]
20081105,10.5,10.5,10.5,10.5,9135000,[0 1]
20081106,10.5,10.5,10.5,10.5,6825000,[0 1]
20081111,10.5,10.5,10.5,10.5,1155000,[0 0]
20081118,10.5,10.5,10.5,10.5,315000,[1 1]
20081119,10.5,10.5,10.5,10.5,6825000,[1 0]
20081121,10.2,10.2,10.2,10.2,408000,[1 0]
20081124,11.5,11.5,11.5,11.5,230000,[0 1]
20081201,11.5,11.5,11.5,11.5,460000,[1 0]
20081203,11.5,11.5,11.5,11.5,690000,[0 1]
20081209,10.5,10.51,10.5,10.51,1155100,[0 0]
20081211,10.51,10.51,10.3,10.3,313200,[0 0]
20081216,10.32,10.5,10.3,10.5,6196200,[0 0]
20081218,10.5,10.5,10.5,10.5,3465000,[0 1]
20081219,10.9,10.9,10.9,10.9,109000,[0 0]
20081222,10.9,10.9,10.9,10.9,109000,[1 1]
20081223,10.9,10.9,10.9,10.9,218000,[0 0]
20081226,10.91,10.91,10.91,10.91,3818500,[0 0]
20090112,12.7,12.8,12.0,12.0,1982000,[0 0]
20090114,12.7,12.7,12.7,12.7,381000,[1 0]
20090115,12.7,12.7,12.7,12.7,127000,[0 1]
20090119,12.7,12.7,12.7,12.7,3175000,[1 0]
20090120,12.35,12.35,12.35,12.35,123500,[0 1]
20090122,12.0,12.0,12.0,12.0,840000,[0 1]
20090123,12.0,12.0,12.0,12.0,120000,[0 1]
20090128,12.0,12.0,12.0,12.0,16920000,[0 0]
20090211,12.01,12.01,12.01,12.01,120100,[1 1]
20090216,12.01,12.01,12.01,12.01,480400,[0 0]
20090311,12.49,12.49,12.49,12.49,249800,[0 0]
20090312,12.3,12.3,12.3,12.3,123000,[0 0]
20090316,11.65,11.65,11.0,11.0,226500,[1 0]
20090318,11.21,11.21,11.01,11.01,1323200,[0 0]
20090324,11.8,12.0,11.8,12.0,356000,[0 0]
20090325,12.6,13.0,12.5,12.5,3976000,[1 0]
20090326,13.0,13.0,13.0,13.0,260000,[0 1]
20090330,13.0,13.0,13.0,13.0,130000,[1 0]
20090401,12.9,12.9,12.9,12.9,387000,[0 0]
20090402,13.0,13.0,13.0,13.0,650000,[0 1]
20090406,13.0,13.0,13.0,13.0,780000,[1 0]
20090407,13.0,13.0,13.0,13.0,260000,[0 0]
20090408,13.0,13.0,13.0,13.0,260000,[1 0]
20090409,12.2,12.2,12.12,12.12,486400,[1 0]
20090413,12.5,12.5,12.5,12.5,500000,[0 0]
20090414,12.2,12.2,12.2,12.2,122000,[1 1]
20090415,12.2,12.2,12.2,12.2,122000,[1 0]
20090416,12.51,12.51,12.5,12.5,250100,[0 0]
20090420,12.7,12.7,12.7,12.7,508000,[1 1]
20090423,12.8,12.8,12.8,12.8,256000,[1 0]
20090424,13.0,13.6,13.0,13.6,1203000,[0 0]
20090427,12.65,12.65,12.65,12.65,126500,[1 0]
20090428,13.2,13.2,13.2,13.2,528000,[1 1]
20090429,13.55,13.55,13.2,13.2,2551500,[1 1]
20090430,13.3,13.49,13.2,13.49,3988900,[0 1]
20090504,13.3,13.3,13.2,13.2,2389000,[0 0]
20090505,13.07,13.9,13.07,13.3,1347400,[0 0]
20090507,13.08,13.2,13.08,13.2,1186800,[1 1]
20090511,13.7,13.8,13.7,13.8,2749700,[0 1]
20090515,13.25,13.3,13.25,13.25,3048500,[0 0]
20090518,13.7,13.7,13.2,13.2,9114800,[0 0]
20090519,13.36,13.6,13.3,13.6,8797500,[0 0]
20090520,13.6,13.99,13.5,13.5,2726800,[0 0]
20090521,13.6,13.7,13.4,13.6,4487300,[0 1]
20090522,13.6,13.6,13.6,13.6,5984000,[1 0]
20090525,13.6,13.6,13.6,13.6,6664000,[1 0]
20090526,13.6,13.6,13.5,13.5,6091600,[0 0]
20090527,13.6,13.6,13.5,13.5,4890000,[0 0]
20090528,13.6,13.6,13.6,13.6,7888000,[1 1]
20090529,13.6,14.0,13.6,14.0,9396000,[0 1]
20090601,14.0,15.0,14.0,14.95,3157500,[1 1]
20090602,15.0,15.0,15.0,15.0,3000000,[1 1]
20090603,15.0,15.0,14.89,14.9,1642400,[1 0]
20090604,15.2,15.2,15.2,15.2,304000,[0 1]
20090608,14.6,15.3,14.59,15.27,2964100,[1 0]
20090610,15.98,15.98,15.98,15.98,319600,[0 1]
20090612,16.48,17.44,16.48,17.35,2585900,[0 1]
20090615,17.08,17.08,17.08,17.08,170800,[0 0]
20090616,17.08,17.08,16.1,16.1,4379800,[1 0]
20090617,15.7,15.7,15.58,15.58,5162900,[0 0]
20090618,15.9,15.9,15.9,15.9,2544000,[1 0]
20090622,16.4,16.4,16.4,16.4,328000,[1 0]
20090624,16.16,16.16,16.16,16.16,1131200,[0 1]
20090625,16.0,16.0,16.0,16.0,480000,[0 1]
20090629,15.04,15.2,14.8,14.81,2537800,[0 0]
20090630,16.15,16.15,15.0,15.0,1061500,[0 1]
20090714,14.3,14.8,14.25,14.8,2288500,[1 0]
20090715,14.8,14.8,14.8,14.8,1924000,[1 1]
20090716,14.8,14.8,14.79,14.79,1923800,[0 1]
20090717,14.8,14.8,14.3,14.3,434100,[1 0]
20090720,14.3,14.6,14.3,14.5,1726100,[1 1]
20090721,14.8,14.8,14.5,14.5,583000,[1 1]
20090722,14.6,14.6,14.6,14.6,438000,[1 1]
20090723,16.48,16.48,16.48,16.48,329600,[0 0]
20090727,16.58,16.6,16.58,16.6,663800,[1 0]
20090728,16.0,16.0,16.0,16.0,320000,[0 1]
20090730,15.9,15.9,15.9,15.9,3180000,[0 0]
20090803,15.91,15.91,15.91,15.91,159100,[0 1]
20090804,15.96,15.96,15.95,15.95,1435700,[1 0]
20090805,16.45,16.7,16.0,16.7,2601400,[1 0]
20090810,17.0,17.0,16.8,16.8,1346000,[1 1]
20090811,16.51,16.8,16.51,16.8,993500,[1 1]
20090812,16.85,16.85,16.51,16.51,333600,[1 1]
20090814,17.15,17.3,17.15,17.3,516500,[1 0]
20090817,16.9,18.0,16.9,18.0,4385800,[0 1]
20090818,18.0,18.0,18.0,18.0,2520000,[0 1]
20090821,18.9,18.9,18.3,18.3,738000,[0 0]
20090824,18.99,19.0,18.99,19.0,1519900,[1 1]
20090904,18.49,18.49,18.49,18.49,739600,[0 0]
20090908,18.5,18.5,18.49,18.5,2959800,[0 0]
20090909,18.49,18.5,18.49,18.5,8509000,[0 1]
20090910,18.5,18.5,18.5,18.5,6660000,[0 1]
20090911,18.49,18.89,18.49,18.89,5747400,[0 0]
20090914,18.99,19.0,18.99,19.0,949700,[0 0]
20090915,19.2,19.7,19.2,19.7,773000,[0 1]
20090916,20.0,20.4,20.0,20.4,404000,[0 1]
20090917,20.3,20.6,20.3,20.6,5893000,[0 0]
20090918,20.0,22.0,20.0,22.0,1040000,[1 0]
20090921,22.0,22.0,22.0,22.0,1320000,[1 0]
20090922,23.5,23.5,22.49,23.45,1594000,[0 0]
20090923,22.01,22.99,20.0,22.99,12309400,[0 1]
20090924,22.22,23.48,22.0,23.48,5233700,[0 1]
20090925,22.01,22.7,22.01,22.7,2207900,[0 0]
20090930,22.0,22.0,22.0,22.0,440000,[0 1]
20091001,22.0,22.0,22.0,22.0,3520000,[1 0]
20091005,22.0,22.0,21.5,21.8,2389000,[0 1]
20091006,21.6,21.6,21.6,21.6,4320000,[1 0]
20091007,21.0,21.62,21.0,21.62,1476200,[0 0]
20091008,21.11,21.11,21.11,21.11,633300,[0 1]
20091009,21.11,21.11,21.11,21.11,633300,[1 1]
20091013,21.01,21.01,21.0,21.0,840200,[0 0]
20091015,21.01,21.07,21.01,21.05,2315700,[0 1]
20091019,21.02,21.02,21.01,21.01,1260700,[0 0]
20091020,21.5,21.5,21.5,21.5,430000,[1 1]
20091023,21.0,21.29,21.0,21.29,842900,[0 1]
20091026,21.3,21.59,21.3,21.59,428900,[1 1]
20091027,21.4,21.4,21.4,21.4,642000,[1 0]
20091029,20.2,21.4,20.02,21.4,1220400,[1 1]
20091030,20.0,20.0,20.0,20.0,200000,[1 1]
20091103,21.5,21.5,21.5,21.5,430000,[0 0]
20091104,21.5,21.5,21.0,21.0,2559000,[0 0]
20091105,21.34,21.34,21.34,21.34,213400,[0 0]
20091109,21.39,21.45,21.39,21.45,1285500,[0 0]
20091110,21.45,21.45,21.44,21.45,3860500,[1 0]
20091126,20.11,20.11,20.11,20.11,201100,[0 1]
20091127,21.5,21.5,21.5,21.5,215000,[0 1]
20091201,21.0,21.0,20.5,21.0,3338000,[0 1]
20091202,20.56,20.62,20.56,20.62,2468400,[0 0]
20091203,20.6,21.0,20.5,21.0,1655000,[0 1]
20091207,20.95,20.95,20.95,20.95,2095000,[0 1]
20091208,20.95,20.95,20.5,20.5,5412000,[1 0]
20091210,20.75,20.75,20.75,20.75,1867500,[0 1]
20091211,20.5,20.5,20.5,20.5,1025000,[0 1]
20091215,20.5,20.5,20.11,20.11,611100,[0 0]
20091216,20.11,20.12,20.11,20.11,4223500,[1 0]
20091217,20.25,20.5,20.11,20.25,4242900,[0 1]
20091218,20.48,20.48,20.0,20.0,1614500,[1 0]
20091221,20.5,20.5,20.5,20.5,2665000,[0 0]
20091222,20.2,20.2,20.2,20.2,202000,[0 1]
20091223,20.0,20.39,19.72,19.72,4182800,[0 0]
20091228,19.75,19.75,19.75,19.75,197500,[0 0]
20091229,20.48,20.5,20.48,20.5,1639400,[0 1]
20091230,21.0,21.0,21.0,21.0,420000,[0 1]
20100104,21.0,21.0,21.0,21.0,3360000,[0 1]
20100105,20.7,21.2,20.7,21.2,2110000,[1 0]
20100106,21.0,21.0,21.0,21.0,1260000,[0 1]
20100107,20.7,20.7,20.7,20.7,828000,[1 1]
20100108,20.8,20.8,20.8,20.8,208000,[1 1]
20100111,21.2,21.2,21.2,21.2,4452000,[0 0]
20100112,20.9,21.1,20.5,21.1,3346000,[0 0]
20100113,21.1,21.1,21.1,21.1,2110000,[0 1]
20100114,21.15,21.2,20.6,21.2,16234700,[0 0]
