date,open,max,min,close,volume,y
20071029,12.56,12.56,12.56,12.56,37680,[0 1]
20071030,12.2,12.2,12.0,12.0,85300,[0 0]
20071031,12.8,13.0,12.8,13.0,12900,[1 0]
20071101,12.1,12.5,11.7,12.5,292900,[0 0]
20071105,12.2,12.3,11.85,12.3,333575,[1 0]
20071106,12.49,12.6,12.0,12.59,735600,[1 1]
20071107,12.2,12.25,12.2,12.2,230875,[1 0]
20071108,12.3,12.4,11.8,11.8,204030,[1 0]
20071109,11.5,11.99,11.31,11.31,105251,[1 0]
20071112,11.31,12.0,11.31,11.95,327650,[1 0]
20071113,11.0,11.75,11.0,11.03,206030,[1 0]
20071114,11.75,12.13,10.51,12.13,886799,[0 1]
20071116,12.0,12.25,12.0,12.24,364075,[0 0]
20071119,12.12,12.25,10.01,12.25,419361,[0 0]
20071121,12.0,12.0,11.7,11.7,21390,[0 0]
20071122,10.85,12.0,10.85,12.0,231001,[1 0]
20071123,11.95,11.99,11.51,11.99,321509,[0 1]
20071126,11.95,12.0,11.51,12.0,560539,[1 0]
20071127,12.0,12.1,11.5,11.5,528110,[0 1]
20071128,11.51,12.0,11.51,12.0,137250,[0 0]
20071129,11.5,12.0,11.5,11.51,426522,[1 1]
20071130,11.56,11.85,11.56,11.85,248625,[1 0]
20071203,11.85,12.08,11.51,11.65,163608,[1 0]
20071204,11.31,11.5,11.31,11.5,114430,[1 0]
20071205,11.5,11.85,11.5,11.85,366610,[0 1]
20071206,11.3,12.0,11.3,11.5,422930,[0 0]
20071211,11.7,11.7,11.3,11.3,51070,[1 0]
20071212,11.31,11.5,11.0,11.2,387910,[1 1]
20071213,11.21,11.21,11.2,11.2,67250,[0 0]
20071214,11.19,11.2,11.19,11.2,111940,[0 1]
20071217,10.0,11.0,10.0,11.0,42000,[1 1]
20071218,11.0,11.2,11.0,11.2,44400,[1 0]
20071219,10.8,10.8,10.8,10.8,32400,[1 1]
20071220,10.75,10.85,10.5,10.5,165800,[1 0]
20071221,11.1,11.1,10.86,10.86,132080,[1 1]
20071226,10.25,11.1,10.0,11.1,110375,[0 0]
20071227,11.0,11.1,11.0,11.1,132600,[1 1]
20071228,10.26,10.5,10.1,10.1,68506,[0 0]
20080102,11.0,11.0,11.0,11.0,4400,[0 0]
