date,open,max,min,close,volume,y
20061023,16.3,17.5,16.01,17.2,241196693,[0 1]
20061024,17.02,17.4,17.01,17.02,18627249,[1 0]
20061025,17.29,17.83,17.17,17.67,10171657,[0 1]
20061026,17.85,17.95,17.47,17.79,5403250,[1 0]
20061027,17.7,17.86,17.6,17.6,3852555,[0 1]
20061030,17.0,17.45,16.0,16.95,3235262,[1 1]
20061031,17.1,17.25,16.8,17.2,1780986,[0 0]
20061101,17.09,18.4,17.01,18.39,8660335,[0 0]
20061103,18.0,18.5,18.0,18.01,2858795,[1 1]
20061106,17.41,18.19,17.41,18.0,2273964,[1 0]
20061107,18.0,19.0,17.95,19.0,3629794,[1 0]
20061108,19.15,19.5,19.0,19.5,2145425,[1 1]
20061109,19.2,20.4,19.14,19.98,2080007,[1 0]
20061110,19.65,19.65,18.41,19.41,340454,[1 1]
20061113,19.15,19.15,19.15,19.15,7660,[0 1]
20061114,18.9,18.9,18.7,18.71,429315,[0 0]
20061116,18.9,19.2,18.7,18.7,904268,[0 1]
20061117,18.95,19.0,18.61,19.0,595162,[0 0]
20061121,19.5,19.5,19.15,19.3,1056186,[1 0]
20061122,18.16,19.79,18.16,19.75,1719546,[1 0]
20061123,19.02,19.85,19.01,19.02,713244,[0 1]
20061124,19.9,19.9,19.4,19.68,222836,[0 1]
20061127,19.1,19.1,18.51,18.51,260253,[0 1]
20061128,18.5,18.81,18.5,18.81,224570,[0 1]
20061129,19.0,19.2,18.81,18.9,669293,[0 0]
20061130,18.9,19.4,18.85,19.04,758557,[1 0]
20061201,18.9,18.95,18.7,18.7,345320,[0 0]
20061204,18.7,18.75,18.41,18.75,586946,[0 1]
20061205,18.7,18.9,18.5,18.9,741664,[1 0]
20061206,18.9,18.99,18.41,18.41,472895,[0 0]
20061207,19.0,19.1,18.42,18.5,1319874,[1 1]
20061208,18.42,18.97,18.3,18.3,487389,[0 1]
20061211,18.3,18.7,17.71,17.71,826626,[1 1]
20061212,17.51,18.6,17.33,17.33,2192498,[0 1]
20061213,17.6,17.6,16.7,17.4,885468,[0 0]
20061214,17.5,17.9,17.15,17.16,375399,[0 1]
20061215,16.8,16.85,16.8,16.8,126035,[0 0]
20061218,17.11,17.85,17.11,17.75,1108301,[1 1]
20061219,17.75,17.75,17.35,17.75,538687,[0 0]
20061220,17.3,18.0,17.3,18.0,205400,[0 0]
20061221,17.35,17.4,17.25,17.4,551045,[1 0]
20061222,17.4,17.4,17.0,17.2,222420,[0 0]
20061226,17.2,18.0,17.2,18.0,175160,[1 0]
20061228,17.99,17.99,17.99,17.99,43176,[0 1]
20070102,17.99,18.7,17.54,18.7,983848,[1 1]
20070103,18.34,19.0,18.01,18.1,462456,[0 0]
20070104,18.25,18.7,18.25,18.7,183310,[0 1]
20070105,18.0,18.0,17.7,18.0,462615,[1 1]
20070108,17.8,18.39,17.05,18.39,455981,[0 1]
20070109,18.1,18.1,18.1,18.1,27150,[0 1]
20070110,17.5,17.5,17.2,17.2,267894,[0 0]
20070111,17.4,18.15,17.4,18.15,274825,[1 1]
20070112,18.0,18.0,17.2,17.2,575060,[1 0]
20070115,17.95,17.95,17.2,17.2,532544,[0 1]
20070116,17.2,17.99,17.0,17.0,418172,[1 1]
20070117,17.1,17.1,17.0,17.0,145310,[0 0]
20070119,17.3,17.3,17.3,17.3,176460,[1 0]
20070122,17.0,17.42,17.0,17.41,96417,[0 1]
20070123,16.82,16.82,16.7,16.7,427880,[1 1]
20070124,16.73,16.73,15.9,16.1,714627,[1 1]
20070126,16.1,16.1,15.8,15.81,549961,[1 0]
20070129,16.05,16.5,16.05,16.38,723766,[0 1]
20070130,16.8,16.8,16.55,16.65,237170,[1 0]
20070131,16.9,16.91,16.02,16.02,244115,[1 0]
20070201,16.55,16.55,16.2,16.2,247620,[1 0]
20070202,16.35,16.4,16.35,16.4,108065,[0 1]
20070205,16.5,16.6,16.42,16.55,563974,[0 0]
20070206,16.7,16.7,16.4,16.4,594900,[1 0]
20070207,16.5,16.72,16.5,16.72,429680,[0 0]
20070208,16.5,16.5,16.5,16.5,82500,[0 0]
20070209,16.35,16.35,16.35,16.35,148785,[0 0]
20070212,16.5,16.6,16.0,16.03,482638,[0 0]
20070213,16.03,16.5,15.8,16.4,337764,[0 1]
20070214,16.0,16.0,15.75,15.75,287022,[0 1]
20070215,16.03,16.03,15.4,15.4,301815,[1 1]
20070216,15.29,15.8,15.29,15.8,578940,[0 1]
20070221,15.99,16.31,15.9,15.9,248659,[1 1]
20070222,15.7,15.7,15.7,15.7,3140,[0 1]
20070223,15.8,15.9,15.7,15.7,267500,[1 0]
20070226,15.6,15.6,15.11,15.35,204107,[0 1]
20070227,15.1,15.3,14.51,15.0,757207,[1 0]
20070228,15.21,15.88,15.21,15.4,279862,[1 1]
20070301,15.49,15.55,14.5,15.1,232507,[0 1]
20070302,15.0,15.0,14.7,14.7,64080,[0 1]
20070305,14.81,14.81,14.58,14.6,121460,[1 1]
20070306,15.0,15.1,15.0,15.1,150180,[0 1]
20070307,15.0,15.0,14.6,14.95,166780,[1 0]
20070308,15.1,15.1,14.3,14.3,378610,[0 1]
20070309,14.3,14.35,13.55,14.35,512961,[0 0]
20070312,14.4,14.5,14.4,14.5,130420,[0 0]
20070313,14.57,14.57,14.56,14.56,42239,[1 0]
20070314,14.01,14.01,14.0,14.0,49025,[0 0]
20070315,13.9,14.13,13.5,13.5,556486,[1 0]
20070316,12.71,12.71,12.71,12.71,95325,[0 1]
20070319,13.9,13.9,13.9,13.9,104250,[1 0]
20070320,13.9,14.2,13.9,14.2,199050,[1 1]
20070321,14.2,14.4,14.2,14.4,408740,[0 0]
20070322,14.1,14.17,14.1,14.15,237709,[1 0]
20070323,14.3,14.41,14.3,14.41,74807,[0 0]
20070326,14.0,14.0,13.79,13.79,176750,[1 1]
20070327,13.75,13.97,13.25,13.97,418171,[1 0]
20070328,13.45,13.45,12.9,12.9,210965,[1 0]
20070329,12.75,12.75,12.4,12.4,555788,[1 0]
20070330,12.5,12.78,12.5,12.78,53116,[1 0]
20070402,13.6,13.6,12.77,12.84,376134,[1 1]
20070403,13.73,13.74,13.2,13.74,330446,[1 1]
20070404,13.2,13.2,13.2,13.2,132000,[1 0]
20070405,13.24,13.24,12.61,13.0,131525,[0 1]
20070409,13.01,13.29,12.58,13.29,174159,[1 0]
20070410,12.62,13.78,12.62,13.78,572237,[1 0]
20070411,13.5,13.96,13.5,13.96,271143,[0 1]
