date,open,max,min,close,volume,y
20070503,0.59,0.6,0.57,0.57,241195,[1 1]
20070504,0.58,0.73,0.58,0.71,624414,[0 0]
20070507,0.93,0.95,0.8,0.8,1545375,[0 1]
20070508,0.87,0.87,0.77,0.8,828324,[1 1]
20070509,0.8,0.8,0.78,0.78,117600,[1 0]
20070510,0.77,0.82,0.76,0.76,140903,[0 1]
20070511,0.76,0.8,0.76,0.8,281070,[0 1]
20070514,0.8,0.95,0.8,0.91,1315910,[0 0]
20070515,1.0,1.17,1.0,1.08,3541888,[0 0]
20070516,1.17,1.2,1.07,1.1,3389728,[0 1]
20070517,1.14,1.14,1.03,1.04,1542602,[0 0]
20070518,1.03,1.09,1.02,1.02,588512,[1 0]
20070521,1.15,1.15,1.0,1.03,756132,[1 0]
20070522,1.03,1.03,0.99,0.99,295700,[1 0]
20070523,1.02,1.12,1.02,1.09,866566,[1 1]
20070524,1.12,1.12,1.06,1.09,730042,[0 1]
20070525,1.09,1.11,1.06,1.07,327971,[0 0]
20070528,1.07,1.11,1.06,1.06,369975,[1 0]
20070529,1.08,1.1,1.04,1.04,357330,[0 0]
20070530,1.04,1.04,1.03,1.04,139490,[1 0]
20070531,1.05,1.06,1.03,1.05,318751,[1 1]
20070601,1.01,1.03,1.01,1.02,434329,[0 1]
20070604,1.03,1.03,1.0,1.0,171931,[1 0]
20070605,1.0,1.05,0.97,1.02,743261,[1 1]
20070606,0.99,1.0,0.98,0.98,268610,[1 1]
20070608,0.97,0.99,0.92,0.99,204083,[0 0]
20070611,1.03,1.03,0.98,0.99,463273,[1 1]
20070612,1.0,1.0,0.98,1.0,354249,[1 0]
20070613,1.0,1.01,0.99,0.99,161281,[1 0]
20070614,1.0,1.0,1.0,1.0,63957,[0 1]
20070615,1.03,1.09,1.03,1.05,642674,[1 0]
20070618,1.05,1.05,1.03,1.03,381161,[1 0]
20070619,1.06,1.07,1.02,1.07,305146,[0 0]
20070620,1.07,1.07,1.04,1.05,273036,[1 0]
20070621,1.07,1.07,1.02,1.04,131295,[0 0]
20070622,1.07,1.08,1.05,1.06,198090,[0 0]
20070625,1.06,1.07,1.05,1.05,131604,[0 1]
20070626,1.03,1.03,1.03,1.03,19879,[1 0]
20070627,1.02,1.02,0.99,1.0,192910,[0 0]
20070628,1.05,1.06,1.05,1.06,127482,[1 0]
20070629,1.0,1.0,0.99,1.0,64291,[0 1]
20070702,1.04,1.04,1.01,1.01,337277,[0 1]
20070703,1.03,1.03,0.99,1.02,194037,[1 1]
20070704,1.01,1.01,1.01,1.01,91708,[0 0]
20070705,1.01,1.28,0.99,1.08,1936059,[0 0]
20070706,1.13,1.23,1.1,1.14,1171421,[0 0]
20070710,1.13,1.16,1.11,1.11,681545,[0 0]
20070711,1.11,1.14,1.1,1.14,446984,[1 0]
20070712,1.13,1.32,1.13,1.27,3394474,[1 1]
20070713,1.32,1.36,1.23,1.32,2463560,[0 0]
20070716,1.31,1.6,1.3,1.6,3470220,[1 1]
20070717,1.62,1.75,1.51,1.51,8691372,[1 0]
20070718,1.63,1.63,1.43,1.5,3094162,[0 0]
20070719,1.55,1.67,1.49,1.52,2131105,[0 1]
20070720,1.57,1.65,1.57,1.62,2054971,[0 0]
20070723,1.66,1.7,1.63,1.65,1642982,[0 0]
20070724,1.64,1.65,1.53,1.53,2490377,[0 0]
20070725,1.6,1.6,1.41,1.55,2300438,[1 1]
20070726,1.55,1.59,1.42,1.44,791000,[0 0]
20070727,1.44,1.47,1.41,1.43,778278,[0 0]
20070730,1.58,1.6,1.47,1.53,894118,[0 0]
20070731,1.55,1.64,1.55,1.62,1870340,[1 1]
20070801,1.59,1.59,1.5,1.51,1802595,[0 0]
20070802,1.6,1.6,1.54,1.54,941066,[0 0]
20070803,1.55,1.55,1.45,1.5,1860677,[0 0]
20070806,1.49,1.49,1.3,1.41,1266086,[1 0]
20070807,1.43,1.49,1.4,1.41,1059269,[1 0]
20070808,1.49,1.49,1.46,1.47,452886,[0 0]
20070809,1.45,1.45,1.39,1.39,628961,[0 1]
20070810,1.39,1.39,1.33,1.34,910143,[0 0]
20070813,1.36,1.41,1.33,1.33,961375,[0 1]
20070814,1.4,1.4,1.25,1.26,1705665,[1 0]
20070815,1.27,1.27,1.15,1.15,1565864,[1 0]
20070816,1.1,1.1,1.0,1.06,1058856,[0 0]
20070817,1.07,1.16,1.07,1.14,1131620,[1 0]
20070820,1.21,1.27,1.2,1.22,1606018,[0 1]
20070821,1.25,1.26,1.2,1.22,767103,[0 0]
20070822,1.21,1.24,1.2,1.2,945925,[0 1]
20070823,1.24,1.24,1.17,1.19,857686,[0 0]
20070824,1.23,1.24,1.18,1.2,738997,[1 0]
20070827,1.24,1.24,1.19,1.19,573930,[0 0]
20070828,1.21,1.21,1.15,1.15,749781,[0 0]
20070829,1.13,1.2,1.13,1.19,428812,[0 0]
20070830,1.17,1.24,1.17,1.17,771899,[0 1]
20070831,1.2,1.2,1.17,1.19,724276,[0 0]
20070903,1.2,1.21,1.19,1.2,556075,[0 1]
20070904,1.2,1.44,1.18,1.44,5502221,[1 0]
20070905,1.55,1.55,1.34,1.36,6805507,[0 0]
20070906,1.37,1.4,1.3,1.3,1329061,[1 0]
20070910,1.25,1.3,1.23,1.3,1561925,[1 0]
20070911,1.31,1.38,1.28,1.28,1806229,[1 0]
20070912,1.36,1.36,1.26,1.26,1823658,[0 1]
20070913,1.24,1.29,1.24,1.25,556751,[1 0]
20070914,1.26,1.28,1.24,1.24,547847,[1 0]
20070917,1.25,1.27,1.22,1.24,919515,[0 1]
20070918,1.27,1.33,1.25,1.28,1362471,[0 0]
20070919,1.32,1.36,1.28,1.28,1283407,[0 1]
20070920,1.31,1.32,1.28,1.29,975041,[0 1]
20070921,1.31,1.31,1.27,1.3,927915,[0 1]
20070924,1.29,1.3,1.29,1.3,337227,[0 0]
20070925,1.3,1.31,1.27,1.29,896399,[1 1]
20070926,1.3,1.31,1.29,1.3,548264,[1 0]
20070927,1.3,1.42,1.3,1.35,3125793,[1 0]
20070928,1.36,1.4,1.32,1.36,1496525,[1 0]
20071001,1.35,1.38,1.3,1.34,1086558,[0 1]
20071002,1.32,1.35,1.3,1.31,460246,[0 0]
20071003,1.35,1.35,1.3,1.3,592011,[1 0]
20071004,1.3,1.35,1.28,1.29,626819,[1 0]
20071005,1.3,1.33,1.29,1.3,425495,[0 0]
20071008,1.3,1.3,1.28,1.29,646982,[1 0]
20071009,1.29,1.3,1.26,1.29,1116406,[0 0]
20071010,1.29,1.31,1.26,1.29,1151529,[1 1]
20071011,1.29,1.29,1.21,1.22,1504981,[0 0]
20071015,1.26,1.26,1.19,1.22,902140,[1 1]
20071016,1.22,1.23,1.15,1.2,991521,[1 0]
20071017,1.19,1.27,1.19,1.21,571472,[0 1]
20071018,1.24,1.25,1.22,1.24,135920,[0 1]
20071019,1.22,1.24,1.18,1.2,680414,[0 0]
20071022,1.21,1.21,1.14,1.2,729017,[0 1]
20071023,1.2,1.23,1.2,1.2,770397,[0 0]
20071024,1.2,1.21,1.18,1.18,690252,[0 0]
20071025,1.2,1.21,1.16,1.18,512327,[1 0]
20071026,1.16,1.18,1.14,1.17,1415759,[1 0]
20071029,1.17,1.2,1.17,1.18,365742,[1 0]
20071030,1.18,1.19,1.16,1.19,416570,[0 0]
20071031,1.19,1.19,1.15,1.15,636159,[1 0]
20071101,1.15,1.15,1.1,1.11,1367197,[1 0]
20071105,1.12,1.12,1.09,1.1,1136731,[1 1]
20071106,1.12,1.12,1.06,1.09,631832,[0 0]
20071107,1.05,1.08,1.04,1.07,704686,[1 0]
20071108,1.06,1.07,0.9,0.98,952432,[0 0]
20071109,0.99,1.09,0.97,1.09,969902,[1 0]
20071112,1.14,1.14,1.03,1.04,563239,[0 0]
20071113,1.04,1.09,1.02,1.08,331284,[0 1]
20071114,1.05,1.07,1.04,1.07,124443,[0 0]
20071116,1.08,1.08,0.99,1.03,348411,[0 0]
20071119,0.99,1.05,0.99,1.0,517082,[0 1]
20071121,1.0,1.0,0.95,0.97,568583,[0 1]
20071122,1.0,1.0,0.96,1.0,329380,[0 0]
20071123,1.0,1.0,0.97,1.0,534846,[0 0]
20071126,1.01,1.01,0.98,0.98,271902,[1 1]
20071127,0.95,0.95,0.91,0.93,545267,[0 0]
20071128,0.96,0.97,0.94,0.94,227907,[1 0]
20071129,0.94,1.05,0.94,1.01,879762,[1 1]
20071130,1.0,1.01,0.98,0.98,368332,[1 0]
20071203,1.0,1.0,0.98,0.99,193967,[0 0]
20071214,0.99,0.99,0.98,0.98,306199,[1 1]
20071217,1.0,1.0,0.96,0.98,408159,[0 1]
20071218,0.96,0.96,0.94,0.95,236595,[0 0]
20071219,0.97,0.97,0.94,0.96,419158,[0 0]
20071220,0.96,0.96,0.94,0.95,195996,[0 0]
20071221,0.95,0.97,0.93,0.93,151717,[1 0]
20071226,0.95,0.95,0.94,0.94,81098,[0 0]
20071227,0.95,0.95,0.94,0.94,299832,[1 0]
20071228,0.94,0.95,0.93,0.93,284596,[0 0]
20080102,0.94,0.94,0.92,0.92,185072,[1 0]
20080103,0.94,0.94,0.94,0.94,37600,[0 1]
20080104,0.92,0.93,0.91,0.93,294591,[0 1]
20080107,0.92,0.94,0.81,0.87,496932,[0 0]
20080108,0.91,0.91,0.88,0.88,132913,[1 0]
20080109,0.87,0.88,0.85,0.88,259320,[0 0]
20080110,0.85,0.87,0.85,0.87,135601,[0 0]
20080111,0.85,0.86,0.83,0.84,445598,[1 1]
