date,open,max,min,close,volume,y
20071119,10.3,10.8,9.85,9.85,193425857,[0 1]
20071121,10.0,10.0,9.02,9.39,45164705,[1 0]
20071122,9.3,9.7,9.26,9.4,34472974,[1 1]
20071123,9.37,9.6,9.1,9.5,24473217,[0 0]
20071126,9.38,9.55,8.76,9.0,21004889,[1 0]
20071127,8.95,9.25,8.5,9.25,25652167,[1 0]
20071128,9.12,9.65,9.12,9.4,27202845,[1 0]
20071129,9.42,9.54,9.25,9.34,15995154,[1 0]
20071130,9.25,9.41,9.05,9.2,18653504,[0 0]
20071203,9.16,9.35,9.16,9.3,11583343,[1 1]
20071204,9.05,9.37,9.02,9.25,12128163,[0 0]
20071205,9.33,9.95,9.25,9.7,28435748,[0 0]
20071206,9.7,10.08,9.7,10.03,30697704,[0 0]
20071207,10.0,10.25,9.77,9.99,14830274,[0 0]
20071210,9.61,9.98,9.61,9.8,4456851,[1 0]
20071211,9.5,10.0,9.5,9.9,8444457,[1 0]
20071212,9.8,9.99,9.63,9.7,6263909,[1 0]
20071213,9.5,9.55,9.3,9.55,5127310,[1 0]
20071214,9.55,9.7,9.5,9.5,3409561,[1 1]
20071217,9.61,9.75,9.48,9.7,5876417,[1 1]
20071218,9.51,9.95,9.51,9.9,8787655,[0 0]
20071219,9.72,9.85,9.64,9.82,2382792,[0 1]
20071220,9.6,9.7,9.5,9.55,1799785,[0 1]
20071221,9.32,9.59,9.21,9.31,3220935,[1 1]
20071226,9.45,9.45,9.3,9.3,3203694,[1 1]
20071227,9.3,9.41,9.11,9.12,2014377,[1 1]
20071228,9.15,9.15,8.9,9.0,1926687,[0 1]
20080114,9.09,9.09,8.64,8.71,1482826,[1 0]
20080115,8.8,8.8,8.36,8.59,1864693,[1 0]
20080116,8.39,8.8,8.26,8.8,3922315,[1 0]
20080117,8.6,8.75,8.26,8.73,2364689,[1 0]
20080118,8.7,8.9,8.7,8.9,1835499,[1 0]
20080121,8.6,8.6,7.86,8.1,1558059,[1 0]
20080122,8.0,8.4,8.0,8.39,2090922,[1 1]
20080123,7.82,8.42,7.82,8.27,1678997,[0 1]
20080124,8.32,8.7,8.32,8.55,1780405,[0 1]
20080128,8.3,8.5,8.15,8.15,1018421,[1 0]
20080129,8.5,8.5,8.13,8.3,1327891,[0 0]
20080130,8.4,8.5,8.26,8.32,1343451,[0 0]
20080131,8.28,8.41,8.12,8.41,875523,[1 1]
20080201,8.1,8.6,8.0,8.55,1875287,[0 1]
20080206,8.49,8.49,7.9,8.05,875776,[1 1]
20080207,7.9,8.01,7.9,7.93,719912,[0 0]
20080208,7.8,8.05,7.8,7.8,747099,[1 1]
20080211,8.05,8.05,7.8,7.99,853934,[0 1]
20080212,7.99,8.07,7.79,7.79,1707100,[0 1]
20080213,7.81,8.02,7.81,7.83,1711628,[0 1]
20080214,8.1,8.1,7.73,7.88,1016028,[0 1]
20080215,7.67,8.12,7.67,8.12,1239642,[0 0]
20080218,8.15,8.5,8.15,8.32,1861723,[1 1]
20080219,8.4,8.83,8.4,8.55,2960742,[0 1]
20080220,8.5,8.71,8.23,8.71,1906687,[0 0]
20080221,8.7,8.95,8.62,8.92,2190059,[0 1]
20080222,8.99,9.0,8.8,8.88,1886624,[0 1]
20080225,8.83,9.0,8.81,8.97,1150136,[0 0]
20080226,8.81,9.05,8.81,9.04,3760840,[1 1]
20080227,8.81,9.07,8.81,8.99,2138841,[0 1]
20080228,9.0,9.09,8.91,9.09,2070937,[0 1]
20080229,8.99,9.06,8.8,8.82,655195,[0 0]
20080303,8.7,9.04,8.6,8.99,2286542,[0 1]
20080304,9.0,9.03,8.52,8.72,1122820,[0 1]
20080305,9.0,9.14,8.8,9.14,2570916,[1 0]
20080306,9.06,9.14,8.81,8.92,1969886,[0 0]
20080307,9.09,9.09,8.65,9.0,463247,[1 0]
20080310,8.91,8.91,8.6,8.6,907363,[1 0]
20080311,8.91,8.91,8.16,8.76,365431,[0 1]
20080312,9.0,9.0,8.51,8.54,835070,[0 0]
20080313,8.53,8.75,8.53,8.66,429148,[1 0]
20080314,8.61,8.9,8.31,8.7,608741,[0 1]
20080317,8.69,8.69,8.26,8.39,930710,[0 0]
20080318,8.53,8.8,8.33,8.8,1316019,[0 1]
20080319,8.8,8.8,8.36,8.4,701241,[0 1]
20080320,8.35,8.5,7.98,8.5,1063636,[1 0]
20080324,8.65,8.74,8.49,8.55,490542,[1 0]
20080325,8.6,8.6,8.35,8.35,641639,[1 0]
20080326,8.35,8.41,8.22,8.22,793854,[0 0]
20080327,8.35,8.4,8.15,8.2,509017,[1 0]
20080328,8.2,8.33,7.9,7.9,627000,[1 0]
20080331,7.85,7.87,7.63,7.75,406673,[1 0]
20080401,7.75,7.9,7.71,7.8,769893,[1 0]
20080402,7.88,8.1,7.88,7.95,654377,[1 0]
20080403,7.93,7.93,7.88,7.88,420212,[1 0]
20080404,7.8,7.98,7.78,7.98,1142416,[0 1]
20080407,8.06,8.24,7.91,8.21,854919,[0 0]
20080408,8.26,8.43,8.16,8.43,1257136,[1 0]
20080409,8.31,8.47,8.31,8.33,553153,[0 0]
20080410,8.31,8.38,8.21,8.29,857168,[0 0]
20080411,8.29,8.42,8.26,8.35,652943,[0 1]
20080414,8.4,8.4,8.2,8.38,462656,[0 0]
20080415,8.31,8.39,8.3,8.35,354564,[0 0]
20080416,8.3,8.55,8.3,8.55,1768739,[0 1]
20080417,8.5,8.5,8.35,8.35,985673,[0 1]
