date,open,max,min,close,volume,y
20040716,55.21,55.9,55.21,55.8,919614,[0 1]
20040719,56.15,56.15,54.0,54.5,164060,[1 0]
20040720,55.02,55.02,55.01,55.01,60516,[0 0]
20040721,55.02,55.02,55.02,55.02,346626,[1 1]
20040722,54.5,55.0,54.5,55.0,454070,[0 0]
20040723,54.45,54.5,53.51,53.51,718815,[1 0]
20040726,52.01,54.5,52.01,53.3,1251076,[1 1]
20040727,54.1,54.1,54.1,54.1,86560,[0 0]
20040728,54.01,56.89,54.0,56.89,1290435,[1 0]
20040729,55.3,56.89,55.0,56.89,2852777,[0 1]
20040730,55.0,56.79,55.0,56.79,1098837,[1 1]
20040802,56.79,57.5,55.2,57.5,2552865,[1 1]
20040803,56.9,57.1,56.9,57.0,968430,[0 0]
20040804,57.5,59.0,57.5,59.0,447329,[1 1]
20040805,58.5,60.0,58.5,59.5,638300,[0 1]
20040806,59.3,59.3,58.0,59.0,1254220,[1 0]
20040809,58.91,59.91,58.0,58.0,562973,[1 1]
20040810,58.95,60.35,58.95,60.35,576795,[1 1]
20040811,59.5,60.35,56.5,60.35,881205,[0 0]
20040812,60.0,60.0,58.11,58.11,417720,[0 1]
20040813,59.0,59.0,59.0,59.0,171100,[0 1]
20040816,60.0,60.0,58.0,60.0,1502609,[0 1]
20040817,60.9,62.0,60.5,62.0,934100,[1 0]
20040818,63.5,63.5,63.5,63.5,355600,[0 1]
20040819,64.2,66.49,63.3,66.49,1923583,[0 0]
20040820,64.4,65.0,64.4,65.0,341440,[1 0]
20040823,64.1,64.1,63.8,63.8,1073720,[1 1]
20040824,64.0,65.51,64.0,65.51,808407,[0 0]
20040825,68.9,68.99,67.99,68.99,1165947,[1 0]
20040826,69.99,69.99,66.11,66.11,997538,[0 1]
20040827,69.98,69.98,66.51,66.51,574127,[0 0]
20040830,69.7,69.9,69.7,69.9,404860,[0 0]
20040831,68.0,68.0,68.0,68.0,788800,[0 0]
20040901,69.9,72.0,68.9,68.9,2186233,[0 1]
20040902,70.1,71.0,70.0,70.0,802890,[0 1]
20040903,71.2,72.0,71.2,72.0,1490080,[1 0]
20040906,74.0,80.0,74.0,80.0,608877,[0 0]
20040908,80.0,80.0,75.0,77.02,2176012,[1 1]
20040909,76.0,76.5,76.0,76.0,1557075,[0 0]
20040910,80.0,80.0,75.41,75.41,682764,[1 1]
20040913,77.0,78.0,77.0,78.0,1808600,[0 1]
20040914,78.0,78.0,73.01,78.0,210101,[1 0]
20040915,75.0,80.0,75.0,80.0,1798920,[0 0]
20040916,80.0,80.0,78.5,78.5,1253350,[0 0]
20040917,82.0,82.0,79.0,79.0,1439710,[1 0]
20040920,80.0,82.5,80.0,82.5,1708250,[1 0]
20040921,81.5,81.5,81.0,81.0,1131470,[0 1]
20040922,80.0,80.0,79.6,79.6,406440,[1 1]
20040923,78.0,79.9,78.0,79.9,782850,[0 0]
20040924,80.0,80.0,78.0,79.5,920235,[1 0]
20040927,79.5,79.5,79.01,79.01,427977,[0 0]
20040928,80.35,82.0,80.35,82.0,803830,[1 1]
20040929,78.51,78.51,78.51,78.51,62808,[1 1]
20040930,80.0,82.0,80.0,82.0,2978886,[1 1]
20041001,81.5,82.99,81.5,82.99,743488,[1 1]
20041004,80.0,82.0,80.0,80.8,2048240,[1 0]
20041005,80.9,81.0,80.2,80.2,1557760,[0 0]
20041006,81.0,81.0,80.5,80.5,655050,[0 0]
20041007,79.0,79.0,78.0,78.0,393300,[0 1]
20041008,79.0,79.0,77.0,77.05,1071420,[0 1]
20041011,78.0,78.0,78.0,78.0,413400,[0 1]
20041013,76.01,76.01,70.0,75.5,661820,[0 0]
20041014,74.0,74.0,70.0,70.31,1189257,[1 1]
20041015,73.35,73.35,70.2,70.2,1061345,[1 0]
20041018,70.3,74.98,69.0,69.0,370426,[0 0]
20041019,71.0,72.0,69.0,69.0,1024300,[0 1]
20041020,69.0,69.0,67.51,68.5,485610,[1 0]
20041021,69.0,69.0,67.0,67.01,452349,[0 1]
20041022,69.0,69.0,69.0,69.0,103500,[0 1]
20041025,68.0,68.5,68.0,68.5,198500,[0 1]
20041026,70.0,71.0,68.8,71.0,1149063,[0 1]
20041027,70.6,71.5,70.6,71.5,652580,[0 0]
20041028,69.01,69.01,69.01,69.01,296743,[0 1]
20041029,71.0,71.0,68.9,68.9,1280750,[1 0]
20041101,68.0,68.0,68.0,68.0,924800,[1 1]
20041103,70.0,70.0,70.0,70.0,833000,[0 1]
20041104,70.0,70.4,70.0,70.4,968552,[1 0]
20041105,71.0,71.0,70.0,70.0,1032060,[1 0]
20041108,70.01,70.01,69.6,69.6,293424,[1 0]
20041109,72.7,73.0,72.0,73.0,1508371,[1 0]
20041110,73.0,82.0,73.0,82.0,1891804,[1 1]
20041111,78.0,78.0,75.8,75.8,747710,[0 0]
20041112,78.0,80.0,78.0,80.0,1474150,[0 1]
20041116,82.0,82.0,79.2,82.0,2374290,[0 1]
20041117,81.5,83.99,81.5,82.0,1461946,[1 0]
20041118,80.2,80.2,80.2,80.2,64160,[0 0]
20041119,84.0,84.0,80.2,80.2,766582,[0 1]
20041122,80.5,80.5,80.0,80.0,816170,[0 1]
20041123,78.5,79.0,78.01,78.5,1204104,[1 0]
20041124,79.5,82.0,79.5,82.0,96150,[0 1]
20041125,79.5,79.5,79.5,79.5,500850,[1 0]
20041126,79.0,80.0,79.0,80.0,1520902,[0 0]
20041129,78.01,80.0,78.01,80.0,1092653,[0 1]
20041130,79.0,79.5,79.0,79.5,1480321,[0 1]
20041201,79.5,82.4,79.5,82.4,899126,[1 0]
20041202,82.0,83.01,81.02,83.01,955741,[1 1]
20041203,84.9,86.0,83.01,86.0,1181737,[1 1]
20041206,89.0,89.0,85.5,85.5,629749,[0 0]
20041207,86.0,87.5,83.45,83.45,1142375,[1 1]
20041208,84.0,85.0,83.01,85.0,659093,[0 1]
20041209,83.1,83.1,80.0,80.0,843907,[0 0]
20041210,80.0,80.0,77.0,80.0,2223850,[1 0]
20041214,80.0,80.0,80.0,80.0,160000,[1 0]
20041215,80.0,80.5,80.0,80.5,408750,[0 1]
20041216,82.8,82.8,80.11,82.1,994986,[1 0]
