date,open,max,min,close,volume,y
20040716,59.5,61.93,58.5,59.7,442937800,[0 0]
20040719,60.0,60.49,56.53,59.39,306052200,[0 0]
20040720,58.51,59.2,58.2,59.0,199748000,[1 0]
20040721,59.0,59.24,56.02,57.77,347364600,[1 1]
20040722,55.5,57.6,54.11,55.8,483403700,[1 1]
20040723,55.01,58.3,54.51,56.84,188125300,[1 1]
20040726,57.89,57.89,55.7,55.7,214724300,[1 0]
20040727,55.7,57.63,55.01,57.0,149062700,[1 0]
20040728,57.0,58.4,55.27,58.0,295311200,[1 1]
20040729,58.0,59.2,57.6,58.39,333773500,[1 1]
20040730,58.69,60.0,57.55,59.01,505568900,[1 1]
20040802,57.55,61.8,57.5,61.3,666763600,[1 1]
20040803,60.03,63.99,60.01,63.3,835500800,[0 1]
20040804,62.7,64.3,61.8,63.5,879237800,[1 1]
20040805,63.8,65.5,62.0,62.0,809528300,[0 1]
20040806,60.0,64.9,60.0,63.0,235863300,[1 1]
20040809,64.9,65.0,61.65,62.0,175126100,[0 1]
20040810,62.5,64.25,62.5,64.0,222978000,[1 1]
20040811,63.5,64.1,62.05,64.01,380234600,[0 0]
20040812,64.99,65.0,63.65,64.11,800421400,[1 1]
20040813,64.3,65.48,64.0,65.03,475942700,[1 1]
20040816,65.05,68.37,63.21,67.5,540216600,[1 1]
20040817,68.36,69.0,67.75,68.5,478701100,[1 0]
20040818,68.45,69.9,68.45,69.64,845101300,[0 0]
20040819,69.9,71.89,67.82,71.0,1055216800,[1 0]
20040820,71.0,71.5,70.0,70.98,1146230700,[1 1]
20040823,71.4,71.87,69.5,71.0,434691300,[1 1]
20040824,71.8,72.0,70.99,71.2,915676800,[0 1]
20040825,71.5,72.8,71.0,72.3,336279000,[0 0]
20040826,72.0,73.3,71.1,72.1,203848100,[0 1]
20040827,73.3,73.65,72.03,73.0,347544900,[0 0]
20040830,72.31,74.6,72.3,74.0,407451600,[1 1]
20040831,75.0,76.0,74.7,74.7,647942800,[0 0]
20040901,75.48,76.39,72.0,74.49,1110238300,[1 0]
20040902,72.55,77.5,72.55,76.7,1486314700,[1 1]
20040903,76.7,82.0,76.7,81.3,1146109000,[0 0]
20040906,82.0,82.7,82.0,82.6,233723800,[0 0]
20040908,83.73,84.49,79.2,80.4,1105637200,[1 1]
20040909,78.53,79.52,77.04,77.5,814769400,[1 1]
20040910,77.0,78.99,76.0,78.0,492660900,[1 1]
20040913,79.44,79.5,77.3,78.9,462835200,[1 1]
20040914,79.5,81.7,79.1,81.29,899324100,[1 1]
20040915,80.36,82.93,80.31,81.9,297937300,[0 0]
20040916,82.2,83.0,81.0,82.0,266501100,[0 1]
20040917,82.0,83.99,82.0,83.37,388799500,[1 1]
20040920,83.5,85.49,82.61,83.79,263069200,[0 0]
20040921,83.0,83.0,81.7,82.88,288083800,[1 1]
20040922,82.51,82.51,80.6,81.5,475788900,[1 1]
20040923,81.54,81.54,80.02,80.49,174323600,[1 0]
20040924,80.49,81.5,80.2,80.9,617143300,[0 0]
20040927,80.2,81.3,80.2,80.6,479877300,[0 1]
20040928,80.2,82.99,80.1,81.7,1836821100,[1 1]
20040929,82.0,83.0,81.6,82.98,662183600,[1 0]
20040930,82.11,83.5,81.9,83.5,751216900,[0 1]
20041001,83.99,84.1,83.23,83.7,520307300,[1 1]
20041004,84.5,84.5,82.85,82.98,386017300,[0 0]
20041005,82.98,83.99,81.5,83.5,570850800,[1 0]
20041006,83.01,83.01,80.62,81.0,1204429800,[0 0]
20041007,80.7,80.7,78.69,78.9,2099041400,[1 0]
20041008,79.0,80.8,76.0,77.1,391783100,[1 0]
20041011,76.1,78.0,76.1,77.31,103062400,[1 1]
20041013,79.0,79.0,70.9,72.35,1191388900,[0 0]
20041014,71.5,71.89,70.5,71.0,657378400,[0 1]
20041015,71.89,73.49,71.8,72.35,758023200,[0 1]
20041018,72.4,73.35,71.41,72.5,152826500,[0 1]
20041019,73.0,73.99,69.5,69.5,231694400,[0 1]
20041020,69.51,70.99,68.0,68.0,574445800,[1 1]
20041021,68.1,69.5,67.91,69.5,677938400,[1 0]
20041022,70.5,71.49,69.0,69.4,815731500,[1 0]
20041025,69.99,70.35,68.25,69.69,226615200,[1 1]
20041026,70.2,73.79,69.6,73.0,455001400,[1 0]
20041027,73.5,74.0,72.01,72.11,647640500,[0 0]
20041028,71.0,71.0,67.51,68.79,1723200900,[0 1]
20041029,69.0,69.49,68.0,68.0,173893000,[1 1]
20041101,68.45,68.65,68.0,68.0,59522100,[1 0]
20041103,68.99,70.79,68.5,70.2,408783500,[1 0]
20041104,70.27,71.59,69.3,70.71,308514300,[1 0]
20041105,70.61,72.49,70.61,72.0,692257700,[0 0]
20041108,72.0,72.9,71.4,72.5,465130800,[1 0]
20041109,72.45,76.0,72.1,76.0,725380500,[0 0]
20041110,76.98,78.49,76.98,78.25,1051004200,[1 0]
20041111,78.25,78.49,77.5,78.3,289763200,[0 1]
20041112,78.5,80.5,78.0,80.49,848905400,[1 0]
20041116,79.11,81.0,79.11,80.51,1042360700,[0 1]
20041117,80.5,82.19,80.5,81.85,584452600,[0 0]
20041118,81.9,82.2,78.57,80.9,590067500,[1 0]
20041119,82.0,82.0,79.1,80.0,329761200,[0 0]
20041122,78.7,79.4,78.2,78.2,209790300,[0 0]
20041123,78.25,80.49,78.25,80.49,254585000,[0 1]
20041124,80.49,82.4,79.7,80.99,264481500,[1 0]
20041125,80.99,81.3,80.5,81.1,123900500,[0 1]
20041126,81.1,81.1,79.6,80.3,300975300,[0 0]
20041129,80.9,80.9,79.3,80.0,461894100,[0 0]
20041130,79.3,80.8,79.3,80.8,1122900400,[0 0]
20041201,81.0,82.82,81.0,82.4,2509892500,[1 0]
20041202,82.7,84.55,82.4,84.5,667180000,[1 0]
