date,open,max,min,close,volume,y
20091210,40.0,40.2,39.9,39.9,10811117,[1 1]
20091211,40.1,41.93,40.1,41.55,26056724,[1 1]
20091214,41.7,42.34,41.51,41.75,16416394,[0 1]
20091215,41.3,42.0,41.03,41.91,18166314,[1 1]
20091216,41.9,42.94,41.9,42.2,44227911,[0 1]
20091217,42.28,42.35,41.62,42.08,20463091,[1 1]
20091218,41.95,42.83,41.79,42.7,23479350,[0 1]
20091221,42.55,43.86,42.55,43.85,40393607,[0 1]
20091222,43.24,44.05,43.0,44.0,27722793,[1 0]
20091223,43.99,44.05,43.33,43.33,16929009,[0 0]
20091228,43.72,44.9,43.72,44.4,26934375,[1 0]
20100112,46.48,46.49,45.78,46.41,24160705,[0 0]
20100113,46.3,46.9,45.71,46.9,17924235,[1 1]
20100114,46.11,47.0,46.0,46.0,15720615,[0 0]
20100115,45.8,46.94,45.3,46.59,13936469,[0 1]
20100118,46.4,46.8,46.06,46.38,13368662,[0 0]
20100119,46.98,47.03,46.0,47.03,16581258,[0 1]
20100120,46.72,48.03,46.01,48.03,32793831,[1 0]
20100121,47.99,48.02,46.25,47.35,25785672,[0 0]
20100122,47.25,47.27,46.42,46.7,13540853,[1 0]
20100126,46.3,46.3,44.53,45.05,15711514,[0 1]
20100127,45.0,46.73,44.6,46.5,17761666,[0 0]
20100128,46.55,46.9,45.15,45.4,15373793,[1 0]
20100129,45.94,46.26,44.85,44.85,12436030,[0 1]
20100201,45.0,45.3,44.61,44.68,13439391,[0 0]
20100202,45.0,45.5,44.62,45.3,16252080,[1 0]
20100203,44.7,46.6,44.7,45.92,26876814,[0 1]
20100204,45.96,45.96,44.15,45.0,13782002,[0 1]
20100205,44.14,45.3,43.01,44.2,21486239,[0 1]
20100208,44.5,44.99,43.07,44.17,11967575,[0 1]
20100209,44.55,45.9,44.13,45.0,19351117,[0 1]
20100210,45.02,45.11,44.01,44.61,9049882,[1 1]
20100211,44.8,44.92,44.01,44.52,7082099,[0 1]
20100212,44.9,44.9,43.93,43.93,7472016,[0 1]
20100217,45.0,46.18,44.51,46.18,19674183,[0 0]
20100218,45.41,46.66,45.21,46.52,19284931,[0 0]
20100219,46.1,46.6,45.77,46.25,10937662,[0 0]
20100222,46.11,46.58,45.2,45.83,15669193,[1 0]
20100223,45.0,45.59,44.11,44.41,11479479,[1 0]
20100224,44.52,45.48,44.52,45.4,10513264,[0 0]
20100225,44.44,45.29,44.01,44.6,4605510,[1 1]
20100226,44.99,44.99,43.91,44.58,11517704,[1 0]
20100301,44.09,44.98,43.6,44.79,14447660,[1 0]
20100302,44.6,44.9,44.36,44.37,9023089,[0 1]
20100303,44.55,45.99,44.11,44.35,15629687,[0 1]
20100304,44.66,45.49,44.01,44.8,9089241,[0 1]
20100305,44.32,45.4,44.32,44.8,9956013,[1 1]
20100308,44.79,44.8,44.04,44.13,9839444,[1 0]
20100309,44.15,45.1,44.01,44.75,14274724,[1 0]
20100310,44.9,45.2,44.44,44.44,17730665,[1 0]
20100311,44.36,44.55,44.15,44.15,7229718,[1 1]
20100312,44.14,44.5,43.3,44.19,8855644,[0 1]
20100315,43.99,44.0,43.51,44.0,8792544,[0 1]
20100316,43.7,44.0,43.3,44.0,13699966,[1 1]
20100317,43.91,44.54,43.71,44.45,10869447,[0 1]
20100318,44.2,44.55,43.81,44.35,8835327,[0 1]
20100319,44.24,44.54,44.09,44.36,7043893,[1 0]
20100322,43.01,44.4,42.98,43.98,8943602,[1 1]
20100323,44.69,44.88,44.2,44.76,10980221,[0 1]
20100324,44.21,44.7,44.07,44.39,6044247,[1 1]
20100325,44.2,45.0,44.01,44.43,8156660,[1 1]
20100326,43.75,44.7,43.75,44.09,9341992,[0 1]
20100329,44.43,46.0,44.02,45.96,24580833,[0 0]
20100330,45.99,47.6,45.99,47.54,44909385,[0 1]
20100331,47.43,48.46,46.51,48.0,43053353,[0 0]
20100414,23.75,23.97,23.47,23.5,5131158,[1 1]
20100415,23.7,24.01,23.5,23.89,8189065,[0 1]
20100416,23.5,23.88,23.31,23.65,6767318,[0 0]
20100419,23.31,23.9,23.31,23.89,6398287,[0 1]
20100420,23.9,23.97,23.65,23.72,5403520,[0 0]
20100422,23.95,23.95,23.21,23.53,3759375,[1 0]
20100423,23.5,23.75,23.23,23.47,6024393,[1 1]
20100426,23.6,23.7,23.33,23.34,3232024,[0 0]
20100427,23.61,23.61,22.42,22.55,6056409,[0 0]
20100428,22.62,22.8,22.0,22.1,6399958,[1 0]
20100429,22.2,22.86,22.2,22.54,4462211,[1 0]
20100430,22.55,22.95,22.35,22.4,7206783,[1 1]
20100503,22.53,22.98,22.32,22.67,4239488,[1 0]
20100504,22.66,22.7,21.77,22.1,6937302,[1 0]
20100505,21.55,22.11,21.3,22.1,5898015,[1 1]
20100506,22.09,22.09,21.0,21.1,8891732,[1 0]
20100507,21.5,21.8,20.12,21.5,6667246,[1 1]
20100510,22.01,22.54,21.54,21.89,5458082,[0 1]
20100511,21.99,22.72,21.9,22.21,5715704,[0 1]
20100512,22.4,22.49,21.7,21.9,4116002,[1 0]
20100513,22.49,23.23,22.49,23.05,9250765,[1 0]
20100514,22.7,22.94,22.02,22.8,6058988,[1 1]
20100517,22.31,22.78,22.25,22.75,6355453,[1 0]
20100518,22.9,23.67,22.8,22.81,10200602,[1 0]
20100519,22.85,23.45,22.42,22.42,10560236,[0 0]
20100520,22.0,22.5,21.5,22.5,9224088,[0 0]
20100521,21.8,22.79,21.62,22.36,6670299,[1 0]
20100524,22.63,23.29,22.06,22.39,4630610,[1 0]
20100525,22.0,22.69,21.76,22.69,2749701,[0 1]
20100526,22.69,23.27,22.06,23.27,8994950,[0 1]
20100527,23.05,23.36,22.81,23.36,5002463,[1 0]
20100528,23.19,23.39,22.83,23.3,4026412,[0 1]
20100531,23.2,23.5,22.91,23.35,6799711,[0 1]
20100601,23.0,23.5,22.43,23.01,8206483,[1 0]
20100602,22.95,23.5,22.73,23.4,7814547,[1 1]
20100604,23.3,23.3,22.52,23.1,5290770,[0 1]
20100607,23.1,23.9,23.1,23.5,7007272,[0 0]
20100608,23.8,24.7,23.3,24.4,12434679,[1 0]
20100609,24.2,24.69,23.75,24.04,4732806,[0 0]
20100610,24.31,24.65,24.02,24.62,5411400,[0 1]
20100611,24.49,24.64,23.8,24.15,2889944,[0 1]
20100614,24.22,24.88,24.22,24.76,7223494,[1 1]
20100615,24.6,25.4,24.51,25.1,9533577,[0 1]
20100616,25.4,25.5,24.62,25.4,6504526,[0 0]
20100617,24.83,25.49,24.8,25.0,3724819,[1 0]
20100618,25.35,25.58,25.1,25.44,8833843,[1 0]
20100621,25.4,25.79,25.3,25.32,7746864,[1 0]
20100622,25.5,25.94,25.01,25.5,8968847,[0 1]
20100623,25.31,25.68,25.11,25.54,8708854,[1 1]
20100624,25.5,25.5,24.81,25.41,7619982,[1 1]
20100625,25.0,25.95,24.9,25.95,8148586,[1 0]
20100628,25.12,26.2,25.12,26.08,7631924,[1 1]
20100712,23.65,23.78,23.16,23.37,5566394,[1 0]
20100713,23.5,23.97,23.1,23.9,15652184,[0 0]
20100714,23.56,24.16,23.38,24.0,5619913,[1 0]
20100715,24.2,24.9,24.0,24.35,7904334,[0 0]
20100716,24.57,24.84,24.16,24.47,7521228,[1 1]
20100719,24.41,24.98,24.41,24.88,6604615,[0 0]
20100720,24.8,25.06,24.52,24.75,15779915,[0 1]
20100721,25.06,25.2,24.81,25.2,5565694,[0 1]
20100722,25.01,25.47,24.66,25.19,9271331,[0 1]
20100723,24.54,24.54,24.0,24.02,5385422,[0 0]
20100726,24.09,24.23,23.76,23.76,6705464,[0 1]
20100727,24.05,24.25,23.77,23.92,8701544,[0 1]
20100728,23.99,24.08,23.56,23.9,7029316,[1 0]
20100729,23.76,23.99,23.25,23.5,5557550,[1 0]
20100730,23.65,24.65,23.31,24.65,9228557,[0 0]
20100802,24.72,25.13,24.54,25.09,11255767,[1 0]
