date,open,max,min,close,volume,y
19980316,1.75,1.75,1.75,1.75,27300,[1 0]
19980317,1.81,1.81,1.81,1.81,98826,[1 0]
19980318,1.81,1.81,1.81,1.81,225164,[0 0]
19980319,1.81,1.82,1.81,1.82,147114,[1 0]
19980320,1.81,1.81,1.81,1.81,105523,[1 1]
19980323,1.9,1.9,1.81,1.81,237080,[1 1]
19980324,1.81,1.81,1.81,1.81,28236,[0 0]
19980325,1.81,1.82,1.81,1.82,207636,[0 1]
19980326,1.81,1.81,1.81,1.81,38010,[1 1]
19980327,1.85,1.85,1.85,1.85,117290,[1 0]
19980330,1.88,1.88,1.88,1.88,78960,[1 1]
19980331,1.89,1.89,1.89,1.89,116046,[1 0]
19980401,1.9,1.9,1.9,1.9,78470,[1 1]
19980402,1.9,1.9,1.9,1.9,71820,[1 0]
19980403,1.85,1.85,1.85,1.85,113220,[1 0]
19980406,1.85,1.85,1.85,1.85,55500,[1 1]
19980408,1.9,1.9,1.9,1.9,115520,[1 0]
19980413,2.0,2.0,2.0,2.0,10800,[0 0]
19980414,2.25,2.25,2.25,2.25,136800,[0 1]
19980415,2.35,2.35,2.35,2.35,36660,[1 0]
19980416,2.3,2.3,2.3,2.3,291180,[1 0]
19980417,2.36,2.36,2.36,2.36,161424,[1 1]
19980422,2.45,2.45,2.45,2.45,11760,[0 0]
19980423,2.41,2.5,2.41,2.5,160122,[1 0]
19980424,2.4,2.4,2.4,2.4,102240,[0 1]
19980428,2.45,2.45,2.45,2.45,10780,[1 0]
19980429,2.45,2.46,2.45,2.46,281070,[0 1]
19980430,2.48,2.49,2.48,2.49,83334,[0 0]
19980504,2.48,2.48,2.47,2.47,85672,[1 0]
19980505,2.48,2.5,2.48,2.5,111292,[0 0]
19980506,2.5,2.5,2.48,2.5,97952,[0 1]
19980507,2.51,2.51,2.51,2.51,31626,[1 0]
19980508,2.52,2.52,2.52,2.52,109368,[1 0]
19980511,2.5,2.53,2.46,2.53,130312,[1 0]
19980512,2.5,2.5,2.5,2.5,31500,[1 0]
19980513,2.5,2.5,2.5,2.5,70500,[0 0]
19980514,2.5,2.5,2.5,2.5,21250,[0 0]
19980515,2.49,2.49,2.49,2.49,27141,[0 1]
19980518,2.5,2.5,2.5,2.5,177000,[0 0]
19980519,2.51,2.55,2.51,2.55,122125,[1 0]
19980520,2.5,2.5,2.5,2.5,24000,[0 0]
19980521,2.5,2.54,2.5,2.54,89654,[0 0]
19980522,2.5,2.5,2.5,2.5,67500,[0 0]
19980525,2.5,2.53,2.5,2.53,416846,[1 0]
19980526,2.49,2.56,2.49,2.56,474500,[0 0]
19980527,2.49,2.49,2.49,2.49,2988,[0 0]
19980528,2.49,2.49,2.49,2.49,280872,[0 0]
19980529,2.5,2.5,2.5,2.5,128000,[0 1]
19980601,2.49,2.49,2.49,2.49,220116,[0 0]
19980602,2.49,2.49,2.42,2.42,303934,[1 0]
19980603,2.43,2.43,2.43,2.43,13608,[0 0]
19980604,2.45,2.45,2.45,2.45,197960,[0 0]
19980605,2.45,2.45,2.45,2.45,157290,[1 0]
19980608,2.43,2.43,2.43,2.43,151632,[0 1]
19980609,2.45,2.45,2.45,2.45,244755,[1 0]
19980610,2.4,2.4,2.4,2.4,159360,[0 0]
19980612,2.38,2.38,2.38,2.38,19992,[0 1]
19980615,2.4,2.4,2.4,2.4,25920,[0 0]
19980617,2.35,2.35,2.35,2.35,94470,[0 0]
19980619,2.35,2.35,2.35,2.35,25380,[1 0]
19980622,2.35,2.35,2.35,2.35,1410,[1 1]
19980623,2.2,2.2,2.0,2.0,79826,[0 1]
19980624,2.3,2.3,2.3,2.3,8280,[1 0]
19980625,2.35,2.35,2.35,2.35,176250,[0 1]
19980626,2.19,2.19,2.19,2.19,3942,[1 0]
19980630,2.2,2.2,2.2,2.2,46200,[1 0]
19980701,2.2,2.2,2.2,2.2,50600,[1 0]
19980703,2.3,2.3,2.3,2.3,40020,[1 1]
19980707,2.15,2.15,2.15,2.15,94170,[0 1]
19980710,2.25,2.25,2.25,2.25,137700,[0 0]
19980713,2.2,2.2,2.2,2.2,18480,[1 1]
19980714,2.0,2.1,2.0,2.1,279000,[0 0]
19980716,2.1,2.1,2.1,2.1,65520,[0 1]
19980717,2.1,2.1,2.1,2.1,41580,[0 0]
19980720,2.1,2.1,2.1,2.1,61740,[0 0]
19980721,2.1,2.1,2.1,2.1,26460,[0 0]
19980723,2.2,2.2,2.2,2.2,190080,[1 0]
19980724,2.2,2.2,2.2,2.2,247280,[0 1]
19980727,2.2,2.2,2.2,2.2,95480,[0 1]
19980730,2.3,2.3,2.3,2.3,327750,[0 0]
19980731,2.3,2.3,2.3,2.3,86020,[0 0]
19980803,2.3,2.3,2.3,2.3,1380,[1 1]
19980805,2.15,2.15,2.15,2.15,21930,[0 0]
19980806,2.15,2.15,2.15,2.15,211345,[0 1]
19980819,2.15,2.15,2.15,2.15,5160,[0 0]
19980820,2.15,2.15,2.15,2.15,2580,[1 1]
19980821,2.05,2.05,2.05,2.05,77490,[0 0]
19980825,2.11,2.11,2.11,2.11,31650,[1 0]
19980828,2.05,2.05,2.05,2.05,97170,[1 0]
19980901,2.05,2.05,2.05,2.05,13530,[0 0]
19980903,2.05,2.05,2.05,2.05,17630,[0 1]
19980904,2.05,2.05,2.05,2.05,52480,[0 1]
19980908,2.05,2.05,2.05,2.05,202950,[0 0]
19980909,2.05,2.05,2.05,2.05,39360,[0 1]
19980910,2.05,2.05,2.05,2.05,27060,[0 0]
19980911,2.05,2.05,2.0,2.0,127610,[0 1]
19980915,2.1,2.1,2.1,2.1,190260,[0 0]
19980916,2.05,2.05,2.05,2.05,97170,[1 0]
19980918,2.04,2.04,2.04,2.04,79968,[0 0]
19980921,2.05,2.05,2.05,2.05,4920,[1 0]
19980922,2.05,2.05,2.05,2.05,107420,[0 0]
19980923,2.05,2.05,2.05,2.05,250920,[1 1]
19980928,2.05,2.05,2.05,2.05,49200,[1 1]
19980929,2.05,2.05,2.05,2.05,78720,[0 1]
19980930,2.0,2.0,2.0,2.0,30000,[1 0]
19981001,2.05,2.05,2.05,2.05,327180,[0 0]
19981002,2.05,2.05,2.0,2.0,249640,[1 0]
19981005,2.0,2.0,2.0,2.0,46400,[1 1]
19981007,2.02,2.1,2.02,2.02,232752,[0 1]
19981009,2.12,2.12,2.05,2.05,197822,[0 0]
19981013,2.05,2.05,2.05,2.05,21320,[1 1]
19981015,2.0,2.0,2.0,2.0,26000,[1 0]
19981016,1.98,1.98,1.98,1.98,38016,[0 0]
19981020,1.72,2.0,1.72,1.83,121933,[0 0]
19981021,1.93,2.05,1.93,2.05,61551,[0 0]
19981022,1.95,2.05,1.95,2.05,134600,[1 0]
19981027,2.0,2.0,2.0,2.0,1200,[0 0]
19981029,2.0,2.0,2.0,2.0,46800,[0 1]
19981103,2.0,2.0,2.0,2.0,136400,[1 0]
19981105,2.0,2.12,2.0,2.1,70200,[0 0]
19981106,2.05,2.05,2.05,2.05,157850,[0 0]
19981109,2.07,2.07,2.07,2.07,49680,[0 0]
19981111,2.12,2.12,2.12,2.12,191860,[0 1]
19981112,2.2,2.2,2.12,2.12,233570,[0 0]
19981116,2.17,2.17,2.17,2.17,39494,[0 1]
19981117,2.18,2.2,2.18,2.2,355496,[0 0]
19981118,2.2,2.2,2.2,2.2,154440,[0 0]
19981119,2.2,2.2,2.05,2.2,164400,[0 1]
19981120,2.45,2.6,2.45,2.6,119085,[0 0]
19981123,2.6,2.8,2.6,2.8,161560,[0 0]
19981124,2.51,2.51,2.51,2.51,179214,[0 0]
19981125,3.15,3.17,3.15,3.17,385326,[0 1]
19981209,1.8,1.8,1.8,1.8,155520,[0 0]
19981211,1.86,1.86,1.86,1.86,83700,[0 0]
19981214,1.85,1.85,1.85,1.85,18870,[0 1]
19981215,1.87,1.87,1.86,1.86,237198,[1 0]
19981218,1.89,1.89,1.89,1.89,41958,[0 0]
19981221,1.9,1.9,1.89,1.89,80625,[1 0]
19981222,1.91,1.96,1.91,1.96,22902,[0 0]
19981223,1.9,1.94,1.9,1.94,150772,[0 0]
19981228,1.9,1.9,1.9,1.9,44840,[1 0]
19981230,1.9,2.0,1.9,1.96,218988,[1 1]
19990104,2.0,2.0,2.0,2.0,3800,[1 0]
19990105,1.91,1.91,1.91,1.91,46222,[1 0]
19990111,1.7,1.7,1.7,1.7,168640,[0 0]
19990118,1.65,1.65,1.65,1.65,5940,[1 0]
19990122,1.8,1.8,1.8,1.8,208440,[1 0]
19990126,1.8,1.8,1.8,1.8,126360,[1 0]
19990127,1.8,1.8,1.8,1.8,220140,[0 0]
19990128,1.75,1.75,1.75,1.75,178150,[0 1]
19990210,1.7,1.7,1.7,1.7,145860,[1 0]
19990211,1.7,1.7,1.7,1.7,127500,[1 1]
19990212,1.65,1.65,1.51,1.51,72366,[0 0]
19990217,1.65,1.65,1.65,1.65,143880,[1 1]
19990218,1.6,1.6,1.6,1.6,8640,[1 0]
19990219,1.6,1.6,1.6,1.6,5760,[1 0]
19990223,1.6,1.7,1.6,1.7,60850,[1 1]
19990225,1.6,1.6,1.6,1.6,62400,[1 0]
19990302,1.7,1.7,1.7,1.7,72420,[1 0]
19990303,1.55,1.55,1.55,1.55,2790,[0 0]
19990304,1.55,1.55,1.55,1.55,52080,[1 0]
19990305,1.55,1.55,1.55,1.55,60450,[1 0]
19990309,1.4,1.41,1.4,1.41,146542,[0 0]
19990310,1.5,1.5,1.5,1.5,31500,[1 0]
19990311,1.52,1.52,1.52,1.52,138928,[1 0]
19990312,1.45,1.45,1.45,1.45,136010,[1 1]
19990315,1.31,1.31,1.06,1.06,99314,[0 1]
19990316,1.35,1.35,1.06,1.06,355038,[1 1]
19990317,1.3,1.39,1.3,1.39,91180,[0 1]
19990318,1.3,1.3,1.3,1.3,17160,[1 0]
19990319,1.3,1.3,1.06,1.06,30500,[1 1]
19990322,1.1,1.1,1.1,1.1,34980,[0 0]
19990323,1.2,1.2,1.2,1.2,45360,[0 0]
19990324,1.22,1.22,1.2,1.2,83900,[0 1]
19990326,1.17,1.17,1.17,1.17,3042,[1 0]
19990329,1.25,1.25,1.2,1.25,35370,[0 0]
19990330,1.13,1.21,1.13,1.21,51942,[0 0]
19990331,1.25,1.27,1.25,1.27,9925,[0 0]
19990405,1.23,1.27,1.22,1.27,116723,[0 1]
19990406,1.25,1.25,1.24,1.24,80363,[0 0]
19990407,1.24,1.24,1.24,1.24,49352,[1 0]
19990408,1.24,1.24,1.21,1.21,68426,[0 0]
19990409,1.26,1.26,1.26,1.26,56700,[0 1]
19990412,1.21,1.21,1.21,1.21,77198,[0 0]
19990413,1.25,1.26,1.25,1.26,2262,[0 0]
19990414,1.25,1.25,1.25,1.25,56500,[0 1]
19990415,1.25,1.25,1.25,1.25,57000,[0 1]
19990416,1.22,1.22,1.22,1.22,41724,[0 0]
19990419,1.26,1.26,1.25,1.25,282591,[0 0]
19990420,1.25,1.25,1.25,1.25,49125,[1 0]
19990422,1.25,1.25,1.25,1.25,90000,[0 0]
19990427,1.23,1.23,1.23,1.23,102090,[0 0]
19990428,1.24,1.24,1.24,1.24,30504,[0 0]
19990429,1.22,1.22,1.22,1.22,10004,[1 0]
19990430,1.18,1.18,1.18,1.18,71272,[0 0]
19990503,1.23,1.23,1.23,1.23,41820,[0 0]
19990504,1.23,1.23,1.23,1.23,121893,[0 0]
19990505,1.23,1.23,1.23,1.23,16236,[0 0]
19990506,1.23,1.23,1.23,1.23,112914,[0 1]
19990507,1.25,1.25,1.25,1.25,72000,[0 0]
19990510,1.22,1.22,1.22,1.22,22936,[1 0]
19990511,1.3,1.3,1.22,1.22,42624,[0 0]
19990512,1.21,1.21,1.21,1.21,63646,[1 1]
19990513,1.22,1.23,1.22,1.22,229959,[0 1]
19990514,1.25,1.25,1.25,1.25,3750,[0 0]
19990517,1.29,1.29,1.29,1.29,82302,[0 0]
19990518,1.4,1.4,1.3,1.3,33200,[0 1]
19990519,1.3,1.3,1.3,1.3,37700,[0 0]
19990520,1.31,1.31,1.31,1.31,71002,[1 0]
19990521,1.32,1.32,1.32,1.32,91608,[0 0]
19990524,1.3,1.32,1.3,1.32,135512,[1 0]
19990525,1.3,1.3,1.3,1.3,13260,[0 0]
19990526,1.3,1.3,1.3,1.3,246870,[0 1]
19990527,1.3,1.31,1.3,1.31,115353,[0 0]
19990528,1.3,1.3,1.3,1.3,85800,[0 1]
19990601,1.31,1.31,1.31,1.31,134930,[0 0]
19990602,1.32,1.32,1.32,1.32,8448,[0 0]
19990604,1.31,1.31,1.31,1.31,15720,[0 0]
19990607,1.32,1.32,1.32,1.32,104544,[1 0]
19990609,1.3,1.3,1.3,1.3,42900,[1 0]
19990610,1.3,1.3,1.3,1.3,40820,[0 0]
19990611,1.31,1.31,1.31,1.31,103752,[1 0]
19990614,1.32,1.32,1.32,1.32,164208,[0 0]
19990616,1.33,1.33,1.33,1.33,134330,[0 0]
19990617,1.32,1.33,1.32,1.33,271336,[0 0]
19990618,1.32,1.32,1.32,1.32,94512,[0 0]
19990621,1.32,1.32,1.32,1.32,57288,[0 0]
19990622,1.32,1.32,1.32,1.32,76032,[0 1]
19990623,1.32,1.32,1.32,1.32,31152,[0 0]
19990624,1.32,1.32,1.32,1.32,47520,[0 0]
19990628,1.32,1.32,1.32,1.32,24552,[1 0]
19990629,1.33,1.33,1.33,1.33,20748,[0 1]
19990630,1.33,1.33,1.33,1.33,165452,[0 0]
19990701,1.33,1.33,1.33,1.33,119700,[0 0]
19990702,1.33,1.33,1.33,1.33,78337,[0 0]
19990705,1.34,1.34,1.32,1.32,210102,[0 0]
19990706,1.33,1.33,1.33,1.33,36176,[1 0]
19990707,1.34,1.35,1.34,1.34,169506,[0 0]
19990708,1.34,1.34,1.34,1.34,150616,[1 0]
19990712,1.34,1.34,1.34,1.34,106128,[0 1]
19990713,1.34,1.34,1.34,1.34,2412,[0 0]
19990714,1.34,1.34,1.34,1.34,16080,[1 0]
19990716,1.34,1.34,1.34,1.34,26800,[1 1]
19990719,1.33,1.33,1.33,1.33,47880,[0 0]
19990720,1.33,1.33,1.3,1.33,213283,[1 1]
19990721,1.32,1.32,1.32,1.32,114840,[1 0]
19990722,1.32,1.33,1.32,1.33,179526,[0 0]
19990723,1.31,1.31,1.31,1.31,80172,[0 1]
19990726,1.31,1.31,1.31,1.31,91962,[1 0]
19990727,1.31,1.31,1.31,1.31,83578,[0 0]
19990728,1.32,1.32,1.32,1.32,131472,[1 0]
19990729,1.32,1.32,1.32,1.32,16896,[1 1]
19990811,1.25,1.25,1.25,1.25,60500,[1 1]
19990812,1.25,1.25,1.25,1.25,144500,[0 0]
19990816,1.21,1.21,1.21,1.21,2178,[1 0]
19990817,1.21,1.21,1.21,1.21,63162,[0 1]
19990818,1.22,1.22,1.22,1.22,60756,[0 0]
19990819,1.22,1.22,1.22,1.22,77592,[1 0]
19990820,1.22,1.22,1.22,1.22,83448,[0 0]
19990823,1.22,1.22,1.22,1.22,2196,[0 0]
19990824,1.22,1.22,1.22,1.22,114680,[1 1]
19990825,1.22,1.22,1.22,1.22,96136,[0 0]
19990826,1.22,1.22,1.22,1.22,58560,[0 1]
19990827,1.22,1.22,1.22,1.22,66368,[0 1]
19990830,1.23,1.26,1.23,1.26,47898,[0 1]
19990831,1.26,1.26,1.26,1.26,3780,[0 0]
19990901,1.26,1.26,1.26,1.26,86184,[1 0]
19990902,1.26,1.26,1.26,1.26,61236,[1 0]
19990903,1.26,1.26,1.21,1.21,204241,[1 1]
19990906,1.21,1.21,1.21,1.21,85184,[1 0]
19990909,1.26,1.26,1.26,1.26,54684,[0 0]
19990910,1.27,1.27,1.27,1.27,56642,[1 1]
19990913,1.26,1.26,1.26,1.26,24948,[1 0]
19990914,1.26,1.26,1.26,1.26,132300,[0 0]
19990915,1.29,1.29,1.26,1.26,64248,[0 1]
19990916,1.27,1.28,1.27,1.28,123510,[0 0]
19990917,1.28,1.28,1.28,1.28,132480,[0 1]
19990920,1.28,1.28,1.28,1.28,19200,[0 0]
19990921,1.28,1.28,1.28,1.28,101888,[0 1]
19990922,1.3,1.3,1.28,1.28,134348,[0 0]
19990923,1.3,1.3,1.26,1.26,81462,[0 1]
19990924,1.28,1.28,1.28,1.28,127488,[0 1]
19990927,1.28,1.28,1.28,1.28,44800,[0 1]
19990928,1.29,1.29,1.29,1.29,33798,[0 0]
19990929,1.29,1.31,1.29,1.31,104632,[1 0]
19990930,1.31,1.35,1.31,1.35,105510,[0 0]
19991001,1.34,1.34,1.34,1.34,57888,[1 0]
19991004,1.31,1.4,1.31,1.4,100260,[0 0]
19991005,1.4,1.4,1.4,1.4,118720,[0 0]
19991006,1.37,1.37,1.32,1.32,52068,[0 0]
19991007,1.32,1.34,1.32,1.32,165936,[0 0]
19991008,1.32,1.35,1.32,1.35,145860,[0 0]
19991011,1.33,1.33,1.33,1.33,73682,[1 0]
19991013,1.35,1.35,1.35,1.35,30510,[0 0]
19991014,1.33,1.33,1.33,1.33,42294,[0 1]
19991015,1.35,1.35,1.35,1.35,9990,[0 0]
19991018,1.31,1.35,1.31,1.35,296456,[0 0]
19991019,1.35,1.35,1.35,1.35,93150,[0 1]
19991020,1.34,1.34,1.34,1.34,13132,[0 0]
