date,open,max,min,close,volume,y
20101101,1550.0,1720.0,1550.0,1720.0,18018258100,[0 0]
20101103,1720.0,1740.0,1700.0,1700.0,4984800200,[0 0]
20101104,1692.01,1719.99,1611.08,1695.0,2977843000,[1 1]
20101105,1680.0,1690.0,1610.0,1610.0,1755876700,[0 0]
20101108,1601.01,1608.0,1600.0,1600.0,2288997200,[1 1]
20101109,1600.0,1672.0,1600.0,1601.5,389535400,[0 0]
20101110,1649.5,1734.14,1638.5,1650.0,386471900,[0 0]
20101111,1620.0,1630.0,1620.0,1620.0,97500000,[1 0]
20101112,1620.0,1620.0,1620.0,1620.0,81000000,[1 0]
20101116,1650.0,1675.0,1635.0,1675.0,1145200000,[1 1]
20101117,1715.0,1750.0,1649.99,1750.0,1208925700,[1 0]
20101118,1797.5,1797.5,1620.0,1674.99,1064636100,[0 1]
20101119,1625.01,1669.0,1621.0,1650.0,1049544000,[0 1]
20101122,1620.0,1635.0,1620.0,1635.0,48900000,[1 0]
20101123,1600.0,1630.01,1600.0,1620.0,257475000,[1 1]
20101124,1620.0,1650.01,1603.8,1650.01,359278000,[1 1]
20101125,1650.0,1650.01,1618.0,1634.0,114700200,[0 0]
20101126,1669.99,1669.99,1635.0,1635.0,65799900,[0 0]
20101129,1635.0,1635.0,1605.0,1610.0,193999800,[1 1]
20101130,1600.0,1635.0,1600.0,1635.0,1554120200,[1 1]
20101201,1635.0,1669.49,1630.0,1669.49,344640000,[0 0]
20101202,1680.0,1705.0,1628.6,1672.89,434168100,[0 1]
20101203,1635.0,1635.0,1600.0,1635.0,628681800,[1 1]
20101206,1635.0,1658.0,1625.0,1625.0,1203530000,[1 1]
20101207,1640.0,1696.99,1620.0,1670.0,298899300,[1 1]
20101208,1654.99,1655.0,1654.99,1654.99,49649800,[0 0]
20101209,1670.0,1680.0,1655.0,1655.0,2112645100,[0 0]
20101210,1660.0,1674.99,1660.0,1674.99,66849700,[0 0]
20101213,1674.94,1674.94,1630.01,1630.01,99219000,[0 1]
20101214,1645.01,1727.0,1645.01,1727.0,831899900,[0 1]
20101215,1746.0,1843.0,1746.0,1840.0,1097180600,[0 0]
20101216,1840.0,1885.0,1810.0,1885.0,1187437000,[1 1]
20101217,1899.99,2005.0,1899.99,2000.0,2654397300,[0 0]
20101220,2000.0,2005.0,2000.0,2000.0,760190000,[0 1]
20101221,2000.0,2000.0,1930.0,1969.94,256698800,[0 0]
20101222,1905.0,1905.0,1880.0,1897.94,397797100,[0 0]
20101223,1895.0,1899.99,1855.1,1855.1,94391500,[1 1]
20101227,1865.0,1869.96,1865.0,1869.5,112129500,[0 0]
20101228,1875.0,1875.0,1875.0,1875.0,18750000,[1 0]
20101229,1900.0,1900.0,1850.0,1900.0,132400000,[1 0]
20101230,1900.0,1980.0,1900.0,1980.0,331600000,[0 0]
20110103,1950.0,1950.0,1910.0,1910.0,389600000,[0 0]
20110104,1910.0,1910.0,1890.01,1890.01,247000100,[1 1]
20110105,1890.0,1890.0,1860.0,1860.0,528601000,[0 0]
20110106,1850.0,1870.0,1850.0,1870.0,353775000,[0 1]
