date,open,max,min,close,volume,y
20111122,18.25,18.25,17.3,17.3,246000,[0 1]
20111123,17.0,17.0,17.0,17.0,102000,[0 1]
20111223,20.01,20.01,20.01,20.01,60030,[1 1]
20111229,22.5,22.5,14.0,14.0,276073,[0 1]
20120102,17.0,17.0,17.0,17.0,23800,[0 1]
20120103,17.7,17.7,17.7,17.7,24780,[1 0]
20120110,19.63,19.63,19.63,19.63,196300,[1 1]
20120119,19.5,19.5,19.5,19.5,70200,[0 1]
20120120,19.5,20.0,19.5,20.0,99300,[0 1]
20120123,20.0,20.0,19.0,19.0,167000,[0 1]
20120124,19.15,19.15,19.15,19.15,19150,[0 1]
20120126,20.2,20.2,20.2,20.2,60600,[0 1]
20120131,19.0,20.0,19.0,20.0,147500,[0 0]
20120201,22.0,22.0,22.0,22.0,30800,[0 1]
20120203,21.0,25.0,19.0,25.0,140900,[1 0]
20120206,20.0,20.0,20.0,20.0,66000,[0 1]
20120208,20.1,20.1,20.1,20.1,54270,[1 0]
20120213,22.49,22.49,19.59,19.59,207500,[0 1]
20120214,16.0,21.0,16.0,21.0,230100,[0 0]
20120217,19.4,19.4,19.2,19.39,94119,[1 0]
20120222,20.1,20.1,20.0,20.0,102010,[1 0]
20120223,19.8,21.0,19.8,20.0,236000,[1 0]
20120224,20.1,20.1,20.1,20.1,46230,[0 0]
20120227,20.0,20.0,18.5,18.5,144850,[1 1]
20120228,20.3,20.3,18.0,19.99,136477,[0 0]
20120305,21.0,21.0,19.6,19.6,208550,[1 0]
20120306,20.0,20.0,19.2,19.2,77680,[1 1]
20120307,25.0,25.0,19.01,19.01,182550,[0 0]
20120309,19.4,19.4,19.4,19.4,29100,[0 0]
20120312,19.35,19.5,19.35,19.5,145200,[1 0]
20120316,20.2,20.5,18.5,18.5,296950,[1 1]
20120319,20.0,20.0,17.56,17.56,171212,[0 1]
20120320,25.0,25.0,21.19,21.19,184734,[0 1]
20120323,19.6,21.99,19.6,21.99,308818,[1 0]
20120327,20.5,20.5,20.5,20.5,77900,[0 0]
20120330,20.0,20.0,18.0,18.0,340000,[1 0]
20120402,19.02,19.07,18.89,19.07,154042,[0 1]
20120403,18.95,18.95,18.95,18.95,72010,[1 0]
20120404,18.5,18.5,18.5,18.5,70300,[1 0]
20120412,20.0,20.0,20.0,20.0,170000,[1 1]
20120416,19.0,19.5,19.0,19.5,165000,[1 0]
20120417,17.57,19.65,17.57,19.65,115820,[0 1]
20120418,20.15,20.15,19.55,19.55,233460,[0 1]
20120423,19.9,21.0,17.0,21.0,128780,[1 1]
20120424,20.25,21.0,20.25,21.0,140325,[0 0]
20120426,17.0,20.4,17.0,20.4,344420,[1 1]
20120427,20.4,20.4,20.4,20.4,142800,[1 0]
20120502,24.0,24.0,21.1,21.1,460244,[1 0]
20120503,30.0,30.0,30.0,30.0,3000,[0 1]
20120504,22.0,22.95,21.01,21.01,542885,[0 1]
20120517,18.0,18.0,17.25,17.25,309938,[0 1]
20120521,17.3,17.3,17.3,17.3,3460,[0 0]
20120523,17.25,17.25,15.8,15.8,226638,[1 1]
20120524,16.55,22.93,16.36,16.36,330216,[0 0]
20120525,16.8,16.8,16.5,16.75,234390,[1 0]
20120528,16.5,16.5,16.5,16.5,107250,[0 1]
20120530,17.0,17.0,16.0,16.0,107020,[1 0]
20120531,16.0,16.0,16.0,16.0,152000,[1 0]
20120601,16.0,16.0,16.0,16.0,41600,[1 1]
20120605,17.32,17.56,17.32,17.56,41664,[0 0]
20120606,17.78,17.78,16.0,16.8,185520,[0 1]
20120608,18.15,22.89,17.9,18.95,1166181,[1 0]
20120611,18.23,20.13,18.23,20.13,364538,[1 0]
20120612,19.15,19.4,19.15,19.4,151995,[1 0]
20120614,19.35,19.7,19.35,19.7,41195,[0 1]
20120615,19.7,19.86,18.2,19.0,876085,[0 1]
20120618,19.5,20.3,19.5,20.3,325150,[1 0]
20120619,20.0,21.95,19.52,21.95,570109,[1 0]
20120620,20.25,20.26,19.6,19.73,463897,[1 0]
20120621,19.5,19.7,19.0,19.7,351550,[0 1]
20120622,19.55,20.0,17.8,17.8,203675,[0 0]
20120626,17.9,19.9,17.9,17.9,137340,[1 0]
20120627,17.85,17.85,17.85,17.85,85680,[0 1]
20120628,17.25,17.25,17.25,17.25,86250,[1 0]
20120629,17.75,17.8,17.75,17.8,99540,[0 1]
20120702,19.85,19.85,17.78,17.85,183496,[0 1]
20120703,17.0,17.2,17.0,17.2,234100,[1 0]
20120704,18.5,18.5,18.5,18.5,55500,[1 0]
20120705,18.25,18.25,17.0,18.04,195126,[0 0]
20120706,18.05,18.05,18.05,18.05,9025,[0 1]
20120710,18.15,18.15,18.15,18.15,36300,[1 0]
20120711,21.08,21.08,17.8,19.55,310375,[1 1]
20120712,17.9,17.9,16.92,16.92,175164,[0 1]
20120716,17.22,17.4,15.61,15.61,165756,[1 0]
20120717,17.15,17.5,17.15,17.5,8645,[1 0]
20120718,17.5,17.69,16.0,16.0,322428,[1 0]
20120719,17.82,17.82,17.82,17.82,60588,[0 1]
20120720,17.82,17.95,17.82,17.95,26912,[0 0]
20120723,21.08,21.08,21.08,21.08,21080,[0 1]
20120724,19.55,19.55,19.55,19.55,19550,[0 1]
20120725,18.0,18.0,17.41,17.41,220776,[0 1]
20120726,17.81,17.81,17.81,17.81,33839,[1 1]
20120727,18.1,18.18,18.1,18.18,56318,[0 0]
20120730,18.44,18.45,17.67,18.45,209137,[1 1]
20120731,18.56,19.25,15.0,15.0,109089,[1 1]
20120801,18.1,18.56,14.2,18.56,96786,[0 1]
20120802,17.0,17.0,17.0,17.0,5100,[0 0]
20120803,18.5,18.5,16.01,16.01,100539,[1 0]
20120806,18.51,20.2,18.51,20.2,391926,[0 1]
20120807,19.77,20.99,19.55,19.55,136404,[0 1]
20120808,20.03,20.16,20.03,20.16,20095,[0 1]
20120809,19.34,19.34,18.0,18.0,193073,[1 0]
20120810,19.2,19.2,19.2,19.2,46080,[0 1]
20120813,18.8,18.8,18.8,18.8,33840,[1 0]
20120815,18.5,18.5,18.0,18.0,220080,[0 1]
20120816,18.63,18.76,18.55,18.76,2964131,[1 1]
20120820,18.93,18.93,18.93,18.93,39753,[1 0]
20120821,18.76,18.76,18.7,18.7,41152,[1 0]
20120823,18.11,18.11,18.11,18.11,90550,[1 0]
20120824,18.93,18.93,18.93,18.93,1893,[0 1]
20120827,18.5,18.5,18.5,18.5,74000,[0 1]
20120829,18.0,18.0,18.0,18.0,9000,[1 1]
20120830,18.63,19.25,18.63,19.0,99120,[0 1]
20120831,19.31,20.01,19.3,20.01,388872,[0 1]
20120903,19.48,19.48,18.21,18.21,189427,[1 1]
20120904,19.45,20.15,19.2,19.2,243515,[0 1]
20120905,18.01,19.32,18.01,18.06,168752,[1 0]
20120906,19.41,19.6,19.33,19.33,250737,[0 1]
20120910,19.4,19.4,19.4,19.4,9700,[1 0]
20120911,19.59,19.59,18.92,18.96,302031,[0 1]
20120912,18.5,19.41,18.05,18.05,585804,[1 0]
20120913,18.68,18.8,18.0,18.0,210074,[0 1]
20120914,19.1,19.35,19.03,19.03,129655,[0 1]
20120917,19.44,20.41,19.3,19.3,292216,[0 0]
20120918,19.34,19.34,18.99,18.99,574597,[0 1]
20120919,19.28,20.94,19.18,19.34,257958,[1 1]
20120920,19.03,19.51,19.0,19.0,179150,[1 1]
20120921,19.27,19.65,19.0,19.65,236954,[1 1]
20120924,19.21,19.52,19.21,19.52,118328,[0 1]
20120926,19.1,19.1,19.0,19.0,55380,[0 1]
20120927,19.19,20.95,19.16,20.95,129824,[1 0]
20120928,19.1,19.1,18.9,18.9,189570,[0 0]
20121001,19.91,19.91,18.3,19.35,294617,[1 0]
20121003,19.3,20.5,18.0,20.5,336224,[1 0]
20121004,20.03,20.03,19.0,19.0,150860,[0 0]
20121005,20.06,20.1,20.06,20.1,257260,[1 1]
20121008,20.21,20.21,19.0,19.0,174287,[0 1]
20121009,19.85,19.85,19.0,19.65,34750,[1 0]
20121010,19.31,19.31,18.65,18.65,138728,[0 0]
20121011,18.61,18.61,18.61,18.61,130270,[1 1]
20121016,20.5,20.5,18.71,18.71,319700,[0 1]
20121024,18.51,18.51,18.27,18.27,194325,[1 0]
20121025,18.27,18.27,17.81,17.81,190643,[1 0]
20121026,17.67,18.55,17.0,18.55,47050,[1 0]
20121029,17.0,18.28,17.0,17.8,348256,[1 1]
20121030,17.8,17.9,17.78,17.78,1367402,[1 0]
20121031,17.78,18.55,17.78,18.0,395449,[1 1]
20121105,18.0,18.05,17.5,18.02,1803431,[1 0]
20121106,18.02,18.1,17.61,17.95,1431916,[1 0]
20121107,18.0,18.3,17.91,17.91,301315,[0 1]
20121108,18.55,19.0,18.55,19.0,143315,[0 1]
20121109,18.05,18.32,18.0,18.0,117417,[0 1]
20121112,18.68,18.68,18.63,18.63,11183,[1 0]
20121113,18.75,18.9,18.75,18.9,18825,[1 0]
20121114,19.47,19.47,18.0,18.0,212578,[1 1]
20121116,18.71,18.71,18.7,18.7,37413,[1 1]
20121119,18.26,18.27,18.15,18.15,191567,[1 1]
20121121,18.01,18.01,17.67,17.67,179730,[0 0]
20121122,17.67,17.67,17.0,17.05,2242641,[0 0]
20121127,17.4,17.4,15.0,15.0,171739,[0 1]
20121128,17.34,17.34,16.8,16.8,126312,[1 0]
20121129,17.2,17.2,17.2,17.2,27520,[1 1]
20121130,17.45,18.28,17.01,17.01,375043,[0 1]
20121203,17.93,18.6,17.8,17.8,700730,[0 1]
20121204,18.55,18.74,18.15,18.15,195595,[0 1]
20121205,18.34,18.34,17.0,17.0,546271,[1 0]
20121206,17.52,17.52,17.52,17.52,7008,[1 0]
20121207,18.45,18.55,18.0,18.45,202560,[1 0]
20121210,17.2,19.99,16.99,18.35,380253,[1 0]
20121211,17.0,18.52,17.0,18.52,160945,[0 1]
20121212,18.0,18.12,17.71,18.11,145747,[0 1]
20121213,18.2,18.75,18.2,18.73,108762,[0 0]
20121214,18.45,18.61,18.04,18.61,347718,[0 0]
20121217,18.59,19.95,18.0,18.0,411867,[0 0]
20121218,18.52,19.9,17.22,19.9,337258,[0 1]
20121219,18.52,20.99,18.52,19.08,267002,[1 0]
20121220,19.08,19.08,18.9,18.9,30258,[1 1]
20121221,18.93,19.28,17.21,18.9,473499,[1 0]
20121226,18.52,22.0,18.52,21.98,375260,[1 0]
20121227,19.28,19.56,19.2,19.56,44472,[0 0]
20121228,19.5,19.95,19.5,19.95,427494,[1 0]
20130102,19.72,19.72,19.0,19.0,235870,[0 1]
20130103,19.95,19.95,19.74,19.75,297401,[0 1]
20130104,20.1,20.38,18.05,20.35,231918,[1 0]
20130107,20.39,21.05,20.32,21.05,3024639,[1 1]
20130108,18.2,20.15,16.01,20.15,446585,[0 0]
20130109,19.0,21.0,18.0,19.05,456055,[0 1]
20130110,20.0,20.0,20.0,20.0,70000,[0 0]
20130111,21.0,21.0,19.0,20.58,460163,[0 1]
20130114,21.05,21.7,21.05,21.7,198165,[0 1]
20130115,21.6,21.99,21.45,21.99,595481,[0 1]
20130116,21.24,21.24,18.01,18.01,198663,[0 0]
20130118,20.76,20.76,20.76,20.76,20760,[1 1]
20130121,20.5,20.5,20.0,20.5,202550,[0 0]
20130122,20.8,20.8,20.0,20.0,39120,[0 1]
20130123,20.7,21.5,20.7,21.5,299852,[1 0]
20130124,20.0,22.0,20.0,21.3,235420,[0 1]
20130128,20.8,21.2,19.99,19.99,294069,[0 0]
20130130,21.17,21.28,21.17,21.28,33927,[1 1]
20130131,21.28,21.28,21.21,21.23,233756,[0 1]
20130201,21.66,22.0,21.66,22.0,150474,[0 0]
20130204,21.7,21.7,19.7,19.7,159640,[0 1]
20130205,21.75,21.8,20.62,20.62,106507,[1 1]
20130206,22.0,22.0,21.19,21.36,327907,[0 1]
20130207,21.15,21.15,20.5,20.7,202185,[0 1]
20130208,21.0,21.0,19.0,19.0,205900,[1 1]
20130213,20.95,22.0,20.95,20.98,130692,[1 0]
20130214,21.02,22.75,21.0,21.02,376790,[0 1]
20130215,20.6,20.6,20.3,20.4,147260,[0 0]
20130218,20.8,21.2,19.05,19.05,384075,[0 1]
20130219,20.0,20.0,19.12,19.93,103562,[0 0]
20130220,20.7,22.97,20.4,20.4,579966,[1 0]
20130221,20.89,20.9,20.1,20.75,312488,[0 1]
20130222,20.89,20.94,20.8,20.8,248965,[0 0]
20130225,20.86,20.86,19.93,19.93,103996,[1 0]
20130226,20.83,20.83,20.83,20.83,99984,[1 0]
20130227,20.86,20.89,19.06,19.06,368832,[0 1]
20130228,20.82,21.14,20.82,21.05,581154,[0 0]
20130301,20.8,20.95,20.6,20.9,1399718,[1 0]
20130304,20.9,20.9,20.55,20.67,1525646,[0 1]
20130305,20.87,20.95,20.8,20.81,541952,[1 0]
20130306,20.8,20.8,20.8,20.8,35360,[0 0]
20130307,21.05,21.05,20.73,21.0,306183,[0 1]
20130308,21.55,22.0,21.2,21.25,660175,[0 0]
20130311,21.8,21.8,21.8,21.8,80660,[0 1]
20130312,21.9,22.0,21.21,21.21,167459,[1 0]
20130313,22.0,22.5,21.22,22.4,1032200,[1 1]
20130314,22.88,22.88,21.21,21.21,529588,[0 0]
20130315,21.7,21.95,21.26,21.26,173427,[1 0]
20130318,22.15,22.15,21.96,21.96,121635,[1 0]
20130319,22.12,23.9,22.0,22.0,567754,[1 1]
20130320,21.95,21.95,21.51,21.51,118745,[1 0]
20130321,22.03,23.74,21.9,21.9,918155,[1 0]
20130322,22.12,23.49,21.21,23.49,443157,[0 0]
20130325,22.32,22.42,22.32,22.42,147472,[0 1]
20130326,23.0,23.0,21.29,21.29,225769,[0 0]
20130327,22.82,22.82,22.7,22.7,675296,[0 1]
20130328,22.3,23.95,21.1,23.1,854519,[1 0]
20130401,22.15,22.15,21.66,21.7,526220,[1 0]
20130402,21.65,21.75,20.91,21.48,3584008,[1 1]
20130403,21.7,22.0,21.3,22.0,3982288,[0 1]
20130404,23.02,23.9,21.96,23.9,850627,[0 0]
20130405,21.69,22.01,21.69,21.85,753404,[1 0]
20130408,22.0,24.0,21.85,21.85,319324,[0 0]
20130409,21.85,22.45,21.55,22.45,300167,[1 1]
20130410,22.4,22.4,21.95,21.95,299093,[1 0]
20130411,22.43,22.45,21.54,22.45,647805,[1 0]
20130412,22.45,22.45,21.8,21.8,411037,[1 0]
20130415,21.95,22.2,21.65,21.65,321385,[1 0]
20130416,21.95,21.95,21.29,21.6,2446644,[0 1]
20130417,21.7,22.19,21.39,21.66,2040611,[1 0]
20130418,21.75,22.19,21.69,21.75,1208345,[1 0]
20130419,21.75,22.25,21.75,22.25,685100,[0 1]
20130422,21.95,22.5,21.75,22.42,796094,[0 1]
20130423,22.55,22.8,22.55,22.8,379067,[1 1]
20130424,22.93,23.9,22.93,23.2,606217,[0 0]
20130425,23.5,23.85,23.17,23.85,581962,[1 0]
20130426,23.1,23.89,22.95,22.95,410728,[0 1]
20130429,22.67,24.0,22.51,24.0,372931,[1 0]
20130513,22.45,22.72,22.45,22.5,717972,[1 0]
20130514,23.29,23.29,22.01,23.29,701679,[1 1]
20130515,22.58,23.3,22.5,23.3,505961,[0 0]
20130528,22.3,22.98,22.21,22.98,602818,[1 1]
20130529,22.8,22.8,22.2,22.39,503235,[1 0]
20130531,22.2,22.2,20.29,20.72,1793472,[0 0]
20130603,21.9,21.9,21.01,21.8,978331,[0 1]
20130604,22.32,22.32,21.7,21.7,374384,[0 0]
20130605,22.04,22.1,21.3,21.89,556176,[0 1]
20130606,21.5,21.89,21.26,21.89,693848,[0 0]
20130607,21.54,21.54,20.8,20.89,392258,[0 1]
20130610,21.08,21.08,20.35,20.6,916855,[0 1]
