date,open,max,min,close,volume,y
19980316,2.7,2.8,2.7,2.8,124860,[1 1]
19980317,2.8,2.84,2.8,2.84,275656,[1 0]
19980318,2.86,2.86,2.86,2.86,227084,[1 0]
19980319,2.87,2.95,2.87,2.95,393344,[0 0]
19980320,2.9,2.9,2.9,2.9,17980,[1 0]
19980323,3.0,3.0,3.0,3.0,46200,[1 1]
19980324,3.0,3.0,3.0,3.0,122400,[0 1]
19980325,3.0,3.0,3.0,3.0,286200,[1 1]
19980326,3.0,3.0,3.0,3.0,32400,[0 0]
19980327,3.0,3.01,3.0,3.01,64980,[0 1]
19980330,3.0,3.0,3.0,3.0,59400,[1 0]
19980331,3.06,3.06,3.06,3.06,159732,[0 1]
19980401,3.1,3.1,3.1,3.1,308760,[0 1]
19980402,3.1,3.1,3.1,3.1,182900,[1 1]
19980403,3.16,3.16,3.16,3.16,138724,[1 0]
19980406,3.2,3.2,3.2,3.2,289920,[1 1]
19980407,3.22,3.22,3.22,3.22,479136,[1 1]
19980408,3.22,3.22,3.22,3.22,23828,[1 0]
19980413,3.22,3.22,3.22,3.22,159068,[0 1]
19980414,3.22,3.22,3.22,3.22,40572,[0 1]
19980415,3.5,3.5,3.5,3.5,243600,[0 0]
19980416,3.5,3.81,3.5,3.81,792720,[0 1]
19980417,3.76,3.76,3.76,3.76,268464,[0 1]
19980420,3.76,3.76,3.76,3.76,367728,[0 0]
19980422,3.82,3.91,3.82,3.91,340168,[0 0]
19980423,3.91,3.91,3.91,3.91,495788,[0 0]
19980427,4.02,4.02,4.02,4.02,315972,[1 0]
19980428,4.03,4.03,4.03,4.03,149110,[0 0]
19980429,4.05,4.05,4.05,4.05,97200,[0 1]
19980430,4.03,4.15,4.03,4.15,498472,[0 0]
19980504,4.02,4.02,4.02,4.02,389940,[1 0]
19980505,4.25,4.25,4.25,4.25,10200,[1 1]
19980506,4.3,4.3,4.3,4.3,77400,[0 0]
19980507,4.5,4.5,4.5,4.5,54000,[1 0]
19980508,4.5,4.71,4.5,4.71,905364,[1 1]
19980511,4.96,4.96,4.96,4.96,86304,[0 0]
19980512,4.96,4.96,4.96,4.96,238080,[0 0]
19980513,4.96,4.96,4.96,4.96,77376,[0 1]
19980514,4.96,5.1,4.96,5.1,757740,[0 1]
19980515,4.9,4.9,4.9,4.9,258720,[0 0]
19980518,4.91,4.91,4.91,4.91,609822,[0 0]
19980519,4.91,4.91,4.91,4.91,38298,[0 0]
19980520,4.91,4.91,4.91,4.91,61866,[0 0]
19980521,4.91,4.94,4.91,4.91,256404,[0 1]
19980522,4.91,4.92,4.91,4.92,564564,[0 1]
19980525,4.91,4.91,4.91,4.91,453684,[0 0]
19980526,4.93,4.96,4.93,4.95,707385,[0 0]
19980527,4.91,4.91,4.91,4.91,292636,[0 1]
19980528,4.91,4.91,4.91,4.91,421278,[0 0]
19980529,4.91,4.91,4.91,4.91,415386,[0 0]
