date,open,max,min,close,volume,y
19980316,2.96,2.96,2.96,2.96,888000,[0 1]
19980318,2.96,2.96,2.96,2.96,2072000,[0 1]
19980319,3.06,3.06,3.06,3.06,2142000,[1 0]
19980320,3.06,3.06,3.06,3.06,612000,[0 1]
19980323,3.1,3.1,3.1,3.1,1240000,[1 1]
19980324,3.11,3.11,3.11,3.11,933000,[0 1]
19980325,3.11,3.11,3.11,3.11,1555000,[1 1]
19980326,3.11,3.11,3.11,3.11,1244000,[1 1]
19980331,3.15,3.15,3.15,3.15,945000,[1 1]
19980401,3.06,3.18,3.06,3.18,2199000,[0 1]
19980402,3.21,3.23,3.21,3.23,1286000,[0 0]
19980403,3.2,3.2,3.2,3.2,640000,[1 0]
19980406,3.27,3.27,3.27,3.27,327000,[1 1]
19980408,3.34,3.34,3.34,3.34,1336000,[1 1]
19980413,3.4,3.4,3.4,3.4,12240000,[1 1]
19980414,3.74,3.74,3.74,3.74,748000,[0 0]
19980415,3.75,3.75,3.75,3.75,4875000,[1 1]
19980416,3.87,3.87,3.87,3.87,387000,[0 0]
19980417,4.1,4.1,4.1,4.1,2050000,[1 1]
19980420,4.04,4.04,4.04,4.04,404000,[0 0]
19980423,4.18,4.18,4.18,4.18,1672000,[0 0]
19980424,4.18,4.18,4.18,4.18,4180000,[0 0]
19980427,4.1,4.1,4.1,4.1,6150000,[0 0]
19980428,4.17,4.18,4.15,4.15,3327000,[0 0]
19980430,4.15,4.15,4.1,4.1,1645000,[0 0]
19980504,4.1,4.25,4.1,4.25,21420000,[0 0]
19980505,4.13,4.47,4.13,4.47,3955000,[0 0]
19980506,4.44,4.55,4.44,4.55,3173000,[0 0]
19980507,4.65,4.83,4.65,4.83,6618000,[0 0]
19980508,4.89,5.0,4.89,5.0,3489000,[0 0]
19980511,5.01,5.05,5.01,5.05,2012000,[1 0]
19980512,5.05,5.05,5.0,5.0,29141000,[1 0]
19980513,5.0,5.0,5.0,5.0,1000000,[1 0]
19980514,5.02,5.02,5.02,5.02,1004000,[0 0]
19980515,5.0,5.12,5.0,5.12,2548000,[0 1]
19980518,4.98,4.98,4.98,4.98,9462000,[0 0]
19980521,4.94,4.95,4.94,4.95,2967000,[0 0]
19980522,4.98,4.98,4.97,4.97,1492000,[0 0]
19980525,4.97,4.99,4.97,4.99,2984000,[0 0]
19980526,4.99,5.0,4.96,4.96,7490000,[0 0]
19980527,4.96,4.96,4.96,4.96,1984000,[0 0]
19980528,4.96,4.96,4.96,4.96,1488000,[0 0]
19980529,4.96,4.96,4.9,4.9,3948000,[0 0]
19980601,4.87,4.87,4.87,4.87,3409000,[0 1]
19980602,4.75,4.75,4.57,4.57,3271000,[0 0]
19980603,4.57,4.57,4.57,4.57,7312000,[1 0]
19980604,4.57,4.57,4.57,4.57,3656000,[0 0]
19980605,4.57,4.57,4.57,4.57,2742000,[0 0]
19980609,4.57,4.57,4.57,4.57,914000,[1 0]
19980619,4.2,4.44,4.2,4.44,14004000,[0 0]
19980622,4.43,4.43,4.4,4.4,14119000,[0 0]
19980623,4.4,4.4,4.4,4.4,440000,[0 0]
19980624,4.36,4.36,4.36,4.36,4360000,[0 0]
19980625,4.35,4.35,4.3,4.3,2605000,[0 0]
19980629,4.3,4.3,4.3,4.3,4300000,[0 0]
19980630,4.3,4.3,4.3,4.3,2150000,[0 1]
19980701,4.28,4.28,4.28,4.28,428000,[0 1]
