date,open,max,min,close,volume,y
20050530,18.49,18.49,18.49,18.49,1849000,[0 1]
20050601,18.25,18.5,18.25,18.49,6979000,[0 0]
20050602,18.7,19.0,18.7,19.0,6420000,[0 0]
20050603,19.0,19.0,18.9,18.9,2656000,[1 0]
20050606,18.01,18.01,17.9,17.9,2159000,[0 0]
20050608,17.8,17.8,17.5,17.5,3857000,[1 0]
20050609,17.0,17.5,17.0,17.5,2750000,[0 0]
20050610,18.2,18.2,18.2,18.2,1820000,[0 1]
20050613,18.2,18.2,18.2,18.2,182000,[0 1]
20050614,18.0,18.0,17.0,18.0,6100000,[1 0]
20050615,18.8,18.8,17.0,17.0,4018000,[0 0]
20050616,18.0,18.0,18.0,18.0,1800000,[0 0]
20050620,16.89,16.89,16.89,16.89,1689000,[0 1]
20050621,17.0,17.0,16.7,16.7,4181000,[1 1]
20050622,15.31,15.34,15.31,15.34,1225100,[1 1]
20050623,15.99,15.99,15.0,15.0,12842500,[1 1]
20050624,15.0,15.4,14.4,15.4,9578000,[1 1]
20050627,14.9,15.3,14.6,15.3,1915000,[0 1]
20050629,15.5,15.5,15.5,15.5,2480000,[1 0]
20050630,16.93,16.93,16.93,16.93,169300,[0 0]
20050701,15.71,15.71,15.71,15.71,12568000,[0 0]
20050704,15.0,15.0,15.0,15.0,12150000,[0 0]
20050705,14.7,14.7,14.7,14.7,2940000,[1 0]
20050706,14.5,14.5,14.35,14.35,4450000,[0 0]
20050707,14.0,14.0,14.0,14.0,7000000,[0 1]
20050708,13.7,13.7,13.7,13.7,12330000,[0 0]
20050711,14.7,14.7,14.7,14.7,2940000,[1 0]
20050712,14.9,15.1,14.9,15.1,5849200,[1 0]
20050713,15.3,16.2,15.3,15.95,9350000,[1 1]
20050714,16.17,16.17,16.17,16.17,1617000,[1 0]
20050718,17.0,17.0,17.0,17.0,170000,[1 0]
20050719,17.2,17.2,17.2,17.2,1720000,[0 1]
20050720,17.95,18.0,17.95,18.0,9718500,[0 1]
20050722,18.0,18.2,18.0,18.2,362000,[1 0]
20050726,18.5,18.5,18.5,18.5,925000,[1 0]
20050727,18.0,18.5,18.0,18.5,1100000,[0 0]
20050729,18.5,18.8,18.5,18.8,2978000,[0 1]
20050802,18.8,20.0,18.8,20.0,11651000,[0 0]
