date,open,max,min,close,volume,y
20070405,15.5,16.0,15.21,15.8,13621041100,[0 0]
20070409,15.5,15.77,15.2,15.75,2749074600,[0 1]
20070410,15.45,15.45,14.85,14.94,2925052300,[1 0]
20070411,14.77,15.0,14.24,14.29,2921740600,[0 0]
20070412,14.19,15.05,14.15,15.02,1670527500,[1 0]
20070413,15.2,15.46,15.0,15.4,1340302100,[1 1]
20070416,15.15,15.5,15.0,15.0,852062900,[1 0]
20070417,15.0,15.08,14.76,15.0,442273700,[0 0]
20070418,14.9,15.35,14.85,15.0,633954400,[1 1]
20070419,14.85,15.1,14.75,15.1,737949900,[1 1]
20070420,15.0,15.26,14.95,15.0,1047966700,[1 0]
20070423,15.0,15.08,14.99,15.05,593470200,[0 1]
20070424,15.0,15.19,14.95,15.15,868890900,[0 1]
20070425,15.05,15.5,15.05,15.5,752749800,[1 1]
20070426,15.48,15.76,14.75,15.05,1020260300,[1 1]
20070427,15.0,15.05,14.76,14.99,965129500,[1 1]
20070430,15.0,15.03,14.75,14.9,268738800,[1 1]
20070502,15.0,15.0,14.82,14.99,209510700,[1 0]
20070503,14.95,15.21,14.87,15.09,1119780100,[0 1]
20070504,15.09,15.6,14.92,15.4,1004106800,[1 1]
20070507,15.55,16.3,15.55,15.99,792096700,[0 0]
20070508,15.8,16.3,15.3,16.2,463643000,[1 0]
20070509,16.2,16.3,15.8,15.95,448632200,[0 1]
20070510,15.9,15.9,15.46,15.6,325718700,[1 1]
20070511,15.6,15.99,15.6,15.89,1261315600,[0 0]
20070514,15.89,15.89,15.4,15.63,215355200,[0 1]
20070515,15.9,16.0,15.55,15.95,475293900,[1 0]
20070516,16.0,16.65,15.89,16.5,1020514900,[1 0]
20070517,16.3,17.3,16.12,16.95,869623900,[1 1]
20070518,16.95,17.55,16.95,17.5,776540100,[1 1]
20070521,17.5,19.0,17.5,18.75,989369700,[0 0]
20070522,18.9,19.7,18.76,18.82,2241197800,[0 0]
20070523,18.8,19.6,18.8,19.45,840852100,[0 1]
20070524,19.69,19.9,19.4,19.5,1510388100,[1 1]
20070525,19.5,20.5,19.5,20.1,900792000,[1 0]
20070528,20.25,21.6,20.25,21.21,350061700,[1 1]
20070529,21.51,22.2,21.0,21.0,2443421300,[0 0]
20070530,20.1,21.5,19.65,19.65,1911228900,[0 0]
20070531,20.49,21.48,20.15,21.0,683514400,[0 0]
20070601,21.4,22.5,21.4,22.5,590187800,[1 0]
20070604,22.68,24.99,22.68,23.8,1059812200,[1 0]
20070605,24.1,24.8,23.15,23.3,1021513300,[0 1]
20070606,23.7,23.79,22.8,22.9,501305900,[1 0]
20070608,22.75,23.45,21.99,23.01,765444300,[0 0]
20070611,23.22,23.6,22.1,22.3,1155545300,[0 0]
20070612,22.5,23.0,21.5,21.5,553302000,[0 0]
20070613,22.0,22.1,21.85,22.1,630268700,[1 0]
20070614,22.0,23.2,21.75,23.2,2895179100,[1 0]
20070615,23.42,25.3,23.42,24.4,1007176200,[1 0]
20070618,24.83,25.5,23.3,24.0,455406800,[0 1]
20070619,23.95,23.95,23.56,23.7,557830600,[0 1]
20070620,24.66,24.66,22.71,22.71,750309200,[1 0]
20070621,23.25,24.49,23.0,24.4,561733000,[0 1]
20070622,24.08,24.88,24.08,24.85,1136340100,[0 1]
