date,open,max,min,close,volume,y
20070405,15.5,15.98,15.0,15.71,387347414,[0 0]
20070409,15.2,15.7,15.2,15.4,104596289,[0 1]
20070410,15.5,15.5,14.7,15.0,29057835,[0 0]
20070411,13.5,14.95,13.5,14.3,197673658,[1 0]
20070412,14.2,15.03,14.2,14.98,100491517,[0 1]
20070413,14.82,15.4,14.82,14.82,57652813,[0 1]
20070416,15.15,15.39,14.5,14.59,20091505,[1 0]
20070417,14.99,15.1,14.73,15.1,7597353,[1 0]
20070418,14.8,15.13,14.8,14.87,4840211,[0 1]
20070419,14.71,15.1,14.71,14.8,11175265,[1 1]
20070420,15.0,15.24,14.83,15.1,5362640,[1 0]
20070423,14.76,15.05,14.76,15.0,5869713,[0 1]
20070424,15.03,15.16,14.77,15.09,7575479,[0 1]
20070425,15.0,15.47,15.0,15.47,14246078,[1 1]
20070426,15.3,15.65,14.86,14.86,5615687,[1 1]
20070427,14.99,15.09,14.73,14.98,974860,[0 1]
20070430,14.88,15.0,14.8,14.8,1254405,[1 1]
20070502,14.72,14.98,14.71,14.71,1891248,[1 0]
20070503,15.0,15.15,14.85,14.99,1850041,[0 1]
20070504,14.98,15.5,14.89,15.1,5891372,[1 1]
20070507,15.39,16.2,15.39,15.95,8313962,[1 0]
20070508,15.09,16.25,15.09,16.19,3621684,[1 0]
20070509,16.2,16.24,15.7,15.9,1745638,[0 1]
20070510,15.8,15.9,15.51,15.53,1065064,[1 1]
20070511,15.9,16.0,15.57,15.57,1739219,[0 1]
20070514,15.6,15.75,15.4,15.46,971156,[1 1]
20070515,15.53,15.96,15.53,15.96,1736632,[1 0]
20070516,15.8,16.59,15.51,16.44,3004082,[1 0]
20070517,15.87,17.1,15.87,17.1,1915005,[1 0]
20070518,17.0,17.5,17.0,17.5,1606505,[1 0]
20070521,17.5,19.0,17.5,19.0,4532564,[0 0]
20070522,18.99,19.5,18.5,18.5,1919469,[0 0]
20070523,19.1,19.7,18.9,18.9,1288214,[0 1]
20070524,19.47,19.8,19.44,19.45,2032575,[1 0]
20070525,19.5,20.5,19.5,20.1,1800199,[0 0]
20070528,20.3,21.6,20.3,21.4,2263715,[1 1]
20070529,21.5,22.2,20.65,20.65,2313021,[0 0]
20070530,20.4,22.24,20.22,20.5,1604618,[1 0]
20070531,20.0,22.5,20.0,20.7,2331812,[0 1]
20070601,21.5,22.42,21.5,22.0,2811846,[0 1]
20070604,22.5,24.99,22.5,24.0,3470777,[1 0]
20070605,24.01,24.91,23.0,24.15,6365571,[1 1]
20070606,23.74,24.15,22.8,23.44,2754210,[1 0]
20070608,22.81,24.48,21.7,23.56,2069872,[0 1]
20070611,23.56,23.6,22.1,22.1,2141939,[0 0]
20070612,22.4,22.4,21.7,21.7,1896343,[0 1]
20070613,22.0,22.5,21.75,21.9,1356321,[0 0]
20070614,22.0,23.17,21.41,23.17,1151844,[1 1]
20070615,23.17,25.25,23.17,24.48,4074089,[1 1]
20070618,24.0,25.49,23.33,23.33,2852545,[0 1]
20070619,24.0,24.0,23.45,23.45,788582,[0 0]
20070620,24.7,24.7,23.08,23.9,1398237,[1 0]
20070621,23.2,24.48,23.0,24.48,1928272,[0 0]
20070622,24.0,24.72,24.0,24.72,1051861,[0 0]
20070625,24.9,24.9,23.8,24.2,1283897,[1 1]
20070626,24.2,24.64,23.22,24.6,497235,[0 1]
20070627,24.4,24.4,23.6,23.6,764945,[0 1]
20070628,24.5,25.2,24.0,25.2,1538541,[0 1]
20070629,25.0,25.6,24.95,24.95,1657450,[0 1]
20070702,26.0,26.5,25.86,26.5,2289005,[0 1]
20070703,26.39,26.5,26.28,26.28,1420024,[0 1]
20070704,26.8,26.8,25.0,25.0,2411688,[0 0]
20070705,26.19,26.19,24.8,24.9,1280684,[1 1]
20070706,25.35,26.0,24.0,24.3,2422018,[1 1]
20070710,24.44,24.44,23.0,23.05,2242112,[0 0]
20070711,23.7,23.7,22.2,22.3,2128733,[0 1]
20070712,22.97,23.39,22.75,23.25,2116547,[1 1]
20070713,24.0,24.24,23.5,23.8,1081195,[0 1]
20070716,23.8,23.8,23.51,23.8,1739664,[0 0]
20070717,24.0,24.89,23.6,23.7,3592795,[1 0]
20070718,23.91,23.98,23.5,23.5,1343294,[1 0]
20070719,23.85,24.49,23.5,23.95,1471702,[1 0]
20070720,24.0,24.49,23.52,24.49,1360646,[0 1]
20070723,24.2,24.21,24.1,24.2,536246,[0 0]
20070724,24.15,24.3,23.0,23.0,1239845,[0 0]
20070725,23.65,24.4,22.69,24.4,1312648,[1 0]
20070726,23.5,23.95,22.56,22.56,576914,[0 0]
20070727,22.8,22.8,22.0,22.0,601650,[0 0]
20070730,23.0,23.25,22.55,22.76,764045,[0 0]
20070731,22.7,22.9,21.95,21.95,803455,[1 0]
20070801,22.97,22.98,21.9,22.2,900666,[1 1]
20070802,22.55,22.55,22.01,22.41,747746,[0 0]
20070803,22.81,22.81,21.89,21.89,672648,[1 1]
20070806,22.0,22.22,21.01,21.99,1538902,[1 0]
20070807,23.0,23.0,21.7,22.25,889148,[0 0]
20070808,23.95,24.81,23.01,24.65,2773014,[0 0]
20070809,24.62,24.62,23.5,23.97,940221,[0 0]
20070810,23.9,23.9,21.52,23.0,378893,[1 0]
20070813,24.0,24.0,23.53,23.66,762857,[1 0]
20070814,23.0,23.51,21.49,22.77,872464,[1 1]
20070815,22.3,22.3,21.5,21.5,456461,[0 0]
20070816,21.0,21.0,19.7,20.25,1320972,[0 0]
20070817,21.33,22.05,21.0,21.1,1381773,[1 0]
20070820,21.4,21.5,20.01,20.8,983875,[1 1]
20070821,20.3,21.19,20.2,20.2,370320,[0 0]
20070822,20.64,22.03,20.64,21.7,407902,[0 0]
20070823,21.99,22.0,20.75,22.0,1230874,[0 0]
20070824,22.02,22.9,21.35,22.1,649141,[1 0]
20070827,22.7,22.7,22.34,22.34,345770,[1 0]
20070828,22.0,22.0,21.45,21.45,341240,[1 1]
20070829,21.3,23.0,21.0,22.99,526730,[0 1]
20070830,23.0,23.0,20.71,22.59,464322,[0 1]
20070831,21.1,22.49,21.0,21.4,490355,[0 1]
20070903,22.3,22.9,22.11,22.12,839586,[1 1]
20070904,22.94,23.11,21.75,21.75,2522716,[0 1]
20070905,21.75,21.75,19.85,21.4,3172879,[1 0]
20070906,20.7,21.23,19.9,21.2,1156574,[0 0]
20070910,19.85,20.0,18.95,18.95,1450901,[0 1]
20070911,19.6,19.7,18.3,18.7,1433025,[1 0]
20070912,18.3,20.0,18.3,19.01,505371,[0 0]
20070913,19.89,20.0,19.37,19.37,553504,[1 0]
20070914,19.0,20.75,18.9,18.9,377204,[1 0]
20070917,19.15,20.16,18.81,20.16,843234,[0 1]
