date,open,max,min,close,volume,y
20100308,13.0,13.0,12.4,12.65,13895749,[1 1]
20100309,12.57,12.8,12.57,12.7,5848915,[0 0]
20100310,12.73,13.0,12.73,12.98,9848804,[0 1]
20100311,13.0,13.0,12.72,12.97,2292477,[0 1]
20100312,12.81,13.04,12.81,12.97,6861588,[0 0]
20100315,12.95,12.99,12.85,12.95,2664591,[1 1]
20100316,12.9,12.99,12.8,12.98,4356324,[1 0]
20100317,12.91,12.98,12.63,12.69,884507,[1 0]
20100318,12.93,12.99,12.65,12.94,2068627,[0 0]
20100319,12.96,12.99,12.76,12.92,645549,[1 0]
20100322,12.71,12.9,12.6,12.9,707563,[1 0]
20100323,12.97,12.97,12.8,12.95,860847,[0 1]
20100324,12.8,13.0,12.75,13.0,1598973,[0 1]
20100325,12.95,13.24,12.75,13.14,4347418,[0 0]
20100326,13.09,13.24,12.8,12.83,814726,[1 0]
20100329,13.01,13.04,12.81,13.04,6302851,[1 1]
20100330,12.94,13.0,12.94,13.0,283642,[0 0]
20100331,13.0,13.02,12.81,12.98,963851,[1 0]
20100401,12.96,13.0,12.75,12.92,889965,[0 1]
20100405,12.51,12.95,12.51,12.95,1073454,[0 0]
20100406,12.84,12.93,12.52,12.8,410164,[0 0]
20100407,12.85,12.94,12.6,12.94,435813,[1 0]
20100408,12.51,12.92,12.5,12.92,342786,[0 1]
20100409,12.75,12.75,12.6,12.6,259569,[0 1]
20100412,12.8,12.95,12.8,12.95,295254,[0 1]
20100413,12.95,12.95,12.7,12.9,364942,[1 1]
20100414,12.79,12.94,12.79,12.94,52883,[1 0]
20100415,12.75,12.75,12.75,12.75,71400,[1 0]
20100416,12.75,12.89,12.6,12.6,332527,[1 1]
20100419,12.6,12.89,12.6,12.89,163829,[0 0]
20100420,12.65,12.71,12.65,12.71,164684,[1 1]
20100422,12.8,12.95,12.0,12.8,526750,[0 0]
20100423,12.8,12.84,12.8,12.84,121785,[1 0]
20100506,12.0,12.0,12.0,12.0,8400,[0 1]
20100507,11.9,11.99,11.0,11.28,562398,[0 1]
20100510,12.09,12.8,11.75,11.95,409303,[1 0]
20100511,11.45,11.85,11.45,11.85,153830,[1 0]
20100512,11.01,11.01,11.01,11.01,11010,[1 0]
20100517,11.51,11.89,11.5,11.89,247310,[1 0]
20100518,11.76,11.85,11.76,11.85,51942,[0 1]
20100519,11.28,11.28,10.8,11.28,436714,[1 1]
20100520,10.01,10.84,10.01,10.83,322862,[1 1]
20100521,11.0,11.0,10.6,10.6,123480,[0 1]
20100524,10.6,12.75,10.6,11.0,418595,[0 0]
20100525,10.5,10.95,10.31,10.95,316398,[1 0]
20100526,10.7,10.95,10.0,10.93,308438,[0 0]
20100527,10.4,12.2,10.4,12.2,331907,[1 1]
20100528,11.18,11.18,11.0,11.0,83978,[0 1]
20100531,11.69,11.69,11.69,11.69,52605,[0 1]
20100601,11.5,11.9,10.72,10.72,183445,[1 1]
20100602,11.15,11.21,10.75,10.75,133811,[0 1]
