date,open,max,min,close,volume,y
20070524,13.99,13.99,13.1,13.1,2996153,[1 0]
20070525,13.4,13.89,13.4,13.85,3497467,[1 0]
20070528,13.85,13.9,13.75,13.8,2003214,[0 1]
20070529,13.87,14.0,13.66,13.85,3485853,[0 0]
20070530,13.7,13.9,13.35,13.84,3014524,[0 1]
20070531,13.9,13.9,13.5,13.5,3262169,[0 0]
20070601,13.7,14.0,13.62,13.82,2801876,[1 1]
20070604,13.75,13.84,13.6,13.6,2231871,[1 0]
20070605,13.62,13.71,13.3,13.45,3175944,[0 0]
20070606,13.47,13.5,13.0,13.15,2660531,[1 1]
20070608,13.1,13.6,12.91,13.5,2412176,[1 1]
20070611,13.75,13.75,13.31,13.31,1858780,[0 1]
20070612,13.57,13.57,12.85,12.85,2938750,[1 1]
20070613,13.0,13.42,13.0,13.42,1768345,[1 1]
20070614,13.5,13.77,13.46,13.5,1957778,[1 0]
20070615,13.63,14.07,13.5,13.8,5038827,[1 0]
20070618,13.95,13.95,13.52,13.52,1824759,[1 0]
20070619,13.79,13.79,13.26,13.44,1230242,[1 0]
20070620,13.48,13.57,13.33,13.33,1488175,[1 1]
20070621,13.63,13.74,13.36,13.45,2211845,[1 0]
20070622,13.53,13.73,13.33,13.65,1384444,[0 0]
20070625,13.69,13.84,13.43,13.78,1417405,[0 1]
20070626,13.6,13.85,13.51,13.85,2079692,[1 1]
20070627,13.6,13.92,13.51,13.74,2189814,[1 1]
20070628,13.98,14.19,13.61,13.81,3510731,[0 0]
20070629,13.6,14.18,13.31,14.18,1830213,[1 1]
20070702,13.98,14.6,13.98,14.6,4017005,[0 0]
20070703,14.6,14.89,14.6,14.85,3485690,[1 0]
20070704,14.8,15.11,14.73,15.0,3584205,[0 0]
20070705,14.8,15.6,14.75,15.55,3842894,[1 1]
20070706,15.3,16.19,15.3,15.42,3904875,[1 1]
20070710,16.15,16.24,15.65,15.8,3500328,[1 1]
20070711,15.8,15.9,15.2,15.7,1811004,[0 0]
20070712,15.72,16.3,15.71,16.3,3279617,[1 0]
20070713,16.25,16.44,15.73,16.0,2725287,[1 0]
20070716,16.35,16.4,16.15,16.26,3135304,[1 0]
20070717,16.15,16.54,16.15,16.25,3296668,[0 0]
20070718,16.45,16.6,16.19,16.6,1876765,[1 0]
20070719,16.65,17.65,16.65,17.55,4485003,[0 1]
20070720,17.3,17.8,17.01,17.8,1891460,[0 1]
20070723,17.5,17.6,17.01,17.35,3469110,[0 0]
20070724,17.28,18.0,17.0,17.0,2828057,[1 0]
20070725,16.9,16.9,16.19,16.4,1944815,[1 1]
20070726,16.7,16.7,15.12,15.28,2495667,[1 0]
20070727,15.49,15.99,15.2,15.5,1630920,[0 1]
20070730,15.65,16.2,15.15,16.0,2898440,[0 1]
20070731,16.3,16.54,16.0,16.01,2012962,[1 0]
20070801,16.11,16.11,15.51,16.04,2120943,[1 1]
20070802,16.4,16.7,16.01,16.51,2059634,[0 0]
20070803,16.84,16.84,15.75,15.8,3330859,[0 0]
20070806,15.51,15.84,14.86,15.72,2900251,[1 0]
20070807,15.9,16.1,15.49,16.1,1999454,[1 1]
20070808,16.2,16.95,15.16,16.9,3016162,[1 1]
20070809,16.2,16.2,15.52,16.0,1234496,[0 1]
20070810,15.56,15.59,15.0,15.59,3341312,[0 1]
20070813,15.6,15.9,15.15,15.6,1800292,[0 1]
20070814,15.6,15.8,14.41,14.55,2812148,[1 1]
20070815,14.1,14.5,13.65,14.02,2769712,[0 1]
20070816,13.5,13.7,12.8,13.7,3189750,[0 1]
20070817,13.41,14.55,13.3,13.85,2144397,[1 1]
20070820,14.25,14.5,13.51,13.95,1598436,[0 0]
20070821,14.05,14.45,13.83,14.44,1459263,[0 0]
20070822,14.64,16.06,14.55,16.0,3223336,[0 0]
20070823,16.49,16.8,16.01,16.8,3365029,[1 1]
