date,open,max,min,close,volume,y
20070808,85.0,86.99,83.7,85.5,3081603300,[0 0]
20070809,84.0,84.0,82.11,83.2,3995674800,[0 0]
20070810,81.13,82.39,78.9,81.0,4012280400,[0 0]
20070813,82.7,82.79,79.6,81.0,3477985300,[0 0]
20070814,81.0,81.8,76.31,77.98,6035191400,[1 1]
20070815,76.0,76.98,71.01,72.01,8588058400,[0 1]
20070816,68.0,70.0,59.51,70.0,8942767500,[1 0]
20070817,72.55,73.0,64.0,69.75,9737377800,[1 1]
20070820,70.0,71.99,67.22,68.6,5140103500,[1 1]
20070821,69.15,71.0,67.24,69.99,6878623400,[0 0]
20070822,70.78,74.0,70.78,74.0,5624500200,[0 0]
20070823,74.0,75.1,71.75,71.8,4408602000,[1 1]
20070824,71.52,74.4,69.5,74.4,5050685900,[1 1]
20070827,73.99,75.84,73.7,74.85,1614418300,[0 1]
20070828,73.95,73.95,71.35,71.4,2096878300,[1 1]
20070829,72.0,72.79,71.4,72.2,3510842500,[0 0]
20070830,72.0,73.85,70.1,72.25,8208062900,[1 1]
20070831,73.86,75.5,72.25,75.5,9739233500,[1 0]
20070903,75.0,77.0,74.98,77.0,1755387800,[1 0]
20070904,77.0,77.49,75.29,76.9,3827849100,[0 1]
20070905,75.2,76.89,74.9,74.9,3461983100,[1 1]
20070906,75.01,76.39,73.0,73.0,2120170000,[1 0]
20070910,71.0,72.01,70.11,71.98,2691343200,[0 1]
20070911,72.01,74.0,71.61,74.0,2820431200,[0 1]
20070912,73.5,75.4,73.15,74.93,2773343000,[1 0]
20070913,74.98,76.4,74.6,76.0,5478078900,[1 1]
20070914,75.83,76.9,74.5,76.9,3782113900,[0 0]
20070917,74.81,77.0,73.9,74.2,3662648500,[1 1]
20070918,75.0,78.0,73.86,78.0,6295129100,[0 1]
20070919,78.5,81.0,78.16,81.0,7198605000,[0 0]
20070920,81.9,82.49,80.18,81.95,6532456800,[1 0]
20070921,82.2,83.3,79.52,80.56,4471046400,[0 1]
20070924,81.4,81.4,78.16,80.4,4829566300,[0 0]
20070925,80.0,80.79,78.62,80.7,3584949500,[1 1]
20070926,81.29,81.97,80.01,81.9,4795239300,[0 0]
20070927,81.99,86.99,81.9,86.99,7664639100,[0 0]
20070928,86.28,86.5,84.71,86.5,7852399500,[0 0]
20071001,86.99,89.99,86.7,89.99,5374937900,[1 1]
20071002,89.5,89.5,87.05,87.05,5312250600,[1 0]
20071003,86.0,88.0,83.11,84.0,5057572300,[0 1]
20071004,84.01,88.17,83.17,88.17,4253795800,[1 0]
20071005,88.7,90.0,87.2,88.75,5584979500,[0 0]
20071008,88.75,90.0,87.0,90.0,4514584500,[1 0]
20071009,89.79,92.0,88.04,92.0,6297024000,[0 0]
20071010,91.0,91.68,88.36,88.64,4532419200,[0 0]
20071011,89.9,90.5,84.5,86.0,5424946600,[1 0]
20071015,88.35,88.35,84.3,87.49,10333527700,[1 1]
20071016,85.73,86.89,84.5,84.52,5047680200,[1 1]
20071017,85.9,87.5,84.15,87.5,7905911000,[1 0]
20071018,86.0,89.99,84.6,89.93,4633709100,[0 0]
20071019,89.37,89.4,86.03,87.23,4450509900,[1 1]
20071022,86.02,87.48,84.7,87.48,7678692700,[0 1]
20071023,88.82,89.7,88.0,89.65,3426039800,[0 1]
20071024,88.79,89.6,86.87,89.6,3031298800,[0 1]
20071025,89.74,89.74,86.82,88.9,2879310900,[0 1]
20071026,89.29,91.43,89.2,91.2,2739341700,[0 1]
20071029,90.65,93.88,90.65,92.9,4030212300,[1 0]
20071030,92.48,94.0,91.52,92.2,3360528300,[0 0]
20071031,92.99,94.9,91.56,93.89,3674134400,[1 0]
20071101,92.1,92.48,90.0,91.4,5016712600,[0 1]
20071105,91.0,91.4,89.02,91.36,4437566600,[1 1]
20071106,92.0,93.2,91.5,92.6,3518435500,[0 0]
20071107,92.5,92.5,88.45,88.8,7436865500,[0 1]
20071108,89.42,89.42,81.6,81.6,6830570900,[0 1]
20071109,83.25,85.0,81.6,85.0,8006258100,[1 1]
20071112,83.0,84.98,82.21,83.25,4257130100,[0 1]
20071113,83.65,84.2,78.51,78.6,12582310500,[0 0]
20071114,80.0,82.0,79.5,80.99,7745199900,[1 1]
20071116,80.89,84.5,80.51,84.5,5099199300,[1 1]
20071119,83.4,83.4,80.4,81.3,3431956500,[0 0]
20071121,79.31,80.03,78.1,79.55,5225126500,[0 1]
20071122,79.71,79.8,76.01,79.0,1855033900,[0 0]
20071123,79.5,80.0,78.01,78.91,2036593900,[0 0]
20071126,79.51,79.9,75.12,75.5,4535015300,[0 1]
20071127,75.0,75.01,73.0,74.5,5177658600,[1 1]
20071128,76.43,78.0,74.7,78.0,5570331200,[0 0]
20071129,76.1,80.33,76.0,78.9,3688131600,[1 0]
20071130,80.35,82.7,80.0,81.0,3981865500,[0 0]
20071203,81.0,81.25,80.4,80.51,2405184200,[0 0]
20071204,79.69,80.2,78.2,79.5,3633856400,[1 0]
20071205,81.39,83.1,80.34,83.1,6946287600,[0 0]
20071206,84.0,84.33,83.0,83.6,5461387600,[0 1]
20071207,84.0,84.0,81.51,82.7,4464434400,[1 1]
20071210,82.96,83.26,81.35,81.49,3149356700,[0 1]
20071211,82.0,82.5,79.0,80.79,5477229200,[1 1]
20071212,80.79,83.16,79.23,82.32,7398239300,[0 0]
20071213,80.02,81.5,79.0,79.5,3150607300,[1 0]
20071214,80.0,80.0,77.6,78.2,5820781900,[1 0]
20071217,77.0,77.7,72.01,72.5,4732572200,[1 1]
20071218,73.71,74.0,69.25,71.3,8699766600,[1 1]
20071219,71.02,73.39,69.01,69.85,10837015500,[1 0]
20071220,70.89,71.5,69.01,69.9,8837609400,[1 0]
20071221,71.0,71.6,69.35,69.35,7801438900,[0 1]
20071226,69.99,70.59,69.51,70.25,5593415500,[0 1]
20071227,70.5,70.78,69.9,70.31,6772925300,[1 0]
20071228,70.52,72.9,70.32,71.0,12311802700,[0 1]
20080102,71.02,73.25,71.02,72.75,6939479100,[0 1]
20080103,73.01,76.5,73.0,76.39,7931095100,[0 0]
20080104,76.77,77.9,74.0,75.5,5293523300,[1 1]
20080107,75.6,75.6,71.0,71.0,5895393900,[0 1]
20080108,71.58,71.58,68.25,69.97,6528208500,[0 0]
20080109,69.5,70.4,68.4,70.0,3749006900,[0 1]
20080110,70.99,71.7,69.22,71.0,6657279200,[0 1]
20080111,70.39,70.48,68.8,69.99,4369775700,[0 1]
20080114,70.2,70.87,69.6,70.4,5041992100,[1 0]
20080115,69.0,69.0,66.21,68.8,6944447800,[1 0]
20080116,67.1,69.9,66.0,69.9,6131733300,[0 0]
20080117,69.16,70.54,64.32,66.48,7424560000,[1 0]
20080118,67.94,67.94,63.31,67.0,4832618000,[1 0]
20080121,63.97,63.97,59.17,62.49,4720719600,[1 1]
20080122,62.0,66.79,61.25,64.6,5570759400,[0 0]
20080123,63.66,63.66,61.01,63.5,3941255000,[0 0]
20080124,65.8,66.65,63.68,66.65,4718027000,[0 0]
20080128,64.74,67.1,63.5,67.1,4962385100,[1 0]
20080129,67.99,67.99,65.75,66.99,3792940400,[1 0]
20080130,65.8,66.8,64.62,66.4,2958359400,[0 0]
20080131,64.5,64.5,62.51,62.51,5570230500,[0 0]
20080201,63.8,65.0,62.5,64.6,5287041700,[1 1]
20080206,62.84,63.06,60.61,61.01,2095176400,[1 1]
20080207,60.8,61.3,59.6,60.99,4425472100,[0 0]
20080208,61.31,66.0,60.56,66.0,6895696800,[0 0]
20080211,66.1,67.6,64.0,67.41,5328938100,[0 1]
20080212,68.0,72.7,67.4,71.8,7327491800,[1 0]
20080213,71.3,74.37,70.5,71.8,8021856000,[0 0]
20080214,72.6,72.8,68.01,68.25,5475943600,[1 1]
20080215,67.9,67.9,65.05,66.45,7778070600,[1 1]
20080218,67.81,70.7,67.0,70.4,1927832600,[0 1]
20080219,70.49,72.0,69.5,70.3,3889718500,[1 0]
20080220,69.45,73.31,68.31,73.31,3403479300,[1 1]
20080221,73.9,74.49,72.15,74.47,5085232600,[0 1]
20080222,74.2,76.19,73.5,75.9,4485219700,[1 0]
20080225,75.89,76.5,73.73,74.74,5292786300,[0 0]
20080226,74.5,74.8,71.53,74.8,4457314700,[0 1]
20080227,73.9,74.4,72.33,72.5,4950096600,[1 0]
20080228,72.2,72.2,70.04,70.31,6516119300,[0 1]
20080229,69.79,71.9,69.4,71.0,10124756100,[1 1]
20080303,71.75,74.5,71.6,74.3,7604604500,[0 1]
20080304,74.2,77.6,72.1,77.6,7823691800,[1 0]
20080305,78.9,78.9,75.9,77.7,5295147900,[0 0]
20080306,77.0,77.59,75.6,76.25,4966395300,[0 0]
20080307,75.0,77.0,72.53,74.4,12229173300,[0 0]
