date,open,max,min,close,volume,y
20070830,1.0,1.0,1.0,1.0,86610000,[1 0]
20070914,1.32,2.3,1.32,2.3,16961100,[0 1]
20070917,3.0,3.79,1.82,1.95,67303200,[0 0]
20070918,2.1,2.2,1.55,1.55,24978800,[1 0]
20070919,1.6,2.3,1.35,2.3,169193900,[0 0]
20070920,2.34,2.34,2.02,2.07,41905400,[0 1]
20070921,2.06,2.1,1.65,1.9,7366500,[1 0]
20070924,2.0,2.05,1.85,1.92,3970800,[1 0]
20070925,1.95,1.95,1.75,1.84,5709800,[1 1]
20070926,1.92,1.92,1.76,1.84,2286400,[1 0]
20070927,1.91,1.91,1.7,1.75,2182700,[0 1]
20070928,1.85,1.85,1.55,1.65,6694300,[0 1]
20071001,1.87,1.87,1.7,1.79,3468500,[0 0]
20071002,1.79,1.83,1.7,1.8,4216300,[1 1]
20071003,1.8,1.8,1.7,1.78,1927800,[1 1]
20071004,1.7,1.81,1.7,1.79,1223700,[0 0]
20071005,1.8,1.8,1.61,1.71,592500,[1 0]
20071008,1.65,1.8,1.63,1.8,4976600,[1 0]
20071009,1.8,2.2,1.8,1.9,3007500,[1 0]
20071010,1.9,2.39,1.9,2.14,26727900,[0 1]
20071011,2.14,2.14,1.86,2.0,7705700,[0 0]
20071015,1.9,2.01,1.9,1.96,2489000,[1 0]
20071016,1.99,2.27,1.97,2.09,11417100,[0 0]
20071017,1.96,2.14,1.95,2.05,2518600,[0 1]
20071018,2.1,2.27,2.1,2.18,17830300,[0 1]
20071019,2.2,2.2,2.06,2.15,4066000,[0 1]
20071022,2.15,2.23,2.08,2.08,4251100,[0 1]
20071023,2.2,2.2,2.15,2.18,4016800,[1 1]
20071024,2.2,2.2,2.12,2.19,18969300,[0 0]
20071025,2.2,2.25,2.13,2.2,8649700,[0 1]
20071026,2.25,2.7,2.2,2.62,34742000,[1 1]
20071029,2.61,2.61,2.4,2.52,6826400,[1 0]
20071030,2.5,2.67,2.46,2.51,3148100,[0 1]
20071031,2.55,2.69,2.46,2.53,8166800,[1 0]
20071101,2.59,2.59,2.36,2.47,2314800,[1 0]
20071105,2.47,2.49,2.47,2.49,321700,[1 1]
20071106,2.49,2.53,2.41,2.49,5057100,[0 0]
20071107,2.32,2.52,2.32,2.52,319800,[0 1]
20071108,2.52,2.99,2.29,2.35,2392700,[0 1]
20071109,2.36,2.5,2.3,2.3,1065000,[1 1]
20071112,2.39,2.49,2.25,2.44,257800,[1 0]
20071113,2.25,2.43,2.21,2.4,4235000,[0 0]
20071114,2.4,2.4,2.22,2.28,5020000,[1 0]
20071116,2.21,2.51,2.19,2.48,1100500,[0 1]
20071119,2.1,2.48,2.1,2.47,91500,[1 0]
20071121,2.39,2.4,2.1,2.37,1792400,[1 0]
20071122,2.2,2.48,2.2,2.3,8282100,[0 1]
20071123,2.21,2.21,2.2,2.2,2864900,[1 0]
20071126,2.27,2.5,2.27,2.48,3853000,[1 1]
20071127,2.35,2.4,2.3,2.4,1691200,[0 1]
20071128,2.45,2.45,2.45,2.45,73500,[1 0]
20071129,2.3,2.39,2.3,2.32,533100,[1 0]
20071130,2.44,2.44,2.44,2.44,48800,[0 0]
20071203,2.39,2.39,2.3,2.31,2631200,[0 0]
20071204,2.25,2.48,2.2,2.34,4987100,[1 1]
20071205,2.5,2.5,2.3,2.45,2249700,[0 0]
20071206,2.48,2.48,2.3,2.47,1041700,[0 1]
20071207,2.3,2.47,2.3,2.47,47700,[0 0]
20071210,2.47,2.47,2.4,2.4,145400,[1 0]
20071211,2.39,2.47,2.38,2.38,881600,[0 0]
20071212,2.42,2.45,2.4,2.4,1588900,[0 1]
20071213,2.4,2.45,2.4,2.45,578500,[0 1]
20071214,2.4,2.9,2.4,2.5,14367800,[0 0]
20071217,3.0,3.24,2.65,2.71,87571300,[1 0]
20071218,2.89,2.89,2.4,2.51,10777100,[1 0]
20071219,2.6,2.6,2.22,2.38,3628000,[0 0]
20071220,2.45,2.45,2.31,2.4,3280900,[0 0]
20071221,2.55,2.55,2.32,2.45,601100,[0 1]
20071226,2.21,2.45,2.2,2.37,7785800,[0 0]
20071227,2.4,2.49,2.2,2.48,3024300,[1 1]
20071228,2.4,2.48,2.3,2.47,2901600,[0 1]
20080102,2.63,2.63,2.5,2.5,463200,[0 0]
20080103,2.5,2.7,2.5,2.64,3280500,[0 0]
20080104,2.6,2.6,2.5,2.6,279000,[0 0]
20080107,2.42,2.65,2.42,2.6,3460500,[1 1]
20080108,2.57,2.58,2.47,2.56,944300,[0 0]
20080109,2.57,2.7,2.45,2.7,1579400,[0 1]
20080110,2.68,2.68,2.5,2.5,1406300,[1 0]
20080111,2.69,2.9,2.66,2.77,13659600,[1 0]
20080114,2.9,3.0,2.75,2.8,9346700,[0 1]
20080115,2.81,2.96,2.81,2.9,6617900,[1 0]
20080116,2.92,3.0,2.9,3.0,4638700,[0 1]
20080117,3.0,3.0,2.68,2.9,2268800,[1 0]
20080118,2.7,2.9,2.6,2.9,5493500,[1 1]
20080121,2.9,2.9,2.5,2.69,881500,[0 1]
20080122,2.99,2.99,2.75,2.75,367100,[1 1]
20080123,2.75,2.75,2.4,2.75,2069200,[1 0]
20080124,2.88,2.88,2.65,2.7,2429300,[1 1]
20080128,2.7,2.89,2.65,2.8,629100,[0 0]
20080129,2.85,2.85,2.85,2.85,285000,[0 1]
20080130,2.85,2.85,2.79,2.79,225700,[0 0]
20080131,2.89,2.99,2.79,2.99,1290300,[0 0]
