date,open,max,min,close,volume,y
20080820,11.65,12.2,11.4,11.8,23636932,[0 0]
20080821,11.84,11.84,11.32,11.42,12734784,[0 0]
20080822,11.42,11.6,11.37,11.39,8638364,[0 1]
20080825,11.42,11.58,11.2,11.25,19477279,[1 0]
20080905,10.2,10.8,9.93,10.65,23831575,[1 0]
20080908,11.52,11.6,10.0,10.3,21393845,[0 0]
20080909,9.99,10.1,9.18,9.18,22122330,[1 1]
20080910,9.51,9.51,8.51,9.3,25062560,[0 0]
20080911,8.8,9.16,8.47,8.6,23610448,[1 1]
20080912,9.09,9.85,8.95,9.85,22384299,[1 0]
20080915,8.63,9.14,8.42,8.5,27282185,[1 1]
20080916,8.0,8.39,7.6,8.01,29458011,[0 0]
20080917,8.05,8.05,7.18,7.75,19027145,[0 0]
20080918,8.1,8.27,7.46,7.81,17757064,[1 1]
20080919,9.2,9.91,8.71,9.01,40495422,[1 1]
20080922,9.3,9.4,8.6,8.7,16092935,[0 0]
20080923,8.4,8.95,8.25,8.4,13712603,[0 1]
20080924,8.6,8.7,8.45,8.45,8761156,[1 0]
20080925,8.7,9.22,8.7,8.93,17214588,[0 0]
20080926,8.51,9.05,8.51,9.0,13343276,[0 0]
20080929,8.6,8.86,6.85,7.3,28249814,[1 1]
20080930,7.57,8.53,7.3,8.53,21239130,[1 0]
20081001,8.52,9.1,8.12,9.02,20030807,[1 1]
20081002,9.0,9.0,7.85,8.34,18202254,[0 0]
20081003,8.54,8.85,7.25,7.25,23176290,[1 0]
20081006,6.5,7.1,6.15,7.1,20145291,[1 0]
20081007,6.85,7.52,6.81,6.9,18250831,[1 0]
20081008,6.5,7.72,6.4,7.33,23387647,[0 0]
20081009,7.85,8.5,7.38,7.4,30437673,[0 0]
20081010,7.0,8.06,6.51,7.5,20785938,[1 1]
20081013,8.2,8.63,8.1,8.5,28869815,[1 1]
20081014,9.0,9.28,8.04,8.2,28725681,[1 0]
20081015,7.8,7.93,6.65,6.95,22544393,[0 0]
20081016,7.05,7.08,6.0,6.47,23728314,[1 1]
20081017,6.79,7.15,6.25,6.54,17780727,[1 1]
20081020,6.9,6.9,6.48,6.63,12969378,[1 1]
20081021,6.65,6.67,6.28,6.3,13314239,[0 0]
20081022,6.0,6.0,5.33,5.4,20213090,[1 1]
20081023,5.3,5.31,4.76,5.04,16317943,[1 0]
20081024,4.2,4.89,4.15,4.78,11270426,[0 0]
20081027,4.5,4.7,4.07,4.07,10570208,[1 1]
20081028,4.4,4.55,3.95,4.5,11486863,[0 1]
20081029,4.65,5.33,4.4,5.16,19548143,[0 0]
20081030,5.6,6.05,5.45,6.05,25684781,[0 0]
20081031,5.85,5.97,5.54,5.75,11663227,[1 1]
20081103,6.01,6.05,5.67,5.88,10687114,[1 0]
20081104,6.05,6.92,6.05,6.73,23128554,[1 1]
20081105,6.6,6.66,6.0,6.0,17809150,[0 0]
20081106,5.6,5.8,5.19,5.54,11749213,[0 1]
20081107,5.75,5.9,5.5,5.68,8991462,[1 1]
20081110,6.1,6.15,5.4,5.4,12282765,[1 0]
20081111,5.3,5.75,5.12,5.7,8294024,[0 0]
20081112,5.51,5.61,5.15,5.31,8359025,[0 1]
20081113,5.17,5.5,4.9,5.43,9054999,[0 0]
20081114,5.48,5.49,5.05,5.07,7543898,[0 0]
20081117,4.95,5.11,4.8,4.92,6163517,[1 0]
20081118,4.79,4.95,4.57,4.6,7998601,[0 0]
20081119,4.7,4.7,4.34,4.37,6561445,[0 1]
20081121,4.34,4.34,3.92,4.0,8581563,[1 0]
20081124,4.22,4.4,4.18,4.34,5668616,[0 1]
20081125,4.31,4.75,4.25,4.4,6360889,[1 1]
20081126,4.39,4.83,4.36,4.79,8072551,[0 0]
20081127,4.81,4.96,4.79,4.88,4782503,[0 1]
20081128,4.89,5.29,4.88,5.14,10252735,[1 0]
20081201,4.99,4.99,4.73,4.75,6078226,[0 1]
20081202,4.75,4.92,4.54,4.54,5164845,[1 1]
20081203,4.52,4.55,4.28,4.33,7313129,[1 0]
20081204,4.51,4.59,4.41,4.55,4480521,[0 0]
20081205,4.4,4.76,4.33,4.75,3986940,[1 1]
20081208,5.0,5.44,4.98,5.33,18515597,[1 0]
20081209,5.46,5.74,5.33,5.74,19725614,[0 1]
20081210,5.78,6.07,5.78,5.93,14568293,[1 1]
20081211,5.98,6.16,5.96,6.08,11736219,[0 0]
20081212,5.6,6.08,5.47,5.93,10786994,[1 1]
20081215,6.03,6.08,5.55,5.55,7542300,[0 1]
20081216,5.7,5.91,5.66,5.85,8174736,[0 1]
20081217,5.91,6.1,5.77,6.09,10829961,[0 0]
20081218,6.15,6.6,6.1,6.47,16855882,[1 0]
20081219,6.25,6.5,6.12,6.4,7217971,[0 1]
20081222,6.41,6.5,5.85,5.9,8511891,[1 1]
20081223,5.99,6.06,5.5,5.6,6320336,[1 1]
20081226,5.51,5.89,5.51,5.86,4335949,[0 1]
20081229,5.91,6.16,5.91,6.15,7360986,[1 1]
20081230,6.18,6.28,6.0,6.01,9206054,[0 0]
20090114,6.41,6.52,6.14,6.3,5964841,[0 0]
20090115,6.25,6.44,6.03,6.3,6086960,[1 0]
20090116,6.41,6.54,6.2,6.3,5415658,[1 1]
20090119,6.39,6.39,6.17,6.2,5050874,[0 0]
20090120,6.2,6.3,5.78,5.9,8368100,[1 1]
20090121,5.9,6.2,5.72,6.2,7629935,[0 1]
20090122,6.33,6.33,6.0,6.25,6052854,[0 1]
20090123,5.99,6.32,5.96,6.3,5154949,[0 1]
20090126,6.28,6.42,6.23,6.3,6696942,[0 0]
20090127,6.4,6.53,6.4,6.49,8580691,[0 0]
20090128,6.61,6.96,6.61,6.88,18075045,[1 1]
20090129,6.76,6.95,6.7,6.8,9941321,[1 1]
20090130,6.74,6.96,6.7,6.7,8166280,[0 0]
20090202,6.66,6.66,6.47,6.52,4926808,[0 0]
20090203,6.51,6.74,6.47,6.65,6416135,[1 1]
20090204,6.75,6.95,6.7,6.7,9841463,[0 0]
20090205,6.7,6.98,6.7,6.97,10380393,[0 1]
20090206,7.0,7.5,6.94,7.5,28959870,[0 1]
20090209,7.58,7.88,7.18,7.18,16260726,[0 1]
20090210,7.49,7.49,6.8,6.8,12104420,[0 1]
20090211,6.9,6.99,6.46,6.67,10622812,[1 1]
20090212,6.62,6.66,6.42,6.53,8854513,[1 0]
20090213,6.75,6.99,6.67,6.96,7134607,[0 0]
20090216,6.82,6.9,6.75,6.81,4875497,[0 0]
20090217,6.69,6.69,6.52,6.52,7840178,[0 0]
20090218,6.56,6.67,6.15,6.24,11467628,[1 1]
20090219,6.36,6.4,6.12,6.12,6699624,[1 0]
20090220,6.0,6.41,5.9,6.32,7716249,[1 1]
20090225,6.05,6.16,6.02,6.06,4559373,[0 1]
20090226,6.2,6.21,5.95,5.95,7103432,[1 0]
20090227,5.85,6.07,5.76,5.95,7249872,[1 1]
20090302,5.83,5.9,5.7,5.8,5956148,[1 0]
20090303,5.85,6.15,5.79,6.05,7017836,[1 1]
20090304,6.1,6.42,6.1,6.3,8793708,[1 0]
20090305,6.12,6.32,6.1,6.14,4797550,[0 0]
20090306,6.2,6.36,6.09,6.14,4888652,[1 1]
20090309,6.14,6.2,6.06,6.15,4028222,[0 1]
20090310,6.2,6.68,6.2,6.68,12414112,[1 1]
20090311,6.73,6.89,6.55,6.73,10940207,[0 0]
20090312,6.67,6.85,6.56,6.72,8492447,[1 0]
20090313,6.86,6.94,6.65,6.71,7247670,[0 0]
20090316,6.76,6.93,6.67,6.71,9481622,[1 1]
20090317,6.73,6.87,6.61,6.87,7066709,[0 0]
20090318,6.84,7.12,6.76,7.1,15119981,[0 0]
20090319,7.13,7.28,6.86,6.86,10673245,[1 0]
20090320,6.81,6.95,6.65,6.65,7821129,[1 1]
20090323,6.81,7.21,6.81,7.11,19813548,[1 0]
20090324,7.11,7.57,7.02,7.35,20032876,[1 0]
20090325,7.4,7.77,7.37,7.38,15567123,[1 0]
20090326,7.55,7.73,7.53,7.64,11418783,[0 1]
20090327,7.57,7.57,7.35,7.4,6835790,[1 1]
20090330,7.25,7.25,7.07,7.12,6246216,[1 0]
20090331,7.25,7.35,7.0,7.01,7300213,[1 0]
20090401,7.0,7.5,6.91,7.5,10943662,[0 0]
20090402,7.77,8.07,7.7,7.7,33117286,[0 1]
20090403,7.65,8.02,7.65,7.95,13938459,[1 1]
20090406,7.89,7.9,7.72,7.9,8413443,[1 0]
20090407,7.71,8.03,7.71,7.85,10386100,[0 0]
20090408,7.91,8.23,7.9,8.13,12300927,[1 1]
20090409,8.31,8.67,8.31,8.48,15347849,[1 0]
20090413,8.4,8.79,8.4,8.75,9798743,[1 0]
20090414,8.67,8.81,8.33,8.38,10853564,[1 0]
20090415,8.38,8.38,8.18,8.21,6839753,[1 0]
20090416,8.37,8.73,8.21,8.7,10390023,[0 0]
20090417,8.68,8.96,8.68,8.85,11671491,[0 0]
20090420,8.69,8.76,8.53,8.71,7169137,[1 1]
20090422,8.72,8.95,8.64,8.82,10070276,[1 1]
20090423,8.91,8.98,8.81,8.81,9673343,[0 0]
20090424,8.99,9.39,8.99,9.26,19333996,[0 1]
20090427,9.22,9.54,9.17,9.24,12397967,[1 1]
20090428,9.12,9.12,8.78,8.9,11912020,[1 0]
20090429,8.8,9.2,8.54,9.01,22086590,[1 0]
20090430,9.13,9.28,8.83,8.83,14880065,[1 1]
20090514,10.05,10.6,9.95,10.6,16291671,[0 0]
20090515,10.6,11.07,10.47,10.61,17324230,[0 1]
20090528,10.6,11.02,10.56,10.95,18855654,[1 0]
20090529,11.1,11.25,10.87,11.25,21989180,[0 0]
20090601,11.3,11.97,11.3,11.85,29302251,[0 1]
20090602,11.74,12.3,11.61,12.2,28464383,[1 1]
20090603,11.96,12.0,11.28,11.5,19635918,[1 0]
20090604,11.9,12.25,11.46,12.25,20119711,[1 0]
20090605,12.5,12.8,12.0,12.29,20978144,[1 1]
20090608,12.17,12.75,12.0,12.7,17259409,[1 0]
20090609,12.67,12.71,11.9,11.92,28637454,[0 0]
20090610,12.24,12.24,11.63,11.85,22884702,[1 1]
20090612,11.99,12.0,11.55,11.63,14357087,[0 0]
20090615,11.61,11.69,10.84,11.15,28050889,[0 0]
20090616,11.26,11.55,11.06,11.25,17828136,[0 1]
20090617,11.12,11.32,10.95,11.14,13661096,[0 0]
20090618,11.26,11.62,11.16,11.58,19453849,[1 1]
20090619,11.75,12.07,11.75,12.01,24090626,[1 1]
20090622,11.7,11.79,10.99,11.0,30538996,[0 1]
20090623,11.0,11.06,10.57,10.85,18455049,[0 1]
20090624,10.9,11.25,10.75,10.86,18219717,[1 0]
20090625,10.85,11.73,10.81,11.7,23392300,[1 1]
20090626,11.74,12.04,11.51,11.67,18720113,[0 1]
20090629,11.7,11.84,11.41,11.8,17897965,[0 1]
20090630,11.91,11.98,11.58,11.7,13649978,[0 0]
20090701,11.9,11.98,11.76,11.9,18014991,[0 1]
20090702,11.79,11.79,11.4,11.5,13699328,[0 1]
20090703,11.57,11.61,11.41,11.58,9226390,[0 0]
20090706,11.36,11.36,11.0,11.33,16322825,[0 0]
20090707,11.34,11.35,11.0,11.1,13460136,[0 0]
20090708,10.99,11.2,10.49,11.04,23117760,[0 1]
20090710,10.8,10.99,10.66,10.92,10793701,[1 1]
20090713,11.0,11.35,10.75,10.97,15351490,[1 0]
20090714,11.28,11.33,10.96,11.0,10691737,[1 0]
20090715,11.3,11.83,11.3,11.71,31904554,[0 1]
20090716,11.8,12.18,11.61,12.13,32681469,[1 1]
20090717,12.0,12.2,11.71,11.84,14302463,[1 1]
20090720,12.01,12.15,11.7,11.75,17989458,[1 1]
20090721,11.9,11.92,11.5,11.75,14268285,[1 1]
20090722,11.5,11.83,11.47,11.7,11277908,[1 0]
20090723,11.8,12.14,11.8,11.9,20242616,[1 1]
20090724,11.85,12.06,11.85,12.05,14896407,[0 1]
20090727,12.05,12.14,11.86,11.9,13346647,[0 0]
20090728,11.9,11.9,11.75,11.75,10519098,[0 0]
