date,open,max,min,close,volume,y
20060502,18.5,18.79,17.25,17.5,7490447500,[0 1]
20060503,17.51,17.65,16.2,17.0,4397962600,[1 1]
20060504,17.2,17.65,17.01,17.5,931055400,[1 1]
20060505,17.9,18.36,16.88,18.0,1208188400,[0 0]
20060508,18.0,18.15,17.81,18.15,602359200,[0 1]
20060509,18.0,18.25,18.0,18.25,742029300,[0 0]
20060510,18.01,18.6,18.0,18.4,1329575600,[0 0]
20060511,18.22,18.81,17.9,18.0,1217153400,[1 0]
20060512,18.0,18.3,17.8,17.95,1069777300,[1 0]
20060515,17.8,18.0,17.41,17.8,125996800,[0 0]
20060516,18.0,18.1,17.3,18.0,1319061900,[0 1]
20060517,18.05,18.2,17.5,18.0,411491100,[0 0]
20060518,17.5,18.0,17.5,17.9,147204000,[0 0]
20060519,17.7,18.0,17.7,17.9,449245700,[0 1]
20060522,17.5,17.5,16.2,16.85,1960558300,[0 0]
20060523,17.49,17.99,17.0,17.35,219734000,[1 1]
20060524,17.35,17.35,15.56,16.95,589398900,[0 0]
20060525,16.6,17.0,16.5,17.0,542640900,[0 1]
20060526,17.3,18.0,16.5,17.0,1078442800,[0 0]
20060529,17.48,17.5,16.21,17.0,13832600,[0 0]
20060530,17.2,17.2,15.0,15.0,163144300,[1 1]
20060531,15.1,15.69,14.0,14.9,271616300,[1 1]
20060601,15.29,15.3,14.71,15.0,162491900,[1 0]
20060602,15.1,15.7,14.0,14.1,28585600,[0 1]
20060605,14.1,14.25,13.51,13.9,34788600,[0 0]
20060606,13.9,13.9,13.01,13.07,77806200,[0 0]
20060607,13.5,14.0,12.71,13.0,88573000,[0 0]
20060608,13.0,13.0,12.05,12.15,33973100,[1 1]
20060609,12.74,13.3,12.5,12.8,219603300,[0 1]
20060612,12.8,12.99,11.55,11.55,85017300,[1 0]
20060613,11.5,11.5,10.01,10.15,46367100,[1 0]
20060614,10.21,10.8,10.15,10.42,1007399100,[0 0]
20060616,11.0,11.99,10.79,11.95,52415800,[0 0]
20060619,11.8,12.9,11.2,11.8,319367300,[1 0]
20060620,11.85,12.0,11.61,11.8,60258100,[1 0]
20060621,11.7,12.0,11.4,11.4,56928400,[1 1]
20060622,11.89,11.89,11.47,11.47,12302000,[0 0]
