date,open,max,min,close,volume,y
20070703,0.5,0.5,0.5,0.5,6050,[1 1]
20070704,0.68,0.68,0.68,0.68,101796,[1 0]
20070706,0.89,0.89,0.89,0.89,124333,[0 1]
20070710,5.0,5.0,5.0,5.0,1500,[0 0]
20070712,4.95,4.95,4.95,4.95,495,[1 0]
20070713,0.66,2.0,0.5,0.5,997706,[0 1]
20070716,0.65,0.65,0.65,0.65,65,[0 1]
20070717,0.64,0.64,0.64,0.64,64,[0 0]
20070718,0.63,0.63,0.63,0.63,63,[0 1]
20070720,0.64,0.64,0.64,0.64,64,[0 0]
20070723,0.5,0.64,0.39,0.45,398795,[0 0]
20070724,0.45,0.45,0.45,0.45,45,[0 0]
20070725,0.63,0.64,0.63,0.64,127,[0 0]
20070726,0.59,0.59,0.3,0.59,3058,[0 0]
20070727,0.64,0.64,0.64,0.64,64,[0 0]
20070730,0.64,0.64,0.64,0.64,64,[0 1]
20070731,0.64,0.64,0.64,0.64,64,[0 0]
20070801,0.5,0.5,0.45,0.45,15935,[0 0]
20070802,0.64,0.64,0.64,0.64,64,[1 0]
20070803,0.49,0.5,0.49,0.5,99,[1 0]
20070806,0.5,0.5,0.5,0.5,50,[0 0]
20070807,0.5,0.5,0.5,0.5,50,[1 0]
20070808,0.45,0.5,0.4,0.5,4825,[0 0]
20070809,0.5,0.5,0.5,0.5,50,[0 0]
20070810,0.5,0.5,0.5,0.5,50,[0 0]
20070813,0.5,0.5,0.5,0.5,50,[0 0]
20070816,0.5,0.5,0.5,0.5,50,[0 1]
20070817,0.5,0.5,0.5,0.5,50,[0 0]
20070820,0.5,0.5,0.5,0.5,50,[0 1]
20070821,0.5,0.5,0.5,0.5,50,[0 1]
20070822,0.5,0.5,0.5,0.5,50,[0 0]
20070823,0.45,0.45,0.45,0.45,45,[0 1]
20070824,0.5,0.5,0.5,0.5,50,[0 0]
20070827,0.5,0.5,0.5,0.5,50,[0 1]
20070828,0.5,0.5,0.5,0.5,50,[0 0]
20070829,0.5,0.5,0.5,0.5,50,[1 0]
20070830,0.5,0.5,0.5,0.5,50,[0 0]
20070831,0.64,0.64,0.64,0.64,64,[0 1]
20070903,0.28,0.64,0.28,0.64,39180,[0 0]
20070904,0.65,0.65,0.65,0.65,65,[0 1]
20070910,0.4,0.4,0.4,0.4,40,[0 0]
20070911,0.4,0.4,0.4,0.4,40,[0 1]
20070912,0.4,0.4,0.3,0.3,1540,[0 1]
20070913,0.4,0.4,0.4,0.4,40,[0 1]
20070914,0.4,0.4,0.4,0.4,40,[0 0]
20070917,0.4,0.4,0.4,0.4,40,[0 1]
20070920,0.4,0.4,0.4,0.4,1040,[1 0]
20070921,0.35,0.35,0.35,0.35,35,[1 0]
20070924,0.35,0.35,0.35,0.35,35,[0 1]
20070925,0.35,0.35,0.35,0.35,35,[0 0]
20070927,0.35,0.35,0.35,0.35,35,[0 0]
20070928,0.34,0.35,0.34,0.35,1735,[1 0]
20071001,0.35,0.35,0.35,0.35,10535,[0 0]
20071002,0.35,0.35,0.3,0.3,1535,[0 0]
20071003,0.35,0.35,0.35,0.35,8085,[1 1]
20071004,0.35,0.35,0.35,0.35,47320,[0 1]
20071005,0.3,0.35,0.3,0.35,1535,[0 0]
20071009,0.35,0.35,0.35,0.35,4970,[0 1]
20071010,0.35,0.65,0.35,0.65,44120,[0 0]
20071011,0.65,0.65,0.35,0.38,62348,[1 0]
20071015,0.38,0.59,0.38,0.59,315786,[1 1]
20071016,0.59,0.59,0.59,0.59,59,[0 1]
20071017,0.44,0.44,0.44,0.44,44,[0 0]
20071018,0.44,0.44,0.36,0.36,5948,[1 0]
20071019,0.44,0.44,0.44,0.44,44,[1 0]
20071023,0.39,0.39,0.39,0.39,39,[0 0]
20071024,0.35,0.35,0.35,0.35,28000,[0 0]
20071025,0.35,0.35,0.3,0.35,77158,[0 1]
20071026,0.59,0.59,0.59,0.59,59,[0 1]
20071029,0.44,0.44,0.44,0.44,44,[1 0]
20071030,0.44,0.44,0.44,0.44,44,[0 1]
20071031,0.59,0.59,0.59,0.59,59,[0 1]
20071101,0.59,0.59,0.59,0.59,59,[1 0]
20071105,0.42,0.42,0.42,0.42,42,[0 0]
20071106,0.42,0.42,0.36,0.36,36294,[1 0]
20071107,0.36,0.36,0.36,0.36,145980,[0 0]
20071112,0.42,0.42,0.42,0.42,42,[0 1]
20071121,0.42,0.42,0.42,0.42,42,[0 1]
20071122,0.4,0.4,0.4,0.4,40,[0 1]
20071128,0.4,0.4,0.4,0.4,40,[0 0]
20071203,0.59,0.59,0.59,0.59,59,[0 0]
20071204,0.45,0.45,0.45,0.45,45,[1 0]
20071205,0.45,0.45,0.45,0.45,45,[0 0]
20071206,0.45,0.45,0.45,0.45,45,[0 0]
20071207,0.59,0.59,0.59,0.59,59,[0 0]
20071210,0.48,0.55,0.48,0.55,103,[0 0]
20071211,0.59,0.59,0.59,0.59,59,[0 0]
20071212,0.35,0.35,0.35,0.35,30030,[0 0]
20071213,0.58,0.58,0.58,0.58,58,[0 1]
20071214,0.58,0.58,0.58,0.58,58,[0 0]
20071217,0.55,0.55,0.55,0.55,55,[0 0]
20071219,0.26,0.26,0.26,0.26,10400,[0 1]
20071220,0.48,0.48,0.26,0.27,1580,[0 0]
20071226,0.58,0.58,0.58,0.58,58,[0 0]
20071227,0.26,0.26,0.26,0.26,10400,[0 0]
20071228,0.58,0.58,0.58,0.58,58,[0 0]
20080103,0.54,0.54,0.54,0.54,54,[0 0]
20080104,0.26,0.26,0.26,0.26,4082,[0 0]
20080108,0.54,0.54,0.54,0.54,54,[0 0]
20080109,0.54,0.54,0.54,0.54,54,[0 0]
20080110,0.54,0.54,0.54,0.54,54,[0 0]
20080111,0.54,0.54,0.54,0.54,54,[0 0]
20080115,0.25,0.25,0.23,0.23,20279,[0 0]
20080117,0.53,0.53,0.53,0.53,53,[0 0]
20080118,0.53,0.53,0.53,0.53,53,[0 0]
20080121,0.25,0.25,0.25,0.25,25,[1 1]
20080201,0.25,0.25,0.2,0.25,178975,[0 0]
20080207,0.25,0.25,0.25,0.25,50000,[0 0]
20080208,0.16,0.16,0.16,0.16,160,[0 1]
20080214,0.25,0.25,0.25,0.25,25,[0 0]
20080215,0.25,0.27,0.25,0.27,79,[0 0]
20080304,0.21,0.21,0.21,0.21,28854,[1 0]
20080310,0.27,0.27,0.27,0.27,27,[0 1]
20080313,0.27,0.27,0.27,0.27,27,[0 0]
20080314,0.27,0.27,0.27,0.27,27,[0 0]
20080319,0.23,0.23,0.21,0.21,8381,[0 1]
20080320,0.27,0.27,0.27,0.27,27,[0 0]
20080325,0.27,0.27,0.27,0.27,27,[0 0]
20080326,0.25,0.25,0.25,0.25,50,[1 1]
20080411,0.27,0.27,0.27,0.27,28188,[1 0]
20080418,0.17,0.17,0.16,0.16,17304,[0 0]
20080422,0.26,0.26,0.26,0.26,184860,[1 0]
20080423,0.26,0.33,0.26,0.3,602658,[1 0]
20080424,0.3,0.3,0.27,0.27,39665,[0 1]
20080425,0.44,0.44,0.44,0.44,44,[0 0]
20080428,0.29,0.3,0.29,0.3,20330,[1 0]
20080429,0.3,0.3,0.24,0.24,57630,[0 1]
20080430,0.25,0.25,0.25,0.25,3450,[0 0]
20080502,0.22,0.22,0.2,0.22,131539,[1 0]
20080505,0.27,0.27,0.27,0.27,27,[1 0]
20080506,0.28,0.28,0.21,0.21,98728,[0 1]
20080507,0.23,0.23,0.21,0.21,129259,[1 1]
