date,open,max,min,close,volume,y
20070702,0.56,0.74,0.43,0.65,347220000,[0 1]
20070703,0.69,0.84,0.55,0.55,675470000,[0 0]
20070704,0.62,0.62,0.49,0.58,321140000,[0 0]
20070705,0.57,0.6,0.53,0.58,130390000,[0 0]
20070706,0.59,0.61,0.53,0.53,75780000,[0 1]
20070710,0.54,0.57,0.49,0.5,143030000,[0 0]
20070711,0.5,0.52,0.42,0.45,59090000,[0 0]
20070712,0.45,0.48,0.39,0.41,225670000,[0 0]
20070713,0.41,0.45,0.37,0.4,108550000,[0 0]
20070716,0.4,0.43,0.38,0.39,39210000,[1 0]
20070717,0.4,0.43,0.39,0.4,100010000,[1 1]
20070718,0.4,0.41,0.39,0.4,33360000,[0 0]
20070719,0.41,0.41,0.39,0.39,31320000,[1 1]
20070720,0.39,0.39,0.38,0.39,21570000,[0 0]
20070723,0.39,0.39,0.35,0.36,25740000,[0 0]
20070724,0.37,0.37,0.33,0.35,26080000,[0 0]
20070725,0.35,0.35,0.31,0.35,17620000,[1 1]
20070726,0.33,0.33,0.29,0.3,45790000,[0 1]
20070727,0.3,0.31,0.28,0.29,18020000,[1 0]
20070730,0.3,0.32,0.3,0.31,7160000,[0 0]
20070731,0.31,0.32,0.3,0.3,15580000,[0 1]
20070801,0.29,0.37,0.29,0.33,64380000,[0 1]
20070802,0.34,0.4,0.34,0.36,63160000,[1 0]
20070803,0.39,0.4,0.34,0.34,59310000,[0 0]
20070806,0.35,0.35,0.32,0.32,18550000,[1 0]
20070807,0.33,0.34,0.33,0.34,2690000,[0 1]
20070808,0.34,0.37,0.34,0.36,11200000,[1 0]
20070809,0.35,0.35,0.33,0.35,7280000,[0 0]
20070810,0.33,0.34,0.33,0.34,3370000,[0 1]
20070813,0.34,0.35,0.34,0.34,2060000,[0 0]
20070814,0.34,0.35,0.33,0.33,11900000,[1 0]
20070815,0.31,0.33,0.31,0.32,7990000,[0 0]
20070816,0.3,0.3,0.23,0.25,14510000,[0 0]
20070817,0.29,0.32,0.28,0.29,18930000,[1 0]
20070820,0.3,0.3,0.29,0.3,6880000,[1 0]
20070821,0.31,0.31,0.3,0.3,9320000,[1 0]
20070822,0.33,0.33,0.31,0.32,2870000,[0 0]
20070823,0.32,0.34,0.32,0.33,20740000,[1 0]
20070824,0.33,0.33,0.31,0.33,4530000,[0 0]
20070827,0.32,0.33,0.32,0.33,4230000,[1 0]
20070828,0.32,0.32,0.3,0.3,6490000,[0 1]
20070829,0.3,0.31,0.25,0.26,8210000,[1 0]
20070830,0.27,0.3,0.27,0.29,4630000,[0 0]
20070831,0.29,0.29,0.27,0.28,10500000,[1 0]
20070903,0.3,0.3,0.28,0.29,2310000,[0 0]
20070904,0.29,0.3,0.28,0.3,4010000,[0 1]
20070905,0.29,0.29,0.29,0.29,1740000,[0 0]
20070906,0.29,0.29,0.29,0.29,870000,[0 0]
20070910,0.28,0.3,0.28,0.29,5260000,[0 0]
20070911,0.29,0.3,0.29,0.3,1170000,[0 0]
20070912,0.3,0.3,0.29,0.29,4370000,[0 0]
20070913,0.28,0.33,0.28,0.28,20820000,[0 1]
20070914,0.3,0.3,0.29,0.29,1170000,[0 0]
20070917,0.28,0.3,0.28,0.3,3800000,[0 0]
20070918,0.28,0.3,0.28,0.3,6590000,[0 0]
20070919,0.29,0.3,0.29,0.3,1470000,[0 1]
20070920,0.28,0.29,0.28,0.29,570000,[0 0]
20070921,0.28,0.29,0.28,0.29,5930000,[0 1]
20070924,0.29,0.3,0.28,0.3,1450000,[1 0]
20070925,0.29,0.29,0.29,0.29,580000,[1 1]
20070926,0.28,0.28,0.27,0.28,4150000,[0 0]
20070927,0.29,0.3,0.29,0.3,5550000,[1 0]
20070928,0.29,0.29,0.29,0.29,3770000,[0 0]
20071001,0.28,0.3,0.28,0.29,2020000,[0 1]
20071002,0.28,0.29,0.28,0.29,4220000,[0 1]
20071003,0.28,0.29,0.27,0.28,6960000,[0 0]
20071004,0.27,0.28,0.27,0.27,3800000,[1 0]
20071005,0.28,0.29,0.28,0.29,2810000,[0 0]
20071008,0.28,0.29,0.28,0.28,1970000,[0 0]
20071009,0.27,0.29,0.27,0.29,1130000,[0 0]
20071010,0.28,0.29,0.27,0.29,7080000,[0 0]
20071011,0.31,0.47,0.31,0.45,341620000,[0 0]
20071015,0.54,0.54,0.36,0.38,230040000,[0 0]
20071016,0.38,0.41,0.3,0.35,160610000,[0 1]
20071017,0.37,0.37,0.32,0.32,60290000,[0 1]
20071018,0.33,0.35,0.31,0.33,53370000,[0 1]
20071019,0.34,0.34,0.3,0.3,41010000,[0 1]
20071022,0.3,0.3,0.27,0.3,16090000,[0 0]
20071023,0.3,0.32,0.28,0.3,34950000,[0 0]
20071024,0.3,0.37,0.29,0.33,122380000,[0 0]
20071025,0.33,0.33,0.3,0.31,25260000,[1 0]
20071026,0.31,0.32,0.28,0.29,20770000,[0 0]
20071029,0.3,0.31,0.3,0.3,11850000,[0 0]
20071030,0.3,0.32,0.3,0.31,14680000,[0 0]
20071031,0.31,0.31,0.29,0.3,14550000,[0 0]
20071101,0.29,0.3,0.28,0.29,8670000,[0 0]
20071105,0.29,0.3,0.28,0.28,12170000,[0 0]
20071106,0.29,0.29,0.29,0.29,2030000,[1 0]
20071107,0.29,0.29,0.27,0.27,18840000,[0 0]
20071108,0.27,0.27,0.26,0.27,3220000,[0 0]
20071109,0.26,0.27,0.23,0.25,57110000,[0 0]
20071112,0.25,0.25,0.23,0.23,11590000,[1 0]
20071113,0.23,0.25,0.23,0.24,14440000,[0 0]
20071114,0.24,0.26,0.23,0.24,5950000,[0 1]
20071116,0.24,0.25,0.24,0.24,1930000,[0 0]
20071119,0.24,0.24,0.23,0.23,1400000,[0 1]
20071121,0.22,0.23,0.21,0.22,6150000,[0 1]
20071122,0.22,0.24,0.22,0.22,9210000,[1 1]
20071123,0.23,0.24,0.21,0.22,12570000,[0 1]
20071126,0.22,0.22,0.2,0.2,6340000,[0 0]
20071127,0.21,0.22,0.19,0.2,11040000,[0 0]
20071128,0.19,0.2,0.19,0.2,1790000,[0 0]
20071129,0.2,0.2,0.18,0.18,18410000,[0 1]
20071130,0.19,0.19,0.17,0.18,7880000,[0 0]
20071203,0.19,0.26,0.19,0.24,124840000,[1 0]
20071204,0.24,0.26,0.22,0.23,60790000,[1 0]
20071205,0.23,0.25,0.22,0.22,20320000,[0 0]
