date,open,max,min,close,volume,y
20070131,14.5,14.7,14.18,14.19,11601146800,[0 0]
20070201,14.2,14.38,13.55,13.67,4492314700,[0 1]
20070202,13.75,13.93,13.3,13.5,1384014800,[1 1]
20070205,13.7,13.7,12.98,13.11,1329236300,[1 0]
20070206,13.25,13.69,13.16,13.2,1401149100,[0 0]
20070207,13.25,13.65,13.25,13.35,1316977600,[0 1]
20070208,13.4,14.0,13.26,13.86,1759970500,[0 0]
20070209,13.99,14.08,13.78,13.9,327443600,[1 1]
20070212,13.75,13.8,13.45,13.5,564569100,[0 1]
20070213,13.38,13.7,13.32,13.48,518320100,[0 0]
20070214,13.51,13.6,12.99,13.3,888675900,[0 1]
20070215,13.2,13.26,12.65,12.65,823145900,[0 0]
20070216,12.66,12.8,12.18,12.75,615590900,[1 0]
20070221,12.68,12.7,12.36,12.37,181186200,[0 0]
20070222,12.34,12.48,12.0,12.01,471249700,[0 0]
20070223,12.0,12.97,11.98,12.38,985875000,[1 1]
20070226,12.55,12.7,12.4,12.4,305459000,[0 1]
20070227,12.05,12.4,11.6,11.6,1175802800,[0 1]
20070228,11.88,12.0,11.6,11.9,762159600,[0 1]
20070301,11.5,11.9,11.5,11.84,1015220000,[1 0]
20070302,11.63,12.19,11.63,11.74,344515700,[0 1]
20070305,11.5,11.59,11.17,11.2,371271200,[0 0]
20070306,11.35,12.16,11.35,12.16,683363200,[1 1]
20070307,12.15,12.15,11.8,12.0,187407300,[0 0]
20070308,12.1,12.2,11.82,12.0,181883600,[0 0]
20070309,12.0,12.1,11.7,12.1,586818600,[0 0]
20070312,12.1,12.1,11.96,12.0,437228500,[0 1]
20070313,11.89,12.0,11.38,11.43,368100100,[0 1]
20070314,11.26,11.65,11.25,11.3,836954300,[0 0]
20070315,11.5,11.5,11.05,11.1,328531400,[0 1]
20070316,11.1,11.2,10.59,10.59,347885600,[1 0]
20070329,11.65,12.04,11.31,11.71,610594400,[0 0]
20070330,11.99,12.0,11.7,12.0,565838400,[0 1]
20070402,11.9,12.14,11.8,12.0,177418100,[1 0]
20070403,12.01,12.3,12.0,12.01,660167200,[0 1]
20070404,12.01,12.05,12.0,12.0,468672000,[0 0]
20070405,12.0,12.12,12.0,12.12,102450000,[1 1]
20070409,12.1,12.15,11.6,11.61,73244900,[1 1]
20070410,11.7,12.3,11.7,11.85,558982300,[1 0]
20070411,11.84,12.25,11.84,12.01,1494709300,[1 0]
20070412,12.0,12.1,11.96,12.01,67045200,[0 1]
20070413,12.0,12.2,11.78,12.0,141436300,[0 0]
