date,open,max,min,close,volume,y
20070131,14.5,14.7,13.0,13.5,379455213,[1 0]
20070201,14.16,14.36,13.51,13.65,67673752,[0 1]
20070202,13.71,13.9,13.34,13.6,20805712,[1 1]
20070205,13.5,13.65,13.0,13.12,18754778,[0 0]
20070206,13.19,13.5,13.1,13.16,16425371,[1 0]
20070207,13.2,13.6,13.15,13.38,15111506,[0 0]
20070208,13.4,14.0,13.22,13.89,14300711,[0 0]
20070209,13.95,13.99,13.58,13.85,7380841,[1 1]
20070212,13.76,13.9,13.16,13.16,8669549,[0 1]
20070213,13.4,13.6,13.35,13.46,8871379,[0 0]
20070214,13.45,13.5,13.01,13.04,14388269,[0 1]
20070215,13.13,13.26,12.7,12.8,14251547,[0 0]
20070216,12.66,12.8,12.11,12.52,13035697,[1 0]
20070221,12.66,12.66,12.36,12.46,5902455,[0 0]
20070222,12.22,12.45,11.95,12.0,11654114,[0 0]
20070223,12.0,12.9,11.9,12.36,9856011,[1 1]
20070226,12.6,12.7,12.21,12.38,4076257,[1 1]
20070227,12.15,12.3,11.6,11.6,7255097,[0 1]
20070228,11.65,11.9,11.56,11.9,4180863,[0 1]
20070301,11.99,11.99,11.5,11.77,4112014,[1 1]
20070302,11.89,12.1,11.59,11.76,3101458,[0 0]
20070305,11.4,11.49,11.05,11.17,5736554,[1 0]
20070306,11.25,12.08,11.25,11.93,7560754,[1 1]
20070307,12.16,12.16,11.51,11.88,3083385,[0 0]
20070308,12.0,12.29,11.81,11.81,2613498,[0 1]
20070309,12.0,12.1,11.52,12.0,3555252,[0 0]
20070312,12.12,12.12,11.91,11.92,2881579,[0 1]
20070313,11.83,11.91,11.41,11.5,2906312,[1 1]
20070314,11.31,11.54,11.23,11.3,2870101,[1 0]
20070315,11.6,11.6,11.12,11.12,2738714,[0 1]
20070316,11.49,11.49,10.66,10.66,2278763,[0 0]
20070329,11.96,11.98,11.35,11.61,4479034,[0 0]
20070330,11.95,11.99,11.7,11.9,2759180,[1 1]
20070402,11.9,12.08,11.61,11.91,5613474,[1 1]
20070403,12.0,12.2,11.21,12.04,6902508,[0 1]
20070404,12.0,12.09,11.95,11.99,3975339,[1 0]
20070405,11.99,12.07,11.96,12.0,3596173,[1 1]
20070409,12.0,12.15,11.1,11.62,2939324,[1 1]
20070410,11.75,12.09,11.51,11.9,4029450,[1 0]
20070411,11.8,12.22,11.8,12.0,6381413,[0 1]
20070412,12.0,12.06,11.96,12.03,3205063,[0 0]
20070413,11.95,12.11,11.51,11.85,3673260,[1 0]
20070416,12.0,12.14,11.71,11.71,5683523,[1 0]
20070417,12.0,12.0,11.81,11.89,3553758,[1 1]
20070418,11.87,11.87,11.7,11.7,2949868,[0 0]
20070419,11.51,11.98,11.21,11.97,4054271,[0 1]
20070420,11.9,12.2,11.83,12.0,7726289,[1 1]
20070423,12.0,12.05,11.86,11.86,2427427,[1 0]
20070424,11.86,11.99,11.62,11.83,1820474,[1 1]
20070425,12.0,12.0,11.72,11.72,2057640,[1 1]
20070426,11.78,11.8,11.46,11.8,2842237,[0 1]
20070427,11.65,11.65,11.11,11.48,2375784,[1 0]
20070430,11.4,11.6,11.15,11.15,1631333,[0 0]
20070502,11.15,11.3,10.85,10.95,2637421,[1 0]
20070503,11.1,11.95,11.1,11.61,6531419,[1 0]
20070504,11.61,12.0,11.61,11.63,6074370,[1 0]
20070507,11.78,12.0,11.76,11.9,3439190,[0 1]
20070508,11.79,11.95,11.53,11.95,2769564,[1 0]
20070509,11.8,11.89,11.7,11.89,2547416,[1 0]
20070510,11.52,11.7,11.2,11.36,2051681,[1 1]
20070511,11.46,11.65,11.44,11.65,3176457,[1 0]
20070514,11.51,11.65,11.5,11.65,2107672,[0 1]
20070515,11.5,11.75,11.5,11.53,2260050,[1 0]
20070516,11.54,11.61,11.35,11.48,2751655,[0 1]
20070517,11.4,11.44,11.01,11.26,1553615,[0 1]
20070518,11.22,11.4,11.22,11.3,1753067,[0 1]
20070521,11.25,11.88,11.2,11.65,4487755,[1 0]
20070522,11.85,13.0,11.65,12.53,12016999,[0 1]
20070523,12.9,13.34,12.61,12.65,6113547,[0 1]
20070524,12.6,13.0,12.0,12.55,2497158,[1 1]
20070525,12.5,13.19,12.5,13.19,3599221,[0 0]
20070528,13.15,13.24,12.9,13.24,2317382,[0 0]
20070529,13.0,13.33,12.9,13.0,2918494,[0 0]
20070530,12.55,13.15,12.55,13.01,2182007,[1 0]
20070531,13.1,13.2,12.76,13.2,2502761,[0 1]
20070601,13.2,13.6,13.2,13.6,5744720,[1 1]
20070604,13.5,14.15,13.2,14.1,6400117,[0 1]
20070605,14.0,14.34,13.96,14.3,6683701,[1 0]
20070606,14.12,14.2,13.93,13.94,2746808,[1 1]
20070608,13.8,14.28,13.01,13.66,1984541,[0 0]
20070611,14.1,14.45,13.84,14.17,3960602,[0 1]
20070612,14.0,14.4,13.87,13.98,2503176,[0 0]
20070613,14.0,14.1,13.5,13.86,1058844,[0 0]
20070614,14.1,14.1,13.8,14.09,1759514,[0 0]
20070615,13.5,14.0,13.5,13.7,1747466,[1 0]
20070618,13.7,13.98,13.59,13.71,2736741,[0 1]
20070619,13.78,13.79,13.51,13.51,1466849,[1 1]
20070620,13.65,13.78,13.5,13.75,2427015,[0 0]
20070621,13.9,14.5,13.53,14.5,7369390,[1 0]
20070622,14.0,14.65,13.67,14.5,6517889,[1 0]
20070625,14.15,14.6,14.12,14.31,2928695,[0 1]
20070626,14.23,14.49,14.06,14.29,1773639,[0 0]
20070627,14.12,14.3,13.83,14.3,1779174,[1 1]
20070628,14.29,14.78,14.07,14.7,15342053,[1 1]
20070629,14.8,15.56,14.57,15.29,23181481,[0 0]
20070702,15.15,15.72,15.15,15.59,10987843,[0 1]
20070703,15.6,15.93,15.11,15.42,8795321,[1 0]
20070704,15.2,15.75,15.0,15.5,7100685,[0 1]
20070705,15.38,15.69,15.05,15.51,4680845,[1 0]
20070706,15.69,15.75,15.03,15.75,6499175,[1 0]
20070710,15.69,16.19,15.22,16.19,11115132,[1 1]
20070711,16.2,16.26,15.72,16.05,3247219,[1 0]
20070712,16.0,16.25,15.2,16.1,5401408,[1 0]
20070713,15.5,16.3,15.46,16.3,6300370,[0 0]
20070716,15.8,16.3,15.75,16.3,4173534,[0 0]
20070717,15.9,16.2,15.5,15.85,3318353,[1 1]
20070718,15.5,15.55,15.0,15.06,2101293,[0 1]
20070719,15.3,15.91,15.15,15.91,4576500,[1 1]
20070720,15.82,16.05,15.21,15.21,2907309,[1 1]
20070723,15.23,15.5,15.02,15.4,2403405,[0 0]
20070724,15.02,15.15,14.7,14.7,1404206,[1 0]
20070725,14.98,15.42,14.57,15.1,2058766,[0 1]
20070726,14.65,15.0,14.4,15.0,1469213,[0 0]
20070727,14.22,14.7,14.05,14.12,1143710,[1 0]
20070730,14.35,14.9,14.2,14.9,1506651,[0 0]
20070731,15.0,15.4,14.9,15.17,2119837,[1 0]
20070801,15.16,15.16,13.82,13.93,1896309,[1 0]
20070802,14.15,14.15,13.59,13.95,1524970,[1 0]
20070803,13.76,14.0,13.44,13.46,1350803,[0 1]
20070806,13.6,14.69,13.12,14.0,1432468,[0 0]
20070807,14.55,14.55,14.0,14.37,660859,[0 1]
20070808,14.38,15.29,14.38,14.41,3403823,[1 0]
