date,open,max,min,close,volume,y
20070809,2.84,3.01,2.25,2.32,1581770300,[0 1]
20070810,2.31,2.31,2.1,2.23,1235595300,[0 0]
20070813,2.32,2.82,2.31,2.46,736367000,[0 1]
20070814,2.6,2.69,2.4,2.45,480239000,[0 1]
20070815,2.4,2.4,1.94,2.1,1351835200,[1 1]
20070816,2.0,2.0,1.65,1.79,589107500,[1 0]
20070817,2.02,2.05,1.8,1.88,1990410200,[0 1]
20070820,1.93,1.95,1.77,1.79,927387100,[0 1]
20070821,1.8,1.91,1.72,1.89,1937170600,[0 0]
20070822,2.0,2.13,2.0,2.1,1369799700,[0 0]
20070823,2.16,2.28,2.1,2.18,1083971100,[0 1]
20070824,2.18,2.7,2.18,2.65,4685388700,[0 1]
20070827,2.65,2.65,2.45,2.46,799076300,[1 1]
20070828,2.39,2.4,2.31,2.33,1008232000,[1 0]
20070829,2.37,2.5,2.37,2.4,639800900,[0 1]
20070830,2.42,2.42,2.31,2.33,1073331100,[1 1]
20070831,2.44,2.47,2.37,2.4,1216582300,[0 1]
20070903,2.42,2.42,2.33,2.39,424729500,[1 0]
20070904,2.37,2.41,2.33,2.37,506311700,[0 0]
20070905,2.36,2.36,2.24,2.28,684911900,[0 1]
20070906,2.28,2.31,2.25,2.26,625314100,[0 0]
20070910,2.22,2.25,2.13,2.25,241034400,[0 1]
20070911,2.26,2.31,2.25,2.27,185278800,[1 0]
20070912,2.28,2.33,2.24,2.25,751480800,[1 0]
20070913,2.28,2.28,2.21,2.27,293794300,[0 0]
20070914,2.23,2.29,2.23,2.28,196896100,[0 1]
20070917,2.24,2.3,2.24,2.29,387512700,[0 0]
20070918,2.25,2.43,2.22,2.36,590244800,[1 1]
20070919,2.37,2.4,2.25,2.27,505753900,[1 1]
20070920,2.29,2.32,2.18,2.24,821561600,[0 0]
20070921,2.3,2.3,2.25,2.27,543430200,[0 0]
20070924,2.29,2.29,2.26,2.29,200152700,[1 0]
20070925,2.25,2.33,2.25,2.3,275918300,[1 1]
20070926,2.3,2.38,2.27,2.28,853056300,[1 1]
20070927,2.27,2.3,2.25,2.3,832594100,[0 0]
20070928,2.28,2.35,2.26,2.33,1158162100,[0 1]
20071001,2.32,2.35,2.29,2.32,318777500,[0 0]
20071002,2.3,2.32,2.27,2.28,448043300,[0 0]
20071003,2.3,2.31,2.26,2.27,877655800,[0 0]
20071004,2.3,2.32,2.24,2.25,181950600,[0 1]
20071005,2.29,2.3,2.23,2.29,387897300,[0 1]
20071008,2.29,2.3,2.25,2.27,225753000,[0 1]
20071009,2.27,2.3,2.25,2.25,490164300,[0 0]
20071010,2.25,2.29,2.21,2.21,478395700,[1 0]
20071011,2.22,2.38,2.22,2.32,5792879900,[0 0]
20071015,2.38,2.39,2.29,2.35,384658000,[0 1]
20071016,2.3,2.34,2.28,2.31,296045200,[0 0]
20071017,2.31,2.4,2.29,2.39,671382000,[1 0]
20071018,2.37,2.39,2.32,2.37,256293700,[1 0]
20071019,2.39,2.41,2.32,2.37,629717700,[1 0]
20071101,13.6,13.6,13.1,13.3,373590000,[0 0]
20071105,13.0,13.4,12.8,13.19,383645200,[1 0]
20071106,13.4,14.0,13.4,13.8,1083887900,[1 0]
20071107,13.41,14.15,13.41,13.5,332356600,[0 1]
20071108,13.5,13.75,12.7,13.1,553336500,[0 1]
20071109,13.09,13.19,12.7,13.19,539794500,[0 1]
20071112,13.5,13.74,13.0,13.39,219907100,[1 1]
20071113,13.4,14.0,13.4,13.9,1273307800,[0 0]
20071114,13.84,14.39,13.84,14.25,600283900,[1 0]
20071116,14.5,14.5,13.5,14.13,1114935400,[1 0]
20071119,14.0,14.1,13.7,13.9,2189531800,[1 1]
20071121,13.2,13.6,12.81,13.2,493919500,[1 1]
20071122,13.1,13.32,12.7,12.7,175074300,[0 0]
20071123,12.71,13.0,12.15,13.0,370057800,[1 0]
20071126,13.0,13.0,12.4,12.6,201718700,[0 0]
20071127,12.5,13.1,12.4,12.85,93208800,[0 0]
20071128,13.0,13.2,12.8,12.9,255264900,[1 0]
20071129,12.89,13.5,12.89,13.2,446243500,[0 0]
20071130,13.3,13.3,13.0,13.22,187904500,[0 1]
20071203,13.3,13.49,12.91,13.1,348182600,[0 0]
20071204,12.9,13.15,12.72,13.0,400680200,[0 1]
20071205,13.1,13.3,12.51,12.75,199618600,[0 1]
20071206,12.97,13.2,12.76,13.15,164373000,[1 0]
20071207,13.15,13.15,12.87,12.99,202701500,[1 1]
20071210,12.75,13.08,12.52,12.8,179818600,[0 1]
20071211,12.7,13.13,12.52,12.8,269645300,[1 1]
