date,open,max,min,close,volume,y
20020201,18.9,18.9,18.0,18.0,101700,[0 0]
20020204,17.5,17.75,17.5,17.75,42425,[0 1]
20020215,17.0,17.0,17.0,17.0,37400,[1 0]
20020225,16.0,16.0,16.0,16.0,80000,[0 1]
20020227,17.0,17.0,16.66,16.66,213282,[0 0]
20020318,17.5,17.5,17.5,17.5,1750,[0 1]
20020327,16.1,16.1,16.0,16.0,72400,[1 0]
20020328,16.1,16.1,16.0,16.0,72250,[0 0]
20020403,17.0,17.0,17.0,17.0,6800,[1 0]
20020404,17.0,17.0,16.0,16.0,205470,[1 1]
20020410,16.0,16.0,16.0,16.0,44800,[0 0]
20020412,16.0,16.0,16.0,16.0,11200,[1 1]
20020417,17.0,17.0,17.0,17.0,1700,[1 0]
20020502,17.25,17.25,17.25,17.25,93150,[0 0]
20020503,17.0,17.25,17.0,17.25,36050,[1 0]
20020524,16.71,16.71,16.0,16.0,51091,[1 0]
20020605,16.0,16.0,14.35,14.35,33995,[0 1]
20020611,17.0,17.0,17.0,17.0,30600,[0 1]
20020710,15.9,15.9,10.0,10.0,72820,[0 0]
20020718,12.5,12.5,12.5,12.5,87500,[1 1]
20020726,17.2,17.2,17.2,17.2,17200,[1 0]
20020801,12.05,12.05,12.05,12.05,4820,[1 0]
20020806,11.0,11.0,11.0,11.0,24200,[1 0]
20020816,7.8,7.8,7.8,7.8,24960,[0 1]
20020830,9.3,9.3,9.3,9.3,16740,[0 0]
20020906,9.5,9.5,9.5,9.5,78850,[0 0]
20020927,6.6,6.6,6.6,6.6,3960,[0 1]
20021001,6.6,6.6,6.6,6.6,39600,[0 1]
20021003,6.0,6.0,6.0,6.0,5400,[0 0]
20021010,7.0,7.0,6.6,6.6,33400,[1 1]
20021025,5.4,5.4,5.4,5.4,5400,[1 0]
20021114,7.3,7.3,7.3,7.3,45990,[1 1]
20021119,7.0,7.0,7.0,7.0,14000,[1 1]
20021121,6.1,6.1,6.1,6.1,2440,[1 0]
20021128,6.4,6.4,6.4,6.4,12800,[0 1]
20021205,6.05,6.05,6.0,6.0,29550,[0 0]
20030310,7.45,7.45,7.45,7.45,14900,[0 0]
20030318,7.35,7.35,7.35,7.35,18375,[1 1]
20030321,7.0,7.0,7.0,7.0,35000,[1 0]
20030407,8.0,8.0,8.0,8.0,23200,[1 1]
20030505,9.2,9.2,9.2,9.2,23000,[0 0]
20030508,9.3,9.3,9.3,9.3,49290,[1 0]
20030516,10.15,10.15,10.15,10.15,20300,[0 0]
20030519,9.85,9.85,9.81,9.81,32461,[1 1]
20030521,9.75,9.75,9.75,9.75,19500,[1 1]
20030523,9.8,9.8,9.8,9.8,58800,[1 0]
20030602,9.8,9.8,9.8,9.8,29400,[1 0]
20030605,9.8,9.8,9.8,9.8,83300,[0 1]
20030613,9.9,9.9,9.9,9.9,17820,[1 1]
20030616,9.9,9.9,9.8,9.8,28550,[1 1]
20030630,8.8,8.8,8.8,8.8,17600,[0 0]
20030708,8.5,8.5,8.5,8.5,17850,[1 0]
20030211,8.0,8.0,8.0,8.0,8000,[1 1]
20030213,7.5,7.5,7.25,7.25,37000,[0 0]
