date,open,max,min,close,volume,y
20070914,25.5,25.97,25.5,25.97,7215700,[0 1]
20070917,25.9,25.9,25.31,25.31,1023200,[0 0]
20070918,25.3,26.99,25.3,26.99,15090000,[1 0]
20070919,27.78,27.78,26.0,26.45,28162800,[0 1]
20070920,25.0,25.74,25.0,25.7,44778100,[1 0]
20070921,26.0,26.3,25.8,26.3,3910000,[1 0]
20070924,25.35,26.3,25.35,26.3,10228500,[0 0]
20070925,26.32,26.32,25.7,26.0,9384200,[1 0]
20070926,26.0,26.8,25.61,26.8,51815900,[0 0]
20070927,26.8,28.0,26.8,27.95,76199100,[0 0]
20070928,27.8,28.0,27.0,27.7,44377300,[0 0]
20071001,27.75,28.99,27.5,28.99,69463200,[1 0]
20071002,28.99,28.99,27.71,28.47,12244200,[1 0]
20071003,28.5,28.5,27.7,27.7,13759500,[0 1]
20071004,27.5,27.5,26.52,27.39,4364100,[0 0]
20071005,27.5,29.5,27.5,29.5,31575000,[1 0]
20071008,28.5,28.98,28.5,28.98,3719400,[0 1]
20071009,29.0,29.0,28.5,28.75,18965400,[1 0]
20071010,28.75,28.8,27.65,27.99,14601900,[0 0]
20071011,28.0,28.08,27.0,27.5,27361800,[0 1]
20071015,27.35,27.35,27.35,27.35,5470000,[0 1]
20071016,26.5,26.5,25.99,26.5,27330900,[0 1]
20071017,26.5,26.8,25.95,26.0,74572200,[0 1]
20071018,26.0,26.3,25.6,26.29,50001100,[1 0]
20071019,25.52,25.52,25.5,25.5,4845300,[1 0]
20071022,26.0,26.0,25.21,26.0,30361900,[1 1]
20071023,25.5,26.2,25.3,25.9,53320400,[0 1]
20071024,25.11,25.99,25.11,25.8,19032800,[0 0]
20071025,25.8,25.95,25.8,25.95,8257500,[0 0]
20071026,25.8,26.1,25.3,25.5,55660200,[1 0]
20071029,26.0,26.0,25.4,25.49,52555500,[1 0]
20071030,26.0,26.0,25.15,25.5,18314400,[1 1]
20071031,25.4,25.75,24.75,25.5,26712200,[0 1]
20071101,24.5,25.0,24.03,24.89,27902800,[1 0]
20071105,26.05,27.8,26.0,26.0,185539400,[1 1]
20071106,26.78,27.0,26.55,26.94,112650600,[1 0]
20071107,27.1,27.1,26.05,26.7,10135600,[0 1]
20071108,26.0,26.8,26.0,26.3,15008200,[1 0]
20071109,26.85,26.85,25.21,26.2,17759300,[0 1]
20071112,25.4,26.0,25.0,25.4,23924700,[0 0]
20071113,25.5,26.2,25.0,26.2,44430500,[0 0]
20071114,26.52,26.52,25.51,26.2,9848600,[0 0]
20071116,25.5,26.5,25.5,26.41,25428000,[1 1]
20071119,25.51,25.51,25.11,25.4,8583000,[1 1]
20071121,25.65,25.9,23.51,25.9,29392400,[0 1]
20071122,25.5,25.5,24.5,24.88,5518400,[0 0]
20071123,24.9,25.2,24.4,24.9,7435100,[0 0]
20071126,25.0,25.0,24.5,25.0,42143000,[0 0]
20071127,25.0,25.0,24.0,24.48,30578100,[0 1]
20071128,24.97,24.98,24.49,24.98,51176300,[0 1]
20071129,24.9,24.9,24.3,24.3,5112000,[1 1]
20071130,24.0,24.5,24.0,24.5,43719600,[1 0]
20071203,24.12,24.78,24.0,24.78,59036200,[1 0]
20071204,24.6,24.7,24.06,24.5,63363300,[0 1]
20071205,24.88,27.09,24.88,27.09,119217500,[0 1]
20071206,27.08,28.0,26.5,26.51,60481700,[0 0]
20071207,26.5,26.5,26.01,26.5,1575300,[0 0]
20071210,27.0,27.0,25.51,26.49,71221300,[1 0]
20071211,26.0,26.44,25.7,25.7,23294400,[0 0]
20071212,25.71,26.39,25.65,26.39,11129000,[1 0]
20071213,25.61,26.0,23.5,26.0,10048900,[1 0]
20071214,26.42,27.49,26.42,27.49,19586500,[1 0]
20071217,26.01,27.2,26.01,26.4,52167500,[0 1]
20071218,27.0,27.0,26.2,26.9,49068000,[1 0]
20071219,26.9,27.09,26.9,27.04,7273700,[0 1]
20071220,26.8,27.0,26.5,27.0,12276000,[0 0]
20071221,27.2,29.3,27.2,29.3,38234800,[0 1]
20071226,34.9,37.1,34.53,37.1,611419800,[0 0]
20071227,38.5,39.0,34.0,35.2,270853400,[1 0]
20071228,36.0,36.89,35.3,35.3,72500100,[0 0]
20080102,35.35,36.8,35.3,36.1,98735300,[1 0]
20080103,36.51,39.9,36.51,39.8,283467400,[0 1]
20080104,40.99,42.0,37.6,38.0,311287500,[0 1]
20080107,39.0,39.2,36.5,36.7,114579900,[1 0]
20080108,37.8,38.5,37.0,37.45,99879100,[0 0]
20080109,37.95,40.0,37.68,40.0,162842800,[1 1]
20080110,38.51,39.0,38.51,38.85,62344000,[0 0]
20080111,39.0,39.0,37.0,37.5,142078600,[1 1]
20080114,38.0,38.5,37.1,37.84,30118600,[0 0]
20080115,37.51,37.99,34.7,36.49,70406900,[1 1]
20080116,36.75,36.75,34.7,35.9,36746900,[1 0]
20080117,35.8,36.0,34.8,35.5,22523700,[0 1]
20080118,36.0,36.03,34.0,34.0,22304600,[1 0]
20080121,34.05,34.05,31.5,33.91,23994300,[1 0]
20080122,33.8,33.9,32.5,33.0,36798900,[1 0]
20080123,33.0,35.1,32.51,34.8,249166200,[1 0]
20080124,36.7,36.7,35.5,36.2,59351000,[0 0]
20080128,37.0,38.5,36.2,36.3,32837000,[1 0]
20080129,37.37,37.37,36.2,37.0,11273300,[0 1]
20080130,37.0,37.0,36.0,36.75,94356600,[0 1]
20080131,37.0,37.5,36.0,37.5,92968400,[0 1]
20080201,37.65,37.99,36.5,37.5,23996900,[1 0]
20080206,35.63,36.75,35.63,36.5,15005800,[0 0]
20080207,36.5,36.51,36.5,36.5,36870900,[0 1]
20080208,37.0,37.0,36.1,36.1,8046200,[1 0]
20080211,36.02,36.5,35.8,36.0,23773200,[0 1]
20080212,36.0,36.0,35.0,35.99,31467700,[1 0]
20080213,36.1,36.1,35.0,35.51,19286000,[0 1]
20080214,36.0,36.39,35.97,36.0,67054900,[1 0]
20080215,35.0,35.2,34.51,35.0,114076700,[0 0]
20080218,35.5,35.6,35.5,35.6,50415000,[1 0]
20080219,35.66,36.9,35.66,36.0,65302600,[1 1]
20080220,39.3,39.3,36.9,37.1,597329600,[1 0]
20080221,38.2,38.2,36.8,37.24,228502700,[1 1]
20080222,37.49,37.5,36.4,36.9,34245000,[0 1]
20080225,37.2,37.99,36.5,37.97,156605000,[0 1]
20080226,37.79,37.79,37.2,37.4,79794100,[0 0]
20080227,37.5,37.5,37.3,37.37,191879800,[1 1]
