date,open,max,min,close,volume,y
20050623,20.0,20.0,20.0,20.0,400000,[1 1]
20060406,33.0,33.0,33.0,33.0,330000,[0 1]
20060502,35.0,35.0,35.0,35.0,350000,[1 0]
20060614,35.0,35.0,34.99,34.99,699900,[0 1]
20070104,36.0,38.0,36.0,38.0,62980000,[0 0]
20070105,37.99,40.0,37.99,40.0,21498000,[1 1]
20070108,40.0,40.0,40.0,40.0,8400000,[1 1]
20070109,37.0,37.0,37.0,37.0,1935470000,[0 1]
20070112,40.0,40.0,40.0,40.0,400000,[1 0]
20070115,40.0,40.0,40.0,40.0,1200000,[1 0]
20070117,40.0,40.0,40.0,40.0,400000,[1 0]
20070118,42.0,42.0,42.0,42.0,4200000,[1 0]
20070119,45.0,45.0,45.0,45.0,13500000,[1 1]
20070122,45.0,48.0,45.0,48.0,19050000,[1 0]
20070123,48.17,50.0,48.17,50.0,100230200,[0 0]
20070124,50.0,50.0,47.1,47.5,9421000,[0 0]
20070126,50.0,50.0,47.75,47.75,4910000,[1 1]
20070129,47.75,51.0,47.75,50.0,61667500,[1 0]
20070130,50.0,50.0,50.0,50.0,38000000,[0 1]
20070131,50.5,51.0,50.5,51.0,7600000,[1 1]
20070201,51.0,51.0,50.5,51.0,7125000,[1 1]
20070202,51.0,51.5,51.0,51.5,5615000,[1 1]
20070205,51.5,51.5,51.01,51.01,2045300,[0 1]
20070206,53.0,53.0,53.0,53.0,2650000,[1 1]
20070207,53.0,53.0,53.0,53.0,2650000,[0 1]
20070209,55.0,55.0,55.0,55.0,1650000,[0 1]
20070212,56.01,60.0,56.01,60.0,8601000,[0 0]
20070213,60.0,65.0,60.0,64.11,69199200,[1 1]
20070214,64.11,64.11,64.11,64.11,27567300,[0 0]
20070215,64.11,64.11,63.5,63.5,10837700,[1 0]
20070216,63.5,63.5,63.5,63.5,5080000,[1 1]
20070221,63.5,63.5,63.5,63.5,44450000,[1 1]
20070222,63.5,63.5,63.5,63.5,6985000,[0 0]
20070226,63.76,63.76,63.76,63.76,127520000,[0 0]
20070228,65.5,65.5,65.5,65.5,655000,[1 0]
20070301,67.0,67.0,67.0,67.0,6700000,[0 0]
20070302,67.0,67.0,65.0,67.0,10700000,[1 0]
20070305,67.0,67.0,67.0,67.0,14740000,[0 0]
20070306,70.0,70.0,70.0,70.0,700000,[0 0]
