date,open,max,min,close,volume,y
20040909,17.5,17.5,17.5,17.5,31500,[0 0]
20040927,15.0,15.0,15.0,15.0,1500,[1 1]
20041129,10.14,10.14,10.14,10.14,1014,[0 0]
20050303,20.0,20.0,20.0,20.0,70000,[1 1]
20050311,25.0,25.0,25.0,25.0,162500,[0 1]
20050530,24.0,24.0,24.0,24.0,31200,[0 0]
20050609,16.5,16.5,16.5,16.5,94050,[0 1]
20050628,17.0,17.0,17.0,17.0,22100,[1 0]
20050719,18.0,18.0,18.0,18.0,28800,[0 1]
20050824,15.0,15.0,15.0,15.0,6000,[0 1]
20050906,16.98,16.98,16.98,16.98,35658,[0 0]
20050916,16.0,16.0,16.0,16.0,3200,[1 0]
20050919,16.0,16.0,16.0,16.0,3200,[0 1]
20050928,16.0,16.0,16.0,16.0,9600,[1 0]
20051010,17.0,17.0,17.0,17.0,168300,[1 0]
20060207,19.0,19.0,19.0,19.0,19000,[0 0]
20060210,19.0,19.0,19.0,19.0,11400,[1 0]
20060215,19.0,19.0,19.0,19.0,123500,[0 1]
20060322,26.0,26.0,26.0,26.0,13000,[0 1]
20060323,26.0,26.0,26.0,26.0,13000,[0 1]
20060324,28.5,28.5,28.5,28.5,28500,[1 0]
20060329,26.0,26.0,26.0,26.0,223600,[1 0]
20060331,25.51,25.51,25.51,25.51,45918,[1 1]
20060515,29.5,29.5,29.5,29.5,2950,[0 1]
20060517,26.0,26.0,25.0,25.0,48000,[0 0]
20060518,25.0,25.0,25.0,25.0,105000,[0 1]
20060519,26.0,26.0,26.0,26.0,130000,[1 0]
20060529,27.5,27.5,27.5,27.5,231000,[1 1]
20060530,26.0,26.0,26.0,26.0,70200,[0 1]
20060605,28.0,28.0,28.0,28.0,112000,[0 1]
20060607,28.0,28.0,28.0,28.0,11200,[1 0]
20060613,27.4,27.4,27.4,27.4,13700,[0 0]
20060626,26.0,26.0,26.0,26.0,2600,[1 1]
20060713,27.0,27.0,27.0,27.0,24300,[1 0]
20060714,26.0,26.0,26.0,26.0,182000,[0 0]
20060718,26.0,26.0,26.0,26.0,13000,[1 1]
20060724,28.0,28.0,28.0,28.0,11200,[0 0]
20060815,26.0,26.0,26.0,26.0,5200,[0 0]
20060817,27.0,27.0,27.0,27.0,307800,[1 0]
20060822,26.0,26.0,25.0,25.0,75300,[0 0]
20060831,27.45,27.45,27.45,27.45,13725,[0 0]
20060922,27.5,27.5,27.45,27.5,370825,[1 0]
20060926,27.5,27.5,27.0,27.0,153700,[0 1]
20061103,31.0,31.0,31.0,31.0,37200,[0 0]
20061109,30.0,30.0,30.0,30.0,60000,[1 0]
20061113,30.4,30.4,30.4,30.4,212800,[0 1]
20061114,30.4,30.5,30.4,30.5,228050,[0 0]
20061128,31.22,31.22,30.0,30.0,18610,[1 0]
20070103,38.0,38.9,38.0,38.9,77710,[1 0]
20070104,38.9,38.9,38.9,38.9,124480,[1 0]
20070108,38.9,38.9,38.9,38.9,268410,[1 0]
20070109,38.1,38.1,38.0,38.0,220900,[0 0]
20070110,38.4,38.4,38.4,38.4,15360,[1 1]
20070117,45.82,45.82,45.82,45.82,68721,[0 0]
20070118,43.0,43.0,43.0,43.0,296700,[1 1]
20070122,45.83,45.83,44.0,44.0,103396,[0 1]
20070206,52.0,52.0,52.0,52.0,15600,[0 1]
20070207,50.0,50.0,50.0,50.0,60000,[0 1]
20070213,60.0,60.0,60.0,60.0,90000,[0 0]
20070214,60.0,60.0,60.0,60.0,258000,[1 0]
20070216,61.8,61.8,61.8,61.8,543840,[1 0]
20070302,70.0,70.0,70.0,70.0,14000,[0 1]
20070305,70.0,70.0,70.0,70.0,70000,[1 1]
20070306,70.0,70.0,70.0,70.0,140000,[1 0]
20070307,70.0,70.0,70.0,70.0,560000,[1 0]
20070312,75.0,75.0,75.0,75.0,412500,[0 1]
20070322,77.01,77.01,77.01,77.01,7701,[1 0]
20070413,79.9,79.9,79.9,79.9,15980,[1 0]
20070417,79.5,79.5,79.5,79.5,15900,[1 0]
20070418,78.0,78.0,78.0,78.0,54600,[1 0]
20070419,78.0,78.0,78.0,78.0,23400,[1 1]
20070424,80.0,80.0,80.0,80.0,488000,[0 1]
20070517,88.0,88.0,88.0,88.0,132000,[0 1]
20070522,88.0,88.0,88.0,88.0,140800,[0 0]
20070605,88.0,88.0,88.0,88.0,17600,[1 1]
20070606,87.9,87.9,87.9,87.9,131850,[0 0]
20070608,87.0,87.0,87.0,87.0,26100,[1 1]
20070613,88.0,90.0,88.0,90.0,874100,[0 1]
20070618,89.0,89.0,88.43,88.43,62129,[0 1]
20070625,88.1,88.1,88.1,88.1,61670,[0 1]
20070628,85.6,87.0,85.6,87.0,258200,[0 1]
20070629,87.0,87.0,86.9,86.9,113000,[0 0]
20070702,88.0,90.0,86.5,86.5,355800,[0 1]
20070705,90.0,90.0,89.9,89.9,134990,[1 1]
20070706,89.9,89.9,89.9,89.9,179800,[0 1]
20070710,87.0,90.0,86.5,87.0,966570,[0 1]
20070711,93.28,93.28,87.99,88.0,217149,[0 0]
20070712,93.2,93.2,87.0,87.0,247940,[1 0]
20070713,86.5,86.5,86.5,86.5,328700,[1 1]
20070716,89.0,95.0,89.0,90.0,990850,[0 0]
20070719,105.6,105.6,105.6,105.6,31680,[0 1]
20070720,103.0,105.6,100.0,100.0,112660,[1 1]
20070723,100.0,100.0,97.0,97.0,441500,[0 0]
20070724,100.0,100.0,100.0,100.0,190000,[1 1]
20070725,100.0,100.0,100.0,100.0,90000,[1 0]
20070726,100.0,100.0,98.0,98.0,39800,[1 0]
20070727,100.0,100.0,100.0,100.0,50000,[1 0]
20070731,100.0,100.0,95.0,95.0,355500,[1 0]
20070802,96.0,96.0,90.0,90.0,27600,[1 1]
20070803,92.0,92.0,90.01,90.01,63604,[0 1]
20070807,100.0,100.0,100.0,100.0,369550,[1 0]
20070808,99.0,99.0,99.0,99.0,69300,[0 0]
20070809,99.0,99.0,99.0,99.0,49500,[1 0]
20070813,91.0,91.02,90.02,90.02,955126,[1 0]
20070814,100.0,101.5,97.0,101.5,371037,[1 0]
20070816,85.05,85.05,85.01,85.01,663324,[1 0]
20070817,90.0,90.0,89.99,89.99,476997,[1 0]
20070820,89.99,89.99,89.99,89.99,80991,[1 0]
20070821,89.9,90.5,84.01,84.01,1637241,[0 1]
20070822,93.0,93.0,92.71,92.71,241191,[0 1]
20070823,92.0,95.0,92.0,95.0,797700,[1 1]
20070827,90.0,90.0,90.0,90.0,36000,[0 1]
20070829,90.99,90.99,90.99,90.99,18198,[0 1]
20070831,85.55,91.0,85.55,88.69,507548,[0 1]
20070903,90.99,90.99,90.98,90.98,172866,[1 0]
20070904,88.0,88.0,88.0,88.0,8800,[0 1]
20070911,90.5,90.5,90.5,90.5,90500,[1 0]
20070912,89.0,89.0,89.0,89.0,222500,[1 1]
20070917,86.0,86.0,86.0,86.0,60200,[1 0]
20070918,88.99,88.99,88.99,88.99,17798,[1 0]
20070924,87.99,87.99,84.55,84.55,25709,[0 1]
20070925,89.99,89.99,89.99,89.99,179980,[0 1]
20070927,88.0,88.0,88.0,88.0,211200,[1 0]
20071003,89.0,89.0,85.5,85.5,234700,[1 1]
20071004,90.0,90.0,88.0,88.0,149800,[1 0]
20071005,88.01,88.01,88.01,88.01,105612,[0 1]
20071010,88.99,88.99,88.99,88.99,53394,[0 0]
20071011,89.0,89.0,89.0,89.0,160200,[1 0]
20071015,88.0,88.0,88.0,88.0,88000,[0 1]
20071018,88.99,89.0,88.99,89.0,106798,[0 1]
20071022,89.0,89.0,89.0,89.0,605200,[0 0]
20071025,91.1,91.1,85.08,85.08,840406,[0 1]
20071029,85.2,85.2,85.2,85.2,213000,[1 1]
20071030,96.0,96.0,96.0,96.0,710400,[0 0]
20071031,93.0,93.0,93.0,93.0,37200,[1 0]
20071105,97.0,97.0,97.0,97.0,281300,[1 1]
20071107,94.95,94.95,94.95,94.95,189900,[0 0]
20071108,98.88,98.88,97.0,97.0,285812,[0 0]
20071113,96.0,96.0,86.2,86.2,749160,[0 0]
20071114,90.0,90.0,90.0,90.0,27000,[1 1]
20071127,85.0,85.0,85.0,85.0,8500,[1 1]
20071128,85.08,85.08,85.08,85.08,102096,[0 1]
20071204,90.0,90.0,90.0,90.0,207000,[0 0]
20071210,90.0,90.0,90.0,90.0,162000,[1 0]
20071218,97.0,97.0,97.0,97.0,48500,[1 0]
20080111,90.0,90.0,90.0,90.0,90000,[0 1]
20080114,90.0,95.0,90.0,95.0,388500,[1 0]
20080117,85.0,89.0,82.0,89.0,1179700,[1 1]
20080118,88.0,88.0,88.0,88.0,17600,[0 1]
20080122,87.0,90.0,86.0,90.0,1081900,[0 0]
20080123,91.0,91.0,91.0,91.0,27300,[0 0]
20080124,94.0,94.0,90.99,90.99,289895,[0 1]
20080128,82.5,82.5,82.5,82.5,24750,[0 1]
20080131,83.6,84.8,83.1,84.8,108350,[0 0]
20080212,85.0,85.0,85.0,85.0,246500,[0 1]
20080218,83.1,83.1,83.1,83.1,16620,[1 0]
20080226,83.1,87.0,83.0,87.0,159310,[0 1]
20080307,84.0,84.0,83.0,83.0,712600,[1 1]
20080310,84.0,84.0,84.0,84.0,25200,[0 1]
20080314,82.0,82.0,82.0,82.0,41000,[0 1]
20080319,83.8,83.8,83.8,83.8,553080,[0 1]
20080320,82.0,82.0,78.0,78.0,517308,[0 0]
20080326,80.55,80.55,80.55,80.55,128880,[1 0]
20080327,80.0,80.55,80.0,80.55,442860,[1 0]
20080328,78.0,78.0,78.0,78.0,54600,[1 1]
20080402,73.65,73.65,72.41,72.41,43826,[0 1]
20080404,78.9,78.9,78.0,78.0,211680,[0 0]
20080408,87.9,87.9,87.9,87.9,43950,[0 1]
20080409,85.0,90.0,85.0,90.0,89000,[0 1]
20080416,72.85,72.85,63.0,63.0,47055,[1 0]
20080417,67.5,67.5,67.5,67.5,27000,[0 1]
20080418,67.5,67.5,67.5,67.5,256500,[0 0]
20080424,74.79,74.79,74.79,74.79,104706,[1 0]
20080428,69.0,69.0,67.8,67.8,720540,[1 0]
20080429,67.0,67.0,67.0,67.0,46900,[0 1]
20080502,75.0,75.0,75.0,75.0,15000,[0 0]
20080505,66.0,66.0,66.0,66.0,528000,[1 0]
20080508,70.0,70.0,70.0,70.0,49000,[1 0]
20080509,72.0,80.0,72.0,80.0,369600,[1 1]
20080521,71.12,71.12,70.0,70.0,35224,[0 0]
20080523,71.15,71.15,70.0,70.0,91690,[1 0]
20080528,70.0,70.0,67.0,67.0,772300,[1 0]
20080603,70.0,70.0,67.5,67.5,234500,[0 0]
20080605,72.0,72.8,72.0,72.8,109040,[1 0]
20080611,73.9,73.9,73.2,73.2,314900,[0 0]
20080612,68.51,78.9,67.51,69.0,1072609,[1 0]
20080613,67.36,67.36,67.36,67.36,13472,[1 0]
20080616,68.91,68.91,68.91,68.91,172275,[0 1]
20080617,68.99,70.0,68.99,70.0,138990,[1 1]
20080619,70.0,73.79,70.0,70.01,360980,[0 1]
20080620,69.51,69.51,69.51,69.51,34755,[0 0]
20080623,73.9,74.98,73.9,74.98,402960,[1 1]
20080624,72.9,72.95,68.01,68.01,256196,[0 0]
20080625,70.99,73.42,66.52,73.42,863002,[0 0]
20080626,71.98,71.98,69.5,70.0,452896,[1 0]
20080627,72.69,72.69,72.69,72.69,29076,[0 0]
20080701,69.01,69.01,65.51,65.6,429296,[0 0]
20080702,68.99,69.99,66.15,66.15,212233,[0 0]
20080703,69.01,69.01,69.01,69.01,76295,[1 0]
20080704,69.01,69.01,69.01,69.01,20703,[1 1]
20080711,70.79,70.79,70.79,70.79,21237,[1 0]
20080714,70.99,70.99,70.99,70.99,14198,[1 1]
