date,open,max,min,close,volume,y
20091218,14.47,14.55,14.2,14.5,1423126,[1 0]
20091221,14.6,15.1,14.52,14.7,1829578,[1 1]
20091222,14.8,14.85,14.54,14.55,3166252,[0 1]
20091223,14.7,14.91,14.7,14.91,2643434,[1 0]
20091228,14.95,15.31,14.95,15.22,6246508,[1 1]
20091229,15.28,15.4,15.01,15.01,3784027,[0 0]
20091230,15.0,15.2,14.9,15.2,2154116,[0 0]
20100104,15.3,15.71,15.11,15.71,8191711,[1 0]
20100105,15.6,15.76,15.34,15.46,4550049,[1 0]
20100106,15.6,15.74,15.47,15.5,4681274,[0 1]
20100107,15.6,16.18,15.5,16.1,8575745,[1 0]
20100108,16.11,16.3,15.73,15.73,5656266,[1 0]
20100111,15.7,16.2,15.4,15.46,4103391,[0 1]
20100112,15.5,15.5,15.02,15.13,3686325,[1 1]
20100113,15.07,15.34,14.8,14.91,5529847,[0 0]
20100114,15.01,15.2,14.93,15.0,2120414,[0 1]
20100115,15.0,15.05,14.8,14.86,2596810,[1 0]
20100118,15.15,15.34,15.11,15.29,3030452,[0 0]
20100119,15.25,15.28,15.01,15.01,2503652,[1 0]
20100120,15.1,15.1,14.55,14.57,3203433,[1 0]
20100121,14.75,14.95,14.4,14.95,3948347,[0 0]
20100122,14.5,15.41,14.47,15.35,4238705,[1 1]
20100126,15.3,15.61,14.62,15.05,3794664,[1 0]
20100127,15.15,15.34,14.92,15.11,2132115,[1 1]
20100128,15.1,15.21,14.8,15.05,2114931,[1 0]
20100129,15.08,15.49,14.7,14.87,2498592,[1 1]
20100201,14.9,15.0,14.82,14.93,1945181,[0 1]
20100202,14.93,15.23,14.91,15.03,3315040,[0 1]
20100203,15.15,15.54,15.02,15.5,6082944,[0 1]
20100204,15.53,15.53,14.95,15.19,4137977,[0 1]
20100205,14.75,15.05,14.05,14.3,4853683,[0 0]
20100208,14.63,14.63,13.99,14.08,4159080,[0 1]
20100209,14.22,14.27,14.07,14.15,1969473,[0 1]
20100210,14.26,14.36,14.0,14.36,2959992,[1 0]
20100211,14.12,14.27,14.01,14.23,1397241,[0 1]
20100212,14.33,14.33,13.85,14.0,2017068,[0 1]
20100217,14.1,14.29,13.73,13.8,3680229,[0 0]
20100218,13.83,14.38,13.83,14.38,2287664,[0 1]
20100219,14.4,14.47,14.19,14.3,1853886,[1 0]
20100222,14.25,14.37,14.01,14.37,2003809,[1 0]
20100223,14.21,14.3,14.1,14.29,2179194,[1 0]
20100224,14.25,14.32,14.12,14.25,1490323,[1 1]
20100225,14.08,14.12,13.9,14.04,2178114,[0 1]
20100226,13.92,14.12,13.92,14.08,1996007,[0 0]
20100301,14.08,14.6,14.08,14.6,3499744,[1 0]
20100302,14.62,14.75,14.52,14.75,2543798,[0 0]
20100303,14.7,14.76,14.5,14.62,2966876,[1 1]
20100304,14.45,14.7,14.3,14.7,2119183,[0 0]
20100305,14.5,14.96,14.5,14.96,3892866,[1 0]
20100308,14.86,14.98,14.66,14.98,2075827,[0 1]
20100309,14.7,14.95,14.6,14.82,2373085,[1 0]
20100310,14.82,15.04,14.82,14.98,4275222,[1 1]
20100311,14.97,15.17,14.88,15.09,4773003,[1 1]
20100312,15.1,15.19,14.9,14.9,2061342,[0 1]
20100325,16.89,17.22,16.51,16.56,5120592,[1 1]
20100326,16.5,16.76,15.9,16.21,3488963,[1 0]
20100329,16.6,16.6,15.96,16.3,3131830,[0 0]
20100330,16.24,16.99,16.01,16.03,3731410,[1 0]
20100331,16.5,17.05,16.25,16.9,6083611,[1 0]
20100401,16.5,17.21,16.5,16.5,9273597,[0 0]
20100405,16.8,17.2,16.5,16.9,7429090,[1 1]
20100406,16.71,16.74,16.1,16.19,4659233,[0 1]
20100407,16.2,16.35,15.63,15.79,5911494,[1 0]
20100408,15.67,16.15,15.2,15.62,4513587,[0 0]
20100409,16.12,16.21,15.74,15.76,5511283,[1 1]
20100412,15.75,15.96,15.62,15.65,4409296,[0 1]
20100413,15.67,16.29,15.67,16.29,5675123,[0 0]
20100414,16.17,16.5,16.13,16.47,3574473,[1 0]
20100415,16.22,16.22,15.9,16.15,3033794,[1 0]
20100416,15.6,16.39,15.6,16.12,3229084,[0 1]
20100419,16.0,16.5,15.89,16.5,3293676,[1 0]
20100420,16.5,16.59,16.25,16.28,3271940,[1 0]
20100422,16.38,17.05,16.02,17.03,8185096,[0 0]
20100423,17.1,17.22,16.75,16.78,4644375,[1 1]
20100426,16.81,16.81,16.44,16.5,4055016,[0 0]
20100427,16.62,16.94,16.08,16.21,4079443,[0 1]
20100428,16.3,16.99,16.25,16.81,5322119,[0 0]
