date,open,max,min,close,volume,y
20120123,33.99,33.99,33.85,33.85,305504,[1 1]
20120127,35.0,35.0,34.8,35.0,639233,[1 0]
20120130,35.0,35.51,35.0,35.5,415048,[1 0]
20120131,35.97,36.0,35.97,36.0,403161,[0 1]
20120201,35.49,35.49,35.49,35.49,177450,[0 1]
20120202,36.0,36.25,36.0,36.2,249749,[1 0]
20120203,36.21,36.21,36.2,36.2,141181,[1 1]
20120206,35.6,36.0,35.51,36.0,207348,[1 1]
20120209,36.04,36.04,36.04,36.04,97308,[1 1]
20120210,35.0,35.0,34.2,34.2,51635,[1 0]
20120213,35.3,35.86,35.3,35.86,49644,[1 0]
20120214,36.0,36.0,36.0,36.0,3600,[0 0]
20120215,35.84,35.84,35.63,35.63,143074,[0 1]
20120216,36.0,36.1,36.0,36.0,64940,[0 1]
20120217,37.33,37.59,37.33,37.59,48732,[0 0]
20120222,39.0,39.0,39.0,39.0,249600,[1 1]
20120223,39.01,39.5,39.0,39.5,305208,[0 1]
20120224,40.32,40.32,40.0,40.0,686600,[0 1]
20120227,40.2,40.2,40.2,40.2,24120,[0 1]
20120228,40.0,41.94,40.0,41.94,229506,[1 0]
20120229,40.0,40.0,40.0,40.0,100000,[1 1]
20120302,40.14,40.14,40.14,40.14,12042,[0 1]
20120305,40.0,40.25,39.67,39.67,1021069,[0 0]
20120306,39.4,39.4,39.2,39.2,7860,[0 1]
20120307,39.01,39.01,39.0,39.0,15601,[1 1]
20120308,39.0,39.0,38.85,38.85,198525,[0 0]
20120309,40.0,40.0,40.0,40.0,144000,[1 0]
20120312,39.27,39.27,39.27,39.27,196350,[0 0]
20120313,39.28,39.49,39.28,39.49,291924,[0 0]
20120316,39.0,39.65,38.25,38.25,389165,[0 0]
20120319,38.4,38.4,37.66,37.66,188448,[1 1]
20120320,38.51,38.98,38.15,38.15,572111,[0 0]
20120321,39.0,40.0,38.57,40.0,681375,[0 1]
20120322,39.93,39.93,39.93,39.93,199650,[1 1]
20120327,40.48,40.5,40.47,40.5,206475,[0 0]
20120328,40.15,40.15,40.15,40.15,40150,[0 1]
20120329,40.5,40.5,40.5,40.5,4050,[1 0]
20120330,39.9,39.9,39.9,39.9,199500,[0 0]
20120402,40.07,41.5,40.07,41.5,693858,[1 0]
20120403,42.0,42.0,42.0,42.0,373800,[0 0]
20120404,41.99,42.0,41.7,41.8,689229,[1 0]
20120405,41.83,41.83,41.83,41.83,209150,[1 1]
20120410,42.55,42.55,42.0,42.0,50685,[0 0]
20120411,42.0,43.05,41.41,41.41,967896,[0 1]
20120412,42.8,43.25,42.8,43.25,308655,[0 1]
20120413,42.84,42.84,42.48,42.48,21276,[1 0]
20120416,42.0,42.0,41.55,41.55,208245,[0 0]
20120417,40.73,41.0,40.73,41.0,228250,[0 0]
20120418,42.1,42.1,41.12,41.12,210491,[0 0]
20120419,42.0,42.64,42.0,42.64,8464,[0 1]
20120420,42.29,43.0,42.29,43.0,170580,[1 0]
20120424,42.24,42.24,42.24,42.24,4224,[0 1]
