date,open,max,min,close,volume,y
20070615,37.99,37.99,36.9,36.9,623820300,[1 1]
20070618,38.0,38.0,36.61,37.0,2086732800,[0 1]
20070619,37.39,38.49,37.25,38.0,413278300,[0 0]
20070620,38.58,39.0,37.5,37.5,200975000,[1 0]
20070621,38.6,38.6,38.45,38.58,36612700,[1 1]
20070622,38.5,38.58,38.0,38.0,42589100,[1 0]
20070625,38.0,38.1,37.5,37.5,127503500,[0 1]
20070626,37.5,39.4,37.5,37.55,59835400,[1 0]
20070627,37.56,37.61,36.04,37.48,398433200,[1 1]
20070628,37.5,41.01,37.5,40.2,8463759000,[0 0]
20070629,40.1,42.01,39.99,42.01,1916655600,[1 0]
20070702,41.9,44.5,41.5,44.0,2528001300,[0 0]
20070703,43.99,43.99,41.6,43.0,467566000,[0 0]
20070704,43.0,43.6,42.8,42.8,336547400,[1 0]
20070705,43.16,43.52,43.15,43.25,106044100,[1 1]
20070706,44.0,45.0,43.9,43.99,264867000,[0 0]
20070710,44.0,44.01,43.0,43.38,201365800,[1 0]
20070711,44.19,44.2,43.24,43.71,396512800,[0 0]
20070712,44.76,44.8,43.8,44.0,318151300,[1 0]
20070713,44.2,44.2,43.45,43.5,236721800,[1 0]
20070716,44.2,44.39,43.0,43.17,452828100,[0 0]
20070717,44.0,44.0,43.51,43.75,745017600,[0 1]
20070718,43.75,43.75,42.56,42.56,301295000,[1 1]
20070719,43.86,43.86,42.01,42.15,527238500,[1 0]
20070720,42.15,42.15,41.8,41.9,810701500,[0 0]
20070723,42.0,42.97,40.91,41.1,320855400,[0 1]
20070724,41.1,41.1,39.5,39.51,144592800,[0 1]
20070725,40.01,40.01,39.5,39.7,435625400,[0 0]
20070726,39.7,39.7,38.0,38.8,1193875000,[0 1]
20070727,38.89,40.0,38.8,39.4,491389300,[0 1]
20070730,40.55,40.55,40.0,40.05,183123100,[0 1]
20070731,41.0,41.0,39.5,39.5,147313400,[0 0]
20070801,39.3,39.3,38.0,39.0,317874000,[1 1]
20070802,40.1,40.1,38.5,39.5,2212118800,[1 0]
20070803,39.9,40.0,39.0,39.0,241205800,[1 1]
20070806,39.01,39.01,38.0,39.0,55236100,[0 1]
20070807,39.0,39.0,37.85,38.4,190109200,[0 1]
20070808,39.5,39.59,38.3,39.0,115707600,[0 0]
20070809,38.5,39.1,37.7,37.85,403751300,[0 1]
20070810,37.56,39.96,36.5,39.96,259402500,[0 1]
20070813,40.3,40.79,39.0,39.5,38954300,[0 0]
20070814,39.6,39.6,37.75,37.99,54463000,[0 0]
20070815,37.9,38.0,35.0,36.6,182752300,[1 0]
20070816,35.99,35.99,32.1,34.85,302551500,[0 1]
20070817,34.5,35.51,33.4,35.1,489342900,[1 0]
20070820,36.0,37.49,35.0,36.0,553325900,[1 0]
20070821,36.2,37.0,35.87,37.0,175557300,[1 0]
20070822,37.99,38.0,37.0,37.99,136275600,[1 0]
20070823,37.97,38.0,37.0,37.89,896909100,[1 1]
20070824,37.5,37.5,36.45,37.48,125472100,[0 0]
20070827,37.69,37.69,37.05,37.29,83867500,[1 0]
20070828,37.27,37.3,36.5,36.5,255747900,[0 1]
20070829,37.0,37.0,36.41,37.0,747174700,[1 0]
20070830,37.01,37.01,36.0,36.0,234905900,[0 1]
20070831,36.51,38.0,36.5,38.0,224515100,[0 0]
20070903,38.0,38.0,37.45,37.84,308461200,[0 1]
20070904,37.84,37.84,36.55,36.79,465294800,[0 1]
20070905,36.99,36.99,35.4,35.99,333305100,[0 1]
20070906,36.2,36.2,35.8,36.0,175333900,[1 1]
20070910,35.99,35.99,35.0,35.46,208335700,[1 0]
20070911,35.29,35.6,35.29,35.58,213628800,[0 0]
20070912,35.26,35.4,34.6,34.9,531279200,[0 0]
20070913,35.5,36.0,35.17,35.95,169069800,[0 1]
20070914,36.0,36.2,35.3,35.5,204857700,[1 1]
20070917,35.5,35.5,34.33,34.8,245421400,[0 0]
20070918,35.5,36.75,34.61,36.66,307417900,[1 1]
20070919,36.8,37.7,36.8,37.4,201574200,[0 1]
20070920,37.49,37.79,36.1,37.79,135836300,[0 1]
20070921,37.79,38.0,37.01,37.5,242044300,[1 1]
20070924,37.99,38.49,37.72,38.49,255683900,[0 0]
20070925,38.48,39.84,37.9,39.84,134381300,[0 0]
20070926,39.6,39.9,39.25,39.8,192328000,[0 0]
20070927,40.0,40.0,39.5,39.9,668421800,[1 0]
20070928,39.96,39.96,38.67,39.5,548021300,[1 0]
20071001,39.94,39.94,38.5,39.89,178327400,[0 0]
20071002,39.45,39.45,38.6,39.4,91891500,[1 0]
20071003,38.4,38.9,37.6,38.9,393253000,[0 1]
20071004,37.8,38.69,37.5,38.69,596133900,[1 0]
20071005,39.0,39.88,38.2,39.88,428775700,[1 0]
20071008,39.24,39.27,38.4,38.9,164527300,[1 1]
20071009,39.6,39.61,39.0,39.45,229323500,[1 0]
20071010,39.4,39.47,38.25,38.3,205483100,[1 0]
20071011,38.5,38.5,36.7,36.7,251274300,[1 1]
20071015,37.5,37.83,36.7,36.7,398084400,[1 0]
20071016,36.99,36.99,36.05,36.2,375589000,[1 0]
20071017,36.5,37.5,35.76,37.5,483082200,[0 0]
20071018,36.85,36.85,36.2,36.3,447317900,[1 1]
20071019,36.99,36.99,35.51,35.65,473943700,[1 0]
20071022,35.69,36.44,34.01,36.4,152568300,[0 0]
20071023,36.98,37.0,35.98,36.5,258833300,[1 0]
20071024,36.5,36.5,35.55,35.7,107773400,[1 0]
20071025,36.01,36.69,35.68,36.0,144302800,[0 1]
20071026,36.2,36.29,35.5,36.0,400241800,[0 0]
20071029,36.21,36.8,36.1,36.5,342593800,[0 0]
20071030,36.6,36.6,35.8,36.3,173692300,[0 1]
20071031,36.1,36.89,35.77,36.89,602031500,[0 1]
20071101,36.3,36.8,36.1,36.23,102303000,[1 1]
20071105,36.2,37.45,36.0,37.0,287205200,[1 0]
20071106,37.0,37.8,37.0,37.8,68915900,[0 1]
20071107,37.8,38.01,37.32,37.32,224278200,[0 0]
20071108,38.02,38.4,37.0,37.0,300423700,[0 0]
20071109,37.3,38.0,36.3,37.94,112865700,[1 1]
20071112,37.49,37.49,36.5,36.6,178092900,[1 1]
20071113,37.12,37.12,36.39,36.39,188681200,[0 1]
20071114,36.8,37.0,36.5,36.6,193780400,[1 1]
20071116,37.19,37.5,36.4,37.0,208178300,[0 0]
20071119,37.15,37.15,36.0,36.46,176752200,[0 0]
20071121,36.0,36.2,34.15,35.69,548513700,[1 1]
20071122,35.0,35.7,34.76,35.7,62425200,[1 1]
20071123,35.5,35.5,34.72,35.5,64620600,[0 0]
20071126,34.8,34.89,34.0,34.0,29624600,[1 1]
20071127,33.0,34.0,32.9,33.75,166899100,[1 0]
20071128,34.75,35.45,34.05,35.45,135008700,[1 0]
20071129,35.61,35.75,34.55,35.15,69662500,[1 1]
20071130,36.0,38.0,35.8,37.99,423735400,[1 0]
20071203,37.89,37.89,36.52,36.6,189473000,[1 0]
20071204,36.02,36.88,36.02,36.75,41448400,[1 0]
20071205,37.25,37.87,37.19,37.74,387423800,[0 0]
20071206,37.7,38.3,36.91,38.3,104151700,[1 0]
20071207,37.81,38.45,37.5,38.45,251531700,[1 0]
20071210,38.62,38.62,36.01,37.3,680720600,[0 0]
20071211,37.4,37.91,35.85,35.9,308957200,[1 0]
20071212,36.0,36.5,35.0,35.3,450152400,[0 1]
20071213,34.85,34.85,33.75,34.0,100166700,[0 0]
20071214,33.76,34.75,33.6,33.6,134691400,[0 0]
20071217,33.8,33.8,32.41,32.7,39788500,[1 1]
20071218,33.61,33.61,32.7,33.15,270452400,[1 1]
20071219,33.84,33.9,33.1,33.66,91522400,[1 0]
20071220,33.85,33.85,33.1,33.75,453851200,[1 0]
20071221,34.0,34.0,32.2,32.97,489000500,[1 0]
20071226,33.69,33.69,31.8,32.5,399854900,[0 0]
20071227,33.0,33.27,32.61,32.77,265132000,[0 1]
20071228,33.0,33.79,32.71,33.79,314094700,[0 0]
20080102,32.71,33.15,32.67,33.0,317828200,[0 0]
20080103,33.0,33.08,32.65,33.08,115698000,[0 0]
20080104,33.28,33.28,31.8,31.8,126489500,[1 0]
20080107,31.9,32.2,31.8,32.0,48841900,[0 0]
20080108,32.6,33.0,32.6,32.85,228904400,[0 1]
20080109,33.0,34.0,32.95,33.41,514788100,[1 0]
20080110,33.6,33.9,32.75,33.29,114938500,[1 0]
20080111,32.86,32.87,32.5,32.5,131600600,[1 1]
20080114,32.66,32.66,31.1,31.8,236138900,[0 1]
20080115,31.5,31.96,31.0,31.0,35704500,[0 1]
20080116,30.86,31.15,30.42,30.9,123041900,[0 0]
20080117,30.9,31.2,29.8,29.8,98858300,[0 1]
20080118,30.0,30.99,29.8,30.2,46343500,[0 0]
20080121,29.7,29.7,28.1,28.5,131374700,[0 0]
20080122,28.4,30.0,28.4,28.68,233229200,[0 0]
20080123,29.1,29.1,27.5,28.0,49848600,[0 0]
20080124,28.41,29.0,28.0,28.0,78256100,[1 1]
20080128,28.0,28.3,27.85,28.0,76352400,[1 0]
20080129,28.88,28.88,28.5,28.5,13412800,[1 1]
20080130,28.2,28.2,27.0,27.4,176137300,[0 1]
20080131,27.01,27.3,26.8,26.92,38926900,[0 1]
20080201,27.25,27.25,26.84,27.2,53185400,[0 0]
20080206,27.2,27.8,27.1,27.5,130607800,[1 1]
20080207,27.31,27.5,26.5,26.5,48539300,[0 0]
20080208,27.42,27.5,27.15,27.2,59375600,[0 1]
20080211,27.01,27.65,27.01,27.05,307130300,[0 0]
20080212,27.95,28.5,27.95,28.45,303521000,[0 1]
20080213,28.84,29.11,28.64,28.89,403128900,[1 0]
20080214,29.11,29.4,28.97,29.0,494090400,[1 1]
20080215,28.98,29.0,28.6,28.6,120439100,[1 1]
20080218,28.6,29.27,28.25,28.8,504441500,[0 0]
20080219,28.9,28.9,28.2,28.2,78017300,[0 0]
20080220,28.56,28.56,27.82,28.31,146032300,[1 0]
20080221,28.89,28.89,28.55,28.81,242099200,[1 1]
20080222,28.9,29.5,28.75,29.39,238546200,[1 0]
20080225,29.45,29.5,28.8,29.35,119367300,[1 0]
20080226,29.5,31.17,29.49,30.51,188572300,[1 0]
20080227,30.6,31.19,30.0,30.4,171639500,[1 0]
20080228,30.32,30.5,29.95,30.1,107054800,[1 1]
20080229,30.1,30.1,29.3,30.0,438456200,[1 0]
20080303,29.99,30.95,29.99,30.64,138167600,[1 0]
20080304,31.39,31.4,30.71,31.29,235786900,[1 0]
20080305,31.1,31.8,31.1,31.5,905239400,[0 0]
20080306,31.5,31.77,31.0,31.0,305798200,[1 0]
20080307,30.48,30.48,28.7,28.86,324627700,[1 1]
20080310,29.72,29.72,27.81,28.05,548896300,[0 0]
20080311,28.51,28.94,28.16,28.45,91679100,[1 0]
20080312,29.19,29.5,28.44,28.45,121153200,[0 0]
20080313,28.39,28.7,27.55,28.7,265990500,[1 0]
20080314,28.5,28.5,28.09,28.5,43480600,[0 0]
20080317,28.0,28.0,27.1,27.5,638827300,[0 0]
20080318,28.26,28.26,27.35,27.82,331745300,[0 1]
20080319,28.0,28.0,27.45,27.51,131984900,[0 1]
20080320,27.5,27.9,26.92,27.49,341057700,[1 1]
20080324,27.11,27.7,27.1,27.2,101766800,[0 0]
20080325,27.36,27.6,27.05,27.05,163849700,[1 1]
20080326,27.1,27.1,25.9,26.18,631951800,[1 0]
20080327,26.73,27.48,26.57,27.2,213248800,[1 1]
20080328,27.27,27.3,27.0,27.1,225830900,[1 0]
20080331,27.86,27.86,27.0,27.5,435621600,[0 0]
20080401,27.51,28.65,27.51,28.5,126398600,[1 0]
20080402,28.65,29.8,28.65,29.8,450834900,[1 1]
20080403,29.75,30.3,29.5,30.0,373564200,[0 0]
20080404,30.01,30.25,29.52,29.54,183054200,[0 0]
20080407,30.09,31.0,28.22,28.4,272259300,[0 0]
20080408,28.4,29.8,28.3,29.7,179537400,[0 1]
20080409,29.5,30.0,29.4,29.5,182922000,[1 1]
20080410,29.5,29.69,28.5,28.6,163773800,[1 0]
20080411,28.61,28.62,28.5,28.5,12862400,[1 1]
20080414,28.51,28.51,28.01,28.01,53527900,[1 0]
20080415,28.02,28.4,28.02,28.4,19547600,[1 0]
20080416,28.4,28.99,28.35,28.66,108637800,[0 1]
20080417,28.8,29.7,28.8,29.47,65959400,[0 1]
20080418,30.0,30.53,30.0,30.48,43385300,[0 1]
20080422,31.09,31.09,29.9,29.9,133516900,[1 0]
20080423,30.49,30.54,30.0,30.54,74649900,[1 1]
20080424,30.45,31.6,30.45,31.6,330168800,[1 0]
20080425,31.8,32.36,31.5,32.36,310188900,[1 0]
20080509,31.0,31.3,30.4,31.02,35196600,[1 1]
20080512,31.0,31.0,30.26,30.57,20466800,[1 1]
20080513,30.57,30.57,29.6,30.0,75700400,[0 1]
20080514,30.0,30.5,29.7,30.0,103140600,[1 1]
20080515,30.4,31.1,30.4,31.1,165676100,[1 0]
20080516,31.21,31.99,31.1,31.8,979310100,[1 1]
20080519,31.5,33.75,31.14,32.5,421738700,[1 1]
20080520,32.5,33.1,31.82,33.1,778670300,[1 0]
20080521,32.61,32.65,31.82,32.33,29891700,[0 1]
20080523,32.0,32.0,31.1,32.0,514955400,[1 0]
20080526,31.21,32.59,31.0,32.39,74180200,[0 0]
20080527,33.0,33.2,32.05,32.7,222666000,[1 1]
20080528,32.98,33.7,32.98,33.69,320531200,[0 1]
20080529,32.85,33.6,32.2,33.19,288179000,[0 1]
20080530,33.19,33.85,32.5,33.65,360229500,[1 1]
20080602,33.5,33.5,32.8,33.4,284416800,[1 0]
20080603,33.4,33.6,32.9,33.6,120183400,[0 1]
20080604,33.0,34.1,33.0,34.0,174644000,[1 0]
20080605,33.95,34.95,33.78,34.01,843453700,[0 0]
20080606,34.01,34.1,33.0,33.5,298892600,[1 1]
20080609,33.8,34.26,32.81,34.26,261843900,[1 0]
20080610,33.9,34.0,33.2,33.8,234136500,[1 1]
20080611,33.8,34.2,33.75,34.2,80313400,[0 0]
20080612,34.0,34.0,33.29,33.9,126807300,[1 1]
20080613,33.25,33.32,32.8,33.32,184330900,[1 0]
20080616,33.0,33.15,32.5,33.15,10507400,[0 1]
20080617,33.5,33.85,33.25,33.6,160054900,[1 0]
20080618,33.3,33.3,32.9,33.29,26608200,[0 0]
20080619,32.8,33.5,32.5,33.49,96322700,[1 1]
20080620,33.48,33.6,32.5,32.85,24510500,[0 0]
20080623,32.01,32.5,32.01,32.5,85057100,[1 1]
20080624,32.35,32.36,31.4,32.3,42709500,[1 1]
20080625,32.16,33.57,31.81,33.25,419185000,[0 1]
20080626,32.82,33.1,32.0,32.85,40865800,[0 1]
20080627,33.0,33.5,32.0,32.81,325978100,[0 0]
20080630,32.8,33.6,32.72,33.6,279143700,[0 1]
20080701,33.38,33.38,32.0,32.94,103257500,[0 0]
20080702,32.8,33.0,32.0,32.67,59655100,[1 0]
20080703,32.5,32.5,31.09,31.5,31145700,[0 1]
20080704,31.5,31.5,30.5,30.7,187759900,[0 0]
20080707,31.01,31.5,30.46,30.94,64053800,[1 1]
20080708,30.5,32.0,30.2,32.0,134847400,[1 1]
20080710,31.99,33.44,31.99,33.2,223168000,[1 1]
20080711,32.3,33.7,32.3,33.7,138463700,[0 1]
20080714,33.95,34.2,33.21,33.9,30129200,[1 1]
20080715,33.25,34.39,33.2,33.71,79005000,[1 0]
20080716,33.69,34.4,33.41,34.05,240903400,[0 0]
20080717,34.4,34.5,32.55,33.49,237641800,[1 0]
20080718,33.09,34.15,32.8,34.15,123246100,[0 1]
20080721,34.0,34.2,33.85,33.95,40400400,[0 1]
20080722,33.8,33.8,33.4,33.8,113739300,[1 0]
20080723,33.75,33.75,32.15,32.91,44130000,[1 0]
20080724,32.15,32.56,31.7,32.2,9972300,[1 0]
20080725,31.9,33.1,31.5,32.99,345804400,[1 0]
20080728,33.2,33.33,32.3,32.9,393812900,[0 0]
20080729,32.85,32.9,32.1,32.5,433365100,[0 0]
20080730,32.98,33.08,31.55,32.33,352603500,[1 1]
20080731,32.2,32.21,31.5,32.21,333685000,[1 0]
20080801,31.51,31.9,31.51,31.9,3173000,[0 0]
20080804,32.15,32.15,31.2,31.53,66642900,[1 0]
20080805,31.4,32.75,31.4,32.75,196945700,[1 1]
20080806,31.79,32.74,31.61,32.18,135581500,[0 0]
20080807,32.75,32.75,31.35,31.99,72109600,[0 1]
20080808,31.82,31.95,31.5,31.9,72415200,[1 0]
20080811,32.1,32.1,29.72,30.89,110298600,[1 0]
20080812,30.9,31.89,30.6,31.35,909469400,[1 1]
20080813,31.03,31.95,31.0,31.7,75214800,[0 1]
20080814,31.0,31.79,30.89,31.58,392866000,[0 1]
20080815,31.6,31.8,31.45,31.8,125011700,[1 1]
20080818,31.43,31.43,30.31,30.99,211244100,[1 1]
20080819,30.59,31.72,30.59,31.72,57154900,[1 0]
20080820,31.72,32.3,31.6,32.2,119481000,[1 1]
20080821,32.0,32.0,31.5,31.8,73010400,[0 0]
20080822,31.8,32.0,31.5,31.89,149471700,[1 0]
20080825,31.5,31.5,31.0,31.1,14638000,[1 0]
20080826,31.0,31.96,30.99,31.2,127364400,[0 1]
20080827,31.2,31.2,30.6,31.2,238173500,[1 1]
20080828,31.2,31.2,30.5,31.19,207424600,[1 0]
20080829,31.19,31.19,29.85,29.9,96521100,[0 0]
20080901,30.15,30.15,29.53,30.0,57040700,[1 1]
20080902,30.1,30.13,29.85,29.85,41014400,[1 0]
20080903,30.45,30.45,28.85,29.1,44804400,[0 0]
