date,open,max,min,close,volume,y
20070615,37.5,37.5,37.0,37.0,662760,[1 1]
20070618,37.14,37.4,37.0,37.1,965970,[1 1]
20070619,37.4,38.0,37.4,38.0,878592,[0 0]
20070620,38.49,38.5,38.0,38.3,662338,[1 0]
20070621,37.5,41.24,37.5,38.7,788620,[1 1]
20070622,38.69,38.69,38.69,38.69,92856,[1 0]
20070625,38.0,38.25,36.51,37.01,1766972,[1 1]
20070626,37.52,37.99,37.52,37.99,225591,[1 0]
20070627,37.52,37.8,37.5,37.5,176528,[1 1]
20070628,38.2,41.0,38.2,40.7,1177948,[0 0]
20070629,40.05,42.89,40.05,42.89,2283066,[0 0]
20070702,42.2,46.1,42.2,44.23,1101985,[0 1]
20070703,43.9,44.0,42.0,43.0,3318591,[0 0]
20070704,43.9,44.5,43.2,43.2,1845001,[1 0]
20070705,43.99,43.99,43.0,43.5,1532293,[1 0]
20070706,43.94,45.99,43.91,43.92,2444485,[0 0]
20070710,44.1,44.1,43.2,43.3,3081542,[0 0]
20070711,43.5,44.2,43.3,43.9,2313735,[0 1]
20070712,44.76,44.91,44.0,44.2,918921,[0 0]
20070713,44.0,44.5,43.5,43.8,1978007,[1 1]
20070716,44.2,45.0,43.4,43.4,2566356,[0 0]
20070717,45.0,45.0,43.39,43.39,1091993,[0 1]
20070718,43.75,43.75,43.0,43.15,1311551,[1 0]
20070719,44.0,44.0,41.51,41.51,1432612,[1 0]
20070720,42.6,43.09,41.95,42.0,1584557,[1 1]
20070723,42.89,42.89,41.0,41.0,1855179,[0 0]
20070724,41.4,41.4,40.0,40.0,1975631,[1 1]
20070725,40.7,41.99,39.53,41.97,1537789,[1 0]
20070726,39.7,39.7,37.3,38.0,1212108,[0 1]
20070727,38.8,42.49,38.8,40.97,526428,[0 1]
20070730,39.8,43.04,39.8,40.3,1672729,[0 1]
20070731,41.0,41.0,39.5,39.5,2209954,[1 0]
20070801,39.0,40.99,38.32,39.5,702642,[1 1]
20070802,39.7,39.89,39.02,39.5,904076,[0 1]
20070803,42.99,42.99,39.4,39.4,916531,[1 1]
20070806,39.0,39.5,37.0,38.1,1438935,[1 0]
20070807,39.02,39.02,38.3,38.6,1169029,[0 1]
20070808,39.5,39.8,38.4,38.4,1667440,[0 0]
20070809,40.0,41.0,38.01,38.01,1788744,[1 0]
20070810,38.1,39.7,37.0,39.7,1861980,[1 0]
20070813,39.96,40.69,39.7,40.64,1210334,[0 0]
20070814,39.25,39.4,37.75,37.75,758672,[0 0]
20070815,37.75,38.99,35.0,35.01,1336840,[0 1]
20070816,36.0,36.0,31.7,34.5,2360180,[0 0]
20070817,38.3,38.3,33.5,35.45,1771880,[1 0]
20070820,35.5,37.0,35.1,37.0,1579780,[0 1]
20070821,38.69,38.69,36.0,36.99,756939,[1 1]
20070822,38.5,39.6,37.4,37.4,512845,[0 0]
20070823,38.99,39.49,36.9,36.9,2001729,[1 1]
20070824,37.01,37.2,36.9,37.01,905617,[1 0]
20070827,37.5,37.64,37.3,37.3,2021898,[1 0]
20070828,37.5,37.7,36.6,36.6,1203102,[0 1]
20070829,37.0,37.01,35.22,35.22,1299962,[1 0]
20070830,38.99,38.99,36.3,36.3,1051886,[0 1]
20070831,36.8,37.39,36.04,37.39,1111240,[0 0]
20070903,38.0,38.0,37.31,37.4,703833,[0 1]
20070904,37.89,37.89,36.6,37.3,3672458,[0 1]
20070905,36.78,37.8,35.5,35.5,3889262,[0 1]
20070906,36.01,36.3,35.8,35.8,2081547,[1 0]
20070910,35.9,35.9,35.0,35.2,1297682,[1 0]
20070911,35.8,35.99,35.29,35.4,808777,[0 0]
20070912,35.4,36.19,34.5,34.89,1269141,[0 1]
20070913,34.9,36.0,34.9,35.9,963861,[0 1]
20070914,36.0,36.27,34.46,36.0,759491,[0 1]
20070917,35.82,36.76,34.0,34.5,1485262,[0 1]
20070918,35.69,36.0,34.7,36.0,1246804,[0 1]
20070919,36.77,37.7,36.77,37.25,1940618,[0 1]
20070920,37.3,37.4,36.24,36.24,1281940,[0 0]
20070921,37.58,37.8,37.0,37.5,1639753,[1 1]
20070924,37.5,38.49,37.5,37.8,1617586,[0 0]
20070925,38.5,38.6,38.15,38.6,2921657,[0 0]
20070926,39.0,40.0,39.0,40.0,1977846,[0 0]
20070927,40.0,40.09,39.5,39.76,1229132,[0 0]
20070928,40.0,40.0,38.69,39.06,2833930,[0 1]
20071001,40.59,40.59,38.49,39.87,1632490,[1 0]
20071002,39.51,39.51,38.4,38.65,2041806,[1 0]
20071003,39.98,39.98,37.5,37.5,1515126,[0 0]
20071004,38.45,39.98,37.7,38.69,1527176,[1 0]
20071005,39.98,40.5,38.2,38.21,2073446,[0 0]
20071008,39.99,39.99,38.1,39.88,1439553,[1 0]
