date,open,max,min,close,volume,y
19980316,2.14,2.15,2.1,2.14,45582000,[1 0]
19980317,2.14,2.23,2.12,2.22,303881000,[0 1]
19980318,2.25,2.35,2.22,2.22,247055000,[1 1]
19980319,2.22,2.23,2.18,2.18,102566000,[0 1]
19980320,2.23,2.23,2.15,2.2,174296000,[1 0]
19980323,2.26,2.26,2.19,2.22,66890000,[1 0]
19980324,2.2,2.26,2.19,2.26,181443000,[0 0]
19980325,2.26,2.34,2.25,2.26,187243000,[1 0]
19980326,2.25,2.33,2.25,2.29,256166000,[0 1]
19980327,2.35,2.4,2.35,2.36,202192000,[0 1]
19980330,2.34,2.36,2.33,2.34,105289000,[1 0]
19980331,2.34,2.45,2.34,2.44,147473000,[1 1]
19980401,2.44,2.49,2.41,2.41,183081000,[1 0]
19980402,2.42,2.42,2.39,2.41,149436000,[0 0]
19980417,2.32,2.39,2.32,2.39,91711000,[1 0]
19980420,2.44,2.45,2.4,2.4,122560000,[1 1]
19980422,2.4,2.4,2.3,2.32,94896000,[0 1]
19980423,2.38,2.38,2.26,2.3,13684000,[1 0]
19980424,2.35,2.36,2.3,2.35,111694000,[0 0]
19980427,2.26,2.26,2.21,2.25,65676000,[0 1]
19980428,2.28,2.35,2.25,2.33,205806000,[0 0]
19980429,2.35,2.4,2.34,2.39,196609000,[0 1]
19980430,2.4,2.4,2.37,2.38,79275000,[0 1]
19980504,2.4,2.45,2.4,2.41,185393000,[0 1]
19980505,2.41,2.49,2.39,2.49,119719000,[0 0]
19980506,2.49,2.65,2.49,2.51,330104000,[0 0]
19980507,2.51,2.51,2.42,2.45,228635000,[1 1]
19980508,2.5,2.5,2.44,2.44,85466000,[1 0]
19980511,2.44,2.47,2.38,2.38,112233000,[0 0]
19980512,2.38,2.46,2.35,2.45,165089000,[0 0]
19980513,2.48,2.53,2.44,2.45,239200000,[1 0]
19980514,2.49,2.54,2.48,2.51,125481000,[0 0]
19980515,2.51,2.6,2.5,2.53,240127000,[1 1]
19980518,2.57,2.57,2.32,2.32,56376000,[0 0]
19980519,2.4,2.42,2.37,2.4,75625000,[1 0]
19980520,2.45,2.48,2.36,2.48,70199000,[0 1]
19980521,2.49,2.5,2.45,2.48,53485000,[1 0]
19980522,2.45,2.45,2.4,2.4,49775000,[1 1]
19980525,2.3,2.33,2.3,2.3,43032000,[0 0]
19980526,2.37,2.37,2.1,2.1,85593000,[0 0]
19980527,2.05,2.25,2.05,2.25,83015000,[1 0]
19980528,2.25,2.3,2.2,2.23,85611000,[0 1]
19980529,2.29,2.29,2.15,2.15,21935000,[0 0]
19980601,2.09,2.09,2.04,2.06,56342000,[0 0]
19980602,2.1,2.26,2.1,2.2,42276000,[1 0]
19980603,2.21,2.22,2.15,2.16,233691000,[0 0]
19980604,2.16,2.22,2.16,2.22,17111000,[0 0]
19980605,2.25,2.25,2.2,2.2,11042000,[0 0]
19980608,2.25,2.25,2.2,2.21,9279000,[1 0]
19980609,2.19,2.19,2.19,2.19,3723000,[0 0]
19980610,2.19,2.19,2.15,2.16,24406000,[1 1]
19980612,2.05,2.06,2.0,2.04,60284000,[1 0]
19980615,2.0,2.0,1.93,1.93,12858000,[0 0]
19980616,1.97,1.99,1.96,1.97,50568000,[1 0]
19980617,2.0,2.1,2.0,2.0,67203000,[0 0]
19980618,2.01,2.05,2.0,2.05,4817000,[0 0]
19980619,2.07,2.08,2.05,2.05,9236000,[0 0]
19980622,2.04,2.04,2.0,2.0,12934000,[0 1]
19980623,2.05,2.05,2.0,2.0,8180000,[0 0]
19980624,2.04,2.04,1.91,1.91,62326000,[1 0]
19980625,1.95,1.96,1.9,1.9,38355000,[0 1]
19980626,1.95,1.95,1.9,1.95,36574000,[0 0]
19980629,1.98,1.98,1.94,1.94,23368000,[1 0]
19980630,1.99,1.99,1.92,1.94,23039000,[0 0]
19980701,1.95,1.95,1.91,1.91,37370000,[0 0]
19980702,1.91,1.98,1.91,1.96,22657000,[0 0]
19980703,2.0,2.05,2.0,2.05,24886000,[1 0]
19980706,2.05,2.05,2.02,2.05,12052000,[1 0]
19980707,2.05,2.05,1.99,2.04,65509000,[1 0]
19980708,2.04,2.05,2.03,2.05,116220000,[1 1]
19980710,2.02,2.05,2.02,2.04,9180000,[1 1]
19980713,2.05,2.05,2.01,2.01,48024000,[0 0]
19980714,2.03,2.16,2.03,2.14,130675000,[0 0]
19980715,2.14,2.22,2.14,2.2,54790000,[0 1]
19980716,2.17,2.21,2.17,2.18,57618000,[1 1]
19980717,2.15,2.2,2.14,2.19,17989000,[1 0]
19980720,2.19,2.25,2.19,2.2,63361000,[0 0]
19980721,2.18,2.18,2.11,2.12,42441000,[1 0]
19980722,2.11,2.14,2.07,2.1,76008000,[1 1]
19980723,2.08,2.1,2.05,2.09,64951000,[0 1]
19980724,2.1,2.1,2.06,2.09,16248000,[0 0]
19980727,2.05,2.1,2.05,2.1,26465000,[0 0]
19980728,2.06,2.09,1.99,2.05,51594000,[1 0]
19980729,2.05,2.05,2.0,2.04,22185000,[0 0]
19980730,2.05,2.06,2.04,2.05,34794000,[0 0]
19980731,2.09,2.1,2.0,2.0,125354000,[0 1]
19980803,2.0,2.0,1.96,1.96,10778000,[0 0]
19980804,1.97,1.97,1.91,1.91,28372000,[0 0]
19980805,1.9,1.9,1.88,1.89,4542000,[0 0]
19980806,1.89,1.9,1.87,1.9,67241000,[0 0]
19980807,1.88,1.88,1.81,1.83,24059000,[1 1]
19980810,1.92,1.92,1.76,1.76,7532000,[1 0]
19980811,1.73,1.74,1.68,1.7,50532000,[1 0]
19980812,1.75,1.8,1.68,1.69,22401000,[0 1]
19980813,1.69,1.7,1.64,1.65,141771000,[0 1]
19980814,1.67,1.67,1.63,1.64,15136000,[0 0]
19980817,1.6,1.6,1.56,1.59,37496000,[0 0]
19980818,1.59,1.6,1.5,1.6,114704000,[0 1]
19980819,1.63,1.63,1.56,1.56,90861000,[1 0]
19980820,1.52,1.55,1.49,1.5,57887000,[0 1]
19980821,1.48,1.48,1.42,1.44,93382000,[0 0]
19980824,1.5,1.5,1.42,1.45,26044000,[1 0]
19980825,1.5,1.55,1.48,1.48,10782000,[0 0]
19980826,1.44,1.51,1.44,1.5,19158000,[1 1]
19980827,1.44,1.45,1.4,1.41,10043000,[0 0]
19980828,1.41,1.45,1.37,1.38,16090000,[0 1]
19980831,1.39,1.4,1.33,1.33,49411000,[1 0]
19980901,1.35,1.35,1.34,1.35,43932000,[0 1]
19980902,1.36,1.39,1.3,1.3,93818000,[1 1]
19980903,1.3,1.3,1.2,1.2,34168000,[0 1]
19980904,1.23,1.23,1.1,1.18,24712000,[0 0]
19980908,1.22,1.28,1.18,1.18,30913000,[1 1]
19980909,1.18,1.18,1.1,1.1,23463000,[1 0]
19980910,1.05,1.15,0.99,1.1,44375000,[1 1]
19980911,1.15,1.15,1.05,1.1,27929000,[0 1]
19980914,1.1,1.14,1.07,1.1,32489000,[0 0]
19980915,1.1,1.25,1.1,1.21,61847000,[0 0]
19980916,1.22,1.27,1.15,1.18,44326000,[0 1]
19980917,1.08,1.09,1.05,1.07,14327000,[0 0]
19980918,1.12,1.14,1.04,1.09,36325000,[1 1]
19980921,1.03,1.08,1.03,1.06,17977000,[0 1]
19980922,1.11,1.11,1.05,1.05,8996000,[0 0]
19980923,1.05,1.1,1.04,1.09,52585000,[1 1]
19980924,1.07,1.11,1.03,1.05,27132000,[1 1]
19980925,1.01,1.02,0.97,0.99,53847000,[0 0]
19980928,1.05,1.05,1.02,1.02,2871000,[0 1]
19980929,1.05,1.05,0.97,1.0,5218000,[0 0]
19980930,0.98,1.0,0.97,1.0,5092000,[0 1]
19981001,0.99,1.02,0.95,0.98,12026000,[1 0]
19981002,0.98,0.99,0.96,0.98,11793000,[0 1]
19981005,0.95,0.95,0.94,0.94,7597000,[1 1]
19981006,0.97,0.98,0.91,0.92,35352000,[1 1]
19981007,0.92,0.93,0.89,0.89,19855000,[0 0]
19981008,0.9,0.9,0.89,0.9,3136000,[0 0]
19981009,0.89,0.91,0.85,0.85,8991000,[1 1]
19981013,0.9,0.9,0.88,0.9,7591000,[0 1]
19981014,0.9,0.9,0.87,0.87,22178000,[1 0]
19981015,0.87,0.88,0.86,0.88,11989000,[1 1]
19981016,0.91,0.91,0.87,0.87,8099000,[0 0]
19981019,0.87,0.88,0.87,0.88,14973000,[1 0]
19981020,0.89,0.95,0.88,0.9,42667000,[0 1]
19981021,0.93,0.99,0.93,0.97,38115000,[1 0]
19981022,1.0,1.05,1.0,1.04,47179000,[0 0]
19981023,1.04,1.1,1.03,1.03,41896000,[0 0]
19981026,1.03,1.03,0.95,0.99,25462000,[0 1]
19981027,0.99,1.02,0.99,0.99,27260000,[0 1]
19981028,1.0,1.0,0.97,0.97,11086000,[0 0]
19981029,0.96,0.96,0.93,0.96,9840000,[1 1]
19981030,1.0,1.0,0.98,0.98,55730000,[1 1]
19981103,1.01,1.02,0.99,1.0,29536000,[0 0]
19981104,1.03,1.05,1.02,1.03,32738000,[0 0]
19981105,1.05,1.15,1.03,1.15,114579000,[1 0]
19981106,1.15,1.17,1.15,1.15,42871000,[0 0]
19981109,1.15,1.17,1.12,1.13,22693000,[0 0]
